	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
1700001C19Rik	0.25	0.0	0.0	0.41	1.13	0.0	0.96	0.0	0.87	1.02	1.53	0.98	0.77	0.0	0.94	0.0	0.0	0.12	0.19	0.0	0.16	0.0	0.37	0.71	0.22	0.59	0.0	0.0	0.0	0.0	0.0	0.22	0.25	0.73	0.0	0.22	0.0	0.39	0.0	0.64	0.22	0.21	0.12	0.0	0.0	0.73	20.27	10.07	1.5	0.84	4.06	0.22	0.0	0.6	0.0	1.26	0.33	0.44	0.0	0.49	0.0
1700030L20Rik	0.0	2.77	0.55	0.91	7.38	2.37	5.49	4.06	2.35	1.54	13.47	0.89	0.0	2.34	5.58	2.75	0.0	1.26	0.21	0.53	0.11	1.52	1.48	1.46	0.0	1.19	0.0	1.55	1.95	1.04	3.3	0.28	1.44	1.25	0.0	4.57	1.23	0.37	1.3	0.34	0.68	0.59	0.0	0.23	1.85	9.34	17.67	12.06	16.38	3.22	25.97	0.58	2.9	3.57	1.9	2.56	1.12	0.44	3.65	1.22	4.62
1700128F08Rik	38.86	19.63	17.03	36.61	107.1	41.07	67.28	43.58	70.44	110.4	92.26	36.83	39.38	55.4	66.87	18.02	19.33	35.67	39.45	9.75	22.65	33.63	35.68	39.83	26.62	29.17	24.47	17.08	49.2	38.28	12.78	18.45	21.22	17.22	31.14	55.08	19.15	59.83	24.57	34.08	32.54	25.91	23.99	45.38	30.94	458.35	626.48	510.5	610.21	495.48	513.16	19.16	33.24	24.76	18.9	98.06	20.82	35.08	10.95	7.75	42.94
2310010M20Rik	6.44	14.4	4.28	13.32	23.35	13.99	12.74	19.88	19.97	22.55	77.99	17.36	12.84	22.24	28.32	5.88	6.05	5.85	7.34	9.34	6.15	6.88	8.2	9.4	10.52	6.49	11.65	7.11	4.32	9.14	20.15	9.89	15.23	14.15	8.6	14.45	15.59	13.66	6.78	10.21	9.83	5.51	7.16	6.1	9.11	99.15	205.98	199.54	185.55	57.6	86.27	11.61	13.24	12.38	12.13	24.84	10.07	8.17	8.87	3.49	23.05
2810021B07Rik	21.74	22.02	5.55	13.88	35.52	25.36	67.45	28.47	32.94	53.8	113.63	22.2	44.39	19.24	22.13	23.57	9.54	12.14	13.08	7.97	13.67	13.92	13.58	18.24	11.42	15.95	19.27	9.84	12.23	25.33	16.07	13.48	15.08	10.65	7.6	18.11	20.31	11.78	13.87	14.34	12.07	9.27	8.86	16.13	14.94	116.92	296.48	139.61	302.71	286.69	155.75	11.13	19.54	27.86	18.23	45.6	7.74	13.02	9.36	14.26	21.33
2810442I21Rik	0.39	1.4	0.2	0.8	0.65	0.19	1.5	1.58	0.64	1.45	1.92	0.94	0.67	0.66	1.38	0.19	0.29	1.02	0.32	0.61	0.46	0.39	0.5	1.29	0.6	0.48	0.46	0.65	0.24	0.69	0.67	0.37	0.31	0.81	0.21	0.59	0.53	0.57	0.32	0.98	0.37	0.52	1.03	0.56	0.43	1.88	9.35	5.13	14.23	3.21	4.74	0.09	0.21	0.69	0.55	1.79	0.55	0.42	0.79	0.37	0.66
4921508A21Rik	1.6	23.18	7.64	18.64	70.94	32.53	41.18	20.07	52.9	67.69	63.92	25.39	21.25	37.09	43.91	5.04	7.64	7.76	17.37	1.09	12.41	7.52	11.2	19.91	13.22	9.61	4.51	9.94	14.98	9.33	7.16	11.66	17.68	24.75	5.65	22.7	9.47	12.41	2.68	7.3	6.47	14.11	1.48	3.17	10.01	65.59	60.53	92.55	294.36	22.61	261.35	7.32	9.19	34.03	10.31	40.13	17.87	20.95	4.41	9.23	45.58
4921515E04Rik	11.3	12.59	2.7	5.23	26.37	8.96	10.51	19.17	13.23	28.0	69.05	10.97	18.81	10.73	10.56	10.14	8.9	7.98	5.86	5.34	5.89	12.85	6.52	11.64	9.08	12.06	10.47	8.47	10.73	7.87	4.87	11.75	12.56	5.65	8.0	16.59	11.95	15.9	8.58	6.04	7.76	10.78	9.0	6.09	4.24	44.32	133.08	124.47	216.14	102.32	116.52	5.16	5.65	16.91	6.83	39.84	6.85	6.82	3.74	1.63	33.83
4930405P13Rik	22.87	25.88	38.36	33.47	86.63	36.22	34.76	36.38	61.95	32.72	98.54	53.33	73.2	51.15	81.13	11.81	31.12	33.5	9.81	23.96	15.24	50.5	26.83	27.12	21.11	22.33	30.63	18.05	26.51	46.78	19.27	13.41	44.42	27.99	19.92	44.99	46.14	29.8	21.55	18.08	40.01	14.99	40.05	17.19	38.43	178.52	691.26	520.47	609.92	196.18	306.28	32.5	32.83	35.95	21.53	98.1	29.17	31.04	26.93	63.78	36.92
4930451C15Rik	17.79	13.34	2.44	18.99	19.73	13.47	7.21	46.87	26.82	21.05	68.17	20.63	16.78	15.14	12.19	14.18	14.09	10.17	9.44	11.26	11.43	9.88	12.39	8.41	8.75	9.39	11.31	9.19	14.44	15.4	10.47	13.12	14.39	11.93	7.32	7.51	13.75	20.58	16.95	9.01	16.51	14.34	11.88	9.66	15.33	48.93	126.87	132.61	213.34	97.04	154.17	11.19	8.76	17.58	11.84	10.66	8.2	5.84	5.2	4.11	35.74
