	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930526L06Rik	0.0	1.48	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	2.37	0.0	0.16	0.12	0.34	0.27	0.0	0.49	0.0	0.32	2.52	1.97	0.0	0.31	0.0	0.0	0.0	0.0	4.9	0.0	1.19	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.85	1.49	0.28	0.16	0.0	0.0	0.45	0.53	0.0	0.5	0.0	1.03	0.3	0.0	13.13	0.0	2.16	0.0	0.55	0.0	0.73	0.37	0.68	1.72	1.53	0.88	0.26	0.78	0.3	0.35	0.0	2.19	1.42	1.84
8430406I07Rik	0.0	0.0	0.31	0.0	0.0	0.0	0.28	0.08	0.32	0.24	0.08	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.36	0.11	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.1	0.0	3.58	16.66	0.0	0.11	0.0	0.0	0.0	18.38	60.03	0.0	0.12	0.0	0.0	5.7	0.47	0.0	0.0	0.12	59.0	0.0	0.07	68.72	0.0	0.0	0.32	0.0	0.0	0.0	2.78	8.66	0.12	0.0	1.61	2.48	4.83	7.28	9.16	2.44	4.84	4.56	4.33
Abcc9	0.45	0.38	0.23	0.25	0.91	0.0	0.75	0.61	0.66	0.59	0.48	1.18	0.3	0.0	0.13	0.13	0.11	0.2	0.38	0.51	0.21	0.43	0.21	0.13	0.23	0.22	0.66	0.2	0.06	0.38	0.32	0.23	0.5	0.68	0.18	0.49	0.45	0.37	0.59	0.36	0.33	0.23	0.28	0.18	0.18	0.24	0.2	0.25	0.72	1.32	0.17	0.31	0.37	0.7	0.22	0.14	1.1	0.19	0.4	0.0	0.16	0.76	0.64	0.39	0.36	0.66	1.01	0.69	0.31	0.39	0.76	0.7	0.73	3.33	3.27	4.07
Adnp2	0.0	0.0	0.0	17.45	0.0	193.35	41.1	0.0	11.36	6.47	0.0	0.0	0.0	0.0	4.07	0.0	0.04	0.0	0.04	0.82	0.0	0.0	0.0	2.2	17.05	0.0	0.0	0.0	0.0	38.73	0.73	0.0	10.77	0.0	0.0	0.0	0.0	0.0	39.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92	1.9	0.0	0.0	0.0	6.08	0.0	20.01	71.33	0.0	2.88	17.85	0.0	0.09	5.05	2.46	13.88	3.84	4.41	2.38	0.24	0.82	1.84	1.14	2.39	18.43	18.91	17.84
Arhgap42	0.0	31.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	3.98	0.0	0.0	0.0	0.0	0.0	0.0	28.06	0.0	0.0	0.0	3.54	0.0	0.06	2.23	0.0	3.34	2.25	0.0	0.0	0.72	1.64	0.25	0.45	9.03	7.48	8.69
Arpp19	61.95	99.81	65.72	90.93	0.0	0.0	67.63	0.05	120.02	48.06	81.44	44.29	42.18	0.0	78.8	66.34	29.27	32.27	2.71	37.1	80.17	138.9	18.19	22.69	25.77	76.23	2.74	23.69	112.07	61.42	74.11	60.28	111.01	55.08	131.62	20.3	143.15	11.93	23.31	46.3	24.34	62.21	130.45	116.23	105.14	29.63	9.83	84.79	262.98	667.65	4.55	55.61	83.85	7.53	1.62	23.6	97.41	136.3	91.21	31.61	69.61	9.87	635.86	786.03	797.78	715.65	903.6	754.36	609.35	695.62	1016.56	801.81	850.62	210.61	194.51	190.26
Axin1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.0	0.0	9.9	0.0	0.0	0.0	9.67	0.11	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.45	0.0	0.0	0.0	0.0	5.25	6.24	0.0	0.0	0.19	54.88	0.0	0.0	46.01	0.0	0.0	0.0	0.0	0.0	7.4	0.19	3.9	5.58	0.0	3.81	4.12	0.53	4.2	3.17	1.32	16.05	17.05	16.13
Bbs1	2.57	16.34	5.01	2.22	0.07	0.06	23.09	5.85	34.82	4.9	5.6	8.35	3.99	0.0	1.53	1.72	2.58	2.35	1.39	3.96	0.77	4.27	1.97	3.22	1.13	3.78	2.77	2.08	3.27	2.99	2.02	3.45	14.31	6.91	2.07	2.43	4.26	3.85	3.29	4.92	2.21	2.38	3.36	4.91	3.96	1.93	2.79	1.37	4.88	9.94	7.14	1.74	2.75	2.03	2.99	2.36	34.29	2.35	2.03	1.38	1.62	0.5	10.49	11.92	9.27	9.52	10.52	8.16	11.44	10.03	9.96	9.57	11.08	25.47	26.95	26.59
Brd9	100.03	63.74	3.71	32.34	54.22	0.0	64.33	7.96	138.1	74.76	0.0	4.4	15.62	0.0	65.59	87.17	2.14	111.13	62.79	3.49	30.29	3.65	11.35	45.8	33.76	51.23	16.37	23.35	59.77	42.7	26.49	110.61	130.66	245.28	47.59	0.81	67.65	55.49	80.0	149.99	12.1	9.98	67.49	14.0	45.37	39.54	21.59	63.55	55.97	39.59	2.95	3.1	3.05	21.8	27.74	65.38	131.12	6.31	7.97	2.37	86.53	0.62	163.3	127.69	197.88	92.49	129.99	74.48	82.35	93.29	156.27	142.1	155.54	76.85	77.62	74.96
Ccl27b	0.0	0.14	0.0	8.68	0.0	0.0	0.0	11.32	0.0	0.0	0.0	17.1	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	29.61	40.26	0.0	0.0	4.89	46.94	1.61	0.0	4.36	0.0	7.83	4.62	1.88	0.0	164.03	114.56	132.22	125.27	74.98	103.08	54.7	62.2	61.27	76.52	71.98	30.63	28.29	22.96
