	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_53	Chat_tdTpositive_cell_1	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_18	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_33	Rbp4_tdTpositive_cell_81	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700034K08Rik	0.0	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	8.41	0.0	0.0	16.83	0.0	1.15	0.0	0.0	0.0	0.0	1.45	0.0	0.0	3.23	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	1.26	1.17	0.0	0.59	0.0	0.0	0.0	1.3	0.52	0.0	0.61	0.44	0.95	0.52
1700034P13Rik	0.0	0.0	0.0	0.0	0.14	0.0	0.61	0.31	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.89	0.0	2.74	0.72	0.42	1.11	0.17	0.62	0.0	0.0	2.05	3.07	0.0	0.0	0.12	0.0	0.0	0.0	1.55	0.13	0.59	0.0	0.18	0.0	0.51	0.0	2.58	0.0	1.38	0.82	0.0	0.0	0.54	0.76	0.0	0.0	0.0	0.0	0.21	0.66	0.61	0.0	0.0	0.0	1.03	0.72	1.2
2310047M10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	384.22	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.42	3.38	9.04	3.41	0.0	0.0	1.74	0.0	2.51	1.35	1.56	26.42	30.44	27.64
2410004N09Rik	51.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.81	0.0	0.0	20.88	0.0	0.0	0.0	0.0	286.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65	4.68	0.0	12.79	19.45	4.71	33.02	7.42	0.65	2.34	4.31	5.44	13.52	17.38	14.46
2510039O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	862.94	0.0	0.0	0.0	4.48	0.0	1.62	0.0	0.0	835.98	0.0	383.38	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	5.47	4.82	5.93	0.0	3.5	0.0	1.53	1.39	1.53	24.71	26.72	25.18
2610001J05Rik	0.0	263.64	0.0	71.83	101.53	0.0	0.0	0.0	0.26	37.9	0.0	0.0	0.26	9.5	0.0	0.0	0.0	0.0	2.41	32.85	0.0	0.0	388.37	0.71	0.0	325.11	0.0	15.22	0.0	415.63	0.0	45.3	66.71	64.25	38.62	0.0	0.1	0.0	0.0	684.88	491.53	0.0	0.1	0.34	0.0	0.2	0.93	312.81	0.14	0.21	0.0	0.4	0.0	0.0	361.05	0.0	0.0	0.0	0.0	0.0	73.09	67.88	54.45	64.36	43.4	105.18	71.3	80.91	49.02	46.53	58.87	42.07	25.35	27.11	26.17
2610002J02Rik	0.0	0.0	0.0	49.83	6.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.14	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.35	0.0	12.44	0.0	0.0	0.0	0.0	977.96	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.76	12.74	6.76	4.7	5.85	26.55	20.98	0.0	0.0	4.31	9.92	10.35	25.55	28.57	26.96
2610028H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	5.24	0.0	3.68	0.0	15.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45	0.0	0.0	0.0	32.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61	2.2	0.0	64.24	5.05	6.58	2.22	1.77	8.21	0.0	0.0	8.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	39.51	3.98	0.65	0.25	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.19	0.1
4930526D03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.15
