	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_108	Slc17a6_tdTpositive_cell_11
Clpp	0.0	337.39	0.0	463.77	151.74	416.23	122.9	207.35	191.37	334.97	233.73	82.16	268.49	132.67	0.0	104.16
Kcnip1	0.0	0.0	0.0	0.0	0.1	0.0	80.41	31.45	157.39	111.93	90.28	0.41	266.51	0.0	0.0	0.0
Rpl37	644.57	502.52	605.3	378.99	653.94	314.39	564.59	371.66	515.91	448.2	416.19	456.41	466.71	364.08	160.94	235.38
Rps29	1527.35	966.94	1452.45	500.85	1013.96	888.75	1187.02	720.87	1567.5	705.66	928.89	929.15	576.37	643.02	482.01	440.67
Slc6a1	0.11	294.2	0.07	1511.72	23.57	1119.27	615.5	468.4	351.22	2015.06	1033.38	250.24	687.23	0.0	0.0	0.0
Sp9	0.0	24.97	0.0	23.7	0.0	5.09	26.08	0.0	24.57	7.55	4.52	0.0	22.54	0.0	0.0	0.0
Uba52	1126.12	1572.4	886.38	1052.07	1183.48	341.33	1240.45	813.73	1425.54	1161.97	1136.68	1810.75	1127.92	949.98	535.79	1019.13
mt_AF378830	39672.03	52908.5	39259.72	41474.39	55289.36	27826.74	46877.17	24786.78	51765.19	35741.21	38697.02	38916.35	39549.63	8246.57	7395.81	7954.23
mt_AJ409495	1993.25	4236.72	3608.1	1493.86	3062.57	2628.79	4138.35	3208.81	3523.31	3443.04	4109.97	1978.26	1257.03	535.17	1073.25	573.6
mt_AK131577	6586.18	11869.87	6129.44	6636.2	12410.34	5566.25	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	7992.08	1263.25	1303.75	1375.29
