	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Calb2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Chrna2_tdTpositive_cell_81	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_63	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_10	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_55	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_69
2610017I09Rik	0.3	136.79	234.06	170.44	287.59	383.0	139.68	173.85	0.0	724.25	2.21	0.0	126.91	855.9	650.51	1019.24	1546.41	0.0	0.0	0.0	0.0	0.0	0.94	1190.81	161.42	0.0	0.96	464.23	153.09	916.49	0.0	798.03	519.81	160.32	184.55	186.01	605.3	320.03	81.33	433.22	138.25	69.52	0.0	168.28	0.0	0.0	284.86	193.22	316.49	380.23	235.44	755.07	590.35	0.0	123.22	429.82	0.0	0.0	202.94	614.11	257.02	0.0	0.0	0.0	0.0	243.32	0.0	494.52	135.08	0.0	0.0	498.63	413.88	322.29	825.51	373.84	0.0
2900092D14Rik	199.65	173.28	284.31	0.0	139.3	48.51	3.77	395.52	118.58	44.14	90.63	0.38	72.97	92.23	116.21	328.8	682.46	0.0	2.61	0.23	0.32	0.0	0.0	65.8	129.54	0.23	318.39	634.26	0.35	447.21	2.95	104.82	573.96	280.43	1.0	118.8	256.58	116.8	140.57	1.7	197.84	429.35	382.01	1.39	340.13	184.31	593.33	422.95	0.96	200.55	86.28	164.82	197.85	108.62	144.1	269.21	82.94	0.0	606.95	211.42	116.55	0.0	0.0	0.0	0.72	0.0	0.99	223.83	0.0	0.4	2.52	406.85	0.0	249.53	110.53	294.28	559.57
Cbx5	131.57	215.97	267.09	58.85	200.36	205.88	37.03	153.44	87.59	193.41	230.8	21.03	103.9	256.8	312.7	131.56	378.2	0.06	0.16	0.07	0.3	0.18	0.1	321.31	240.58	109.78	233.64	468.68	241.63	351.53	6.2	160.2	32.74	140.98	166.19	74.92	48.61	137.91	100.64	0.18	43.64	127.47	84.78	184.36	79.62	154.57	74.67	198.52	280.71	170.1	190.34	262.49	180.45	172.24	246.53	252.24	262.17	0.87	441.49	520.38	128.65	11.63	0.74	193.55	0.0	0.55	0.0	7.95	10.0	118.37	202.85	274.88	361.91	335.23	401.09	623.03	0.28
Ccnd2	177.91	758.38	156.41	124.24	234.68	250.31	83.84	121.76	99.17	31.76	31.49	111.54	313.12	230.71	142.81	23.76	140.58	0.0	0.0	0.0	0.0	0.0	0.0	350.3	28.97	129.89	887.61	60.01	339.05	192.83	33.37	194.67	206.32	137.39	0.07	93.2	1.05	2.68	10.98	0.04	0.0	128.03	0.0	220.8	2.14	48.24	0.0	269.45	171.94	158.74	359.64	632.86	417.38	275.45	221.37	248.35	192.84	0.0	374.14	488.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.43	159.86	0.89	251.17	137.86	544.3	205.99	181.28	15.63	0.15
Celf4	148.64	99.4	34.57	10.65	69.97	207.66	96.64	26.42	37.98	123.47	124.16	1.96	2.24	151.2	114.93	64.85	140.79	0.0	0.0	0.53	0.0	0.93	1.43	63.53	109.49	13.46	233.55	17.1	4.59	42.34	38.28	151.22	120.1	245.67	49.54	83.07	275.24	54.97	99.2	83.32	17.8	53.48	3.46	102.66	14.19	121.8	75.89	61.62	59.13	287.7	124.15	162.46	25.3	195.91	280.92	145.25	95.5	0.0	44.69	174.57	14.51	0.0	25.88	3.47	0.0	1.31	0.0	197.34	31.99	10.32	65.69	108.61	174.66	69.27	26.47	34.46	2.59
Cntn1	93.94	301.21	284.11	508.47	41.06	387.81	203.88	162.7	138.31	357.75	122.38	176.13	137.2	240.5	292.06	196.96	480.77	0.0	0.0	0.0	0.08	0.0	0.0	446.61	71.57	261.11	50.22	608.83	88.79	450.09	226.92	507.13	88.05	182.37	73.74	219.09	173.3	124.02	274.2	404.03	221.93	131.01	283.66	271.18	218.75	147.95	428.59	280.83	120.93	0.0	252.47	532.14	220.81	200.45	209.18	328.97	228.63	0.0	199.47	488.22	142.45	0.06	0.0	0.03	0.0	0.0	3.23	0.29	181.0	458.52	116.87	187.36	370.6	501.33	355.8	601.69	20.76
Csrnp3	43.57	50.94	2.12	0.06	83.34	41.32	20.98	0.0	0.05	0.0	0.13	62.27	20.38	0.14	0.05	0.43	28.46	0.0	0.0	0.06	0.0	0.0	0.0	0.03	31.86	1.97	15.64	0.11	3.13	0.11	0.0	25.81	34.41	41.63	0.17	91.78	1.91	39.38	9.12	1.23	26.82	92.11	45.47	3.06	0.21	0.06	0.18	28.01	0.53	2.3	38.18	34.85	0.0	0.65	1.87	37.52	33.2	0.15	56.34	2.28	34.91	0.11	0.0	0.06	0.0	0.0	0.0	4.84	0.07	2.66	3.63	37.9	24.25	36.37	76.13	0.31	0.04
Dync1i1	223.96	0.29	64.19	0.0	111.16	657.2	238.89	672.78	7.41	479.43	606.72	224.59	0.0	99.54	1229.25	685.34	754.28	0.0	0.0	0.0	0.0	0.0	0.0	2337.7	241.91	444.58	1075.66	495.02	314.22	171.08	261.28	550.97	865.83	458.91	157.88	325.54	303.64	7.65	65.02	211.07	140.31	285.21	250.79	508.94	0.15	729.85	0.48	0.0	662.43	1075.18	795.38	612.56	303.57	1037.26	987.16	995.0	1332.09	0.0	460.35	723.02	527.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.68	338.53	0.76	1130.8	1491.76	320.61	796.55	407.96	32.94
Farsb	417.88	199.21	121.51	15.69	172.69	94.49	313.64	0.0	344.27	194.94	199.93	215.44	431.03	142.65	544.62	0.29	112.05	0.0	0.0	0.0	0.0	0.0	0.0	550.48	0.0	9.76	0.0	169.23	163.08	177.07	0.0	3.2	0.16	0.0	0.0	165.81	1.78	43.48	95.79	0.0	0.0	0.0	653.83	130.06	0.0	0.0	0.0	0.0	233.94	189.61	0.0	210.33	0.0	282.06	180.33	268.32	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.66	28.18	147.31	0.0	106.66	71.25	147.66	347.36
Fbxw7	78.77	251.72	52.84	0.0	78.3	114.1	0.09	0.0	33.81	147.57	295.5	30.35	25.05	157.79	166.9	68.49	205.5	0.0	0.0	0.0	0.0	0.0	0.0	86.38	0.0	221.4	67.03	132.72	63.95	53.02	0.0	111.09	86.19	55.25	73.54	53.07	30.27	114.3	47.76	18.45	364.93	0.21	19.25	33.09	232.58	4.88	47.69	339.86	59.97	216.53	203.97	241.97	290.77	31.93	244.9	43.94	39.28	8.52	272.53	140.97	1.15	0.0	0.0	0.0	0.0	0.0	0.0	325.01	0.0	0.0	6.48	355.57	78.44	516.56	360.42	6.76	12.19
