	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_48	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_5	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_85	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_84	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_17	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_1	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Brd3	0.0	24.24	1.9	0.0	4.87	0.0	0.1	2.28	0.0	0.09	74.64	100.64	12.95	47.14	0.06	74.77	56.43	34.24	0.0	14.48	0.0	15.07	34.04	8.67	39.5	35.47	33.36	8.6	28.12	6.26	30.52	22.19	20.7	28.41	25.74	23.57	21.07	23.38	50.56	52.8	43.99	73.28	38.91	19.14	41.52	54.88	27.14	20.29	28.2	16.41	31.54	18.29	28.08	49.35	45.4	32.14	36.29	10.29	30.81	39.36	39.53	36.26	36.23	12.88	74.01	30.24	12.24	70.34	34.94	37.37	37.42	12.82	21.48	64.5	0.0	47.07	13.01	63.33	0.0	23.82	44.6	51.62	35.16	25.03	42.35	34.76	5.61	74.76	26.37	23.24	75.61	38.92	60.83	22.75	38.83	52.11	26.18	0.0	0.14	0.0	0.07	0.08	10.07	0.42	0.1	5.13	59.58
Cacnb4	0.0	0.0	21.08	55.88	62.0	0.0	0.0	32.24	0.06	0.06	134.66	66.24	72.27	89.02	0.04	52.46	109.68	111.69	0.0	0.0	0.0	74.88	101.04	37.96	78.45	48.19	101.57	63.97	62.1	114.99	108.9	142.94	66.11	99.81	104.57	110.2	87.56	127.26	52.33	110.45	111.97	51.97	89.56	75.49	114.52	108.83	111.79	72.41	93.98	87.87	111.2	43.14	138.54	59.15	117.07	117.49	184.68	19.0	156.64	80.61	126.31	75.46	88.96	101.97	99.94	83.42	127.74	90.51	99.68	68.55	60.08	75.57	45.99	89.08	14.24	108.18	91.26	104.25	86.37	69.98	80.95	59.31	97.61	142.8	88.59	47.33	4.66	109.91	101.92	56.34	95.51	111.86	109.15	112.57	71.81	83.43	111.71	0.09	0.46	0.0	0.27	0.42	14.49	0.23	0.07	54.3	113.94
Cntnap1	0.0	0.0	8.36	0.3	2.32	0.0	0.0	0.0	0.0	0.0	2.73	12.51	0.07	10.38	0.0	10.41	20.27	28.18	0.0	0.0	0.0	3.83	34.62	21.71	12.88	8.26	5.69	0.32	5.74	4.22	21.03	4.07	1.53	4.67	10.72	2.13	0.14	11.88	19.6	16.23	12.26	1.89	5.1	15.01	13.68	13.12	6.59	15.4	10.64	0.85	13.32	10.33	15.09	5.7	12.14	38.61	9.8	0.07	9.6	0.3	11.65	29.34	18.03	19.18	16.12	53.04	1.82	10.13	9.14	10.73	12.28	17.0	33.14	14.13	7.29	15.23	6.33	30.63	3.49	0.37	14.63	9.95	0.66	21.06	9.86	6.14	11.1	22.12	0.37	12.92	0.1	20.76	5.67	7.64	18.07	33.05	14.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.04	17.87
Cplx1	0.0	0.0	536.26	536.72	449.62	0.0	0.0	0.0	0.23	0.0	475.43	815.42	771.3	787.27	0.14	1441.46	845.01	1211.51	0.0	0.0	0.0	918.29	1059.17	690.08	958.97	994.91	1014.15	490.93	711.2	1194.53	1190.34	1170.8	878.68	1148.18	1678.45	1067.45	840.89	933.75	1168.59	1021.35	1018.15	675.63	1142.88	1013.26	989.31	1225.49	1025.48	1115.12	771.01	924.93	685.92	990.97	1336.92	483.38	1234.37	1263.15	960.73	1237.0	632.95	1434.92	774.15	976.46	712.54	1585.92	1087.57	963.7	1258.21	1255.15	1257.87	1220.38	878.94	910.66	910.24	832.62	840.86	1322.39	1598.03	2098.74	971.55	1058.61	1330.63	1302.33	1276.36	975.44	767.51	1128.92	821.46	1172.58	1045.33	1379.92	1128.32	1223.44	920.94	976.75	1068.01	1199.98	1054.91	0.31	0.33	0.0	0.97	0.76	0.31	1.35	0.25	1470.47	1206.18
Fam84a	0.0	0.0	0.0	0.08	60.89	0.0	0.16	0.0	0.0	0.0	32.82	45.68	184.63	123.01	0.0	177.08	47.0	43.0	0.0	0.0	0.0	178.31	187.3	41.22	197.42	132.07	147.71	127.31	420.99	148.81	192.79	169.94	203.74	135.48	207.64	230.13	76.67	36.29	218.25	71.45	164.73	159.13	144.67	269.71	235.41	260.97	49.17	346.47	87.46	0.23	26.45	147.44	101.89	70.21	163.76	202.84	128.86	18.23	94.98	128.83	66.92	131.24	100.7	94.13	59.26	87.55	79.7	107.98	181.9	139.79	160.74	66.96	79.87	116.65	4.79	116.87	51.61	109.25	49.4	101.22	167.85	103.36	32.5	9.68	0.0	65.44	16.53	215.5	205.67	113.38	118.01	137.81	101.44	78.66	197.66	285.5	107.29	0.0	0.0	0.0	8.01	0.12	0.2	0.22	0.47	115.59	51.6
Guk1	0.0	0.0	0.0	147.99	22.17	0.0	0.0	0.0	0.0	8.7	0.0	105.24	9.94	194.57	0.0	86.69	85.43	132.44	0.0	0.0	0.0	176.51	71.16	159.14	27.72	55.58	120.22	62.38	51.02	46.8	440.57	210.68	12.78	215.26	169.63	256.63	20.62	66.16	179.9	146.4	56.53	101.23	168.2	128.23	53.33	64.86	149.17	282.45	230.93	147.22	132.58	8.66	274.26	62.4	113.02	0.32	0.0	4.66	266.54	35.34	58.1	61.11	7.52	179.84	147.22	266.43	28.83	100.35	164.96	155.61	208.27	73.59	112.75	92.3	22.03	117.63	95.68	76.46	60.33	112.13	251.61	7.4	55.53	91.07	162.37	194.17	70.49	201.99	78.14	113.27	211.8	483.59	147.45	0.41	85.23	130.1	79.02	0.0	0.0	0.0	0.39	1.85	0.0	1.65	0.0	230.67	152.69
Ing1	0.0	0.0	20.51	56.45	0.0	0.0	0.0	0.0	0.0	0.16	22.03	36.93	0.14	0.0	0.0	29.44	42.72	64.07	0.28	0.0	0.0	0.0	1.99	81.73	0.0	0.0	57.75	12.77	0.0	11.03	46.58	8.02	24.39	16.0	33.5	0.0	0.0	45.1	0.0	20.12	13.79	32.02	0.98	0.25	52.65	53.93	0.0	35.03	0.0	0.0	0.0	1.14	18.94	0.1	33.39	5.01	0.0	0.0	47.81	33.32	0.0	9.82	30.06	23.99	0.0	0.55	0.73	39.25	32.19	47.47	8.38	30.52	0.0	46.56	0.41	57.03	0.0	14.77	9.38	0.0	20.58	20.86	0.0	11.02	0.0	0.0	0.0	32.94	6.26	30.18	79.86	58.38	16.84	35.13	24.46	0.14	8.98	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	11.33	84.12
Kcna1	0.0	0.0	49.93	47.87	18.03	0.0	0.0	0.0	0.05	0.05	110.04	129.7	129.8	293.95	0.0	110.1	74.68	109.21	0.0	0.0	0.27	218.51	203.62	67.88	155.4	214.98	258.51	191.86	97.04	120.88	231.33	58.69	194.23	255.22	281.96	47.83	28.91	237.12	92.66	175.41	198.9	16.08	245.4	169.48	209.54	149.01	455.33	193.33	96.38	33.81	55.56	151.11	248.36	57.36	167.48	98.42	123.08	31.55	159.56	126.88	28.07	81.48	229.17	158.39	203.93	34.89	51.73	98.15	147.2	121.61	254.23	229.92	210.97	28.71	45.05	186.92	89.83	175.67	109.96	169.76	275.53	173.91	195.32	61.55	140.07	97.29	130.18	124.46	83.12	169.27	73.74	156.66	255.31	178.97	221.93	17.5	247.3	0.15	0.0	0.0	0.0	0.0	0.0	0.2	0.0	93.58	67.55
Kcna2	0.25	0.04	0.26	10.37	13.58	17.04	0.18	3.43	0.08	0.3	68.68	63.03	63.03	67.64	0.07	66.91	39.6	38.44	0.33	0.17	0.05	34.51	94.97	6.75	73.62	35.57	31.48	58.27	51.57	68.09	52.37	40.05	67.76	64.74	85.48	13.75	29.94	72.0	52.78	62.25	71.74	41.11	74.76	23.59	43.75	59.12	51.03	75.95	36.08	62.18	18.96	51.01	38.94	64.71	56.11	53.41	39.44	54.22	122.82	68.69	58.9	60.0	26.56	83.1	70.06	20.82	38.75	54.91	6.07	73.88	80.42	70.45	24.52	36.74	6.32	46.36	50.22	110.12	119.75	35.36	86.53	19.74	27.8	36.09	16.77	86.08	19.55	79.96	7.87	43.82	16.07	74.02	65.74	73.17	107.95	34.87	72.29	0.1	1.01	53.64	0.16	1.64	0.7	14.68	0.36	37.42	64.49
Kif3b	0.0	0.0	0.0	0.05	3.1	0.0	0.0	0.21	0.0	0.0	0.05	41.54	4.26	3.49	0.0	0.0	23.56	37.72	0.0	0.0	0.0	9.28	21.42	3.41	0.0	16.56	57.38	1.8	12.85	9.09	19.73	37.44	13.95	12.21	15.82	0.15	0.0	16.47	3.83	21.41	10.85	56.02	24.85	26.96	0.1	0.0	3.76	0.26	8.61	0.41	0.43	23.28	33.51	0.0	13.75	0.0	2.33	0.0	39.39	0.36	7.94	0.11	0.85	13.74	0.13	23.89	7.16	47.7	0.0	0.16	8.16	13.27	0.0	31.65	1.22	0.0	0.0	28.49	3.93	6.76	11.7	41.15	15.67	9.88	3.13	13.26	0.0	37.17	31.66	13.05	67.02	0.2	29.48	1.22	6.56	2.35	2.26	0.0	0.0	0.0	0.12	0.07	0.0	0.13	0.0	0.13	34.52
Ldhb	3513.57	7486.96	6607.22	8138.08	3170.54	4317.46	5404.32	3055.23	4046.54	2732.22	6819.53	7692.96	5768.08	6604.57	4364.95	7548.96	6832.63	8752.31	2287.98	4338.23	2911.44	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	6527.59	8517.89	9220.91	9343.6	6570.82	4937.61	8808.99	5554.49	6807.49	7074.56	5567.75	8223.21	5652.61	8574.79	5920.89	10165.1	6613.08	5594.14	9166.61	7814.88	9602.81	7343.35	5915.04	7785.08	6241.53	7061.15	7167.6	11261.44	7829.53	8285.69	6969.49	6159.05	10004.69	7259.91	6263.78	5600.97	6682.6	6616.59	7112.99	9074.03	13571.31	7287.29	7093.74	7371.44	12546.17	7758.33	9106.97	5318.26	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	6703.36	7724.63	10182.84	6673.69	6251.75	7124.4	7910.47	7322.67	7830.1	7493.59	11746.38	1397.74	1267.72	2338.19	4392.08	5217.81	2358.54	5873.38	3292.59	6577.4	7324.1
Pde5a	0.37	0.39	0.04	1.24	0.24	0.45	0.49	1.34	0.19	0.0	2.18	39.19	4.25	112.71	0.32	18.61	21.67	32.96	0.17	0.57	1.36	52.15	23.64	35.84	27.21	28.61	43.93	30.87	78.04	9.23	34.39	18.68	115.34	71.06	30.68	7.34	95.41	35.83	6.22	23.91	14.42	21.67	46.27	1.67	89.3	14.0	70.89	74.5	25.47	15.25	38.35	6.47	15.8	0.51	60.46	2.19	35.07	5.78	34.22	58.63	29.4	48.45	31.17	71.69	45.14	0.95	0.66	25.52	34.49	24.08	4.49	35.55	14.08	6.75	11.4	8.66	17.86	36.45	26.86	31.83	20.91	58.05	21.11	48.01	6.26	37.98	0.87	1.63	18.68	53.97	30.76	57.56	18.75	28.47	31.05	23.84	28.04	1.02	1.74	0.17	2.19	1.22	1.36	0.46	0.13	37.66	52.67
