	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Hcfc1r1	90.42	141.48	144.06	126.01	92.78	121.68	141.76	194.76	64.57	34.3	114.73	145.49	94.99	75.25	259.0	523.86	62.82	60.12	118.09	182.05	117.57	235.41	378.85	194.16	159.04	166.75	78.1	331.33	264.99	248.64	258.92	286.86	94.18	225.98	121.28	161.48	171.84	225.38	191.55	488.95	316.24	0.36	250.97	188.25	71.62	104.8	144.7	175.41	48.34	206.8	191.28	87.98	92.04
Higd2a	367.66	318.59	483.74	494.74	529.4	139.33	456.81	583.17	708.59	81.16	293.34	211.15	447.72	0.0	652.2	661.17	260.54	196.89	262.85	352.8	132.7	623.92	572.22	515.21	1022.2	470.34	468.19	365.72	487.09	375.29	452.28	650.57	460.58	397.88	272.45	339.03	353.23	130.12	669.18	719.7	824.29	817.73	723.44	916.48	388.75	443.27	586.95	377.4	822.37	235.31	493.09	147.02	144.61
Hprt	968.28	618.29	2160.32	1067.57	1388.28	618.59	1340.72	1223.46	504.11	728.73	972.56	1244.89	790.55	948.88	1128.9	680.44	1266.78	1067.44	1116.16	2240.17	1208.11	1480.31	1114.26	1393.52	874.54	616.85	964.53	1705.93	1134.97	1071.27	1111.37	1421.63	1836.63	1040.62	1056.05	1103.69	1025.6	1742.12	2062.97	1592.7	1509.44	881.39	1542.76	816.61	1733.56	1150.32	699.14	999.48	1741.92	1539.18	656.23	217.59	204.94
Lsm7	477.79	188.06	929.2	581.16	416.99	375.72	497.53	199.34	682.46	914.5	195.85	325.51	304.29	202.48	667.08	351.91	444.93	462.61	705.29	308.77	407.99	478.36	472.73	471.61	756.6	382.49	860.76	699.54	548.19	995.94	382.62	611.93	376.19	477.47	424.03	490.8	441.63	609.28	592.22	880.71	484.87	173.71	795.09	1134.21	678.92	312.0	545.5	451.52	398.29	398.96	497.04	66.17	75.77
Mcts1	590.51	619.39	110.33	189.81	0.0	498.32	770.01	390.06	130.07	158.95	111.77	5.35	606.14	0.0	397.93	969.13	260.85	488.1	116.3	22.05	184.17	206.61	89.48	380.47	129.42	190.53	242.23	396.76	459.16	292.18	606.91	198.98	259.72	304.36	231.9	230.91	248.84	0.0	42.56	334.11	325.72	220.86	608.6	420.26	275.76	820.97	379.98	402.57	197.02	222.48	242.76	79.93	77.49
Mea1	169.14	208.06	466.48	148.23	473.48	299.75	758.93	481.43	0.54	464.28	301.78	189.43	117.25	199.03	594.19	538.39	201.58	129.28	485.57	0.0	80.06	495.05	770.35	508.66	665.71	254.27	342.82	305.93	374.96	296.32	293.3	478.44	433.41	325.3	332.68	350.93	312.98	2.01	145.11	1.18	914.9	721.22	806.04	860.12	676.25	192.39	330.39	0.0	558.31	0.41	440.97	95.11	91.12
Mgst3	425.73	763.67	1504.2	441.19	645.79	632.85	338.73	0.0	639.45	601.54	601.54	451.54	557.96	1087.54	1436.95	1813.48	134.52	578.69	841.57	885.87	354.05	2185.81	1471.2	1722.12	1214.57	992.78	1210.93	1341.74	1228.47	1394.18	1236.38	1576.27	588.98	959.83	806.9	904.28	932.16	446.18	552.38	1510.05	2175.37	1753.02	2162.3	2513.32	1786.8	921.74	1161.98	1002.28	987.05	1600.83	282.21	157.68	163.26
Mrpl13	204.66	243.05	409.34	0.0	0.0	0.0	225.62	0.0	135.88	113.64	103.13	55.22	113.73	39.23	0.0	386.37	105.55	114.37	128.01	41.56	315.89	91.92	283.96	0.47	107.35	220.66	642.5	179.67	151.57	137.83	171.8	193.72	222.13	262.24	138.54	141.05	151.23	162.37	167.65	314.58	427.52	557.41	0.0	486.73	335.75	333.42	152.96	16.9	15.77	152.3	177.01	66.19	61.17
Mrpl20	413.19	247.86	1292.81	383.76	256.44	377.74	158.6	711.78	541.69	564.55	813.17	255.49	370.43	66.17	628.84	1025.74	647.5	316.1	269.22	911.6	663.79	414.93	466.87	888.51	688.89	328.66	562.47	647.61	542.98	152.42	626.07	654.04	572.99	585.28	414.3	475.27	446.69	467.18	564.92	1631.69	640.99	333.28	1318.96	496.2	1078.77	152.99	581.78	803.94	204.76	193.44	311.6	103.72	102.88
Mrpl27	190.7	227.56	545.77	364.89	549.18	372.23	347.9	754.43	21.85	234.54	307.58	338.59	328.23	33.92	263.74	188.47	154.56	163.49	293.03	318.65	289.42	1107.68	528.08	235.35	500.59	419.61	481.99	122.75	292.97	286.73	220.09	487.99	133.51	320.0	331.61	319.7	313.11	411.02	765.45	400.5	275.0	382.49	488.65	288.48	773.97	189.77	439.38	385.76	340.2	385.22	263.13	110.44	112.84
Mrpl30	442.83	433.14	572.99	73.48	140.41	319.15	527.41	311.44	339.21	437.53	517.88	264.13	307.37	317.98	538.1	360.21	353.08	191.01	369.01	444.67	872.39	715.4	437.45	618.01	534.7	356.64	462.89	536.74	426.41	742.37	614.69	265.56	545.64	539.71	309.03	368.55	306.32	0.83	425.56	641.43	699.9	810.16	486.95	843.66	228.82	447.82	379.13	332.38	622.23	456.02	562.4	87.8	86.03
