	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Psma5	291.96	582.01	1041.48	753.49	558.53	354.86	593.24	626.67	588.63	458.44	566.84	619.67	944.83	453.97	723.7	886.66	550.16	868.61	1034.45	793.71	993.97	1102.75	469.87	462.75	773.8	313.05	824.94	1050.64	746.64	292.05	1212.27	774.59	1044.78	781.23	745.95	574.79	598.01	745.67	1033.97	260.12	1417.73	225.75	1400.46	1449.83	1256.07	876.19	1191.71	672.74	587.01	686.53	438.9	101.78	99.29
Psma6	396.99	814.99	786.01	325.22	548.44	479.49	169.56	284.69	191.07	534.28	411.85	395.5	457.41	321.72	457.8	755.19	347.14	377.99	504.42	708.17	906.19	335.75	718.43	847.99	566.71	323.65	1094.99	1007.15	562.3	505.07	535.64	719.84	609.94	870.2	505.73	570.54	438.13	831.33	529.94	0.0	754.19	705.23	1360.83	1808.35	289.64	676.12	404.56	583.11	160.24	524.97	508.84	144.38	143.81
Psmb1	605.9	426.69	1283.25	698.79	246.48	426.05	1038.64	458.99	510.99	451.04	530.47	427.64	548.29	122.72	755.5	615.26	650.69	816.02	816.72	1384.65	594.7	1486.84	1215.12	1095.19	1183.25	608.66	1446.2	1332.33	874.68	836.15	854.89	820.7	659.94	1042.89	840.21	796.04	859.45	758.58	1759.48	1439.66	1364.24	1585.13	1371.8	763.02	1003.61	821.54	885.53	845.63	863.71	1233.69	321.13	191.44	184.26
Psmb10	48.41	97.86	207.11	0.0	9.76	165.72	75.91	418.06	189.12	8.54	4.91	86.79	73.05	4.05	112.84	0.31	0.0	0.27	124.78	486.83	75.35	2.38	569.4	162.94	115.37	65.51	42.25	216.43	38.24	83.55	82.12	154.76	0.0	161.62	190.64	242.29	248.35	40.11	128.78	165.37	144.18	0.0	99.22	231.96	165.07	87.02	18.23	277.16	170.4	221.82	127.94	37.23	41.82
Psmb3	811.79	573.25	1033.09	917.28	393.17	732.21	330.42	722.92	842.91	952.64	355.65	529.02	255.34	516.29	1582.92	999.49	282.96	801.69	645.49	635.46	709.44	2056.98	685.25	724.88	803.44	504.94	656.59	652.59	782.72	1290.5	862.9	710.93	946.73	721.36	543.4	690.82	692.71	714.32	1845.72	1687.19	731.78	752.97	1148.63	2386.57	1128.26	434.51	659.64	326.17	918.23	839.59	398.52	122.58	134.65
Psmb6	383.81	592.0	1278.73	925.22	594.89	671.36	304.43	311.66	544.33	669.35	827.62	384.91	602.44	551.26	766.26	675.36	578.66	410.56	1058.71	296.03	483.94	1195.2	1637.67	474.12	763.06	531.73	483.64	823.15	595.88	438.4	612.19	808.08	588.1	885.26	605.34	764.0	667.15	752.69	990.78	760.67	1290.37	1405.31	1398.03	1008.96	755.16	1162.55	643.52	323.8	540.06	692.76	545.2	110.32	113.86
Rapgef2	100.81	85.64	123.93	71.63	77.96	90.79	95.28	97.44	75.9	58.72	52.14	59.33	52.59	46.93	62.19	70.4	20.2	161.76	152.22	67.86	94.79	68.0	53.33	59.71	71.45	93.77	94.86	171.66	160.24	208.58	158.48	142.61	79.17	22.72	25.12	22.65	17.66	65.57	213.64	289.39	60.29	121.23	2.8	250.62	78.93	54.93	218.21	106.02	31.34	185.16	125.57	58.9	59.61
Rbx1	346.4	308.15	259.68	513.48	773.1	384.31	565.04	627.16	340.87	280.12	496.59	416.95	686.08	303.54	831.87	240.58	315.16	359.78	543.58	791.03	386.13	758.8	407.75	153.23	881.18	438.0	851.31	434.99	415.65	500.85	582.93	398.13	389.84	538.95	544.31	510.02	464.96	284.01	624.91	494.13	267.61	414.19	538.88	580.08	170.56	302.08	532.92	178.04	347.19	884.59	361.33	111.64	106.19
Rnasek	320.27	812.62	975.46	166.32	882.27	576.08	811.49	224.46	563.59	466.12	525.9	410.74	721.77	771.03	1243.51	1077.99	633.23	1081.67	808.91	673.51	360.84	1139.11	1003.61	917.12	1217.68	613.62	1120.4	797.58	997.68	915.43	760.4	1106.8	590.63	832.81	474.47	635.62	619.66	678.23	592.3	1060.8	1391.94	1577.95	1565.88	2188.27	1064.7	1053.66	591.3	10.07	477.04	405.75	770.22	310.14	312.09
Romo1	67.28	83.58	419.66	73.17	120.0	106.59	232.14	167.09	433.92	142.36	226.51	107.09	168.95	89.27	329.29	298.31	38.89	173.43	163.44	108.06	110.72	317.28	110.11	214.38	279.9	257.1	278.54	270.64	323.83	266.97	156.31	72.13	225.5	301.72	127.61	195.68	199.61	49.99	389.58	475.27	159.82	124.91	183.45	172.99	336.97	70.31	108.14	243.66	118.84	166.11	263.44	78.8	77.76
Rpl22l1	965.44	314.61	834.68	31.65	124.99	251.58	562.49	305.77	240.89	586.29	306.78	460.75	52.27	299.72	351.57	396.03	476.24	568.86	251.06	522.44	301.23	1352.62	362.38	562.95	504.79	212.78	804.96	720.14	768.64	718.68	544.79	895.69	814.3	436.01	274.68	303.65	272.89	528.05	370.77	585.27	816.23	534.12	805.8	494.02	329.03	524.49	450.56	342.04	933.44	724.51	511.94	198.27	184.04
Rpl36al	232.83	322.8	506.91	355.23	204.73	206.34	314.82	427.46	410.53	387.58	270.49	408.05	386.64	239.24	611.51	225.17	204.02	246.13	141.96	294.73	228.69	353.66	509.04	368.65	458.76	140.59	407.58	345.18	497.46	393.16	408.11	402.71	118.24	235.25	221.2	261.02	260.54	447.12	416.25	393.57	409.1	310.26	434.88	258.12	211.79	111.82	167.05	206.18	152.25	126.68	262.66	149.61	145.15
Rpl37	428.43	198.77	569.13	307.92	243.43	244.56	354.01	193.71	168.28	286.09	184.68	201.98	277.15	135.16	433.87	542.55	226.88	388.46	366.72	380.15	287.56	625.76	508.17	364.36	443.61	219.22	434.75	509.15	447.7	364.45	509.95	376.91	461.71	347.35	187.4	263.82	244.04	224.34	345.25	447.28	315.95	379.99	292.17	407.44	252.25	346.53	219.01	268.57	283.35	278.51	171.16	188.27	191.15
Rpp21	177.68	306.17	483.06	89.06	6.97	295.64	132.24	100.34	313.51	205.42	146.34	34.79	0.0	0.0	514.67	303.82	142.23	415.48	308.09	56.11	154.57	785.93	313.7	137.56	358.77	147.35	75.6	21.52	206.4	243.05	348.41	170.88	286.95	277.99	162.86	170.17	156.8	59.23	495.63	364.85	685.05	27.33	112.57	429.96	160.43	242.39	0.0	158.45	285.02	186.5	86.47	34.69	28.43
Rps13	272.39	147.44	828.15	283.76	160.75	261.97	96.34	387.66	250.81	253.05	539.16	499.69	450.45	407.13	723.62	577.96	355.41	838.0	866.28	540.91	563.2	1338.6	1426.22	1214.98	648.58	315.31	820.0	352.79	586.49	702.88	809.7	677.46	643.76	532.04	307.02	388.18	339.11	212.74	944.9	357.9	671.06	898.28	609.96	714.6	588.9	379.32	569.73	559.27	397.82	569.94	294.58	258.78	245.57
Sec61g	321.79	371.85	93.49	176.91	244.25	95.61	288.16	172.07	171.28	325.81	311.89	102.87	165.65	62.84	291.47	119.5	163.82	238.19	224.58	306.96	213.53	454.63	366.79	303.8	172.38	206.47	221.59	332.9	342.95	230.97	300.19	308.36	281.51	287.68	214.78	237.58	213.17	90.93	434.27	606.73	610.97	326.54	194.52	601.7	453.81	289.31	143.71	230.84	141.39	339.02	154.7	42.18	41.71
Shfm1	638.24	396.17	330.7	187.24	309.5	638.17	348.77	359.48	249.77	929.09	291.92	250.84	54.53	794.34	639.57	631.28	197.96	316.31	596.57	380.22	384.79	908.65	287.9	759.89	552.57	251.16	723.81	507.47	553.89	665.87	683.22	674.85	129.55	631.01	372.67	422.86	431.52	250.32	358.35	593.86	449.26	1901.05	677.8	851.19	735.2	122.42	453.97	386.87	730.53	66.44	361.66	110.2	108.67
Snrpd1	386.2	333.3	276.35	285.87	133.91	98.51	360.64	263.23	334.31	214.32	403.62	263.04	119.99	103.7	451.82	418.32	106.0	407.02	282.7	127.67	573.3	1.68	211.14	296.2	229.01	305.86	148.66	291.16	344.27	375.1	467.44	296.29	162.99	380.5	196.25	200.54	219.4	0.0	139.08	0.0	265.83	549.11	146.39	341.12	322.16	302.17	183.84	533.27	313.07	376.78	153.3	66.67	61.42
Snrpd2	179.98	539.3	908.36	263.55	58.51	165.88	273.56	388.27	210.25	538.71	226.5	239.46	361.6	390.28	594.15	545.55	271.48	309.28	325.02	308.64	430.87	788.38	247.28	501.47	575.76	291.82	657.91	433.26	507.7	247.11	276.56	461.7	870.62	409.5	285.84	343.36	335.0	432.25	473.19	1305.56	811.03	191.71	206.27	570.34	496.48	90.0	189.08	98.86	568.0	511.81	93.97	143.08	145.92
Spag7	339.71	659.59	409.35	243.96	480.25	247.53	1.47	103.04	2.68	211.03	488.76	140.03	448.07	1.45	116.45	1070.33	199.45	192.63	373.4	419.43	211.59	1003.84	473.03	130.21	930.06	153.37	273.74	140.67	215.83	70.41	251.28	268.92	593.83	363.16	229.26	289.67	250.31	176.56	167.48	153.95	286.98	609.76	591.33	263.42	420.13	0.0	173.0	434.98	318.05	142.48	192.19	55.31	49.75
Srp14	796.0	457.67	583.72	134.76	335.54	282.2	156.86	497.36	0.58	563.1	520.93	383.51	394.06	189.6	874.05	309.15	364.18	1072.29	433.07	751.42	379.27	944.25	871.27	219.86	553.9	1026.02	873.26	354.55	638.01	684.63	674.68	379.16	328.54	487.6	483.62	476.98	436.36	493.74	356.15	891.9	889.98	1203.25	953.99	1054.63	227.24	621.52	393.73	256.83	531.9	586.99	664.21	157.43	156.39
Srp19	135.49	432.92	240.26	118.2	118.78	134.12	172.84	363.46	134.38	242.95	235.35	120.72	127.32	20.73	198.24	176.58	240.38	395.28	105.34	235.81	577.35	2.25	89.77	200.53	167.65	262.8	381.46	20.03	314.56	264.39	238.65	218.45	195.53	327.79	207.24	290.6	253.4	21.1	60.6	126.98	129.85	34.26	312.67	645.81	352.3	40.82	201.27	259.13	204.28	180.99	131.63	58.71	61.8
Sugt1	265.69	378.26	56.98	346.54	278.95	0.95	361.81	201.13	88.26	295.2	195.12	228.01	424.84	59.17	260.68	188.42	12.97	120.96	51.27	390.68	244.93	209.58	224.69	34.0	172.44	202.11	56.16	100.45	99.85	197.4	89.54	82.25	338.04	186.4	163.23	153.91	173.79	95.78	363.94	0.0	251.79	240.84	373.48	278.31	57.79	33.98	220.47	225.76	211.73	374.11	235.13	75.37	72.91
Sumo1	834.03	910.83	1492.79	269.66	919.17	662.72	258.32	810.37	746.85	993.82	618.61	853.43	470.77	651.86	874.71	723.52	924.4	1096.81	1314.67	887.23	960.74	882.1	1438.1	728.2	877.32	1098.8	1052.79	873.59	1104.1	1215.58	1521.64	711.41	1096.86	944.73	1094.05	908.56	886.05	949.23	1200.4	861.61	580.99	1041.09	533.61	2390.16	1879.69	1285.21	1129.19	1337.4	845.92	626.31	721.54	158.31	146.13
Swi5	351.5	462.16	925.24	761.27	356.79	379.12	970.37	740.39	239.88	473.26	594.66	731.49	341.7	392.77	882.29	570.09	571.6	591.06	706.29	735.78	774.2	722.15	817.59	650.43	708.59	300.28	510.32	404.6	350.32	412.25	513.39	486.37	543.3	741.73	382.52	381.72	377.73	1059.35	581.48	929.21	761.55	1004.64	1007.0	2065.31	756.9	637.85	633.64	412.28	986.98	421.59	533.71	176.57	175.79
Tceal8	129.13	73.19	94.69	55.38	134.28	115.44	328.58	69.63	105.86	1.75	80.48	86.04	102.04	287.14	303.23	168.81	38.06	40.53	0.0	153.28	133.03	182.32	185.7	99.94	100.64	125.28	218.26	172.62	105.54	92.13	160.58	122.32	194.85	77.4	102.87	89.19	81.37	149.08	166.19	244.19	202.15	76.86	196.27	95.74	109.84	61.6	87.32	162.0	144.01	138.78	113.08	35.8	35.37
Tceb1	570.96	777.04	759.61	710.33	504.2	439.12	652.02	700.34	708.48	578.22	643.84	286.15	554.19	596.54	609.48	10.43	282.15	325.17	207.75	328.12	467.8	646.64	514.67	446.68	383.93	518.54	771.83	573.21	539.04	835.38	730.92	605.73	752.4	619.88	646.38	448.28	448.54	575.34	966.75	817.36	353.82	800.28	866.62	493.81	922.59	732.81	553.95	682.54	496.07	955.32	739.23	158.72	148.32
Tceb2	653.26	537.3	1146.28	596.39	550.01	820.56	501.82	600.06	932.27	915.37	401.47	505.54	654.36	520.72	1158.48	875.46	504.38	1010.94	476.87	1095.18	836.79	1305.43	2290.45	900.79	1371.45	763.48	1191.31	783.25	1275.36	1464.99	1431.78	1241.14	651.79	907.8	664.54	894.44	848.57	1067.95	1273.99	1193.91	1334.06	655.97	993.15	713.95	1003.32	634.57	718.68	841.95	500.75	781.34	991.11	298.62	312.44
Timm8b	726.32	620.58	393.81	311.61	470.81	387.26	447.48	242.01	357.65	377.93	714.8	667.25	468.55	464.4	318.7	767.11	470.93	737.9	523.82	831.1	413.4	723.93	813.57	676.8	747.78	452.23	1069.23	886.47	868.19	934.57	806.38	1043.83	265.36	846.89	533.83	562.37	586.71	234.41	960.45	1076.91	1450.31	589.78	1673.89	1124.91	558.71	792.41	662.8	322.19	457.66	739.55	502.95	133.62	136.76
Tomm6	272.65	139.8	535.69	151.66	225.52	229.49	239.86	153.21	308.08	264.18	239.53	162.53	206.24	169.33	481.84	351.62	185.85	303.37	309.41	473.0	125.13	290.28	277.58	235.17	223.88	236.19	331.72	381.22	417.23	430.09	404.34	366.84	182.56	332.72	235.74	264.8	257.19	308.35	297.98	171.39	371.29	400.94	314.24	255.22	379.55	211.58	343.86	92.69	282.05	335.14	182.23	97.03	100.85
Tomm7	191.2	117.99	101.41	144.73	86.59	89.56	284.06	200.93	37.82	61.17	144.97	208.33	185.03	197.45	243.17	314.65	145.92	380.12	212.15	122.85	111.3	253.23	239.14	170.2	291.14	93.73	225.24	144.54	252.25	240.72	257.78	245.67	153.38	178.99	138.14	150.91	167.49	157.68	126.9	444.39	268.71	246.1	148.42	226.35	306.5	173.83	148.15	259.3	35.93	177.46	104.53	44.49	50.43
Trappc2l	410.04	301.1	287.34	309.34	264.27	294.3	567.2	650.96	1278.55	587.27	653.16	184.77	749.86	492.4	990.52	0.0	519.46	434.56	182.31	286.48	126.18	953.31	457.72	978.11	901.38	404.73	882.95	334.32	516.32	641.09	708.74	806.09	403.4	333.29	317.38	348.62	291.94	166.85	1137.2	411.99	1094.93	878.44	477.01	950.86	0.0	207.35	618.19	0.0	465.49	1028.92	304.68	80.01	74.18
Ubl5	72.49	105.68	149.56	69.3	60.15	67.26	129.82	105.14	155.98	81.34	83.34	92.74	134.08	67.38	138.83	205.27	77.17	161.19	131.14	287.97	109.15	268.76	196.67	196.46	123.91	96.13	99.32	168.49	161.63	135.19	131.37	175.07	108.84	112.55	71.26	94.63	75.69	115.01	138.07	151.63	197.94	124.85	233.37	217.17	99.98	105.2	106.98	28.72	71.02	125.92	78.45	68.02	68.74
Uqcr11	554.24	783.38	2778.13	831.4	627.57	1427.11	1486.09	1350.87	753.1	1689.09	704.52	647.3	555.22	425.09	2100.78	1554.68	1204.82	1896.48	1775.97	1350.8	1372.4	2187.76	1851.39	1376.21	2156.71	792.14	1097.74	1526.61	1786.42	1922.66	1858.12	1720.95	611.11	1497.88	936.37	1278.22	1434.27	1021.33	793.33	1788.18	1253.81	1211.79	1697.46	2506.11	779.67	1015.28	1716.7	461.37	880.49	777.39	471.35	244.68	267.69
Vps28	729.11	582.11	484.04	523.43	303.87	471.92	372.25	502.68	620.14	562.19	302.89	445.11	283.08	181.32	1154.94	735.33	484.44	467.48	0.0	499.58	572.68	1167.83	1342.66	198.7	740.72	568.97	1069.14	551.12	579.07	408.37	740.77	943.26	293.07	443.84	554.87	604.19	601.15	777.77	831.11	1559.9	751.01	178.26	874.47	963.43	433.37	1228.14	733.73	449.3	735.22	1056.52	619.3	146.74	139.94
Vps29	296.66	1239.47	716.65	1045.41	952.14	115.72	715.92	477.14	440.35	484.24	519.56	584.53	518.8	355.27	931.61	598.08	468.54	279.59	771.19	1243.45	383.46	775.04	668.18	781.88	1092.87	1147.93	973.63	953.6	967.64	786.26	813.61	1488.56	368.99	636.44	873.79	759.94	778.96	472.69	861.57	2019.65	1358.32	558.07	485.7	942.41	1687.36	272.23	1047.34	854.65	732.31	740.26	490.4	155.53	156.19
Wdr61	170.39	150.04	338.96	588.99	578.7	167.29	186.88	270.26	297.01	204.83	138.7	385.09	466.44	0.0	545.65	198.77	494.57	144.27	147.01	833.98	55.65	81.02	0.22	282.64	240.03	160.73	104.72	439.76	279.03	341.62	200.43	428.75	276.12	275.12	288.85	342.26	339.85	226.13	824.1	12.1	267.51	894.78	424.34	908.84	0.0	568.61	381.05	741.97	387.74	0.0	308.27	50.18	48.77
