	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Ctgf_tdTpositive_cell_12	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_68	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nos1_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rbp4_tdTpositive_cell_173	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Gm1976	0.71	0.7	16.01	224.81	59.96	199.41	62.03	24.19	0.32	6.78	1.68	0.0	64.46	113.08	35.95	173.81	27.76	52.61	77.11	0.69	43.31	1.39	0.0	103.84	7.94	0.57	95.82	0.23	0.54	184.81	426.28	0.7	0.2	8.25	141.05	85.37	10.48	149.36	343.78	172.22	0.62	134.45	128.16	122.95	206.65	208.78	371.92	76.18	121.61	5.05	1.1	0.14	1.55	0.0	0.0	28.76	2.82	0.0	0.28	0.0	0.0	2.84	434.37	10.05	159.51	93.47	2.72	564.25	121.75	44.7
Hlf	1.71	0.0	0.0	61.97	86.34	217.36	24.93	48.4	121.76	73.39	243.99	0.44	41.27	2.83	94.15	178.93	196.36	154.36	80.06	107.66	122.99	132.54	0.09	23.93	0.0	0.0	173.08	0.0	141.39	92.76	59.68	26.43	39.34	87.62	74.68	132.29	29.23	123.37	154.92	11.3	115.87	79.8	97.18	291.2	305.43	46.56	124.94	337.22	64.73	35.37	149.33	0.0	0.08	0.0	73.65	108.86	104.85	0.0	0.0	0.0	0.0	57.61	56.94	225.17	0.05	58.92	36.08	0.05	0.0	2.01
Itpr1	1.61	0.0	7.85	5.78	11.61	0.74	1.22	0.58	29.64	20.21	6.86	0.0	0.18	14.84	21.57	44.4	2.15	26.36	42.93	12.94	27.4	0.07	0.0	108.49	0.0	0.06	2.9	0.0	1.73	39.13	4.27	0.13	19.89	70.67	93.79	15.07	9.23	13.82	80.52	0.07	9.53	58.67	22.91	76.32	95.43	58.56	1.12	0.3	86.9	36.62	82.9	0.0	0.04	0.0	30.45	60.22	0.0	0.0	0.0	0.0	0.0	0.24	0.07	45.25	31.17	28.51	8.05	66.15	30.12	0.0
Kif5a	144.04	6.8	13.5	132.4	37.5	32.41	20.36	0.74	57.36	67.84	0.64	302.56	104.56	64.45	69.6	108.86	23.89	98.09	138.99	22.49	8.4	0.0	47.31	194.16	0.0	7.28	178.97	0.0	83.9	36.95	2.12	0.2	14.93	8.89	67.93	28.36	58.1	232.86	64.95	0.0	141.42	108.76	74.08	47.18	192.8	35.73	39.18	86.38	78.68	59.73	69.85	0.0	0.13	0.0	71.14	99.2	36.69	0.0	0.0	0.0	0.07	121.04	21.44	0.51	22.56	0.0	0.11	8.39	0.38	0.26
Mboat7	83.53	0.0	0.0	30.18	82.46	0.0	0.63	48.67	0.0	32.58	11.04	0.0	48.14	0.12	0.0	0.13	18.41	19.46	83.05	22.42	27.04	54.83	49.7	7.56	0.0	0.2	89.5	0.0	8.24	0.0	29.58	0.0	8.0	19.55	39.96	56.22	9.61	27.59	52.25	0.0	101.5	11.87	25.33	0.0	4.41	0.11	0.0	0.13	25.97	19.9	15.13	0.0	0.0	0.0	80.29	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.21	1.37	66.96
Napb	457.8	0.17	659.93	572.15	287.68	261.99	310.02	93.58	647.37	431.25	228.68	2.05	292.02	708.59	568.62	732.28	415.45	452.6	877.37	321.78	342.83	317.3	92.92	312.78	0.15	2.55	466.83	0.0	352.82	1095.81	640.73	79.01	139.29	632.08	628.9	674.67	656.59	779.84	521.95	164.39	205.33	533.46	529.73	1007.17	680.32	696.36	221.34	18.65	251.83	394.35	556.24	0.07	1.05	0.0	616.74	541.92	554.86	0.0	0.0	0.0	0.0	459.48	83.78	519.68	144.19	112.5	194.47	283.84	233.46	179.74
Nmnat2	131.12	4.34	67.74	128.54	148.25	151.13	46.75	90.43	37.38	323.91	5.29	11.04	177.28	179.58	244.87	111.21	132.51	242.24	147.3	201.17	19.23	92.49	39.88	114.75	0.0	1.15	88.2	0.0	287.57	296.03	88.46	2.8	229.78	115.2	277.67	214.7	70.03	272.23	35.47	157.06	15.69	128.48	100.29	319.49	259.53	39.33	243.24	84.41	185.44	94.39	167.73	0.22	0.19	0.14	84.68	174.64	283.19	0.0	0.0	0.0	0.0	87.12	239.38	82.16	19.07	31.05	37.9	73.43	93.78	62.84
Nolc1	0.0	0.0	1.26	146.5	0.0	133.65	69.6	1.0	0.0	0.0	0.0	120.77	54.26	1.56	42.8	35.92	0.61	29.84	96.74	50.21	0.0	103.37	2.64	73.22	0.0	0.0	175.1	0.0	34.95	79.19	44.93	131.84	32.73	10.63	59.6	89.52	0.17	125.56	42.2	56.68	50.81	21.17	10.88	143.67	0.56	20.72	39.02	85.43	20.62	160.08	61.44	0.0	0.12	0.17	74.95	27.29	20.2	0.0	0.0	0.0	0.0	66.05	49.68	85.83	9.67	108.18	7.77	7.45	42.97	59.8
Olfm3	0.0	0.0	0.0	402.62	67.36	52.02	121.35	125.3	0.04	168.25	0.0	882.08	0.0	0.0	40.51	66.91	65.33	169.12	146.04	0.0	0.0	585.65	0.0	253.46	0.0	0.0	406.12	0.0	1.49	21.54	370.48	0.0	0.09	0.0	302.37	106.79	103.75	185.46	0.71	160.98	17.87	126.62	82.82	439.48	620.48	62.08	0.0	491.11	54.48	74.83	207.95	0.0	0.0	0.0	0.0	30.77	146.6	0.0	0.0	0.0	0.0	730.39	331.76	241.26	0.0	3.99	0.0	5.44	63.97	0.0
Pclo	21.83	25.72	2.39	21.14	6.32	49.44	69.43	16.53	9.81	30.83	32.52	7.21	37.62	26.33	28.68	28.55	21.73	26.98	52.02	4.94	61.38	15.44	10.62	70.05	0.03	5.59	29.96	0.3	96.39	49.98	41.46	28.97	9.33	26.47	24.61	13.95	19.36	73.51	44.68	37.09	79.72	63.35	50.26	47.86	81.59	80.48	59.31	56.39	76.88	35.56	34.57	0.02	0.0	0.0	94.11	46.58	49.18	0.0	0.39	0.34	0.0	42.65	24.69	44.99	23.99	15.07	10.0	10.94	21.08	16.79
