	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
2010107E04Rik	0.0	473.51	708.07	1057.93	0.5	845.16	617.52	1245.7	0.0	395.0	13.42	1060.28	3186.93	1476.71	789.91	1258.23	2999.39	1375.1	1113.02	2548.89	2590.8	3175.38	1892.83	2239.16	3.8	354.85	1.5	0.0	0.0	0.0	0.0
9030624G23Rik	0.0	0.0	0.0	8.25	0.07	2.78	0.0	1.08	0.0	0.0	0.0	0.0	0.16	3.51	70.39	0.21	6.56	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anxa5	0.0	0.0	0.0	0.0	0.09	0.0	0.0	103.46	0.0	0.0	375.0	138.55	0.0	0.0	0.0	183.45	0.0	45.2	0.24	0.67	0.5	104.01	0.0	0.1	0.0	0.14	0.0	0.0	0.0	0.0	0.0
Atp1b1	0.0	0.0	69.03	246.98	0.13	133.33	205.66	1.16	0.0	0.0	3.92	347.13	1349.78	1596.64	1298.39	365.27	754.63	726.59	1135.21	1247.6	739.91	1789.1	729.54	1221.19	49.81	0.2	0.59	0.0	0.0	0.0	0.0
Atp5e	645.95	299.22	505.93	480.98	646.49	433.98	669.24	295.73	0.0	391.66	11.57	265.01	1962.12	1207.47	511.63	550.18	1451.55	1039.93	655.65	614.94	1022.13	703.95	556.72	1171.97	170.29	359.57	314.59	313.12	0.0	1.69	150.21
Atp5g1	453.23	326.75	718.1	441.79	0.21	997.57	501.4	299.11	206.86	541.1	13.91	1184.96	2818.55	1241.85	2228.9	1060.66	1360.4	1606.93	1465.77	2829.17	2094.9	2720.85	2606.73	2172.36	425.56	220.78	603.6	0.0	188.88	0.0	0.0
Atp5g3	0.0	566.67	705.0	215.7	0.25	712.78	81.8	299.93	0.0	177.33	9.94	945.02	1757.07	1979.71	1479.85	597.06	2835.13	1498.06	1393.55	2179.34	1865.17	2698.99	2382.57	3032.33	1643.28	221.11	291.13	71.12	1037.17	0.0	195.45
Atp5j	758.55	0.0	1320.38	991.07	1457.52	721.37	209.49	546.47	52.14	525.78	99.96	1071.13	2682.67	2309.11	1235.13	1195.49	2578.61	1427.37	1517.84	2013.02	3031.74	2732.25	2836.55	1490.13	0.0	50.91	539.63	198.02	0.0	400.87	515.64
Atp5j2	728.08	0.0	696.26	482.82	1056.9	851.94	627.65	348.5	220.64	402.78	9.83	1343.61	2406.75	1015.34	822.58	824.45	2000.12	919.05	1566.16	2316.64	2165.69	2005.11	1476.23	2039.46	5.57	438.08	0.55	937.96	0.0	318.34	63.54
Atp5k	0.0	0.0	541.82	854.19	278.54	796.83	743.5	442.71	171.96	210.9	4.4	614.72	1756.14	1899.82	1079.9	915.5	1580.51	1066.54	1080.88	1247.6	1645.26	1406.31	1594.85	1728.4	536.05	853.51	457.64	63.32	0.0	445.47	56.53
