	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_11	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Sst_tdTpositive_cell_56	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_6	Tac2_tdTpositive_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25
1190002N15Rik	0.0	0.0	0.0	0.0	42.8	38.76	0.0	0.0	0.08	0.0	0.0	76.59	0.0	0.0	39.27	99.74	0.08	0.0	0.0	9.44	35.68	0.0	6.98	31.65	0.12	49.4	13.4	0.0	0.0	0.0	0.0	0.0	2.53	44.59	0.0	80.77	16.48	56.66	121.59	0.27	3.35	0.0	14.7	25.92	46.09	24.69	44.12	34.67	0.0	59.55	8.62	78.8	41.48	64.17	66.14	54.94	0.0	51.4	0.58	35.65	20.93	28.75	33.32	0.0	1.57	4.42	0.0	0.0	0.09	0.0	27.9	50.71	31.44	18.06	68.99	25.39	0.0	0.0	65.99	12.92	41.7	0.0	25.73	0.0	2.28	25.46	20.54	30.75	18.23	0.0	0.11	38.27	0.0	0.0	39.34	55.86	49.21	5.08	63.45	51.7	38.14	25.1	58.63	14.08	0.0	3.38	1.09	20.12	0.0	21.03	4.93	20.55	40.35	0.0	7.31	0.0	94.72	70.56	27.16	48.5	6.52	20.43	79.92	33.32	62.42	108.62	8.9	0.0	30.98	0.0	0.0	38.66	0.0	72.56	29.35	46.08	2.47	32.96	0.73	7.17	35.48	52.46	74.37	2.28	0.08	61.31	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	44.63	96.79	38.91	0.0	0.0
1500032L24Rik	0.0	0.0	215.26	0.0	146.87	224.65	0.0	61.91	295.53	217.18	75.26	108.94	160.37	296.15	298.47	197.61	690.67	0.0	6.09	118.18	159.97	117.91	108.29	0.7	175.38	155.38	96.55	0.0	967.95	0.0	0.0	0.0	273.76	100.18	150.2	35.47	250.43	119.94	322.84	172.42	132.68	228.59	150.09	21.42	277.62	103.89	515.16	124.16	270.91	271.77	181.33	122.26	174.93	235.28	232.43	299.38	0.0	167.62	143.8	138.55	92.95	380.03	416.11	234.85	38.68	295.69	41.65	216.88	412.47	190.92	297.9	205.5	438.01	255.4	162.69	179.53	267.88	103.39	127.48	91.53	77.28	12.48	135.22	333.32	298.92	217.94	145.96	302.81	289.56	91.29	236.56	172.42	288.14	126.04	193.96	302.84	228.45	263.04	230.71	88.72	232.72	196.29	213.87	218.99	56.73	262.84	343.87	203.64	129.35	351.37	352.32	205.35	350.03	102.07	367.39	302.11	252.65	165.54	249.96	444.38	100.44	115.94	141.54	226.93	280.2	21.02	234.49	161.05	33.9	157.87	12.09	284.63	614.71	47.17	279.0	243.39	102.46	204.18	254.54	0.0	313.42	149.8	296.02	127.76	120.02	330.94	0.0	1.3	0.0	0.68	346.56	1.25	0.0	233.31	143.8	216.58	127.76	31.54	3.3
1700020I14Rik	0.0	56.82	140.52	92.06	306.46	195.75	0.0	0.0	157.31	231.43	117.41	390.31	81.57	84.65	194.82	173.57	172.75	0.0	0.0	142.89	58.04	124.55	141.94	80.93	44.58	42.83	220.59	0.0	0.0	0.0	0.0	0.39	217.69	188.16	235.74	345.79	256.81	266.72	302.28	125.82	225.23	331.28	174.76	243.29	141.62	406.99	74.63	297.51	197.67	247.29	168.46	359.46	268.64	329.47	197.44	172.98	410.03	160.72	135.41	323.82	165.51	208.25	243.7	141.04	154.44	282.82	180.93	221.63	184.64	66.94	119.85	238.3	274.39	63.86	151.03	274.08	199.2	211.49	129.46	182.36	152.58	219.9	146.54	137.18	184.94	431.98	324.97	181.85	317.67	165.77	174.85	374.66	236.12	308.54	263.24	246.6	345.73	165.76	69.2	67.26	178.15	254.35	203.67	295.19	47.86	138.06	40.7	292.83	226.69	81.18	87.09	67.0	170.04	184.56	171.91	83.98	160.81	166.13	381.12	198.34	319.51	318.5	256.18	209.46	78.92	322.95	254.04	253.58	355.38	603.64	123.29	283.08	67.17	240.44	361.35	511.54	220.03	206.75	144.8	201.45	210.18	115.26	258.17	205.39	16.19	138.19	0.0	0.52	0.0	0.0	0.0	0.0	117.39	112.04	154.02	175.52	245.41	26.73	65.76
AI836003	0.0	0.0	153.78	0.0	7.18	11.94	0.0	0.0	1.18	11.52	118.02	2.79	33.67	0.0	0.0	0.0	0.0	0.0	0.0	54.94	0.18	0.0	32.51	2.44	0.0	0.0	44.28	0.0	0.0	0.0	0.0	0.0	28.1	70.08	101.5	51.9	33.24	15.6	123.24	0.23	7.88	22.19	21.92	19.36	59.59	95.17	0.0	34.3	113.14	3.41	255.74	21.45	123.62	0.35	111.64	75.96	30.91	46.0	191.91	101.44	107.22	7.65	0.0	41.2	4.89	0.0	2.42	0.0	1.21	147.96	17.68	44.88	13.23	15.87	42.61	85.56	40.21	48.91	76.11	17.18	92.68	0.0	28.55	61.13	61.13	8.77	139.95	12.67	192.74	12.76	97.31	147.0	74.11	11.01	206.63	1.73	98.85	0.0	145.56	35.33	160.55	96.94	137.25	50.89	53.21	40.32	23.18	74.74	0.0	26.74	101.67	98.91	0.2	89.41	35.96	95.4	0.16	0.14	101.81	122.49	1.12	32.9	9.68	3.12	23.66	127.89	0.51	58.27	69.21	94.67	126.25	116.74	4.37	74.84	0.18	97.81	3.27	79.47	123.69	129.91	69.61	0.0	82.18	0.0	143.59	7.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.97	1.1	0.0	99.26	38.99	0.0
Ank	0.13	69.12	79.73	0.0	55.83	76.58	0.63	0.0	28.82	0.0	0.18	60.27	53.46	36.42	8.59	0.63	0.0	0.0	81.4	34.84	72.87	79.92	68.38	121.04	44.56	74.56	46.09	0.0	0.0	0.0	0.0	0.0	80.66	81.81	1.13	83.68	227.29	88.31	68.09	58.01	41.66	6.87	121.05	10.02	50.83	114.14	55.97	98.39	137.08	55.69	132.76	38.71	93.4	148.04	119.23	150.4	219.19	174.04	84.49	39.08	40.83	65.24	12.15	111.8	73.46	141.88	148.73	3.21	79.37	89.15	83.54	85.86	0.32	234.87	181.92	80.38	87.47	60.53	137.81	164.64	116.63	14.15	41.79	136.53	145.86	75.18	62.81	140.71	94.53	128.44	102.86	33.17	72.43	39.72	72.33	104.33	47.91	26.84	50.82	90.53	82.46	30.59	51.84	211.92	173.07	117.33	89.43	91.52	38.87	97.86	151.23	70.43	38.59	108.44	156.15	104.77	200.36	228.79	91.87	85.63	24.17	87.76	90.38	150.97	30.47	6.68	187.16	121.53	115.28	103.19	103.94	20.38	15.44	89.61	98.05	52.16	20.08	189.45	209.05	4.64	98.73	0.11	0.11	137.62	168.84	122.45	0.0	0.0	3.01	0.21	0.12	0.0	0.0	184.43	98.05	102.85	35.74	1.53	127.24
Atp1a3	0.12	158.52	710.86	188.26	459.12	663.88	0.0	0.0	415.31	56.58	395.28	498.47	402.0	163.57	666.94	618.29	0.08	0.07	0.0	585.22	552.81	90.48	370.56	1010.4	350.72	733.26	515.79	0.42	0.96	0.0	0.0	0.46	527.8	425.42	283.1	423.25	389.58	385.07	325.33	337.2	495.91	590.39	506.89	616.8	418.19	525.64	446.84	282.77	329.14	420.98	350.81	389.71	293.81	332.55	566.76	335.47	310.84	220.73	458.89	449.16	419.08	564.42	360.99	339.99	502.35	550.43	235.24	433.12	789.48	577.1	553.55	522.65	443.81	824.32	628.87	574.68	478.02	332.41	603.76	1083.73	573.8	492.44	538.83	604.28	667.81	419.84	588.81	1029.09	594.6	485.37	541.34	697.73	606.48	404.61	242.69	344.24	678.67	274.65	371.54	554.33	543.14	560.21	513.24	421.19	397.64	581.6	693.05	728.81	579.5	826.32	966.58	722.19	653.61	843.26	568.27	699.36	926.61	582.99	540.55	681.67	592.06	808.83	403.82	742.09	420.12	665.56	763.16	694.98	623.12	750.99	546.93	727.39	655.42	834.24	679.08	560.68	591.37	1214.27	1318.82	779.11	771.94	700.81	615.38	558.12	652.71	753.93	0.0	0.18	0.05	1.6	0.21	0.0	160.77	647.34	476.74	488.47	572.17	172.57	203.56
Atp1b1	49.59	657.21	435.22	831.79	835.69	999.99	307.34	0.39	1442.18	448.2	1055.68	762.83	894.32	617.95	830.56	856.51	350.38	6.51	420.84	1127.82	927.39	741.14	955.44	1160.16	1032.27	1314.82	1263.02	79.2	66.78	164.25	0.0	137.39	1446.77	1137.11	926.32	1340.72	1097.7	1481.57	1225.14	1248.46	1259.52	1014.07	1133.42	882.38	1077.93	1353.64	703.67	1069.96	498.97	1187.8	839.76	1291.63	965.4	893.23	1693.2	912.42	803.46	1007.25	972.86	1206.56	911.76	1212.26	695.36	877.85	1249.98	785.01	823.83	660.54	1457.81	580.35	833.29	660.81	790.35	1123.54	770.7	841.67	909.12	980.91	1249.07	2100.2	1203.59	802.3	1066.64	813.95	1098.73	779.9	1091.64	1693.47	1205.41	1114.71	919.28	1133.43	1181.31	806.75	1013.91	791.87	1378.46	726.59	747.29	872.35	1216.09	1110.74	1110.74	1031.4	780.34	830.98	1104.98	1302.4	1390.78	1119.26	1127.41	1128.79	1086.45	901.19	1150.1	933.81	1215.5	1141.29	1190.55	882.73	691.55	1403.55	1025.16	1466.38	1240.62	1181.83	1377.05	922.97	1251.43	1007.57	822.94	1463.01	976.82	882.26	1476.55	1018.72	1291.92	2466.28	1352.0	1234.01	1086.3	968.14	820.47	1033.58	888.48	1069.1	0.0	0.44	0.0	1.37	0.34	0.0	433.56	1061.33	936.89	965.14	1589.8	887.78	419.97
Atrnl1	0.0	0.0	0.0	7.5	1.72	8.11	0.0	0.0	20.43	0.0	5.23	56.75	60.72	60.99	0.81	1.08	0.0	0.0	0.0	8.51	46.93	21.16	15.83	0.0	0.78	5.93	20.2	0.0	0.0	0.0	0.0	0.0	26.5	16.19	0.3	7.46	11.57	23.35	0.0	17.08	14.09	44.79	12.58	3.19	2.84	11.15	10.32	11.81	5.96	27.21	25.53	21.98	30.3	50.75	0.49	6.78	13.08	2.46	5.5	0.0	38.63	26.78	37.42	34.07	7.24	13.42	23.68	13.8	0.79	0.0	3.0	34.49	47.22	41.62	46.6	55.36	15.88	43.64	30.03	26.21	46.14	50.35	1.76	0.67	11.24	5.12	31.35	9.46	44.86	3.46	21.84	11.38	2.51	19.06	2.43	2.64	2.24	12.44	38.86	0.0	89.86	21.85	12.67	2.89	28.98	28.26	60.38	22.69	4.87	4.42	20.28	32.85	19.87	55.69	9.44	34.49	34.21	0.2	0.14	1.57	0.0	16.16	32.1	1.6	3.12	4.98	0.06	19.53	25.01	1.35	34.83	0.92	22.97	18.75	28.57	35.07	0.13	38.49	37.44	49.88	1.43	1.95	13.97	37.58	25.08	26.53	0.0	0.0	0.0	0.0	0.0	0.0	34.95	45.19	1.58	32.15	68.86	0.0	0.0
Brcc3	0.0	7.16	168.83	31.68	211.38	74.4	280.0	0.42	383.48	155.9	154.9	268.64	222.63	324.85	480.65	169.01	0.27	0.0	0.0	150.25	423.92	0.0	432.82	123.58	56.23	182.02	316.56	0.0	1.14	0.0	0.39	1.08	101.7	260.85	304.2	508.51	243.33	423.83	137.61	305.55	67.04	164.76	441.93	468.19	52.79	380.55	32.74	218.61	216.96	279.83	105.59	277.72	107.74	302.67	433.07	359.31	46.14	0.0	93.46	130.57	348.39	80.41	533.49	213.44	110.52	85.79	113.4	184.48	501.4	274.02	46.23	129.35	215.44	198.56	248.21	135.75	170.9	405.57	225.51	238.87	223.47	4.69	158.17	73.26	319.18	91.76	233.12	134.82	77.61	210.9	68.05	190.95	131.31	104.34	219.62	309.03	240.75	130.47	0.0	210.99	130.08	381.36	256.68	263.44	190.19	52.84	64.4	173.72	82.12	0.0	357.1	191.14	97.28	237.98	231.69	84.68	328.78	50.32	245.66	176.76	173.9	370.9	81.76	70.03	239.76	175.59	253.38	500.55	179.04	328.4	203.87	10.69	510.63	147.3	110.4	268.83	236.57	229.13	286.61	218.8	180.95	145.31	155.01	450.9	112.64	383.99	0.0	0.32	24.31	933.14	505.77	0.0	130.21	207.52	206.27	127.46	88.23	0.51	178.59
Btbd2	0.0	101.37	0.0	0.0	28.8	0.0	0.0	0.0	34.79	27.27	34.08	1.73	8.71	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	15.44	57.57	0.0	0.0	28.08	0.0	0.0	0.0	0.0	80.85	12.71	6.47	0.0	0.0	1.01	1.02	0.0	3.95	0.0	0.0	0.0	0.0	0.0	0.0	43.08	1.34	0.0	10.45	24.96	0.0	21.28	0.0	2.78	0.0	0.0	0.0	27.83	0.0	0.0	22.21	0.0	25.51	19.34	0.0	0.0	0.27	0.35	14.63	0.0	19.06	1.36	23.79	2.91	0.0	0.1	27.5	2.12	32.39	0.0	0.0	0.05	0.0	49.77	0.0	0.0	36.02	13.19	4.6	0.14	33.23	2.1	2.26	0.0	0.14	59.77	21.5	0.0	5.39	0.0	0.18	0.0	5.29	0.0	22.42	0.0	3.08	0.0	0.0	1.05	0.0	23.74	0.0	0.0	19.76	15.51	0.0	0.0	0.0	3.21	0.0	0.0	39.57	9.44	17.02	44.3	4.61	0.0	0.0	0.0	0.0	0.0	0.0	0.95	56.76	75.95	0.44	23.4	52.5	19.42	24.57	0.66	60.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.86	12.08	1.81	13.93	0.0	0.0
