	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_56
100043387	71.77	36.79	33.13	0.0	46.64	0.0	0.0	0.0	27.48	0.0	22.7	29.24	49.87	9.45	22.18	0.0	20.21	10.75	14.69	0.0	0.0	0.0	87.49	134.86	41.67	87.34	48.87	30.06	61.84	76.25	29.18	26.56	30.15	49.81	107.36	15.07	41.18	58.12	33.49	52.71	8.22	72.08	50.54	57.89	29.58	17.46	23.05	44.37	36.35	16.16	51.13	50.9	25.16	3.53	69.47	36.1	22.48	30.9	29.0	17.15	20.08	22.24	15.17	83.56	95.95	41.4	25.72	27.91	26.49	46.12	40.8	40.29	8.55	18.65	9.79	15.52	54.25	42.55	35.5	10.38	13.65	33.33	8.45	35.92	18.81	35.92	9.95	0.0	0.0	0.0	0.0	0.0	0.0	25.13
2810432L12Rik	25.66	0.0	52.07	3.85	187.08	0.0	0.0	0.0	5.9	0.0	73.83	110.39	97.45	0.0	0.0	0.0	0.11	52.52	76.63	0.0	0.3	0.0	88.92	115.62	62.39	16.62	80.41	101.82	85.12	69.25	0.22	36.79	170.52	37.94	231.86	42.21	50.09	91.79	69.74	97.06	94.38	55.63	43.83	156.55	66.61	122.95	76.72	114.41	0.0	69.44	77.6	88.02	59.5	91.35	149.68	43.02	83.35	148.75	140.47	28.4	94.88	0.97	93.8	85.65	7.97	49.09	158.11	69.42	1.83	0.6	67.81	48.02	92.06	145.14	138.34	93.12	223.39	65.56	247.56	134.3	47.69	12.98	50.39	46.97	174.58	1.81	37.88	0.0	0.0	0.0	0.37	0.0	0.0	144.5
4632428C04Rik	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.79	0.0	31.17	1.8	0.09	0.19	4.6	0.0	0.0	0.0	0.0	0.0	0.0	14.16	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	15.99	0.0	0.0	2.38	0.0	5.68	0.0	0.0	0.0	1.86	0.0	0.15	0.0	0.11	0.0	15.84	0.0	0.0	0.0	0.89	0.0	39.62	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	1.68	0.0	0.0	0.0	3.51	0.0	1.62	0.0	26.62	0.0	0.0	5.3	0.0	0.14	0.0	0.83	15.65	0.0	0.0	0.25	0.0	0.0	0.0	0.57	0.0
5330434G04Rik	0.0	5.8	0.0	0.0	56.5	0.0	0.0	0.0	64.58	0.05	133.97	0.36	110.33	34.81	0.0	0.0	45.94	23.11	36.56	0.36	0.0	0.0	52.42	8.9	6.54	29.39	15.67	82.06	41.83	34.05	11.86	56.5	46.53	64.67	33.21	42.69	33.8	28.98	6.18	26.5	1.32	64.64	8.88	0.09	34.54	25.31	56.16	90.46	0.64	43.31	37.05	12.17	44.09	49.3	18.16	31.7	48.54	20.93	13.18	7.21	12.68	20.11	5.52	85.99	28.36	3.58	15.96	37.47	44.26	58.74	39.58	14.42	13.01	112.85	107.47	26.62	69.06	51.4	160.59	26.49	28.18	24.48	27.99	42.15	20.44	26.74	81.78	0.0	0.0	0.0	0.21	0.0	0.0	75.79
5730403B10Rik	281.64	227.59	181.47	253.55	209.1	0.0	89.65	57.98	194.81	58.04	239.52	197.06	137.54	535.47	0.22	0.3	140.5	315.41	316.42	167.11	71.36	104.4	233.93	129.67	206.6	307.16	423.81	291.41	391.4	219.11	68.92	340.42	226.35	250.89	278.62	266.88	285.17	168.14	197.1	204.32	81.01	410.23	218.75	21.68	112.27	228.09	392.53	297.66	207.67	353.46	269.72	342.0	269.34	335.9	198.39	464.88	368.27	184.92	406.3	233.2	294.7	99.4	253.79	257.31	84.55	253.66	194.58	388.88	366.03	307.02	237.29	234.2	383.63	393.68	226.77	204.75	356.36	110.0	333.84	346.41	121.84	420.27	395.46	298.52	370.35	141.22	182.12	0.17	0.1	0.48	137.73	0.0	0.32	275.1
5730494M16Rik	2.05	1.29	71.81	0.0	126.23	0.55	0.15	3.64	74.58	3.01	94.06	135.12	154.74	147.05	0.32	1.67	33.71	59.27	83.8	35.75	9.51	4.28	133.12	112.34	102.52	51.91	138.34	61.48	212.88	122.3	180.19	41.72	158.98	111.79	100.33	37.8	109.61	306.52	187.01	24.7	155.53	190.99	102.27	189.99	197.86	94.04	176.91	134.08	21.19	28.37	199.86	101.15	208.84	144.47	105.7	82.85	159.8	157.31	46.41	30.38	69.06	153.76	90.36	95.06	109.88	132.55	81.68	154.18	79.57	87.94	124.31	114.82	9.57	122.19	147.93	167.84	51.73	115.06	176.22	177.81	87.4	148.93	118.05	90.73	221.05	123.56	161.14	0.25	10.17	3.42	7.19	16.84	1.43	81.11
8430410K20Rik	16.6	40.58	47.14	4.57	149.24	0.0	0.2	0.0	125.29	0.0	286.53	432.12	373.48	356.33	0.0	0.0	34.87	187.12	137.45	0.09	78.08	0.0	195.76	88.34	2.82	26.36	39.4	270.18	144.11	160.99	115.98	156.05	241.61	58.08	225.92	161.64	95.89	113.97	169.37	1.97	90.64	41.96	152.36	414.9	128.43	49.84	211.34	110.56	101.44	104.62	194.75	62.96	264.1	89.29	90.74	165.57	129.04	166.61	15.75	123.36	107.9	20.3	99.07	139.87	15.32	50.64	50.06	107.1	2.39	108.28	69.61	81.52	95.26	66.4	140.48	77.96	155.45	1.74	247.85	171.3	30.85	3.84	52.18	78.5	121.7	113.09	104.03	0.0	0.0	0.0	0.54	0.0	0.0	144.48
A230056P14Rik	0.0	0.0	18.82	52.27	12.31	0.0	0.0	0.0	11.38	0.0	88.17	10.75	126.41	0.0	8.7	0.0	1.19	0.84	1.22	34.28	0.0	0.0	4.08	0.0	0.0	22.97	45.12	0.0	49.47	93.01	0.47	14.78	11.92	6.88	0.0	118.19	77.46	93.01	0.0	0.0	2.33	32.61	16.64	0.26	8.67	7.96	3.81	6.02	0.0	1.74	9.15	9.46	5.85	23.77	0.0	77.85	7.69	3.63	5.07	16.32	6.16	11.15	71.23	97.09	10.47	0.0	13.97	0.45	26.55	0.0	0.0	37.53	0.0	0.0	17.72	3.97	17.93	113.32	7.09	0.0	2.19	0.95	63.86	0.0	0.0	0.0	6.07	0.0	0.0	0.0	0.0	0.0	0.0	57.52
A330050F15Rik	0.0	0.05	115.47	85.27	12.46	0.0	0.0	0.0	33.77	0.0	133.37	0.0	0.0	142.56	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	25.66	0.0	9.25	71.27	16.12	35.37	5.48	59.63	146.24	0.0	63.93	10.2	35.47	0.0	44.7	37.11	11.64	11.47	0.0	0.0	8.5	6.0	0.0	0.0	20.08	1.61	71.79	18.09	116.69	2.81	50.66	0.0	0.71	38.89	72.89	16.62	29.52	34.94	18.49	1.27	0.0	107.94	88.28	82.08	3.99	0.81	133.29	0.0	0.0	48.12	34.21	0.77	3.83	0.0	86.63	0.0	2.67	7.7	9.56	69.26	64.93	0.34	78.49	13.6	114.01	0.0	0.0	0.0	0.0	0.0	0.0	7.75
Aco2	94.17	281.39	779.88	259.99	534.52	0.0	369.72	0.0	263.68	0.0	391.29	423.4	478.48	307.81	386.34	0.17	315.02	352.9	499.26	39.72	182.34	469.94	349.24	498.93	299.07	317.73	616.02	423.91	298.69	464.39	231.39	684.08	609.98	432.73	476.71	352.66	489.49	397.78	556.09	382.55	653.1	423.36	561.03	1015.33	778.06	565.13	441.66	643.98	225.58	609.49	772.35	365.08	320.66	530.6	530.31	914.54	1079.09	575.84	475.29	249.95	662.72	333.6	501.47	206.8	171.71	519.51	357.33	477.7	444.0	393.03	550.01	530.35	516.62	473.47	419.67	416.09	508.88	868.72	880.17	752.63	323.33	581.93	612.65	373.19	484.51	785.65	652.61	0.25	25.29	0.13	2.52	0.0	0.0	448.73
