	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Ccdc109a	50.33	40.92	0.0	79.67	0.0	84.87	0.0	24.82	9.5	0.0	0.0	0.0	0.0	29.65	0.0	0.0	39.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.19	28.71	2.64	77.64	58.03	54.71	39.72	15.6	41.43	54.45	0.1	20.37	45.5	11.65	38.33	14.0	26.32	132.79	27.95	0.0	107.31	0.0	39.49	83.83	41.54	56.99	0.2	2.45	0.0	65.94	8.89	8.84	53.87	28.87	71.38	83.86	0.0	0.0	0.0	26.59	65.76	27.01	29.46	7.74	20.16	26.29	0.0	12.64	37.13	33.5	21.9	7.74	27.0	0.0
Chodl	536.39	0.0	0.0	0.0	252.84	903.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	982.69	256.6	819.29	256.98	488.2	222.97	860.46	422.68	404.72	896.24	711.19	880.34	763.54	553.67	870.48	448.03	613.46	474.95	0.0	0.0	663.27	0.39	0.22	755.78	755.0	1003.23	0.0	654.9	834.46	598.31	734.0	370.77	308.64	473.67	206.61	1026.21	0.0	0.0	278.02	0.0	919.94	0.0	0.0	0.0	778.1	500.43	0.0	0.0	457.71	450.84	0.0	0.0	414.37	0.0
Chrm2	118.16	0.0	0.0	0.42	153.73	90.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.69	194.63	97.47	46.53	113.64	3.88	163.09	9.12	225.62	464.97	166.2	117.07	35.27	163.51	52.34	123.69	153.01	86.72	0.0	0.13	319.55	0.0	0.0	17.41	108.94	125.6	0.0	174.91	376.19	164.19	123.52	235.68	8.94	170.2	186.33	354.32	0.0	0.0	49.03	0.0	290.03	0.0	0.0	0.0	204.66	120.08	89.67	0.25	240.7	201.16	0.0	0.0	91.5	0.0
Col11a1	24.93	0.0	0.0	0.0	0.19	20.91	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.34	0.0	12.93	37.75	3.07	0.0	26.77	0.02	0.0	9.67	0.0	43.26	12.52	10.6	6.23	12.56	0.0	19.04	0.0	0.0	32.92	0.0	0.0	0.93	5.66	0.0	0.0	10.02	11.26	1.16	0.68	9.71	0.04	19.87	0.0	22.32	0.0	0.0	7.54	0.0	23.65	0.0	0.0	9.42	0.28	2.76	0.0	0.0	1.59	0.0	0.0	0.0	0.0	0.0
Col25a1	105.51	0.04	0.0	0.0	157.17	53.1	0.0	0.0	0.0	0.0	0.0	8.45	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.81	188.12	112.58	73.8	52.24	73.38	149.22	215.77	135.24	189.62	83.02	193.16	144.43	121.63	148.61	109.9	136.42	130.55	0.0	11.1	137.43	0.05	0.0	108.43	163.51	174.58	0.0	181.35	216.29	77.46	62.74	214.54	46.45	73.67	56.63	183.87	0.0	0.0	54.91	0.0	76.11	0.0	0.0	54.73	103.28	69.39	0.0	0.0	124.05	115.01	0.0	31.11	104.45	0.0
Crhbp	7362.95	495.01	2110.01	74.09	6339.49	8007.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.05	0.0	0.0	0.0	0.0	0.0	731.79	0.0	0.0	10382.36	7732.3	8618.73	8376.74	13129.11	7427.0	7498.9	13484.99	11786.92	8116.93	13619.24	9099.84	14829.4	11772.85	12350.96	8610.23	10536.89	8212.23	0.18	0.0	7354.85	0.2	0.83	9475.0	11364.94	8211.03	0.34	2934.61	7935.89	11440.08	11398.61	10468.61	11572.06	10497.6	11678.84	8467.4	0.0	0.0	12702.79	3482.24	13766.7	1069.07	4586.89	5894.05	9058.73	12082.35	0.0	1798.97	3594.21	9589.51	4843.07	6345.83	11803.92	0.0
Cygb	97.59	34.59	0.47	16.56	79.86	223.61	0.0	51.32	11.85	0.0	0.0	6.16	0.0	0.0	0.27	0.42	0.09	0.0	0.0	0.0	38.23	0.0	0.0	25.96	82.95	67.02	58.91	73.97	131.57	43.99	103.8	29.87	189.84	144.8	255.56	154.66	14.82	143.46	259.52	163.19	99.1	149.21	48.98	0.0	32.74	0.0	56.48	118.87	126.09	70.59	0.0	0.0	80.33	103.82	63.02	53.48	67.63	69.55	19.1	188.76	0.0	0.0	234.2	4.15	213.92	0.0	36.57	15.78	87.17	122.29	2.81	1.29	36.71	97.6	62.65	70.21	70.07	0.0
Dbpht2	721.63	99.98	289.15	134.15	679.88	829.26	0.23	24.63	0.14	0.0	0.0	0.0	322.17	0.22	0.0	411.78	0.32	37.1	0.35	0.0	44.58	233.89	0.0	0.17	811.16	727.06	348.81	1268.09	422.0	741.0	1321.75	512.13	755.26	1406.11	820.97	728.07	431.85	734.71	497.09	537.2	877.88	734.36	0.0	29.38	705.93	0.11	0.0	912.49	1322.33	570.18	0.39	375.88	1066.98	288.61	797.43	991.0	771.15	968.14	799.65	1406.72	0.0	0.23	1016.63	1.53	1328.27	228.62	452.32	252.78	942.54	853.94	94.82	354.83	605.12	655.63	938.86	258.05	713.98	160.78
Dhrs7	35.69	148.62	67.2	0.0	214.89	408.35	166.89	79.85	59.24	0.0	0.0	78.65	0.0	0.0	0.49	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.33	161.96	48.41	51.82	69.23	203.86	72.2	229.49	203.88	170.28	45.27	163.33	119.09	37.53	146.77	158.49	122.06	24.98	62.69	0.0	0.0	191.39	0.0	61.47	190.33	78.4	65.42	90.84	140.8	220.39	86.5	96.91	159.29	227.78	37.78	149.72	201.05	0.0	0.49	99.7	70.6	95.98	95.81	138.43	0.0	131.25	120.48	84.96	77.78	52.19	95.47	132.73	0.0	230.72	0.0
Dnajc12	154.01	148.85	27.35	223.46	77.76	0.95	0.0	0.0	0.19	0.0	0.0	0.0	0.0	80.8	156.29	5.29	57.45	0.0	138.81	0.0	0.0	0.0	115.33	0.0	149.58	196.54	181.22	371.84	394.66	216.55	206.5	53.59	147.63	273.96	115.33	147.02	64.38	148.26	40.24	156.17	42.29	98.11	0.0	0.0	223.22	149.23	0.25	153.09	98.62	217.78	89.52	140.56	163.92	107.48	165.21	141.48	52.7	143.55	132.49	240.04	0.0	0.0	8.2	0.0	72.62	194.53	41.6	57.78	77.61	151.29	12.09	46.94	139.06	87.81	143.52	81.89	105.4	0.0
Doc2a	21.98	0.0	33.02	17.79	6.49	55.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	36.19	2.73	8.52	0.0	0.0	0.0	0.0	68.9	6.36	85.73	1.91	29.39	50.79	1.84	33.45	23.51	0.0	27.1	0.0	0.0	55.63	0.0	0.0	28.63	0.11	0.72	0.0	6.79	0.0	5.76	0.0	28.48	36.07	4.14	87.74	0.0	0.0	0.0	1.79	0.0	0.0	32.11	11.15	0.0	18.06	4.97	0.0	16.65	0.0	0.0	41.17	0.19	12.43	0.0
Dusp26	24.11	36.45	118.39	38.62	167.46	114.13	0.0	0.0	4.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.42	0.0	0.0	1.67	0.3	125.72	143.35	63.36	68.44	47.36	5.69	92.6	35.23	61.12	62.88	158.19	158.03	45.62	88.94	105.63	49.19	22.33	32.94	35.73	0.17	1.2	92.37	0.0	13.73	48.25	4.45	51.22	78.23	0.14	241.03	51.73	0.16	0.17	104.95	1.0	149.06	124.71	0.0	0.0	149.42	59.55	131.27	101.32	43.31	0.0	60.33	149.86	138.14	0.0	83.23	103.18	52.44	12.94	13.81	0.0
Dynll1	362.48	292.74	310.97	420.13	362.43	507.57	196.79	141.46	152.3	66.1	248.59	150.85	37.68	125.02	126.92	158.59	365.8	131.86	193.71	115.31	285.18	184.83	114.69	224.01	449.61	317.06	387.79	534.5	363.52	467.08	263.43	245.75	325.17	274.22	450.78	255.2	366.4	247.24	270.23	272.23	318.77	448.71	123.13	178.91	450.26	206.37	126.13	370.7	418.86	543.77	241.8	482.43	579.13	404.58	391.51	464.59	348.56	646.34	340.05	376.68	134.24	235.65	618.62	153.87	494.94	288.62	268.29	292.23	522.33	506.1	368.96	236.34	565.1	740.28	296.37	429.4	478.65	61.47
Eef1a1	2548.48	1317.69	2809.0	1842.92	2489.69	3189.41	1771.73	1648.68	1112.85	2596.25	2558.83	1635.2	1411.22	1475.89	1164.39	1253.66	2340.29	1818.35	2431.34	1936.48	1581.21	1848.42	1783.33	1837.96	3079.77	2933.79	3537.38	3482.29	2521.71	2579.91	3292.18	2277.29	1752.01	2369.84	1915.32	2583.18	1585.28	3127.59	3197.83	3430.41	3973.6	2503.31	1893.98	2080.73	2481.84	3412.91	1220.8	3136.61	3244.45	2932.46	2337.51	3176.9	3090.35	2829.25	2868.65	3825.03	2155.13	3886.95	2849.61	2527.59	2640.69	1276.33	2140.39	768.1	2309.28	1995.73	1812.03	1731.67	2511.37	1808.83	1129.64	1718.45	2644.16	2686.37	1875.41	2209.03	3855.79	1615.78
Elmo1	618.88	0.22	16.6	0.0	851.65	788.11	146.03	0.05	0.02	194.63	42.82	849.54	0.11	347.48	58.05	0.0	249.7	71.41	0.0	9.39	5.71	0.0	46.19	0.0	1021.25	1220.91	895.85	606.8	928.26	994.49	1258.98	918.61	1041.42	706.71	570.5	799.58	1069.68	933.17	1256.73	675.33	853.89	679.22	84.83	300.35	1030.28	94.48	0.33	781.84	863.41	790.17	96.78	748.46	864.66	1000.03	812.21	831.35	1068.24	946.85	759.04	887.64	0.0	0.0	1028.76	0.04	1172.42	0.33	0.0	49.11	949.59	899.54	0.0	0.12	434.01	943.63	0.56	172.19	756.72	410.13
Fabp5	137.57	210.7	0.81	0.38	232.57	433.04	249.09	157.86	44.65	70.51	0.0	0.0	7.48	1.88	0.7	0.0	0.0	78.47	400.7	43.4	20.84	0.0	0.0	171.22	172.14	153.0	319.12	217.93	80.38	96.04	127.15	461.67	152.02	287.24	167.16	232.24	118.31	153.16	295.86	343.85	142.75	323.43	121.07	49.45	209.06	0.0	53.38	311.74	220.65	401.21	77.82	173.06	230.0	192.91	102.67	165.24	122.51	205.57	206.38	412.46	0.0	0.0	156.91	161.87	86.35	15.87	36.33	275.81	132.18	284.31	50.61	130.33	335.06	256.61	25.6	193.79	115.27	0.0
Fdft1	87.48	194.69	80.61	57.56	205.16	406.72	0.04	84.95	54.32	71.94	300.36	236.12	0.34	3.72	0.0	174.39	87.58	0.0	0.52	0.0	0.09	60.31	66.39	0.0	197.24	56.98	166.4	247.74	316.41	361.79	195.68	300.32	239.05	223.89	450.72	159.99	192.75	123.94	308.44	167.09	165.14	368.19	0.0	60.73	125.81	100.67	74.22	243.08	271.79	318.47	185.24	83.0	201.06	133.95	63.52	34.56	114.47	44.65	163.4	147.39	0.0	0.0	214.96	33.02	324.71	178.01	144.36	60.37	99.32	244.27	98.49	51.24	80.43	112.79	73.14	209.62	364.96	0.0
Fxyd6	1258.92	0.0	1516.45	1053.33	1315.02	2034.75	312.92	0.32	0.59	0.0	0.58	6.97	0.0	0.0	0.35	264.32	0.12	0.0	281.92	0.57	0.0	1458.15	13.6	105.79	1975.2	1223.79	2025.66	2007.25	2291.2	1461.07	1368.79	1685.28	2253.15	2060.95	2099.33	2279.12	2422.83	2327.07	2923.97	2288.52	1793.9	2065.79	56.74	51.75	2354.93	277.53	0.31	1668.23	2887.92	1899.8	166.32	669.3	2182.04	2023.45	1507.95	1630.87	1572.19	2320.04	2571.73	2110.0	0.0	0.0	1738.28	0.09	1934.42	1156.97	0.0	0.0	2172.5	2600.93	1668.46	52.81	1530.91	2351.57	635.92	302.32	1668.92	7.18
Gap43	855.81	368.75	750.36	384.3	1133.64	1750.68	776.05	343.46	405.4	344.87	9.68	568.18	235.04	219.53	290.93	773.25	487.57	235.44	191.37	216.22	695.09	911.91	161.54	0.0	1219.62	942.57	1080.02	949.0	1335.07	1008.54	744.78	1140.29	1005.77	973.26	1207.97	872.35	1160.32	1409.82	1876.66	788.96	987.8	610.34	129.17	374.46	1237.15	380.87	147.1	778.38	665.87	1010.79	316.44	421.63	667.55	973.59	1078.03	971.86	857.51	1016.28	1256.41	1073.79	0.0	0.0	1331.72	512.66	1477.64	1279.93	41.45	579.17	992.48	1125.39	1292.31	0.39	828.19	936.21	323.59	828.24	1573.67	92.22
Gcnt1	35.67	0.0	0.0	0.0	6.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.64	0.0	2.31	0.0	0.0	16.73	48.44	0.0	0.0	69.12	47.16	48.47	8.25	0.13	0.0	37.51	0.37	81.35	0.0	0.0	34.04	0.0	0.0	0.0	0.05	19.54	0.0	36.71	38.94	25.23	2.11	0.0	0.0	2.11	24.66	50.23	0.0	0.13	0.06	0.0	27.77	0.0	0.0	0.0	0.0	35.54	0.0	0.0	0.0	13.2	0.0	0.0	9.74	0.0
Gdpd2	67.67	0.0	0.0	0.0	87.4	40.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	64.69	8.91	0.87	37.75	31.69	33.58	38.5	61.98	80.21	33.59	26.89	0.37	0.0	0.22	0.0	0.0	0.0	52.69	0.0	0.0	119.88	28.96	74.44	0.0	0.0	49.44	0.48	0.0	48.59	15.93	55.12	0.09	21.52	0.0	0.0	86.32	0.0	85.77	0.0	0.0	0.0	0.0	70.52	0.0	0.0	0.0	7.5	0.0	0.0	0.63	0.0
Gm5424	201.74	45.21	4.71	62.08	377.85	441.27	117.14	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	41.81	0.0	0.0	16.43	67.01	0.0	0.0	571.2	314.49	321.03	202.4	387.62	102.98	589.46	203.58	235.03	335.25	291.95	345.12	172.8	473.62	642.86	201.66	464.1	433.54	0.0	0.0	499.45	0.0	0.0	310.59	229.05	361.3	0.0	113.05	380.37	456.63	357.61	465.62	318.24	376.53	255.3	579.47	0.0	0.0	143.01	0.0	309.21	190.31	124.49	88.98	407.2	357.66	43.97	89.79	312.26	478.55	105.62	0.0	525.64	0.46
Gpr126	87.21	0.0	0.0	0.0	4.37	60.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.67	25.47	72.45	54.83	24.53	0.0	84.71	0.0	32.36	42.88	14.31	30.27	27.62	36.51	9.08	7.98	36.94	47.39	0.05	0.0	36.18	0.0	0.0	41.82	5.28	58.73	0.0	1.68	8.51	42.49	0.25	63.17	4.11	37.5	16.14	48.32	0.0	0.0	0.0	0.0	20.67	0.0	0.0	0.0	26.07	39.9	0.0	0.0	21.5	0.28	0.0	0.0	95.59	0.0
Gpr153	7.92	0.0	0.0	0.0	6.31	7.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.58	2.04	0.0	0.0	2.44	1.92	3.62	0.44	14.56	0.22	0.1	8.85	0.64	27.75	0.0	5.11	39.11	0.0	0.0	1.66	0.0	0.0	4.92	23.29	0.11	0.0	1.12	0.27	21.15	0.0	0.0	6.4	1.94	0.18	0.19	0.0	0.0	0.0	0.0	45.04	0.18	0.0	0.0	0.0	46.54	0.0	0.0	0.19	20.23	0.12	0.0	0.0	0.0
Gstm1	0.0	53.15	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.76	133.82	0.0	0.0	0.0	0.0	0.0	0.0	78.94	0.29	66.05	79.79	172.06	75.94	107.44	108.65	39.33	0.0	145.28	44.83	152.93	149.84	235.02	19.44	50.14	0.0	0.0	97.56	54.79	0.0	64.8	120.91	86.63	246.72	0.0	150.08	97.06	324.21	54.57	133.97	315.82	122.1	99.84	0.0	0.0	0.0	303.17	0.0	123.74	129.07	223.91	0.0	165.27	125.31	0.37	0.0	0.0	0.0	0.0	0.0	63.73	0.0
Gucy1a3	128.45	0.0	0.0	0.0	95.2	114.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.41	156.13	11.8	1.28	62.38	3.03	150.84	98.62	50.12	45.26	129.12	49.49	51.93	148.96	177.3	133.57	140.57	133.16	0.0	0.0	185.94	0.07	0.06	108.68	126.56	65.63	0.0	77.47	12.05	116.78	176.79	64.28	93.64	48.45	26.9	115.45	0.0	0.0	172.84	3.03	57.45	0.0	0.05	0.0	87.89	38.32	0.0	0.0	142.03	71.83	0.0	0.09	84.55	0.15
Gucy1b3	80.08	38.39	69.51	62.1	219.7	198.76	0.04	0.0	43.9	0.0	8.32	12.42	7.14	34.04	7.71	80.21	48.7	0.0	29.32	41.05	9.21	0.0	18.73	0.38	92.61	281.59	183.45	69.4	239.52	135.02	157.19	93.3	96.39	60.9	130.29	126.99	186.82	101.93	125.13	127.06	200.85	139.28	40.4	0.0	64.27	95.01	48.48	189.2	135.64	64.57	56.42	125.87	87.57	95.52	94.48	99.26	137.97	135.7	193.5	149.15	0.0	0.0	118.03	0.1	108.97	45.97	143.76	123.67	193.77	42.21	64.5	200.29	134.17	157.91	3.88	107.38	131.25	40.07
Hmgcs1	130.23	333.82	203.01	43.46	330.75	392.76	0.0	98.81	85.63	7.39	178.57	135.14	121.51	199.83	7.03	208.51	181.84	1.16	175.06	70.89	54.41	299.23	112.72	34.86	134.49	248.48	340.44	385.26	114.11	437.98	497.6	594.44	326.4	434.5	421.65	169.77	253.67	91.39	374.74	118.01	114.33	369.91	159.36	34.33	93.81	130.17	73.59	289.77	291.53	214.22	193.66	110.61	257.71	313.35	145.23	187.46	314.48	315.33	228.88	221.01	171.44	0.75	349.34	129.09	207.85	244.1	164.52	93.44	277.78	379.66	220.04	139.16	123.56	258.46	95.52	146.49	256.76	208.89
Hn1	190.82	117.08	54.27	145.33	206.5	475.44	62.28	74.26	130.89	0.0	0.0	26.43	0.0	105.58	0.0	0.0	0.0	0.0	193.77	23.88	228.28	178.93	46.92	0.0	169.3	268.16	121.21	93.65	248.74	2.1	103.47	168.34	344.03	283.92	196.28	164.95	265.81	396.77	474.56	95.32	142.29	214.56	0.23	252.01	144.9	69.99	74.89	197.11	311.21	95.98	319.65	108.75	147.02	250.3	125.31	220.87	243.01	183.19	259.01	294.72	0.0	0.0	332.41	50.04	457.2	326.76	99.27	72.65	275.22	356.25	150.58	68.75	143.19	100.88	190.13	153.34	182.27	0.0
Htr1a	0.0	0.0	0.0	0.0	0.0	23.33	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.44	0.0	0.07	37.86	0.04	0.0	12.75	0.0	6.95	43.61	44.38	18.97	0.81	39.62	41.16	34.28	21.61	64.6	0.07	34.71	13.46	0.07	0.0	64.19	73.14	28.4	0.0	0.0	17.34	0.84	0.56	36.15	0.0	0.0	2.9	5.79	0.0	0.0	10.62	0.0	47.14	0.08	0.0	27.37	10.79	0.0	0.0	0.0	0.0	0.41	1.56	0.0	28.08	0.0
Ldha	744.2	264.9	634.36	857.02	803.91	792.88	600.18	712.26	310.34	374.21	579.76	983.79	589.23	802.17	717.15	423.39	846.07	939.04	481.86	294.04	895.77	792.36	308.21	706.78	1186.42	728.46	1721.55	1317.83	1381.51	1034.51	1147.01	766.52	1529.47	1107.29	876.78	1343.83	1179.08	2171.19	1407.37	991.84	1026.08	1770.12	1321.68	949.58	1032.18	638.56	947.25	729.96	1176.52	930.14	805.06	207.02	1016.52	1022.53	408.44	1160.41	1025.48	1505.51	821.27	1143.3	0.0	988.76	1067.89	671.33	1740.98	496.04	446.81	996.79	795.74	1602.41	788.6	777.93	849.49	1205.67	678.44	1553.87	1986.62	3.09
Lhx6	4.26	62.86	36.35	101.16	88.06	47.62	0.29	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	0.34	0.0	0.16	0.0	3.85	0.16	0.0	109.01	110.99	36.74	53.75	32.26	93.69	85.52	36.15	60.34	86.34	139.32	136.71	31.46	263.97	371.32	132.56	37.02	366.13	0.09	0.01	70.14	0.31	0.09	153.55	313.28	199.25	0.0	43.36	184.02	162.8	133.01	154.94	52.74	114.66	35.93	201.71	0.0	0.0	218.87	39.06	216.95	58.72	0.11	2.46	145.76	245.87	0.0	114.27	49.02	107.44	33.93	85.87	85.22	0.0
Lmo4	23.05	1.08	0.52	0.0	15.79	98.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.57	0.0	19.66	0.53	64.86	35.81	58.7	0.0	94.08	34.71	2.61	38.02	25.29	84.1	23.33	21.3	51.78	54.9	32.42	222.92	0.0	0.0	31.39	0.0	0.0	54.17	54.43	1.08	2.86	9.15	84.92	25.46	161.52	44.81	0.0	35.52	0.0	107.45	34.11	0.0	5.98	0.12	93.93	0.0	0.0	3.48	91.86	76.87	19.48	0.0	29.92	31.49	6.38	0.0	41.63	19.71
Ly6h	8.94	19.06	11.01	11.42	7.95	64.32	3.0	1.75	0.0	0.0	28.63	8.32	3.11	2.61	4.37	13.77	0.48	0.0	19.11	0.0	2.14	15.06	0.0	21.93	22.07	45.23	12.7	9.76	60.91	4.64	38.24	27.08	19.08	7.93	42.84	4.06	73.58	33.65	87.38	5.01	20.48	15.92	0.0	35.47	4.43	2.69	24.39	7.89	33.52	9.56	9.9	3.01	11.57	58.74	30.05	29.92	18.14	39.32	75.36	22.41	0.0	0.0	29.66	8.19	100.47	60.85	4.39	14.03	40.55	42.18	62.89	6.37	30.82	39.52	9.22	0.0	14.17	0.82
Map3k6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.15	13.48	12.02	0.0	0.25	0.0	7.67	7.0	0.0	0.0	9.67	0.0	15.63	0.0	9.67	0.0	0.0	5.42	0.0	0.0	0.0	0.05	9.67	0.0	0.0	0.0	0.0	8.02	0.0	0.0	9.36	10.47	0.0	0.0	0.0	10.56	0.0	0.0	0.0	0.0	0.0	11.16	0.0	0.0	0.0	7.85	0.0	0.0	0.0	0.25	0.0
Mapk10	182.76	136.93	215.1	226.14	241.3	234.46	266.75	191.65	144.27	11.36	224.24	194.63	300.15	327.7	92.83	274.83	28.17	221.58	214.71	134.71	257.74	173.72	143.75	163.79	265.13	300.07	440.69	303.87	243.73	446.14	363.2	206.08	272.24	326.77	311.72	195.52	295.76	376.73	357.21	203.21	364.54	459.87	114.92	172.9	154.4	276.3	110.87	134.46	418.56	320.72	163.58	132.93	274.97	285.34	325.39	186.59	404.72	236.77	259.29	277.57	0.0	0.0	199.18	190.37	208.38	1.72	151.07	147.19	274.18	273.08	44.96	154.7	357.75	247.96	191.36	216.43	148.63	57.82
N28178	54.32	1.16	33.2	4.89	24.72	12.8	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.33	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	18.82	39.98	58.01	146.25	9.57	0.07	20.77	28.27	45.6	30.93	21.11	137.63	13.35	81.65	10.13	27.3	16.68	109.66	0.0	0.0	25.83	0.0	0.08	79.82	103.0	13.4	0.16	128.51	63.63	5.2	23.52	18.61	48.92	36.42	41.77	77.6	0.0	0.0	27.49	22.2	118.36	0.0	6.69	0.48	27.91	103.28	1.23	0.0	26.18	17.92	38.32	0.26	41.37	0.0
Nell2	33.52	17.63	0.0	0.0	37.66	70.05	0.0	1.78	24.68	0.42	78.51	0.0	7.77	9.62	0.19	0.29	21.31	0.0	0.0	29.48	4.5	0.31	0.0	2.91	49.31	37.67	81.17	15.81	13.8	10.12	25.08	135.69	61.84	153.57	53.8	55.31	50.67	63.1	62.39	134.77	35.31	148.63	23.94	0.0	88.4	114.6	59.58	21.85	182.49	121.59	0.0	0.0	15.6	0.62	36.17	136.04	46.78	50.08	61.39	105.86	0.0	0.0	45.0	0.0	181.03	0.3	0.07	20.94	65.63	92.88	0.0	0.07	30.15	107.55	0.14	0.26	46.15	3.34
Nnat	71.98	0.0	36.92	0.0	158.09	349.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.94	0.0	0.0	167.8	44.24	16.18	238.48	11.72	13.13	88.35	60.39	48.26	82.67	72.75	79.58	21.09	43.86	103.34	96.59	20.32	153.01	0.0	0.0	64.61	0.0	0.0	119.18	31.93	36.76	0.0	4.61	166.55	74.95	66.27	12.02	31.0	57.97	26.09	89.5	0.0	0.0	167.7	0.0	274.07	82.34	14.53	0.0	100.28	38.39	52.02	8.2	31.29	16.38	20.46	18.01	53.76	0.0
