	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_26	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_93	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_12	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_47	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_14	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_20	Rbp4_tdTpositive_cell_23	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_34	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_67	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_122	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_44	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_69	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	Sst_tdTpositive_cell_68	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29
Acsl4	81.34	32.31	56.29	198.05	9.22	50.5	68.36	142.44	44.32	251.5	398.47	125.72	61.84	52.53	98.04	0.0	0.0	0.0	111.16	95.59	161.28	93.48	73.59	13.13	25.89	103.6	12.96	35.96	0.0	0.0	0.69	82.17	0.0	0.14	117.72	94.02	98.79	32.03	192.09	97.28	166.52	92.83	56.37	236.15	63.59	110.94	73.96	42.18	94.87	240.27	0.0	104.87	134.88	0.0	0.34	7.7	69.31	108.59	171.49	143.45	83.23	69.68	149.73	71.7	70.86	135.51	57.03	8.68	47.08	40.46	0.0	36.04	0.0	32.82	337.86	74.09	47.14	87.17	55.27	11.67	1.81	43.51	9.65	15.58	24.73	38.11	71.57
Arhgap32	13.92	14.54	0.0	52.55	24.33	9.52	22.41	171.03	23.85	76.12	0.09	34.03	0.0	4.98	1.4	0.0	0.0	0.0	33.1	8.14	37.15	0.62	17.72	80.05	7.26	8.2	17.74	16.02	0.0	0.0	0.17	32.75	0.0	0.04	20.49	1.23	19.9	40.04	23.51	6.61	35.34	53.26	34.44	54.09	5.19	28.76	118.45	0.28	38.86	35.79	0.11	33.75	5.66	0.0	0.04	0.0	101.85	61.01	144.52	65.99	47.19	42.2	4.75	42.94	15.15	82.23	9.49	0.0	118.19	60.66	0.0	0.0	0.0	1.89	9.57	0.93	7.21	22.94	14.7	7.54	5.39	22.76	15.64	12.77	23.0	0.66	47.49
Cacna1e	38.09	40.66	0.0	83.12	8.86	2.85	58.02	24.48	115.83	0.43	135.13	10.78	4.41	0.0	44.17	0.0	0.0	0.0	18.4	79.8	26.6	45.36	3.85	16.1	1.16	14.3	7.74	18.03	0.0	0.0	0.32	44.7	0.0	0.0	107.41	58.06	48.1	20.83	19.2	20.18	41.48	6.38	28.0	20.63	38.76	59.32	89.95	25.05	86.0	48.76	19.12	108.97	22.1	0.0	0.0	0.0	57.29	49.92	16.67	46.85	19.58	35.53	15.54	35.89	14.91	42.5	14.23	0.0	27.13	66.73	0.0	0.0	0.0	8.44	17.87	3.09	0.0	29.34	12.11	37.3	11.16	0.2	0.26	8.71	11.51	4.16	48.56
Camk4	53.93	40.18	2.11	48.32	6.46	34.89	194.85	188.05	208.48	89.44	127.32	3.46	51.17	2.72	34.51	1.79	0.0	0.65	143.67	101.29	53.51	81.8	75.7	212.24	70.32	1.72	8.64	50.53	2.52	1.28	1.29	47.69	1.38	2.33	17.32	35.55	52.87	28.33	15.9	53.77	137.26	57.52	48.45	107.13	68.21	62.0	69.7	61.87	1.09	148.04	11.66	130.12	14.28	0.48	0.67	1.43	189.61	136.86	105.04	194.28	149.65	34.18	74.71	54.1	28.1	104.97	123.43	26.46	135.41	279.75	0.94	1.18	0.45	1.72	2.07	0.86	2.24	49.0	35.12	5.19	79.62	9.73	24.92	30.44	23.72	7.3	91.68
Cby1	38.88	0.0	0.0	0.0	0.0	158.16	0.09	108.52	188.27	0.0	337.46	18.48	0.0	0.0	2.29	0.0	0.0	0.0	142.29	5.5	0.0	5.77	0.0	167.7	0.0	0.0	0.46	20.75	0.0	0.0	0.0	34.14	0.0	0.0	0.0	86.82	127.7	0.0	84.47	28.27	58.02	99.69	0.0	79.06	0.0	98.24	0.0	17.65	0.0	54.98	0.0	7.82	199.82	0.23	0.4	0.0	0.25	106.12	7.97	151.3	178.8	62.93	0.0	13.63	50.09	138.33	0.0	0.0	0.0	0.0	0.0	10.1	0.0	0.0	178.92	0.51	85.88	64.23	38.1	0.0	28.61	243.19	2.0	11.21	22.18	106.57	131.5
Ccl27b	34.95	43.63	0.0	6.45	19.36	4.38	2.22	332.56	0.0	0.0	1.51	9.53	0.0	670.98	0.69	0.0	0.0	0.0	274.15	40.41	136.5	61.39	39.42	328.63	99.32	352.63	318.99	85.18	0.0	0.0	0.0	190.26	0.0	0.0	0.0	1.96	122.19	0.0	1.22	2.36	63.9	37.12	118.85	242.69	0.0	56.83	0.0	8.68	200.54	81.19	279.74	145.89	364.23	0.0	0.0	0.0	54.65	36.09	48.18	105.31	147.96	5.22	200.92	145.58	3.47	178.04	256.85	133.6	222.3	103.54	0.0	0.0	0.0	144.42	30.14	325.47	5.31	177.66	54.7	100.7	319.12	80.83	235.31	83.58	97.07	149.77	47.2
Celf4	52.37	221.7	52.85	173.39	82.28	269.46	41.47	69.2	253.31	12.15	150.99	97.47	182.99	330.98	177.49	2.75	0.0	1.52	67.63	138.4	103.22	181.21	4.57	70.65	63.22	118.79	58.22	24.61	0.52	0.0	2.63	119.12	1.09	0.17	75.61	251.66	146.41	198.68	148.91	95.22	230.33	221.63	122.27	102.24	114.21	191.86	294.75	161.67	98.63	250.8	153.8	24.23	99.96	0.21	0.58	0.0	147.62	23.39	144.95	103.01	149.98	155.87	135.77	72.53	209.93	58.69	70.35	6.16	36.96	88.95	0.94	0.57	1.31	347.91	48.98	256.34	59.88	79.28	96.49	103.46	59.09	4.82	71.31	110.75	37.36	40.75	101.38
Coq9	339.07	0.0	0.0	0.0	0.0	0.0	188.27	68.33	429.01	0.0	373.02	0.0	121.3	0.0	70.15	0.0	0.0	0.0	219.67	207.74	0.0	0.0	33.06	7.14	0.0	0.0	0.0	35.57	0.0	0.0	0.7	530.39	0.0	0.23	0.13	61.32	0.26	0.53	71.72	177.61	149.35	280.17	0.21	0.0	114.67	156.63	48.4	54.22	56.3	207.93	0.0	6.54	169.91	0.15	0.26	0.0	0.0	83.79	167.93	153.95	0.0	0.58	78.11	162.72	0.0	125.04	202.81	0.0	47.91	0.0	90.93	0.0	0.0	2.36	0.0	0.33	0.0	80.75	86.2	307.98	115.26	0.0	0.72	8.16	79.91	11.5	12.87
Cplx2	70.78	175.26	6.04	2.13	122.08	249.9	31.87	68.0	69.04	2.99	4.89	7.4	99.05	137.71	1.98	0.29	0.0	0.17	3.86	61.57	54.14	8.58	45.99	7.11	27.48	137.73	139.81	167.69	3.92	0.65	1.82	0.51	0.39	0.0	15.67	112.71	155.79	4.39	102.68	42.97	74.69	265.18	34.69	52.37	22.31	61.93	138.88	116.53	48.91	170.24	68.56	131.1	122.51	0.08	0.12	4.4	10.29	57.37	7.04	17.05	42.44	155.69	111.65	59.44	111.21	88.27	2.29	24.98	4.46	19.59	0.95	0.13	0.0	77.37	15.98	70.71	1.08	138.56	106.7	131.79	231.04	85.42	19.98	63.31	109.0	3.92	14.34
Cpsf6	8.15	57.97	16.98	126.31	0.06	20.13	45.71	77.73	56.62	95.53	205.79	76.92	51.42	0.0	39.16	7.27	0.0	0.0	85.08	99.3	99.8	60.09	36.4	25.87	102.7	52.18	2.28	40.35	0.0	0.0	0.35	25.18	48.83	0.0	27.97	82.96	0.07	78.58	2.17	39.43	4.17	116.15	10.1	29.91	24.33	82.1	47.64	143.03	34.8	73.62	120.69	96.89	5.59	0.0	0.13	0.0	27.54	43.72	49.46	87.52	22.45	90.73	97.45	84.15	1.77	0.0	18.82	0.0	102.14	11.87	0.0	0.0	8.1	81.9	70.99	0.0	123.83	45.4	18.6	72.77	71.87	50.84	0.04	10.03	0.05	0.07	131.29
