	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12
Glce	0.0	42.82	0.0	0.0	0.0	95.53	0.0	0.0	0.1	1.98	0.26	4.07	24.33	0.0	0.0	9.66	0.17	0.0	0.0	0.0	2.21	51.97	0.0	0.0	0.27	0.0	0.0	0.0	0.0	14.47	0.0	0.0	18.7	0.0	0.0	6.34	0.0	0.0	0.0	0.0	0.0	0.0	3.97	0.0	0.0	0.0	0.23	0.0
Gm10662	0.0	0.0	0.0	0.51	0.27	2.51	0.0	0.24	0.0	0.78	0.7	0.0	0.0	0.0	0.0	0.4	0.91	1.61	0.51	0.57	0.0	0.45	1.28	0.0	0.69	1.07	1.36	0.79	2.65	0.44	1.19	1.44	0.0	0.0	1.2	0.0	0.88	1.98	0.73	0.23	4.48	0.0	1.31	0.34	1.4	0.0	3.54	0.55
Gm11545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.87	0.0	1.4	0.0	0.0	1.92	0.0	0.0	0.0	3.22	0.0	2.05	0.74	0.0	0.0	0.0	3.22	0.92	0.0	2.01	0.0	0.0	1.86	0.45	0.0	0.55	0.0	0.24	0.0	2.1	0.63	0.84	0.24	0.0	0.0	0.0
Gm20300	25.15	13.85	24.67	22.18	24.32	322.04	13.34	281.13	66.11	78.47	25.27	289.81	200.15	75.08	150.13	129.53	131.79	50.79	272.42	231.4	388.9	339.97	261.31	283.14	414.59	242.71	67.94	83.22	26.86	181.19	139.48	293.24	177.42	341.52	129.05	135.53	154.58	167.4	204.66	259.7	187.81	94.48	200.51	198.52	370.43	25.11	56.37	46.37
Gpr161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.29	0.0	0.0	0.0	0.0	2.49	0.0	0.0	0.0	0.0	0.0	0.85	0.19	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0
Gtf2h5	35.38	1178.89	0.92	0.0	0.0	212.89	0.0	0.73	0.0	280.19	257.16	108.89	277.92	439.96	181.08	226.82	309.37	115.48	57.03	352.39	164.19	120.89	226.37	270.98	142.9	143.24	246.26	183.03	241.8	410.91	134.11	184.62	309.25	152.45	232.83	217.65	153.87	240.4	159.69	209.68	42.19	174.99	200.61	247.19	153.97	0.0	1.23	0.86
Gusb	0.0	0.4	0.0	0.0	784.38	0.0	0.0	0.0	0.0	34.92	0.0	18.63	17.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.86	19.12	11.05	25.61	6.62	0.0	11.23	0.12	0.0	5.37	33.07	0.29	0.0	0.0	0.0	4.49	0.0	0.0	8.45	42.48	0.0	1.29	14.08	27.94	0.16	0.0	0.0
Hist3h2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.7	0.0	27.32	0.0	0.0	10.89	12.1	65.94	0.0	0.0	0.0	15.94	0.0	46.22	28.27	18.74	29.6	44.16	25.55	36.05	0.19	51.95	68.88	18.84	5.91	0.0	76.08	27.51	69.87	7.56	18.11	0.0	33.37	91.32	16.59	2.27	0.0	0.0	0.0
Hmmr	8.29	7.07	1.56	34.74	19.36	9.47	0.36	22.31	10.52	5.58	12.96	7.29	9.28	2.66	3.06	6.49	14.44	8.54	8.19	8.97	11.15	4.73	5.9	5.67	4.53	6.64	6.3	6.43	15.02	7.27	6.61	12.53	7.52	5.66	9.2	11.34	10.06	12.47	9.18	8.14	5.58	6.7	6.41	4.98	10.15	0.48	5.34	3.89
Hsdl1	0.0	152.11	0.0	0.14	0.0	317.58	0.0	475.11	0.44	50.61	0.79	41.21	52.04	109.97	78.94	148.41	202.62	237.25	91.42	156.1	284.0	272.35	222.62	198.71	138.76	212.86	64.2	0.14	573.46	237.3	105.06	0.77	97.96	26.4	106.18	35.59	306.3	121.53	83.1	366.56	223.84	49.3	266.38	134.03	193.47	513.2	0.22	0.0
Hspd1	0.0	39.12	0.0	331.43	0.0	522.84	0.0	0.0	0.0	350.56	1.03	193.88	349.64	288.78	315.37	659.28	532.44	551.78	644.16	277.14	302.43	741.0	488.45	335.54	526.76	569.77	181.96	368.56	669.59	363.15	290.84	174.11	365.62	277.65	360.94	141.38	236.74	541.28	170.68	343.26	308.73	264.04	340.5	356.67	392.9	0.16	0.3	257.89
Immp2l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.16	0.0	0.0	0.0	203.5	0.0	14.43	0.0	0.0	92.04	2.16	0.0	238.06	0.0	36.92	36.69	0.0	0.0	38.16	0.0	0.0	0.0	31.01	29.28	100.1	0.56	1.53	0.0	36.24	39.61	37.48	82.36	0.0	117.76	20.8	21.98	0.0	0.0	0.0
Kctd14	0.82	0.21	0.0	0.21	2.08	0.43	0.0	0.0	0.86	0.0	0.0	0.76	0.0	0.0	0.21	0.61	0.0	0.5	0.28	0.3	0.0	1.26	0.0	0.0	0.26	0.71	0.08	0.0	0.84	0.83	0.33	0.28	0.0	0.0	0.34	0.19	0.22	0.35	0.53	0.56	0.0	0.0	1.41	0.32	0.07	0.0	0.67	1.45
Kif5c	0.0	32.94	0.0	0.0	0.0	74.32	0.0	0.04	0.0	60.35	0.09	81.79	51.49	21.2	29.8	89.05	36.03	47.38	116.99	115.6	82.52	120.25	163.51	97.47	103.75	160.06	0.45	84.73	80.37	73.82	36.2	40.76	68.31	83.39	87.09	120.44	90.86	76.69	57.58	87.42	81.36	82.64	50.47	59.29	94.05	0.0	0.0	0.0
Ldhb	7486.96	8970.97	0.0	3517.81	5274.92	9309.63	1744.47	5876.73	5600.23	8752.31	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8583.06	8517.89	9220.91	9343.6	4937.61	8808.99	8223.21	8574.79	10165.1	9166.61	9602.81	5915.04	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8275.76	10182.84	9082.37	11746.38	3251.53	2798.49	5577.5
Lnpep	0.0	0.0	0.0	21.84	1.43	0.36	0.0	0.0	10.66	0.08	8.45	1.81	21.56	0.05	2.65	3.26	28.41	0.31	20.03	0.6	7.77	40.25	20.63	0.32	4.34	0.5	0.0	0.79	0.0	0.0	0.0	2.05	1.78	0.16	1.64	1.72	0.38	9.15	4.99	21.46	0.21	0.0	50.32	8.12	19.37	0.0	0.0	340.69
Lphn1	6.71	31.06	0.13	0.0	0.0	15.35	0.0	1.24	0.0	24.44	0.0	11.7	11.98	14.1	9.32	0.12	4.73	31.63	15.45	13.41	20.31	34.62	11.96	9.58	4.89	0.08	0.0	9.94	0.03	38.38	0.0	30.23	18.34	6.59	36.32	36.68	17.64	9.96	11.18	8.58	19.21	13.32	25.51	38.37	15.31	0.0	0.04	0.0
Magi1	5.53	45.01	0.0	0.0	0.0	60.88	0.0	72.79	0.0	15.87	0.16	5.79	15.99	12.23	44.91	16.76	96.56	50.5	23.76	17.99	24.46	81.96	7.38	21.5	23.51	30.99	20.78	17.27	26.94	20.01	14.58	48.44	6.68	13.5	26.31	41.96	26.94	25.88	17.83	48.59	32.77	24.0	54.38	20.89	15.04	0.0	0.05	0.0
Mapk9	0.0	21.77	0.0	0.0	0.0	126.34	0.1	0.0	236.56	33.83	0.25	40.82	25.51	111.94	58.54	96.3	43.27	32.38	125.78	61.05	99.9	0.0	54.66	46.49	60.53	113.93	5.23	48.3	156.29	3.48	40.61	72.38	64.85	65.94	41.4	132.64	108.47	77.89	23.38	38.62	24.35	82.21	47.87	111.14	110.38	0.0	0.07	0.0
Mapt	0.0	75.14	0.0	0.0	0.0	55.84	0.0	0.0	20.92	25.66	3.52	33.56	71.79	104.7	7.26	32.36	41.86	91.1	57.35	45.63	88.06	213.14	75.14	33.69	104.91	51.32	49.05	85.25	66.33	67.21	0.5	61.82	49.61	58.69	37.64	85.18	67.32	59.92	40.73	77.37	79.21	28.72	45.22	58.94	49.56	0.0	0.0	0.26
Mettl3	154.96	1.2	0.0	0.0	0.0	149.7	0.0	428.75	0.0	27.23	0.3	28.46	83.11	0.12	80.81	0.2	55.64	80.52	38.91	0.0	53.73	112.3	0.0	12.05	48.11	0.65	12.41	125.13	0.0	0.0	0.0	0.0	26.9	41.55	97.19	0.0	9.9	1.18	74.21	5.41	1.35	29.75	0.0	79.88	0.39	0.0	0.0	0.0
Mtap9	0.0	0.04	0.0	0.0	0.0	25.32	0.0	0.04	0.0	29.79	0.38	15.45	21.72	24.05	0.0	20.77	35.63	14.8	16.26	59.87	22.84	70.14	25.6	49.26	28.49	13.31	28.44	6.85	50.67	64.98	10.19	66.17	12.16	14.04	1.3	14.88	35.76	21.32	32.15	0.64	20.95	2.06	6.53	41.9	47.74	0.0	0.0	0.0
Mthfsd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.28	0.0	3.46	8.05	0.48	12.39	32.7	0.0	0.54	0.0	0.0	9.51	0.0	9.75	45.73	0.0	39.13	0.0	32.07	116.54	0.0	24.55	14.43	3.71	17.47	0.0	33.98	5.83	0.0	0.0	18.06	12.57	0.0	0.0	61.24	47.85	79.62	0.0	0.0
Myo5a	0.0	4.61	0.0	0.0	0.0	42.77	0.0	0.05	0.0	53.44	0.44	45.27	92.3	11.11	69.14	40.3	61.52	71.73	111.23	46.76	73.9	42.45	75.09	47.35	33.66	65.61	24.09	68.38	101.35	41.79	23.02	55.97	69.17	55.96	9.71	57.57	42.95	28.13	69.49	47.53	36.2	38.36	73.22	48.43	42.52	0.0	0.06	0.0
Nf1	0.0	25.92	0.0	0.0	0.0	3.84	0.0	69.91	99.66	16.44	0.15	21.24	34.74	39.09	40.12	48.95	26.36	47.01	42.36	44.53	22.38	80.92	33.92	5.78	24.32	21.46	45.96	36.03	25.0	5.26	20.69	36.92	34.19	13.33	31.18	6.97	32.26	50.2	37.08	56.87	52.59	27.35	39.46	23.71	38.78	47.8	0.03	7.71
Nicn1	0.0	265.03	0.0	0.0	0.0	219.68	0.0	0.0	0.22	161.38	530.1	154.31	138.87	16.68	290.24	160.89	490.28	242.32	171.89	221.23	139.98	222.9	271.45	350.1	265.12	253.86	47.26	24.8	165.74	348.6	151.32	241.64	294.34	201.35	270.94	363.34	128.75	124.21	332.25	210.35	123.12	100.78	246.07	209.93	334.3	0.0	0.0	0.0
Nsmce2	0.0	0.0	179.74	0.0	0.0	0.0	0.0	66.54	0.0	193.83	0.0	40.08	57.52	142.17	190.06	63.17	180.81	156.29	184.28	93.4	37.7	126.68	191.9	161.23	243.1	63.81	263.07	210.91	309.32	164.08	17.01	62.4	142.55	111.91	113.56	24.66	110.04	54.58	133.14	115.38	134.68	179.27	82.65	84.08	10.41	0.0	0.0	0.0
Opcml	0.0	0.0	0.0	0.0	0.0	48.71	0.0	0.0	0.0	100.94	0.1	158.91	81.28	114.48	57.88	78.14	108.66	124.52	141.51	99.08	110.69	3.98	43.98	12.94	25.73	143.62	87.04	19.6	148.64	74.18	155.57	0.0	27.6	43.62	53.53	82.36	117.72	129.46	29.85	147.7	36.21	93.14	57.91	136.03	43.62	0.0	0.36	0.0
Orc3	0.0	30.4	0.0	0.0	0.0	25.51	0.0	0.0	0.0	56.66	0.09	19.49	16.68	10.05	7.63	11.39	18.69	16.32	33.13	12.37	0.08	68.96	22.53	14.02	63.73	48.33	0.85	0.0	51.46	0.7	26.36	44.88	10.63	9.72	18.16	51.28	17.37	11.18	22.07	22.35	9.97	9.94	33.32	13.4	71.5	0.0	0.0	0.0
Osbpl9	0.0	106.19	0.0	0.0	9.3	106.83	0.0	0.0	0.15	71.61	0.19	28.6	79.66	0.0	57.06	64.62	89.85	53.8	12.34	272.14	172.98	86.07	119.15	203.34	136.68	94.17	1.95	201.93	61.88	20.74	168.9	201.33	129.67	49.5	36.47	186.52	29.52	98.37	0.12	163.93	101.33	6.83	104.53	57.45	150.33	0.0	0.11	0.0
Pa2g4	0.0	324.11	0.0	190.48	0.0	97.24	0.0	0.0	0.0	38.21	0.0	32.01	41.06	22.27	7.68	94.84	89.56	8.91	122.38	72.97	105.14	107.28	88.19	37.36	130.82	117.51	0.0	63.34	152.34	54.56	80.87	66.3	33.31	121.07	108.96	29.34	27.42	100.36	135.57	103.26	134.08	47.57	105.61	88.84	60.61	0.0	0.0	0.0
Pcdhga6	54.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
Pdcl	0.0	48.91	0.18	0.0	0.0	0.0	0.16	0.0	0.0	95.3	0.0	6.01	102.16	28.81	44.6	19.33	50.36	0.0	44.21	67.94	107.91	228.2	76.54	86.92	142.26	73.14	29.66	46.07	216.72	68.54	0.0	28.43	32.49	3.2	38.84	117.82	92.29	36.08	48.7	54.7	36.2	75.79	42.8	61.17	128.21	0.0	0.0	0.0
Pdzd11	620.16	0.0	0.0	0.0	0.0	268.94	0.0	840.93	0.0	366.24	201.25	253.25	254.41	383.72	282.88	186.65	223.55	193.8	386.98	385.62	432.45	405.05	295.38	201.6	215.67	341.11	173.57	436.95	292.06	219.52	18.29	201.52	209.87	155.68	224.62	290.09	88.45	279.96	0.0	409.92	128.42	314.63	352.03	252.48	231.3	0.0	0.36	0.0
Pef1	0.0	151.19	0.0	0.0	0.0	0.0	0.0	145.84	0.0	54.44	0.0	0.0	0.0	67.56	42.91	34.45	40.38	147.57	0.0	19.69	0.36	235.98	36.21	0.0	4.98	73.62	0.0	193.58	0.0	0.0	0.0	33.4	24.37	1.64	47.12	45.66	10.49	32.82	0.0	63.68	0.0	2.52	53.01	115.51	0.89	0.0	0.0	0.0
Ppid	360.17	422.85	0.0	0.0	0.0	377.83	0.0	16.26	0.0	119.7	1.15	316.76	254.25	223.22	187.08	241.6	309.14	165.57	208.64	426.55	240.75	143.83	322.88	388.47	407.41	284.58	386.57	337.8	405.08	0.0	228.69	358.87	216.61	184.14	299.67	257.9	299.79	204.66	174.48	306.84	166.63	418.66	330.18	205.38	226.32	980.98	544.89	0.0
Prpf40a	0.0	116.99	0.0	0.0	535.17	0.0	0.0	0.23	0.0	65.22	0.17	11.09	5.87	9.82	56.75	35.09	48.61	50.14	60.85	20.51	59.82	68.93	4.39	30.85	68.9	7.98	7.54	47.49	19.95	24.56	33.62	3.51	34.53	1.47	29.88	9.93	49.98	38.04	37.16	63.94	3.6	43.86	31.03	54.7	5.32	0.11	413.1	25.68
Ptprs	54.18	324.04	163.57	100.93	61.35	201.69	0.0	161.41	301.79	78.14	132.53	156.67	187.94	191.13	120.49	162.25	168.33	178.29	209.2	168.61	175.44	156.82	241.08	282.8	214.94	168.5	86.91	169.61	161.55	168.95	73.46	219.54	191.21	112.14	161.1	84.46	161.54	185.23	199.28	177.69	197.92	274.61	168.38	214.75	133.14	140.35	0.18	0.0
Pvalb	0.0	0.0	0.0	0.0	0.0	2506.7	0.0	0.0	0.0	3332.67	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1292.73	1298.9	1590.34	1199.86	744.72	1414.35	1662.23	1383.0	1316.24	1251.83	1724.33	1174.35	1740.57	1202.67	1769.21	1815.89	1408.27	1731.8	1698.2	1628.71	1974.07	1237.21	1344.6	1295.74	1797.97	1914.29	1681.17	3516.69	0.0	0.0	0.0
Ralgapa1	0.0	52.03	13.35	0.0	0.0	24.13	1.41	0.14	0.35	28.68	0.22	17.11	9.57	23.51	26.54	33.86	37.78	35.72	24.04	32.32	32.41	19.63	29.41	31.03	14.84	32.37	46.08	64.91	61.57	8.92	33.99	25.73	9.76	15.69	10.76	10.84	24.61	16.91	35.4	65.77	17.63	14.82	36.48	16.61	11.09	0.0	0.0	0.0
Ralgapa2	1.16	0.37	0.66	0.46	1.08	0.52	0.15	1.51	1.13	0.49	0.29	2.88	8.22	10.23	12.98	2.2	3.22	5.67	3.79	17.75	16.34	1.95	3.08	2.29	6.34	12.0	0.45	11.57	25.95	1.13	16.53	1.13	9.83	0.89	0.45	3.02	0.49	29.35	13.35	0.71	1.68	15.56	6.38	6.6	11.14	0.85	0.23	0.89
Rapgef2	0.0	82.86	0.0	0.0	0.0	36.85	0.0	0.0	0.0	21.78	0.64	68.63	50.04	27.34	37.3	10.25	25.12	30.5	63.97	58.06	47.41	78.72	17.67	8.17	43.93	14.11	22.47	27.14	86.44	43.33	29.37	39.56	15.86	15.93	33.24	0.0	26.34	6.05	44.69	55.96	29.07	12.77	25.1	49.96	47.0	0.0	0.42	0.0
Rfng	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.16	15.74	6.32	0.0	31.16	7.73	81.48	5.78	0.0	10.22	0.0	0.0	0.0	76.29	0.0	0.0	0.15	19.02	25.47	43.69	20.64	0.0	0.0	0.0	0.0	60.47	0.0	0.0	32.02	4.99	0.0	0.0	0.0
Rgs9bp	0.0	0.33	0.14	0.07	0.0	0.09	0.09	0.45	0.0	0.08	0.0	0.09	0.12	0.0	0.0	0.11	0.09	0.0	0.0	0.0	0.09	0.0	0.15	0.0	0.0	0.17	0.0	0.07	0.06	0.07	0.14	0.0	0.0	0.03	0.06	0.09	0.0	0.0	0.0	0.03	0.23	0.08	0.29	0.05	0.11	0.0	0.0	0.06
Rnf6	0.0	5.51	0.0	0.0	0.0	101.42	0.0	0.09	0.0	64.47	0.19	67.82	42.88	89.48	113.16	50.2	47.13	100.67	91.06	124.46	47.97	169.11	93.08	138.66	47.73	147.15	54.53	33.52	155.41	219.53	86.27	131.21	55.07	43.41	172.43	112.97	106.72	105.7	183.35	85.37	90.1	14.78	115.57	9.79	117.86	0.0	0.11	0.0
Rrn3	59.6	2.28	16.54	0.49	0.0	175.49	2.05	0.0	505.71	222.94	191.48	198.47	179.45	96.85	110.42	188.95	343.8	206.67	117.56	176.82	207.75	278.8	195.65	135.84	238.45	173.49	332.53	210.5	140.2	204.08	171.42	138.31	223.44	91.56	114.43	127.48	141.57	169.31	143.78	243.54	85.7	99.83	136.04	183.69	117.51	172.08	0.37	0.0
Rundc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.98	0.0	0.92	19.56	0.0	17.19	25.72	72.13	0.0	0.0	14.94	0.17	0.0	0.47	0.17	0.0	0.0	0.0	3.98	54.21	0.0	1.96	0.0	0.22	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.67	0.0	0.0	0.0	0.0	0.0
Sestd1	33.88	0.0	0.0	0.0	0.0	39.44	0.0	0.0	0.0	7.49	0.13	4.85	23.34	0.03	0.0	3.79	27.1	14.67	15.06	13.85	23.03	30.89	36.5	6.95	13.84	17.76	0.09	8.29	26.46	74.36	11.6	0.0	8.28	0.0	5.86	0.0	0.0	8.02	0.05	15.1	43.9	21.47	0.0	17.75	24.23	0.0	0.04	0.0
Slc35f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	48.39	0.0	0.0	0.0	61.84	0.0	0.0	0.0	0.0	0.0	0.0	101.62	0.0	0.0	27.8	8.82	2.03	0.0	0.0	0.0	0.0	0.16	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0
Smarca2	23.11	148.05	0.0	429.82	57.62	81.82	0.0	0.05	459.15	134.74	35.68	58.6	92.35	151.16	17.44	126.68	94.24	88.84	94.85	37.02	23.24	88.16	92.6	40.46	107.52	43.86	35.23	171.3	39.38	10.79	55.97	6.5	58.4	39.14	34.23	102.71	9.0	105.13	36.25	180.14	5.07	132.71	5.84	67.56	42.92	0.82	0.36	3.8
Snrnp27	0.0	104.77	0.0	61.84	0.0	63.76	0.0	0.0	0.0	121.32	0.75	59.62	8.81	58.86	114.77	195.54	138.42	109.77	148.83	161.12	148.89	317.02	70.11	144.42	169.07	125.69	235.83	9.23	420.91	240.92	112.47	152.53	189.12	160.74	128.87	85.24	70.43	208.64	222.68	132.17	102.34	76.78	119.33	84.54	129.61	0.0	0.0	0.0
Sntb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.15	24.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.24	0.0	4.81	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	13.59	0.0	0.0	0.13	0.0	0.0	0.0
Snx13	0.0	0.0	0.0	0.0	0.0	11.87	0.0	0.0	0.0	2.86	0.0	5.17	0.89	3.6	0.0	6.23	21.64	0.0	0.3	0.0	40.98	0.0	0.0	26.84	14.89	18.03	30.85	19.66	43.15	0.0	0.0	0.0	8.85	0.18	9.85	9.51	30.79	0.0	7.37	1.58	0.0	2.21	32.19	11.15	0.65	0.0	0.11	0.11
Sp140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0
Spag9	86.15	49.84	0.0	0.0	71.27	74.76	0.0	178.4	0.0	16.4	55.64	40.09	10.13	49.01	64.58	31.48	56.68	38.92	47.88	56.84	43.7	112.33	61.82	93.57	61.44	42.26	34.82	38.46	21.42	52.29	12.72	99.11	36.73	21.34	30.31	80.0	49.61	39.18	15.16	32.3	22.57	51.36	28.62	80.55	99.51	0.0	0.2	0.0
Spock1	0.0	37.24	0.0	0.0	0.0	49.31	0.0	0.0	0.0	32.34	0.38	81.11	60.77	5.34	54.11	59.43	49.93	82.32	56.44	53.54	83.45	100.68	80.99	82.4	53.58	83.2	34.58	98.9	65.98	85.87	36.64	48.31	121.12	38.02	9.9	89.21	100.25	52.37	43.88	36.38	13.98	32.28	34.36	60.07	77.14	0.0	0.15	0.14
Spop	13.16	71.35	0.0	141.78	0.0	52.96	0.0	0.0	0.32	113.67	0.41	27.12	32.31	77.85	82.98	104.69	91.31	46.39	21.37	119.67	99.66	56.07	81.51	108.4	107.08	137.5	86.09	211.88	184.91	50.65	119.75	136.78	86.73	66.44	58.19	6.1	41.59	47.09	24.89	17.67	40.94	16.83	117.75	56.08	47.5	0.0	0.12	319.03
Stambpl1	0.0	57.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	16.62	15.72	99.5	0.24	68.87	43.19	97.9	5.18	3.22	48.96	80.64	68.73	150.92	70.06	156.53	2.75	45.12	144.81	3.42	0.54	44.9	48.48	56.22	47.68	71.4	47.38	69.92	47.79	173.13	84.67	1.23	45.83	49.96	6.74	0.0	998.93	0.0
Stat3	0.32	8.44	0.0	11.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.68	0.31	0.0	0.0	1.07	0.0	36.57	0.0	0.0	45.47	38.83	16.66	25.29	0.0	1.31	0.0	0.41	0.0	0.0	0.0	0.0	13.59	1.18	0.0	0.0	6.26	0.0	1.85	9.96	0.0	27.3	0.0	0.0	30.42	0.0	105.47	0.0
Strbp	63.78	28.58	63.08	0.39	0.09	197.9	0.25	22.03	74.04	96.86	74.91	125.4	158.06	43.8	72.63	114.89	257.77	205.27	221.93	264.65	254.63	184.75	144.0	242.92	176.49	232.74	264.02	158.91	248.25	280.47	163.78	224.49	104.84	104.21	103.23	193.37	175.87	175.9	166.7	199.36	235.54	99.66	160.8	91.13	192.03	0.19	0.74	2.97
Sumo3	0.0	3.35	0.21	0.0	0.19	103.47	0.0	0.0	0.0	352.67	418.94	270.4	119.17	146.21	106.42	114.01	238.72	74.52	285.64	292.82	439.67	409.46	127.74	137.48	175.59	110.13	102.33	60.28	388.89	170.51	538.37	158.53	199.75	147.85	254.97	114.41	354.72	274.63	291.35	378.19	289.41	212.77	294.74	142.63	278.91	0.0	0.0	73.16
Tbce	0.0	38.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.95	206.49	119.05	37.56	99.8	94.02	79.29	72.83	69.41	99.59	21.23	2.97	229.97	12.76	135.72	31.22	88.64	10.14	52.35	183.93	17.73	0.0	49.29	67.48	44.72	77.28	57.62	8.67	0.0	41.71	52.26	90.08	47.35	28.32	102.29	82.24	0.0	0.59	0.0
Tex10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.19	23.41	0.0	0.0	0.0	9.78	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	34.4	0.0	0.0	19.69	74.76	0.0	0.0	2.29	2.89	0.0	0.51	64.68	31.27	0.0	0.0	0.5	35.99	0.0	0.0	0.31	0.0	0.0	0.0	0.0
Tgds	0.0	0.11	0.0	0.18	0.0	0.43	0.42	0.0	0.0	0.0	0.63	0.26	0.0	20.65	25.01	7.73	0.0	9.59	0.0	0.0	0.46	85.24	34.82	0.0	0.0	2.23	0.34	0.0	92.92	0.0	0.23	0.27	9.2	40.18	0.0	17.78	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.06	0.3	1.52	0.0	0.94
