	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12
Cmah	70.61	2.05	5.99	4.52	25.5	5.59	0.0	41.45	115.96	7.11	8.07	4.23	15.39	0.03	4.23	3.3	16.37	25.79	22.41	10.14	18.46	10.06	10.76	6.19	20.95	19.23	13.56	15.68	22.82	10.47	14.37	21.15	8.97	17.32	5.95	13.49	15.17	8.61	22.12	10.0	11.34	8.72	8.23	11.57	26.48	22.16	113.1	6.23
Cmpk1	0.0	0.26	0.0	0.0	0.0	77.3	0.0	0.0	3.02	186.99	0.32	222.54	140.8	71.28	52.24	138.78	99.71	86.62	163.23	180.83	106.69	218.0	271.17	26.12	212.18	97.31	341.11	176.84	71.04	85.46	167.52	263.3	253.89	77.85	88.2	49.89	87.83	337.99	158.59	145.86	66.91	61.46	170.61	199.26	73.2	0.0	0.38	0.0
Cntnap2	4.26	55.33	0.0	0.0	0.0	67.83	0.0	0.0	23.66	5.99	0.35	50.01	41.7	42.85	49.47	33.17	46.6	60.38	39.87	99.67	64.05	70.21	72.2	65.78	33.53	39.09	14.72	104.04	90.46	85.3	18.65	133.69	64.75	26.11	90.89	31.86	82.92	36.3	66.92	19.8	19.21	37.3	19.33	52.29	77.79	0.0	0.0	0.2
Commd6	413.89	472.76	0.0	628.39	1921.89	236.52	0.08	0.0	0.0	212.68	246.46	305.96	212.81	394.99	225.22	143.8	310.72	275.09	315.85	259.97	330.56	98.35	260.01	251.15	251.77	247.97	296.81	287.18	202.5	319.28	50.4	257.48	232.62	162.52	269.85	66.54	108.5	158.51	69.03	143.86	188.41	189.42	246.66	231.93	354.46	0.0	605.87	0.65
Copg2	0.0	0.11	0.0	14.17	0.0	0.0	0.0	0.0	0.0	31.25	0.27	94.26	0.96	0.0	0.0	16.75	109.2	2.27	57.48	112.02	0.25	144.06	98.11	93.39	129.52	0.0	1.75	125.03	113.76	0.0	27.48	15.06	94.67	28.28	7.24	3.57	62.03	76.85	0.0	24.97	0.0	0.44	94.64	0.34	99.24	0.0	0.0	888.01
Cops2	107.78	2.03	0.0	0.0	0.0	181.79	0.0	0.0	0.0	194.71	60.14	118.65	130.88	90.17	100.97	124.34	214.96	42.58	74.84	180.24	206.78	354.3	164.6	184.52	269.55	231.35	170.79	139.36	172.52	63.21	124.16	203.4	117.52	174.98	144.14	181.24	181.08	116.31	63.83	132.03	236.0	52.92	46.96	326.87	81.11	0.0	0.32	0.0
Cox6a2	0.0	182.22	0.0	0.0	0.0	969.93	0.0	0.0	0.0	83.3	0.0	662.45	802.6	960.26	835.96	370.62	490.92	1036.28	445.53	169.99	808.16	996.25	696.5	1169.75	1031.95	550.26	60.3	786.26	1765.45	516.9	960.27	919.3	29.83	1038.69	930.09	289.54	589.14	622.1	211.87	30.45	160.57	478.88	247.13	192.18	682.04	0.0	0.0	0.0
Crebbp	45.64	4.41	0.0	0.0	0.0	0.17	0.0	0.0	0.0	1.21	0.08	4.52	24.22	2.98	9.54	0.0	0.0	4.59	17.37	33.73	2.85	0.0	5.2	1.82	10.29	6.66	0.71	14.04	18.59	1.42	15.96	3.35	6.76	1.17	0.81	3.54	6.31	13.12	42.45	9.99	17.44	17.15	15.5	2.73	5.83	0.0	0.0	9.74
Csrnp3	0.14	61.93	0.4	0.0	0.0	4.24	0.05	0.0	0.14	18.46	0.06	18.39	5.9	0.16	16.85	8.86	43.3	5.37	45.4	21.82	24.5	57.73	30.77	19.46	23.01	16.68	46.62	40.85	19.18	17.46	1.88	4.68	10.37	6.83	35.76	13.01	1.64	48.86	18.96	33.34	9.56	42.82	20.2	20.36	22.04	0.11	0.1	0.15
Ctnnd2	273.38	18.14	0.0	0.08	0.08	225.86	0.0	14.07	274.64	60.11	19.48	95.09	120.47	109.04	112.45	81.49	148.45	74.91	125.83	137.13	129.4	47.07	44.34	185.95	130.93	62.19	148.26	157.39	140.16	160.11	53.91	110.15	134.08	74.97	72.44	93.94	90.43	51.98	53.22	87.05	53.86	55.87	116.85	134.94	121.39	0.0	0.12	101.61
