	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_180	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_43
Acat1	57.77	3.0	101.9	199.34	207.3	176.53	130.97	186.62	45.2	120.98	202.29	99.23	141.64	134.03	185.23	262.2	78.82	72.4	52.06	170.05	75.93	68.32	33.66	229.37	169.24	186.02	370.14	0.21	282.01	335.88	54.13	132.65	165.57	373.64	269.66	301.14	79.74	86.54	328.67	367.91	230.36	105.83	94.32	105.65	145.91	146.9	136.57	0.0	254.01	121.82	272.91	254.88	148.03	132.3	0.0	155.4	185.89	160.75	101.99	162.45	103.77	80.61	7.52	291.35	182.73	45.1	285.02	139.83	205.39
Ano3	0.0	0.0	0.0	173.86	296.56	195.21	257.03	272.25	0.0	0.0	203.93	148.23	311.41	121.69	279.83	242.35	0.05	0.07	0.0	0.0	0.0	0.0	0.0	188.47	76.72	231.25	259.99	0.0	143.56	69.12	127.5	136.11	123.36	365.92	214.62	306.77	317.71	182.97	288.58	237.4	170.77	0.0	123.92	205.48	36.44	69.17	28.43	0.0	262.75	0.0	51.55	57.87	0.1	0.0	0.0	200.79	247.28	50.77	103.5	227.22	238.38	86.33	153.31	342.04	173.24	279.18	133.96	8.56	539.12
Camk2g	11.15	0.0	7.96	67.21	117.62	104.34	38.57	77.6	0.0	0.0	53.56	48.7	64.05	2.05	75.07	36.56	37.44	0.09	20.88	12.93	0.0	33.43	2.78	14.84	55.19	48.84	142.17	111.59	58.93	90.57	64.15	84.93	7.34	127.62	84.89	201.72	153.16	69.47	95.9	129.59	68.72	0.0	37.39	63.53	115.31	84.56	1.1	0.0	104.5	17.65	113.56	42.73	0.13	28.13	0.0	86.38	91.58	115.63	181.75	70.14	112.08	124.87	52.49	99.4	122.5	30.59	61.42	46.92	5.46
Ccl27b	0.0	0.0	0.0	0.0	51.88	146.98	119.29	39.7	5.27	4.03	4.28	0.93	71.72	0.11	14.78	166.07	0.0	1.74	0.0	0.58	0.29	0.0	4.31	125.22	176.6	172.96	182.96	0.0	81.28	5.88	147.36	275.99	310.16	318.99	188.03	85.18	111.71	178.93	183.85	79.46	62.7	0.0	0.31	3.75	121.98	49.81	118.2	0.0	106.59	30.14	150.83	108.35	4.89	0.0	0.0	54.7	75.81	138.81	89.39	91.35	100.7	74.33	80.83	235.31	176.84	97.07	149.77	258.72	95.77
Foxp2	0.0	0.0	0.0	0.0	0.43	36.96	18.13	0.17	0.0	0.0	0.0	0.17	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.09	0.0	0.0	0.03	37.68	36.42	40.67	20.29	10.07	48.55	82.85	112.74	16.17	90.98	19.64	6.05	41.27	173.95	19.14	138.98	164.24	13.25	0.0	0.14	0.0	0.29	6.75	0.09	0.0	62.88	0.08	82.28	34.62	0.0	0.0	0.0	27.96	30.97	0.0	36.71	0.0	17.89	2.91	68.05	8.76	6.19	0.0	34.99	0.0	116.33
Galnt9	0.0	0.0	18.77	19.37	199.41	105.45	104.47	8.15	0.0	0.0	291.93	40.63	93.1	98.69	121.48	113.87	0.0	0.11	0.07	0.2	0.0	0.0	4.82	100.45	174.79	142.08	125.37	0.23	1.86	203.58	51.19	191.0	0.28	12.4	8.78	234.36	17.86	147.57	131.51	7.8	230.65	0.0	38.02	120.31	102.92	50.87	187.75	0.0	139.54	0.49	403.38	1.02	0.0	38.13	0.0	49.74	44.7	9.89	12.34	30.41	4.28	43.19	107.4	112.09	30.7	1.39	48.98	125.17	0.13
Garnl3	0.0	0.0	22.21	0.0	76.67	40.57	112.99	15.64	0.0	0.0	14.02	0.98	45.67	5.94	116.14	56.31	45.08	2.4	29.33	2.01	4.29	38.29	35.62	199.13	112.86	40.27	234.29	0.21	145.58	15.28	56.71	117.07	45.6	49.27	161.35	134.78	88.03	92.48	167.06	246.98	217.52	0.0	0.0	0.13	0.18	34.06	7.68	0.0	259.92	63.2	156.35	125.53	25.29	35.81	0.0	97.1	100.3	39.09	75.88	14.5	158.81	81.31	18.95	77.0	109.55	13.32	56.93	0.59	44.07
Gm13306	0.0	0.0	0.0	0.0	51.88	146.98	119.29	39.7	5.27	4.03	4.28	0.93	71.72	0.11	14.78	166.07	0.0	1.74	0.0	0.58	0.29	0.0	4.31	125.22	176.6	172.96	182.96	0.0	81.28	5.88	147.36	275.99	310.16	318.99	188.03	85.18	111.71	178.93	183.85	79.46	62.7	0.0	0.31	3.75	121.98	49.81	118.2	0.0	106.59	30.14	150.83	108.35	4.89	0.0	0.0	54.7	75.81	138.81	89.39	91.35	100.7	74.33	80.83	235.31	176.84	97.07	149.77	258.72	95.77
Gm13308	0.0	0.0	2.19	0.0	7.44	44.75	40.53	5.71	0.0	0.0	27.03	7.14	18.98	0.0	0.0	33.2	0.0	0.0	0.0	0.0	0.0	0.0	5.05	42.86	56.68	126.9	159.7	0.0	0.0	93.19	28.38	15.56	10.26	60.4	2.54	43.74	163.18	95.29	164.35	57.99	35.94	0.0	0.0	0.0	36.09	0.0	24.42	0.0	28.38	8.32	20.82	0.0	0.0	1.0	0.0	14.16	26.15	41.05	109.9	45.0	95.65	0.0	7.98	59.87	2.55	0.92	0.0	18.55	30.46
Gm2506	0.0	0.0	0.0	0.0	51.88	146.98	119.29	39.7	5.27	4.03	4.28	0.93	71.72	0.11	14.78	166.07	0.0	1.74	0.0	0.58	0.29	0.0	4.31	125.22	176.6	172.96	182.96	0.0	81.28	5.88	147.36	275.99	310.16	318.99	188.03	85.18	111.71	178.93	183.85	79.46	62.7	0.0	0.31	3.75	121.98	49.81	118.2	0.0	106.59	30.14	150.83	108.35	4.89	0.0	0.0	54.7	75.81	138.81	89.39	91.35	100.7	74.33	80.83	235.31	176.84	97.07	149.77	258.72	95.77
