	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_58	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_29	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_59	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_27	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_40
1110058L19Rik	0.0	96.38	4.66	139.17	4.37	3.65	0.0	135.92	120.61	0.0	427.74	328.68	108.27	505.55	379.37	117.2	3.63	293.95	0.64	0.0	211.02	126.48	393.29	18.79	108.16	80.59	133.77	230.74	350.31	155.91	274.4	104.8	533.07	304.61	269.85	108.17	678.81	354.62	111.54	176.8	288.54	160.14	228.42	199.82	86.38	225.6	9.95	155.06	75.19	218.22	174.9	130.79	275.56	100.05	227.43	115.24	588.27	96.32	0.0	123.1	232.37	172.46	201.54	0.0	557.15	0.0	26.45	103.01	2.21	409.47	5.33	258.86	246.55	183.67	204.05	280.04	265.01	248.85	268.53	302.29	320.86	289.06	274.17	274.5	167.68
1500003O03Rik	1054.8	29.95	188.73	5.12	161.12	121.02	389.83	0.13	264.2	563.11	0.0	594.1	357.96	367.99	531.34	124.23	85.7	158.98	389.15	474.13	191.62	161.74	374.61	302.59	152.22	249.06	274.08	214.58	0.97	16.15	336.93	291.99	21.2	16.59	468.83	180.84	98.65	339.03	177.98	218.25	46.16	158.04	280.33	236.79	139.38	25.9	591.71	273.02	249.07	223.93	253.83	214.15	109.8	519.35	38.23	237.25	108.93	327.87	14.48	2.03	178.7	317.33	129.27	0.0	290.37	173.96	27.88	422.29	371.36	259.5	142.61	285.97	227.84	362.57	199.08	233.39	234.33	302.62	272.06	364.57	230.7	261.62	249.04	280.78	191.85
1600002D24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0
2700090O03Rik	270.43	0.0	0.0	0.0	0.0	0.0	171.9	0.0	152.69	128.66	0.0	0.0	0.8	0.0	0.0	0.0	67.85	113.51	0.0	0.0	3.01	153.65	32.62	0.0	0.0	0.0	0.0	15.81	193.37	0.0	67.4	0.0	0.0	191.67	19.53	17.37	160.48	181.23	0.0	79.35	34.07	0.0	0.0	1.16	74.51	0.0	0.0	128.85	115.96	178.57	0.0	0.0	63.83	0.0	0.0	0.0	0.0	109.6	0.0	103.64	0.0	0.0	116.36	0.0	0.0	243.34	0.0	0.0	0.0	5.77	0.0	112.53	59.03	122.81	106.03	64.01	115.62	151.52	114.69	162.8	50.17	67.46	85.26	74.52	82.74
3110035E14Rik	2.16	3.22	3.4	8.2	7.15	1.18	4.1	23.89	5.35	88.77	360.67	0.0	103.27	1.42	265.4	0.2	1.06	101.38	4.1	167.66	3.22	3.96	0.46	74.9	68.1	151.82	21.96	18.38	76.77	1339.99	355.47	309.71	638.56	831.58	504.21	993.2	668.16	804.89	143.1	184.64	11.94	40.59	138.5	2.76	190.14	88.16	293.41	191.75	197.72	132.4	6.82	100.96	58.6	0.84	1.64	194.74	1.38	72.79	94.89	0.83	0.0	4.8	763.37	0.0	3.53	3.96	0.0	48.4	4.81	605.55	0.0	538.93	438.16	560.43	437.27	437.81	520.77	609.37	366.64	500.56	362.32	558.26	478.83	506.56	88.77
6720456B07Rik	618.01	873.48	850.05	1074.21	657.08	427.31	507.1	934.0	790.65	894.62	671.35	376.23	542.36	586.85	836.97	252.47	491.62	753.07	371.95	218.47	804.55	718.37	334.69	647.39	1843.48	135.61	970.58	407.24	867.37	429.87	1135.11	1202.47	1145.48	791.6	1046.86	1040.77	612.67	668.38	278.2	622.43	1023.7	779.15	634.63	1119.17	1472.13	516.42	1442.82	1109.23	1189.0	1101.79	802.68	1016.67	461.63	350.87	576.1	350.31	621.42	853.35	1176.17	226.09	722.98	461.05	527.92	507.15	780.2	606.6	496.25	964.14	268.85	1157.74	444.73	1186.59	1098.74	1088.2	1037.29	1104.82	1132.88	1039.89	1375.25	1132.67	1174.91	988.19	1261.24	1153.21	482.64
A830018L16Rik	0.3	4.27	48.73	27.98	0.27	1.28	69.16	49.46	0.74	0.68	0.22	4.53	1.15	0.78	1.83	140.34	12.4	16.26	11.59	4.14	49.52	125.27	0.88	6.15	1.66	23.95	35.94	74.73	73.55	87.75	80.5	47.02	45.88	17.26	25.29	101.03	141.24	94.33	0.39	28.6	43.91	24.39	5.04	39.93	15.51	99.54	1.42	7.3	0.9	12.99	144.62	57.25	64.27	36.84	0.83	1.01	18.56	153.82	47.57	19.04	0.16	12.03	40.46	11.78	17.92	128.25	39.49	38.08	50.48	31.89	0.35	85.85	44.61	67.64	53.36	42.79	59.76	58.29	52.35	62.35	57.63	60.59	62.4	59.44	38.03
AI607873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0
Abce1	0.0	112.08	54.59	464.31	29.4	49.97	1.97	87.31	71.27	0.0	10.28	0.0	0.34	26.09	52.55	10.16	96.08	93.4	153.0	49.47	1.98	134.73	0.13	167.69	6.16	0.48	36.99	0.07	98.93	37.09	24.0	119.74	131.0	45.36	416.35	0.0	154.14	290.99	152.13	0.0	91.96	5.73	111.23	24.8	7.84	147.93	417.81	223.87	5.83	7.94	0.0	0.21	0.23	0.03	118.52	74.56	25.23	90.12	93.01	281.55	57.97	0.0	111.56	103.63	124.82	0.88	0.0	263.52	175.41	62.35	425.42	98.71	62.14	158.43	109.26	67.18	94.94	98.4	65.77	102.77	54.24	167.88	88.9	94.14	93.24
Aldh3a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.65	0.0	0.0	0.0	0.0	3.9	0.0	0.0	447.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.59	0.0	0.0	0.0	0.0	0.0	0.0	39.74	0.0	48.39	10.95	120.56	23.63	0.0	72.62	55.37	86.93	20.91	58.16	36.85	40.32	45.78	0.0
Arhgap25	0.0	0.0	0.04	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.41	84.44	247.29	15.43	108.28	0.0	0.16	0.18	273.77	228.96	194.42	0.18	0.0	0.0	0.0	0.0	86.5	0.0	116.43	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	109.15	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	177.35	91.87	120.91	118.64	134.92	163.1	100.77	53.49	90.37	142.41	124.9	164.62	158.59	0.0
Arhgap44	192.04	171.1	124.64	127.04	309.74	24.69	499.13	41.08	214.42	202.92	36.91	151.73	135.87	353.41	268.41	190.03	192.22	146.85	213.9	0.0	251.92	134.17	279.95	118.98	323.71	120.25	149.11	252.28	178.02	229.29	353.7	424.54	349.63	314.54	468.9	44.48	238.14	568.04	241.17	139.43	187.96	93.0	282.7	313.34	226.14	183.14	222.69	264.03	384.88	182.57	111.87	159.68	70.17	82.92	74.24	111.31	142.55	379.46	237.91	166.22	357.05	119.57	421.03	238.99	80.99	209.91	158.97	307.62	177.83	349.5	610.56	559.0	523.67	419.64	470.51	491.4	445.6	427.8	337.39	377.8	284.47	492.83	399.35	425.14	182.57
Arpc1a	89.19	279.06	506.0	577.62	312.24	230.85	824.05	153.31	274.96	63.53	229.08	2.4	370.71	329.36	500.35	813.4	242.11	406.19	510.14	429.77	381.92	484.48	1.25	347.9	250.04	356.34	442.14	341.6	411.8	318.16	1047.93	240.78	1336.55	884.95	665.76	528.28	877.88	609.88	664.26	770.36	522.13	287.14	304.89	698.29	799.16	588.94	507.47	469.63	313.56	264.96	169.7	433.85	427.76	343.86	330.92	66.92	115.35	156.02	164.9	162.32	747.75	226.84	436.9	441.9	442.37	0.0	145.08	374.13	746.13	679.6	212.8	656.26	615.51	673.74	673.02	671.45	670.09	502.45	517.55	573.51	566.93	549.07	646.94	698.79	359.5
