	Calb2_tdTpositive_cell_10	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_65	Gad2_tdTpositive_cell_75	Gad2_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_81	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_43	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19	Tac2_tdTpositive_cell_7
AK010878	58.26	4.66	113.93	44.9	13.07	9.34	33.05	10.98	8.72	5.41	0.0	14.82	200.88	1.66	13.09	0.9	16.36	12.97	148.03	139.16	167.63	101.83	33.68	28.54	16.9	5.13	45.57	85.79	14.65	62.01	39.02	77.76	8.37	12.02	17.64	10.75	10.81	0.0	4.63	0.63	28.39	1.59	5.22	3.6	8.44	33.92	9.29	4.46	0.0	73.04	8.09
Atp5d	321.13	217.74	208.77	205.2	43.86	201.89	0.0	9.64	0.0	51.95	0.0	0.0	241.87	0.0	320.75	0.31	0.0	182.61	358.32	297.72	214.92	407.02	627.08	319.15	0.0	216.15	275.37	330.99	588.27	328.79	289.27	247.59	0.0	58.06	13.87	171.42	0.0	0.0	1275.67	0.0	0.0	0.0	0.0	0.0	0.0	342.28	0.57	0.0	0.0	0.0	109.38
Atp6v0d1	503.92	60.96	333.86	149.53	0.0	258.01	0.0	0.36	188.74	215.33	0.0	0.62	0.36	280.24	2.27	125.48	0.0	0.0	251.28	156.06	411.92	254.66	331.34	241.73	0.0	249.41	154.77	248.58	365.02	216.37	337.12	278.52	0.45	153.02	0.0	0.0	12.16	201.63	0.0	0.0	0.0	0.33	52.95	150.84	33.73	254.09	0.0	507.04	0.5	113.88	364.95
Atxn1	50.98	0.0	46.07	41.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.11	0.0	0.08	0.0	0.0	0.0	29.59	51.74	17.09	35.05	13.56	11.73	0.0	21.09	7.32	0.03	4.74	24.4	28.52	13.37	0.03	0.11	0.03	0.05	0.16	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	20.48
Bbs5	126.84	0.0	110.92	105.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.29	0.0	0.0	0.0	51.21	13.51	168.72	40.55	0.0	18.1	0.0	150.42	4.29	37.09	0.0	13.33	44.19	55.46	0.17	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.57	207.12
Bex2	1513.36	0.35	365.66	434.2	0.0	162.88	0.0	0.0	0.0	0.0	0.0	0.0	3.37	0.0	1.4	0.0	0.0	0.0	632.34	771.84	1178.55	577.6	1028.26	420.22	0.0	1050.06	470.32	365.96	966.7	346.49	184.9	1015.49	0.28	0.82	0.0	0.0	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	758.73
Brp44	133.44	0.0	97.0	203.92	0.0	60.75	241.18	97.99	0.0	182.66	46.54	0.0	0.71	0.0	0.49	0.0	0.0	0.0	257.71	162.9	89.89	191.51	293.1	222.46	0.0	124.63	183.27	176.19	292.2	257.41	427.59	215.6	0.0	0.58	0.0	0.0	0.53	0.0	89.5	22.35	224.74	2.57	0.0	0.0	0.0	324.36	47.13	7.88	0.0	90.61	34.95
Bsg	465.76	172.17	161.15	95.59	16.51	128.61	0.0	0.0	0.0	0.0	0.0	0.36	0.42	14.89	110.23	299.67	72.12	0.0	110.89	241.38	159.06	128.29	295.73	43.21	465.58	380.15	339.48	384.7	163.83	166.68	169.71	124.7	0.0	0.17	0.0	0.0	0.63	0.0	0.0	157.84	62.41	0.0	0.0	0.0	0.35	251.8	0.0	0.0	0.0	0.46	91.93
Camk2d	190.7	0.0	69.56	14.68	0.0	6.92	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	6.77	13.33	19.59	75.87	12.91	8.77	0.0	3.24	10.43	49.09	42.63	19.61	14.0	97.8	0.0	0.56	0.09	0.0	0.1	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	24.78
Camta1	87.57	0.04	57.26	81.35	0.0	38.38	70.61	0.0	62.03	0.0	0.0	0.0	0.0	15.05	0.0	0.03	0.0	0.0	37.49	100.89	141.68	2.48	22.38	42.23	0.05	47.76	70.78	3.37	12.85	60.27	32.21	48.97	0.0	42.25	26.64	0.0	0.0	0.0	0.05	0.0	0.0	0.1	0.0	0.0	0.12	0.14	0.0	0.0	0.19	0.07	35.65
