	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
0910001L09Rik	45.11	46.55	205.17	246.07	111.71	0.0	0.0	0.78	0.0	126.3	0.0	0.0	0.0	24.25	84.13	65.92	0.0	28.99	16.2	105.34	25.43	72.33	18.51	48.38	59.29	65.86	58.69	47.7	91.85	71.3	2.38	29.51	80.41	36.67	80.03	72.26	2.81	29.22	73.03	80.68	4.89	68.64	17.65	26.07	57.53	0.0	0.0	1.51	0.0	0.0	551.52	0.0	0.0	0.0	153.41	103.46	19.6	0.0	71.56	83.15	41.29
2210013O21Rik	182.04	36.1	478.03	893.47	150.27	0.15	0.0	169.07	8.47	343.37	0.0	0.0	0.0	186.46	435.63	303.39	85.49	145.89	96.76	123.15	184.07	153.96	134.1	352.27	321.36	213.96	91.35	200.1	294.71	217.47	82.98	120.06	258.26	123.99	290.86	140.73	409.35	197.02	102.8	75.99	164.78	115.72	304.93	152.58	101.13	0.0	0.0	0.0	0.0	0.89	0.79	0.0	0.0	0.0	51.66	213.17	228.01	66.53	189.17	178.54	71.85
6330403K07Rik	679.79	841.83	635.4	577.68	1240.96	149.87	0.0	74.79	251.26	18.56	0.0	0.0	0.0	907.71	1350.06	655.92	1058.02	685.74	1029.7	337.86	542.7	667.83	941.07	1151.65	888.52	793.04	559.16	681.8	1159.17	863.16	440.11	113.25	525.05	269.55	633.41	193.74	607.2	245.61	441.66	368.83	432.33	608.72	541.24	909.53	412.79	0.0	0.0	0.0	0.0	0.93	0.82	0.0	0.0	0.0	453.94	754.64	850.62	0.34	758.5	723.18	761.04
AI413582	97.29	248.14	876.04	1076.62	81.76	406.42	0.0	211.08	271.78	301.98	0.0	0.0	0.0	215.52	153.0	358.57	0.0	206.85	530.56	351.87	310.02	416.96	291.0	618.83	391.62	179.82	168.48	207.82	343.91	308.34	392.04	375.4	188.96	269.3	299.99	417.39	306.89	402.91	392.7	324.44	205.88	331.37	188.05	527.17	222.48	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.0	421.3	376.97	171.55	575.06	286.84	514.9	735.57
Ache	167.78	80.69	7.37	199.15	187.19	0.0	0.0	9.76	13.17	10.21	0.0	0.0	0.0	82.75	135.37	6.27	0.22	153.82	17.25	67.42	65.71	17.99	28.13	105.82	162.63	92.89	155.4	45.22	22.25	45.75	91.34	0.0	38.39	29.58	106.97	23.8	1.19	79.46	88.32	16.51	14.4	65.29	124.48	66.45	55.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.08	61.76	49.05	0.5	153.42	83.91	94.28
Arhgap1	10.67	17.66	84.86	120.71	88.96	0.0	0.0	10.83	0.0	1.92	0.0	0.0	1.26	66.71	86.77	30.2	1.17	42.9	49.86	36.7	46.86	85.77	4.32	24.36	52.79	67.36	91.15	0.0	166.49	86.25	82.24	1.57	21.93	0.11	0.33	5.15	62.87	30.79	58.06	77.61	31.1	0.0	70.9	106.4	93.46	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	11.49	32.02	52.45	0.37	60.48	34.21	48.97
Arpc3	72.13	89.74	263.47	427.99	196.9	140.58	0.0	0.0	18.33	68.59	0.0	0.0	0.0	57.29	198.49	72.25	55.94	137.28	100.06	110.09	161.62	85.14	305.86	87.34	134.45	140.9	82.67	0.0	171.78	44.28	137.75	135.08	0.0	35.21	102.59	67.24	105.49	0.32	61.49	102.57	41.27	50.14	97.35	77.93	136.41	0.0	0.0	6.24	0.0	0.9	0.0	0.0	0.0	0.0	271.22	86.74	118.26	0.0	122.64	140.03	155.9
Bccip	0.53	68.29	174.57	750.29	53.08	6.49	0.41	1.07	0.0	25.3	6.18	0.0	3.06	144.66	146.82	97.09	102.75	101.38	89.13	86.63	96.65	154.82	194.05	134.14	103.35	109.0	149.96	100.12	68.23	44.82	74.08	150.07	85.55	129.3	41.78	68.56	5.05	68.35	165.58	185.05	33.04	129.49	70.05	162.47	127.92	0.0	132.79	1.04	0.0	1.22	1.06	0.0	0.0	0.0	91.96	293.87	55.57	78.52	182.0	97.91	72.6
Caly	262.7	330.66	675.57	962.14	502.52	652.46	0.0	260.17	193.23	208.07	0.0	0.0	0.0	497.55	440.52	662.63	663.86	637.79	486.91	303.26	559.16	460.22	315.96	794.13	407.06	791.11	415.36	501.27	743.16	485.31	798.92	334.26	290.77	424.31	627.17	626.51	463.45	332.61	829.37	474.3	238.63	340.44	871.47	606.75	441.73	0.0	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	556.41	544.36	409.43	278.94	722.68	665.22	670.47
Ccl27b	0.0	0.0	22.17	28.87	8.68	0.0	0.0	0.0	0.0	17.1	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88
