	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_22	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
0610010B08Rik	0.0	0.24	120.0	35.46	32.38	0.0	1.74	2.06	3.65	48.31	0.0	2.52	0.45	45.53	30.03	1.11	12.26	1.56	78.97	15.8	26.9	75.29	37.24	28.14	15.71	13.5	37.78	14.76	2.68	0.7	22.01	10.96	28.79	2.35	11.07	9.06	4.52	15.46	1.64	12.05	1.46	5.5	15.13	0.26	24.77	28.25	0.47	11.04	6.95	29.79	35.95	57.4	19.66	36.62	7.16	0.49	1.55	0.25
Cdr1	0.0	0.0	59.71	102.47	41.09	0.0	0.0	29.58	0.0	96.17	0.0	0.0	0.52	53.51	64.19	36.68	47.5	85.92	122.63	32.81	79.93	35.08	110.68	129.29	135.65	37.4	58.36	73.33	85.72	10.27	12.54	0.49	77.54	54.78	134.08	2.97	46.83	50.28	33.56	125.28	2.59	69.32	89.39	139.13	15.12	102.48	182.77	60.93	83.73	24.63	204.25	164.39	210.13	144.7	104.56	0.36	0.0	0.0
Endod1	0.0	20.29	111.96	18.47	71.82	0.0	0.09	9.07	0.1	58.71	0.0	0.64	0.0	68.9	202.92	35.84	47.45	47.52	54.84	40.85	45.21	13.73	103.48	65.55	96.76	29.13	170.1	76.93	105.25	93.38	45.89	57.23	168.38	0.35	104.65	71.06	55.42	145.14	21.75	105.25	30.1	96.7	79.44	68.89	74.97	48.94	89.99	106.32	75.98	9.6	94.43	78.78	142.32	48.62	151.41	0.09	0.33	9.18
Entpd7	0.0	0.0	11.19	5.44	30.55	0.0	1.95	21.34	0.0	15.48	0.0	21.11	0.1	43.1	20.0	5.98	8.93	94.7	36.06	31.86	29.08	62.05	44.98	34.53	58.12	36.89	50.8	84.95	19.31	23.65	27.9	85.56	9.32	35.39	74.26	8.77	37.89	84.0	19.99	31.8	0.0	51.92	87.82	32.25	9.16	42.48	21.46	8.77	34.03	28.01	56.91	23.04	34.89	78.84	38.67	0.2	0.24	0.12
Gabra1	0.0	15.85	935.58	906.2	821.71	0.0	0.0	524.61	120.97	590.99	0.0	0.0	1.29	841.0	993.96	805.71	830.95	798.81	698.71	640.32	736.89	365.02	941.01	908.99	1083.64	1370.0	996.64	1291.16	902.47	549.15	640.97	969.69	486.9	492.04	1171.17	203.58	660.33	901.92	482.85	1110.1	498.3	782.66	589.87	1099.7	621.87	630.43	959.22	534.78	896.18	734.75	1200.6	914.87	1196.86	1196.46	942.94	1.19	0.79	0.0
Galntl6	0.25	49.3	805.9	540.24	557.69	0.59	54.17	165.37	97.86	191.17	0.56	0.3	0.97	181.62	342.41	93.87	105.75	200.94	237.62	193.13	275.75	148.39	221.42	330.75	262.07	468.93	324.45	413.01	290.21	422.58	353.42	279.12	252.52	181.3	578.29	189.86	375.72	615.0	202.81	246.88	232.36	454.19	538.37	234.4	104.71	251.12	286.15	98.14	225.31	108.66	515.27	260.22	367.48	291.08	446.5	1.26	1.6	1.1
Glrb	0.0	125.81	266.87	251.27	520.84	0.0	19.23	146.38	0.0	240.84	0.0	0.0	0.8	111.48	289.15	106.94	192.42	232.89	351.58	148.28	279.89	206.44	203.4	452.11	352.29	284.46	257.93	480.21	10.05	58.75	424.05	221.29	146.2	49.46	296.39	211.68	273.34	234.08	104.5	226.46	129.98	171.25	218.21	185.75	273.86	147.35	113.13	169.76	175.79	183.43	339.83	636.76	646.77	153.63	259.04	0.56	0.49	0.0
Gm14430	0.0	0.0	17.66	21.67	20.12	0.0	2.09	2.47	0.88	3.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	1.87	12.3	18.96	26.14	21.18	14.72	6.05	13.5	14.04	16.5	13.46	3.22	0.84	12.83	3.07	20.8	2.82	11.03	10.87	5.42	18.55	1.86	13.57	0.0	4.08	11.25	0.32	9.13	19.5	0.54	6.88	8.34	13.81	23.53	11.12	23.59	25.3	2.38	0.24	0.0	0.0
Gm14434	0.0	0.0	17.66	21.67	20.12	0.0	2.09	2.47	0.88	3.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	1.87	12.3	18.96	26.14	21.18	14.72	6.05	13.5	14.04	16.5	13.46	3.22	0.84	12.83	3.07	20.8	2.82	11.03	10.87	5.42	18.55	1.86	13.57	0.0	4.08	11.25	0.32	9.13	19.5	0.54	6.88	8.34	13.81	23.53	11.12	23.59	25.3	2.38	0.24	0.0	0.0
Gm4724	0.0	0.0	17.66	21.67	20.12	0.0	2.09	2.47	0.88	3.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	1.87	12.3	18.96	26.14	21.18	14.72	6.05	13.5	14.04	16.5	13.46	3.22	0.84	12.83	3.07	20.8	2.82	11.03	10.87	5.42	18.55	1.86	13.57	0.0	4.08	11.25	0.32	9.13	19.5	0.54	6.88	8.34	13.81	23.53	11.12	23.59	25.3	2.38	0.24	0.0	0.0
