	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_39	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
2200002K05Rik	23.37	32.97	58.92	0.0	0.0	0.0	0.0	0.0	89.65	0.0	96.24	0.0	0.0	72.12	83.17	0.04	0.0	0.0	0.0	12.25	45.18	34.36	89.59	20.4	46.81	67.77	0.0	68.25	50.65	0.0	19.13	0.0	0.0	0.0	0.0	60.71	0.0	38.19	43.71	0.14	67.52	14.09	51.17	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	59.85	0.0	0.0	45.72	98.76	1.79	0.0	125.49	11.82	77.18	1.89	52.86	71.53	126.8
2310016M24Rik	98.85	105.56	313.7	0.0	0.48	0.0	0.0	0.0	217.68	0.0	319.85	0.0	261.69	209.18	172.13	191.04	198.94	46.34	331.35	224.01	309.25	337.51	181.86	176.29	181.94	219.77	157.77	419.22	258.92	109.8	264.84	113.64	206.71	178.97	0.0	76.13	167.59	23.71	203.15	195.13	306.22	237.05	39.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.59	711.69	620.41	213.19	377.88	154.99	129.1	244.75	480.74	172.23	344.4	601.58	176.24	813.17
2900064A13Rik	110.56	91.05	171.37	0.0	0.0	0.0	6.96	0.0	229.83	298.85	20.41	0.0	88.64	88.98	130.97	128.16	225.76	151.6	296.63	139.62	91.72	310.36	141.45	183.73	277.66	211.36	176.58	161.89	307.75	0.0	143.15	201.95	342.33	0.0	24.3	13.04	222.25	185.85	211.17	166.05	173.86	8.74	199.66	1.31	0.49	0.0	0.0	0.0	0.0	0.0	0.0	98.18	510.53	406.55	67.8	174.59	150.87	46.29	254.13	359.88	113.22	111.19	157.28	118.69	374.57
AW209491	84.1	176.25	57.44	0.0	0.0	0.0	0.0	0.0	161.49	0.0	279.4	0.0	127.14	190.59	104.31	106.16	0.06	0.35	0.14	171.06	70.11	192.42	140.98	30.71	136.45	94.37	198.17	73.58	187.46	144.09	0.3	44.91	109.38	58.53	0.0	154.74	55.12	50.36	62.27	92.87	174.19	81.97	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	95.55	206.28	52.67	262.44	143.32	101.43	71.26	380.72	121.17	43.72	175.15	55.11	150.1	524.13
Adrbk2	0.0	0.11	0.0	0.0	0.0	0.01	0.0	0.0	6.64	2.87	167.47	0.0	157.83	0.55	0.0	0.51	0.02	9.15	0.12	0.02	0.27	41.48	21.59	0.0	7.83	23.21	0.0	0.1	0.0	1.16	0.0	0.05	13.35	2.39	0.0	0.18	0.07	0.0	0.93	0.0	6.79	1.42	0.22	1.09	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	19.65	99.76	3.64	1.61	1.68	0.27	46.61	12.02	0.51	53.45	10.78	2.16	245.03
Aebp2	10.67	7.42	17.49	0.0	0.0	0.0	0.0	0.0	12.14	0.0	2.27	0.0	0.0	23.62	0.0	4.08	0.0	0.28	0.02	0.47	0.0	15.43	7.76	9.06	5.88	24.84	8.14	41.19	8.58	0.0	15.76	11.4	0.04	0.0	0.0	0.0	0.73	30.24	0.05	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	45.37	0.0	0.0	0.0	0.0	29.31	0.0	36.7	0.0	8.51	29.65	8.71	7.79	22.06	23.13	46.73	30.74
Ankrd45	33.85	8.75	0.0	0.0	0.0	0.0	0.0	0.0	117.82	0.0	0.0	0.0	0.0	6.81	0.1	33.35	0.06	0.0	56.45	45.7	21.37	0.39	40.9	1.99	0.0	60.9	28.61	0.0	0.98	8.36	0.0	0.0	0.06	0.0	0.0	0.0	0.0	39.93	39.49	26.96	32.23	0.06	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	23.56	0.0	0.0	0.0	16.58	50.01	0.06	109.14	23.4	3.08	58.77	136.57	3.59	135.69
Arrb1	30.39	15.92	14.95	0.0	0.0	0.0	0.0	0.0	2.67	0.0	17.73	0.0	0.11	13.59	1.33	17.62	3.49	1.78	43.3	4.55	1.93	17.8	0.09	13.32	27.98	0.62	42.93	6.29	29.49	21.59	0.0	29.95	18.26	0.0	3.18	41.69	4.33	26.21	6.7	0.69	0.04	0.06	19.66	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.16	28.67	21.87	1.34	4.13	0.49	15.32	36.85	9.26	15.73	96.66	19.02	24.88	126.57
Atp1b1	460.32	401.56	307.14	0.0	0.0	0.0	49.05	0.39	432.17	417.4	419.28	0.0	304.96	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	139.05	232.31	418.76	244.76	352.98	298.32	231.61	175.8	264.41	267.37	292.65	267.22	303.71	242.63	367.15	231.1	0.56	0.21	0.0	0.0	0.0	0.0	0.0	0.0	351.47	652.86	443.9	221.22	632.47	305.28	288.3	1041.99	723.26	230.53	674.02	399.91	251.06	983.61
Atp6v1a	411.95	503.38	602.7	0.0	36.8	0.0	0.0	0.0	704.56	428.54	767.51	0.0	634.81	776.42	710.05	454.58	477.64	364.04	388.85	506.04	556.89	474.74	767.35	571.97	612.22	632.89	638.05	120.61	378.63	469.41	308.66	378.97	500.35	425.53	380.5	267.65	393.44	869.49	512.07	558.53	359.77	532.18	443.55	0.17	0.38	0.0	1.2	36.06	0.0	170.26	0.0	259.71	448.04	834.61	474.09	570.68	371.4	274.44	595.95	529.08	445.57	995.94	704.06	540.01	612.3
Bcat1	82.48	92.15	56.07	0.0	0.0	0.0	0.0	0.0	6.33	0.0	2.92	0.0	31.4	90.31	71.34	1.89	1.44	22.0	29.75	50.19	13.29	38.64	33.72	13.71	67.29	24.01	12.12	25.53	34.81	15.67	0.0	15.23	51.18	24.37	0.0	28.14	25.08	25.64	33.29	49.81	17.59	45.29	67.24	0.09	0.06	0.0	0.0	0.0	0.0	0.0	0.0	27.16	18.65	49.54	63.66	13.72	25.69	35.48	55.88	76.78	37.37	45.13	133.65	67.72	129.91
Bccip	0.53	68.29	53.08	0.0	0.0	0.0	0.0	0.0	198.32	0.0	25.3	0.0	114.5	144.66	146.82	97.09	102.75	101.38	89.13	86.63	96.65	154.82	194.05	134.14	103.35	109.0	149.96	68.23	44.82	74.08	85.55	129.3	41.78	68.56	5.05	68.35	165.58	185.05	33.04	129.49	70.05	162.47	127.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.96	79.78	380.78	293.87	201.12	55.57	182.0	206.72	250.2	97.91	106.63	434.09	72.6	522.56
Brwd1	111.51	53.84	56.8	0.0	0.0	0.0	0.0	0.0	105.63	52.17	97.23	0.0	3.59	67.05	67.07	12.6	21.3	0.09	2.89	56.67	58.38	5.62	14.87	22.73	52.53	44.16	6.36	10.09	10.7	40.44	88.57	45.28	0.38	0.61	49.78	8.85	3.12	0.07	75.0	31.32	50.38	0.06	38.49	0.09	0.0	0.0	0.0	0.12	0.0	0.13	0.0	0.95	118.6	80.66	7.33	51.6	5.99	30.34	26.29	65.6	2.07	132.22	23.83	2.2	247.27
Calm3	249.28	122.75	218.61	0.0	16.08	0.0	0.0	0.0	176.83	12.12	211.89	55.76	225.08	177.13	146.3	130.6	224.79	160.86	209.81	207.88	219.9	175.99	99.82	186.3	201.72	141.56	198.09	167.33	178.19	176.68	215.76	181.74	104.17	103.46	113.61	176.45	210.71	161.63	225.7	115.86	186.72	229.11	147.95	0.0	7.33	0.0	0.0	29.94	0.0	13.77	15.68	305.35	311.9	276.37	198.82	207.8	185.22	246.81	243.0	148.41	160.08	146.28	96.26	94.51	321.15
Cars	40.63	27.81	82.27	0.0	0.0	0.0	0.0	0.0	232.85	0.0	2.2	0.0	0.0	0.0	52.12	11.26	59.03	43.28	68.9	0.14	19.52	47.35	8.55	105.72	198.11	60.24	74.47	52.15	29.24	5.01	11.49	34.56	51.9	21.0	0.71	55.42	83.75	14.95	40.42	0.18	61.16	152.51	34.39	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.19	59.05	50.11	68.94	75.15	38.72	59.01	193.57	8.78	22.24	167.32	100.57	75.54	224.1
Cct6a	259.36	168.72	261.64	0.0	0.0	0.0	0.28	0.0	241.79	0.0	278.09	0.0	68.44	189.01	96.91	96.82	169.7	136.79	1.83	164.93	148.54	214.16	36.09	197.43	408.67	252.96	182.63	54.51	220.1	75.22	27.92	77.03	52.27	236.83	22.26	66.17	286.46	168.34	93.83	72.13	336.42	164.67	247.37	0.0	0.41	0.31	0.48	0.0	0.0	0.0	0.49	224.11	170.16	433.44	69.03	238.74	153.6	201.16	87.55	328.94	156.07	226.76	201.6	181.58	434.47
Chgb	191.39	69.12	164.16	0.0	0.0	0.0	0.0	0.0	204.75	178.54	273.65	0.0	266.26	199.67	124.87	136.1	79.44	5.23	50.42	122.29	97.22	159.35	227.17	219.51	168.0	203.86	187.7	198.16	93.65	190.95	91.8	127.46	125.56	80.99	13.34	118.79	131.64	123.04	110.76	298.34	43.2	117.48	47.94	0.0	0.37	0.0	0.0	0.34	0.0	0.0	0.0	202.1	186.41	138.44	96.6	225.52	249.63	222.98	192.57	275.67	109.03	121.14	248.36	228.12	410.26
Cops7a	117.4	114.34	164.06	0.0	0.0	0.0	0.0	0.0	272.97	0.0	123.67	0.0	296.38	170.54	264.08	137.57	69.63	146.82	213.54	168.73	116.61	174.87	48.76	127.57	182.35	78.82	35.42	163.94	266.11	39.22	238.81	172.13	87.91	138.04	335.96	167.0	260.66	178.75	184.34	161.27	223.34	204.84	58.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.13	207.71	274.91	126.32	194.88	157.41	245.43	157.38	320.16	181.2	58.49	508.17	223.44	681.94
Cox10	5.69	10.06	46.28	0.0	0.0	0.0	0.0	0.0	26.26	26.96	52.66	0.0	0.0	9.62	6.27	0.11	1.55	1.25	7.6	20.69	0.08	0.0	12.82	10.18	44.69	0.0	1.03	46.45	0.0	5.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.09	9.69	2.25	0.27	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.81	56.62	7.04	21.61	0.0	18.82	0.13	29.1	0.0	6.38	29.45	0.0	196.62
Gad2	320.61	411.41	371.93	1.13	0.0	1.33	0.62	0.62	462.02	113.88	1076.3	1.65	719.42	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	204.55	301.16	198.65	283.25	218.1	261.36	348.54	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.53	3.94	0.69	0.88	1.26	1.15	0.0	0.0	388.23	414.77	517.7	245.39	406.16	315.14	194.46	520.76	444.09	290.56	584.8	458.95	429.79	722.66
Grin1	6.83	11.37	27.19	0.0	0.0	0.0	0.0	0.0	20.61	1.03	22.13	0.0	24.29	16.01	11.15	0.76	0.37	7.12	4.71	11.59	3.89	6.43	16.62	10.36	50.02	12.81	11.06	1.06	8.49	1.39	0.27	5.46	0.25	0.0	12.18	4.11	54.65	2.24	15.36	10.11	2.6	1.03	19.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29	15.37	7.2	24.76	17.42	28.66	11.58	65.29	17.21	5.85	32.23	6.61	29.07	56.11
Idh3b	283.24	382.86	170.81	0.0	0.0	0.0	0.23	0.0	489.87	1.32	687.77	0.0	362.93	264.33	528.25	271.54	383.61	239.9	359.92	460.47	307.47	292.35	336.09	137.03	436.4	380.31	491.6	335.8	389.18	452.45	366.54	169.84	553.66	79.48	335.94	308.96	498.44	284.99	397.49	178.56	254.66	417.35	287.3	0.45	0.34	0.0	0.0	0.31	0.0	0.0	0.0	248.58	403.75	730.03	430.28	663.28	400.46	387.24	384.99	944.43	532.93	669.76	676.42	615.36	691.12
Impad1	8.11	0.0	11.06	0.0	0.04	0.0	0.0	0.0	20.71	0.9	26.69	0.0	0.08	51.27	58.18	20.76	3.0	0.0	0.05	31.8	31.24	30.54	63.24	24.1	1.91	18.57	18.81	0.0	38.51	4.1	48.23	0.07	0.05	39.32	0.0	54.12	51.57	0.0	28.17	7.66	14.51	4.68	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	34.62	27.81	58.4	5.67	4.08	0.0	0.0	23.77	15.84	0.0	29.26	32.17	1.03	72.22
Mapk8ip3	11.51	21.67	75.49	0.0	0.0	0.14	0.0	0.0	28.55	1.96	50.18	0.0	1.1	27.89	26.95	33.98	34.61	0.84	41.12	29.92	19.03	5.73	40.67	16.57	84.86	41.03	36.84	73.58	26.42	0.99	55.23	42.43	7.37	24.44	3.87	3.98	43.74	11.51	19.19	14.61	21.53	54.82	44.36	0.0	0.27	0.0	0.0	0.25	0.0	0.0	0.0	2.54	33.97	41.21	1.2	21.27	44.51	66.79	92.08	2.25	39.25	73.95	15.92	41.13	148.71
Mtch2	79.59	32.33	96.37	0.0	0.0	65.85	0.0	0.0	45.88	156.45	94.29	0.0	139.45	136.14	81.65	118.58	124.72	152.57	182.63	97.15	86.46	101.29	85.41	100.03	106.24	160.6	93.53	209.78	110.15	153.06	222.99	139.0	63.98	166.74	0.19	62.41	57.22	252.08	145.06	274.26	137.79	183.39	236.73	0.0	1.28	0.0	0.25	0.0	0.0	0.0	0.0	186.98	325.26	327.45	41.81	242.86	79.88	214.79	93.16	250.74	119.11	164.63	207.77	169.63	421.54
Ndrg4	871.85	1072.41	716.37	0.0	0.0	0.0	0.0	0.0	1422.06	335.95	1075.17	0.0	1449.26	1069.69	1279.17	906.67	693.97	758.61	1429.63	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	2179.26	784.5	940.51	964.18	741.05	633.32	1135.89	600.75	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	1450.54	583.92	0.23	1.03	0.0	0.0	0.16	0.0	0.0	0.0	1348.9	1082.32	1938.72	660.41	1185.55	1177.69	906.58	1542.35	1104.72	993.09	1988.21	1621.46	801.6	1723.26
Ndufv1	324.41	149.48	336.77	0.0	1153.53	0.26	0.0	0.0	416.05	0.0	297.11	0.0	511.67	289.14	257.56	115.89	250.18	456.74	311.43	289.18	218.39	207.89	248.42	371.72	326.91	402.07	322.36	381.41	499.06	208.14	202.88	237.45	421.17	324.25	5.63	216.47	379.15	297.3	330.95	164.65	476.88	303.9	382.92	0.0	91.03	0.0	0.0	0.3	0.32	0.0	0.0	274.66	251.88	721.07	118.19	481.88	290.77	408.5	591.47	489.96	226.06	313.77	198.28	499.64	608.0
Nme1	768.48	890.35	879.84	0.0	0.27	0.0	0.0	0.0	548.67	142.66	581.73	0.14	1622.22	932.31	906.8	654.56	525.93	755.33	870.11	1071.24	691.54	1134.98	621.58	998.21	974.37	947.25	812.36	1073.71	791.23	826.39	930.65	977.99	656.67	689.39	655.81	698.7	645.35	975.52	656.02	686.22	629.08	613.87	958.35	0.0	333.72	0.0	0.0	0.0	0.0	0.0	0.0	833.49	1335.86	1243.24	905.19	773.2	939.19	893.06	966.06	1794.9	1253.76	1251.6	1003.12	919.79	1194.82
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	108594.8	14635.6	125016.83	0.0	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	13964.96	180453.32	48343.46	128781.07	137945.15	35571.91	49931.63	137580.94	65503.76	65353.97	120620.2	68416.93
