	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Pvalb_tdTpositive_cell_81	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
1110002B05Rik	14.4	57.97	0.27	0.0	41.26	0.0	27.53	0.16	0.0	189.08	9.75	0.0	0.0	0.0	0.0	192.6	67.95	0.0	0.0	0.0	18.47	153.54	53.31	102.96	237.73	85.83	63.77	118.3	41.78	58.33	68.65	89.57	39.78	77.42	40.62	152.76	53.18	62.28	0.23	3.68	117.58	0.0	0.35	4.84	120.01	0.64	0.0	0.0	209.66	91.48	55.02	0.0	26.26	91.1	126.22	54.42	0.0	0.0	56.31	62.64	0.0	63.21	0.0	37.82	0.0	132.27	78.33	0.56	121.92	0.0	0.0	0.0	271.57	0.0
1600021P15Rik	34.01	0.0	2.48	3.33	35.81	0.04	0.12	0.0	0.0	0.0	0.0	0.0	81.07	0.0	0.0	0.0	0.0	0.08	0.0	0.0	57.48	98.77	33.49	0.0	38.79	108.21	68.02	69.85	68.34	42.77	0.8	33.92	145.87	130.96	13.33	124.48	2.92	16.42	0.0	0.0	0.0	0.0	0.0	1.57	13.59	2.08	0.0	0.0	64.96	0.07	44.46	6.91	130.73	41.09	93.02	0.0	0.0	0.0	0.0	44.24	5.25	0.0	0.0	0.0	0.0	18.69	11.33	0.08	68.2	0.0	0.0	0.0	33.73	0.0
9430021M05Rik	168.5	0.0	0.0	110.19	1.25	0.11	7.67	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	52.58	108.31	0.0	137.41	0.0	6.36	0.0	48.9	23.4	69.85	70.47	105.25	87.48	0.0	6.29	113.97	0.0	0.0	0.0	0.0	0.08	0.0	0.0	61.55	94.78	0.0	32.8	68.62	3.52	0.13	51.86	0.0	35.48	0.33	84.02	0.0	0.0	54.2	139.15	0.0	0.0	1.05	49.78	0.0	84.37	0.0	0.12	70.15	30.73	0.22	0.0	53.97	0.0
Acpl2	97.01	13.31	3.26	66.52	44.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.87	0.0	159.91	135.13	127.11	0.76	169.81	0.09	196.92	76.22	0.0	18.63	30.74	67.95	57.48	137.46	52.54	86.59	47.52	10.44	0.0	0.0	182.83	0.0	0.09	49.3	319.07	85.83	0.0	9.7	76.57	113.96	63.25	25.59	98.92	122.82	113.02	210.19	0.0	0.0	139.56	65.17	12.95	0.04	8.62	52.81	0.0	86.77	0.0	0.0	2.88	29.1	50.38	3.08	96.91	0.0
Anxa5	214.86	0.0	30.83	0.0	113.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68	6.38	0.0	175.44	0.0	2.16	0.0	0.0	284.0	171.02	6.65	0.98	234.96	79.55	43.81	467.36	218.0	206.96	223.67	40.81	278.65	373.16	141.12	133.02	290.41	83.3	12.74	0.0	195.13	0.0	3.08	241.71	308.8	145.34	0.0	142.59	139.02	241.78	142.93	47.75	377.04	155.79	55.54	137.53	0.0	0.0	294.3	242.87	0.2	58.93	0.0	38.27	0.0	421.62	89.37	0.0	65.85	184.66	0.27	0.0	116.07	0.0
Chodl	536.39	0.0	0.0	252.84	903.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	982.69	256.6	819.29	256.98	488.2	222.97	860.46	422.68	404.72	896.24	711.19	880.34	763.54	553.67	870.48	448.03	613.46	474.95	0.0	0.0	663.27	0.39	0.22	755.78	755.0	1003.23	0.0	654.9	834.46	598.31	734.0	370.77	308.64	473.67	206.61	1026.21	0.0	0.0	278.02	919.94	0.0	0.0	0.0	778.1	0.0	500.43	0.0	0.0	457.71	450.84	0.0	0.0	414.37	0.0
Chrm2	118.16	0.0	0.0	153.73	90.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.69	194.63	97.47	46.53	113.64	3.88	163.09	9.12	225.62	464.97	166.2	117.07	35.27	163.51	52.34	123.69	153.01	86.72	0.0	0.13	319.55	0.0	0.0	17.41	108.94	125.6	0.0	174.91	376.19	164.19	123.52	235.68	8.94	170.2	186.33	354.32	0.0	0.0	49.03	290.03	0.0	0.0	0.0	204.66	0.0	120.08	89.67	0.25	240.7	201.16	0.0	0.0	91.5	0.0
Crhbp	7362.95	495.01	2110.01	6339.49	8007.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10382.36	7732.3	8618.73	8376.74	13129.11	7427.0	7498.9	13484.99	11786.92	8116.93	13619.24	9099.84	14829.4	11772.85	12350.96	8610.23	10536.89	8212.23	0.18	0.0	7354.85	0.2	0.83	9475.0	11364.94	8211.03	0.34	2934.61	7935.89	11440.08	11398.61	10468.61	11572.06	10497.6	11678.84	8467.4	0.0	0.0	12702.79	13766.7	1069.07	4586.89	5894.05	9058.73	856.2	12082.35	0.0	1798.97	3594.21	9589.51	4843.07	6345.83	11803.92	0.0
Crip2	707.66	0.0	3.35	406.25	445.66	0.0	64.04	82.29	125.79	0.0	0.0	0.0	0.0	5.96	0.0	99.53	0.0	110.89	17.44	0.0	468.11	355.67	135.9	71.22	781.89	211.77	317.62	590.82	1025.72	213.03	702.63	602.96	460.0	566.23	562.32	333.78	273.84	391.56	0.0	274.75	502.51	165.66	49.99	449.07	591.23	389.15	87.03	38.0	56.15	830.37	751.11	210.61	459.97	464.8	520.55	496.42	0.0	0.0	578.89	525.57	0.48	0.0	0.0	343.27	0.0	707.58	464.94	44.08	245.76	524.79	99.5	123.23	316.26	85.06
Elmo1	618.88	0.22	16.6	851.65	788.11	146.03	0.05	0.02	194.63	42.82	849.54	347.48	58.05	249.7	71.41	0.0	9.39	5.71	46.19	0.0	1021.25	1220.91	895.85	606.8	928.26	994.49	1258.98	918.61	1041.42	706.71	570.5	799.58	1069.68	933.17	1256.73	675.33	853.89	679.22	84.83	300.35	1030.28	94.48	0.33	781.84	863.41	790.17	96.78	748.46	864.66	1000.03	812.21	831.35	1068.24	946.85	759.04	887.64	0.0	6.3	1028.76	1172.42	0.33	0.0	49.11	949.59	51.78	899.54	0.0	0.12	434.01	943.63	0.56	172.19	756.72	410.13
Fgfr1	0.0	0.06	0.0	17.74	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.79	1.92	24.15	0.42	4.24	0.58	0.06	0.0	8.06	27.21	15.38	17.19	31.15	16.08	6.29	12.83	22.11	37.24	0.0	0.0	1.71	0.0	0.0	27.21	9.67	0.0	0.0	0.0	0.0	3.31	0.17	1.77	1.14	0.0	14.99	12.33	0.13	0.0	15.81	0.0	0.71	0.42	0.0	0.0	0.0	6.88	0.0	0.0	9.29	16.19	0.39	0.0	0.0	0.0
