	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	6.75	0.66	2.26	3.78	2.63	2.8	61.73	10.18	0.15	3.42	0.0	0.0	1.95	0.0	0.75	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	10.53	5.51	4.19	4.03	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	12.08	0.87	0.48	18.26	23.92	11.71	8.08	4.82	6.97	3.19	15.19	21.12	9.76	6.64	1.29	17.56	16.4	17.92
2700062C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	226.98	94.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.35	0.0	0.0	44.02	42.31	69.23	145.35	9.73	0.0	18.17	12.3	1.5	161.68	0.0	0.0	0.0	51.97	55.52	0.0	21.33	0.0	0.0	151.86	0.0	0.0	2.36	78.33	140.37	85.12	3.55	0.0	0.0	59.54	2.18	19.18	20.27	23.02
3110021N24Rik	6.07	1.15	0.08	3.56	0.0	0.0	10.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.15	0.0	4.29	0.0	10.21	0.0	0.16	6.3	0.0	0.0	0.0	0.43	0.35	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.22	0.0	10.84	9.7	11.31
9430018G01Rik	1.69	0.66	0.0	0.0	0.1	0.0	2.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.25	0.04	0.28	0.0	0.79	0.59	0.81	0.2	0.66	0.0	1.49	0.15	0.37	0.29	0.0	0.58	0.41	0.0	0.31	0.4	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.63	0.27	0.38	0.11	1.49	0.17	0.79	0.0	0.34	0.31	0.52	0.04	0.29	0.16	0.29
Abl2	0.75	1.34	0.13	1.03	0.16	0.0	21.41	1.17	0.59	0.0	0.17	0.0	0.31	0.78	0.4	4.02	0.95	0.37	0.31	4.19	15.46	0.34	0.49	1.21	7.08	4.95	13.01	0.85	0.8	0.83	0.63	0.53	0.6	0.9	0.71	0.24	0.93	0.9	0.69	0.82	4.58	0.22	2.06	6.06	8.63	0.3	1.09	3.33	1.9	1.12	1.33	0.73	0.46	0.9	24.45	24.4	24.39
Armc8	76.87	120.99	21.07	8.31	0.14	0.0	285.12	11.31	0.08	0.0	0.0	0.0	0.0	0.0	67.78	27.05	79.1	64.52	23.17	17.68	70.99	48.26	153.86	77.76	72.94	104.69	18.64	37.95	126.93	1.06	38.25	2.27	49.91	193.72	28.01	89.36	32.66	5.86	154.85	53.67	0.0	31.0	33.92	34.93	59.64	8.04	192.36	183.45	258.95	60.59	39.84	0.41	0.0	70.98	51.01	48.74	48.28
Atp1a3	366.16	517.3	160.52	223.53	0.0	0.0	440.72	423.72	0.0	0.0	0.0	0.0	0.0	0.0	156.09	286.6	265.8	263.32	311.99	160.81	252.13	322.56	344.11	358.79	374.74	387.02	349.38	126.28	248.26	335.86	201.95	337.68	83.59	272.65	310.38	212.08	248.82	134.54	326.61	250.32	0.0	0.0	245.85	247.83	196.96	513.59	431.85	405.01	404.06	370.84	302.13	154.68	271.27	160.6	1301.98	1411.72	1359.05
Atp1b1	460.32	401.56	387.25	307.14	0.0	0.0	745.38	419.28	0.0	0.0	0.0	0.0	0.0	0.0	209.46	178.41	201.33	214.59	444.16	470.76	270.6	267.12	428.26	302.4	347.44	139.05	232.31	418.76	244.76	352.98	298.32	231.61	175.8	264.41	267.37	292.65	267.22	303.71	242.63	231.1	0.0	0.0	351.47	221.22	453.56	305.28	547.17	1056.64	389.51	288.3	552.5	428.03	230.53	251.06	1639.11	1708.86	1616.5
Atp2b2	86.42	76.45	58.35	56.69	0.0	0.05	129.93	277.33	0.0	0.0	0.0	0.0	0.07	0.0	45.89	59.35	43.28	31.62	20.38	48.19	36.23	34.79	109.68	69.93	28.43	56.98	64.83	49.0	77.5	9.22	54.87	39.53	26.81	90.24	23.5	12.67	16.08	61.18	52.91	39.05	0.0	0.0	147.76	30.78	158.09	61.39	246.29	292.8	200.53	39.6	127.91	164.4	34.82	65.9	288.08	274.94	307.02
Chchd3	159.96	72.6	0.0	60.02	0.0	0.0	264.57	255.76	0.0	0.0	0.0	0.0	0.0	62.94	0.0	55.7	0.0	0.0	34.34	144.68	42.08	92.71	38.07	187.83	0.29	4.75	45.3	146.59	0.0	53.35	0.0	51.41	15.42	36.31	25.53	0.2	57.67	35.27	44.23	205.7	0.0	0.44	131.44	61.94	0.24	3.55	38.06	146.67	134.77	1.26	22.66	5.17	145.85	101.11	52.41	58.6	55.24
