	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
AI593442	80.59	89.45	38.1	7.31	33.91	0.0	211.88	940.95	335.01	280.04	133.37	448.77	432.79	165.61	382.64	548.38	246.88	428.23	195.76	160.23	209.03	0.0	0.0	9.26	67.92	43.53	65.77	59.24	110.21	83.16	101.55	77.39	10.59	144.64	17.69	255.4	69.38	81.46	98.11	144.98	55.31	245.47	68.57	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	96.68	20.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.22	35.51	52.25	140.62	76.62	14.94	357.67	163.94	70.92	109.65	70.24	57.92	20.52
Afap1	15.48	33.0	25.52	14.95	5.27	5.04	68.32	182.95	199.77	94.51	161.01	645.57	324.66	4.26	61.52	90.41	208.33	142.1	192.31	74.18	58.12	0.0	0.0	13.01	11.95	0.09	0.42	2.35	28.39	33.9	0.09	25.69	2.62	10.49	20.74	13.18	53.58	26.61	2.54	2.73	0.0	266.07	20.38	21.23	44.83	12.3	158.64	0.07	0.15	2.55	37.12	21.46	36.35	1.1	0.13	47.53	0.0	0.15	0.09	0.2	0.0	0.13	0.05	0.0	44.99	82.65	14.99	13.61	69.45	11.68	229.93	160.13	20.6	151.61	3.26	31.28	10.46
Ank3	7.78	4.72	54.56	21.63	28.11	0.0	50.08	54.41	91.14	57.94	58.43	85.62	120.56	90.06	127.46	186.57	94.0	109.83	71.02	81.12	45.45	0.0	0.09	43.13	61.8	17.22	28.44	21.68	61.19	18.62	3.39	39.85	21.47	31.26	20.23	54.73	8.95	52.83	22.05	25.15	11.63	93.31	49.62	47.33	45.6	2.6	100.91	83.83	16.15	25.32	38.91	15.13	40.94	76.41	30.24	68.54	0.0	0.5	0.23	0.0	0.0	0.0	1.09	0.21	23.59	75.44	38.29	109.49	50.5	19.65	80.69	34.65	66.03	57.68	24.12	21.28	3.95
Atp6v1c1	436.76	487.83	461.3	581.89	477.11	208.61	1131.06	719.29	953.11	853.6	344.82	547.96	444.3	1070.09	867.55	573.41	1077.99	1235.16	1254.28	568.05	810.36	0.0	0.29	778.69	712.82	550.36	504.93	220.56	486.41	684.34	299.54	639.77	578.56	560.25	755.32	756.24	613.18	557.36	332.22	324.11	408.84	489.8	722.12	587.25	724.92	574.99	527.15	798.86	479.17	415.17	483.75	412.58	743.14	554.2	618.13	559.15	0.59	0.46	0.0	0.32	0.24	0.0	0.0	0.0	378.53	495.36	889.89	439.07	1278.14	406.61	1177.33	1444.37	786.56	1228.67	838.02	424.31	656.61
Calm1	1249.6	338.22	1111.05	1442.36	1375.78	408.32	2033.39	1843.06	1009.05	1506.27	1834.09	2144.31	1858.19	1694.18	1976.0	1566.36	1143.94	1643.85	2019.15	1254.33	1444.23	1233.02	656.92	967.59	1689.13	1150.11	1106.03	919.94	1212.75	1082.56	1272.01	988.98	1031.72	1104.95	983.5	1042.25	1148.69	1387.6	938.03	972.52	819.14	2738.66	1087.28	863.35	997.04	998.36	1597.46	606.24	1343.51	1438.62	1197.71	1137.59	1216.06	994.18	862.6	1190.91	253.58	479.73	290.4	213.13	474.69	110.8	188.25	549.93	958.47	1682.67	1096.52	1289.37	1238.36	1153.64	1707.4	1544.65	950.96	1616.24	1709.27	1347.78	1129.52
Chl1	53.65	34.63	60.54	107.47	10.35	0.0	355.23	100.41	188.29	170.71	31.06	198.81	32.77	886.04	208.12	101.65	219.7	134.67	103.0	32.4	116.04	0.0	0.16	77.2	22.14	98.29	36.01	20.01	26.82	48.62	53.77	93.55	4.14	42.29	41.66	113.88	122.68	105.6	23.31	25.94	25.39	84.62	20.83	81.75	68.99	26.44	107.15	57.56	31.55	81.95	94.66	8.82	143.73	96.88	71.25	53.19	0.0	0.25	0.32	0.0	0.0	0.0	0.0	0.0	87.99	352.6	38.1	129.92	431.74	33.61	650.14	259.11	93.88	81.86	14.95	63.5	13.55
Cnbp	462.28	172.72	409.37	652.57	625.24	0.22	2105.56	929.15	313.18	600.12	564.2	1193.78	703.2	650.17	740.46	842.54	589.36	738.82	710.32	438.43	517.26	0.0	1634.87	507.83	584.09	597.62	464.63	499.34	472.67	584.45	379.71	430.86	893.9	264.42	617.77	628.94	422.99	706.33	371.54	422.42	665.35	1132.23	644.41	499.93	361.72	445.81	877.64	315.79	483.08	376.56	99.31	374.12	613.88	574.27	353.07	371.67	574.62	113.18	0.28	0.0	0.23	214.77	988.89	277.08	592.63	532.47	570.29	651.6	761.21	368.94	1007.2	1252.42	650.96	691.58	548.02	441.95	504.33
Cpsf3l	0.0	4.7	0.59	6.59	12.16	0.0	159.23	0.53	20.77	140.1	40.1	0.0	0.53	1.77	8.07	185.99	120.94	0.32	164.63	19.89	4.38	0.0	0.0	1.46	0.0	0.0	0.26	2.0	0.23	0.83	0.09	16.7	0.14	0.91	12.6	0.0	0.0	48.14	0.0	0.0	0.0	83.81	0.0	17.3	0.0	37.97	75.64	0.0	0.0	0.39	0.0	53.1	0.0	1.43	100.96	0.36	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.07	54.98	11.69	39.62	8.51	110.85	29.64	0.0	0.0	0.08	0.0	0.27
Epha7	0.0	0.0	0.1	41.09	0.0	0.07	148.36	157.95	0.11	49.84	0.0	0.0	52.78	246.13	110.46	124.06	33.67	0.22	181.67	0.0	2.23	0.0	0.0	0.0	0.06	0.05	51.91	17.45	11.03	0.03	0.1	0.0	0.0	0.0	0.0	24.42	0.07	99.05	0.0	0.04	0.08	0.08	3.06	0.0	40.45	0.0	2.2	0.0	50.6	0.0	0.0	0.0	0.0	14.89	0.0	9.62	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	18.64	11.47	0.1	13.9	0.04	222.52	0.07	0.0	50.78	0.0	0.0	0.0
Fam100a	8.49	0.0	0.5	8.68	57.39	0.0	76.6	22.43	50.5	1.55	0.53	20.89	55.39	3.04	35.26	87.96	26.3	76.05	80.1	0.16	0.3	27.61	0.0	17.54	50.81	0.06	0.0	17.64	0.1	19.92	31.97	9.24	48.87	31.27	0.29	51.33	34.93	37.2	25.39	0.0	0.0	96.13	0.43	0.0	0.0	0.0	45.71	0.0	0.0	0.0	52.84	53.84	43.95	11.58	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.7	13.15	0.25	9.11	45.59	42.91	66.1	7.53	69.19	0.42	0.0	8.18
