	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	7.28	10.76	1.89	3.11	0.0	0.61	0.0	0.0	23.23	15.45	110.82	21.51	61.63	17.53	11.48	0.03	0.0	0.0	0.0	6.18	4.8	13.31	0.23	5.13	0.4	0.86	0.7	15.56	35.14	0.14	55.2	4.22	32.6	2.36	18.04	0.31	0.39	0.1	5.22	10.31	20.52	0.09	1.73	4.67	3.8	19.45	0.91	2.43	0.19	13.76	0.0	0.03	12.32	0.0	18.19	1.99	11.01	2.13	7.46	0.22	2.96	11.21	7.02	20.13	9.75	5.74	16.68	9.05	12.04	22.39	18.34	25.87
1110008P14Rik	27.17	21.37	37.93	155.02	0.0	0.0	0.0	0.0	45.81	57.91	195.09	10.09	0.0	12.06	89.63	0.0	0.0	0.0	0.0	66.28	108.38	135.46	42.01	0.0	148.81	1.0	105.52	24.03	7.08	87.26	29.75	0.0	236.25	151.5	33.13	19.32	176.68	44.94	33.79	30.21	40.52	0.0	144.05	49.41	83.51	0.95	151.0	0.77	0.38	23.4	0.0	0.0	462.38	0.0	0.0	0.0	74.39	207.43	47.78	0.0	2.19	63.4	89.59	0.0	315.47	324.54	189.52	345.48	339.21	219.79	237.06	257.04
2610015P09Rik	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	10.13	0.0	34.2	5.92	0.0	0.0	29.56	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.09	4.53	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	2.76	0.0	172.23	0.0	0.0	17.31	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.98	1.87	3.95	4.55	4.76	3.84	4.57
8430427H17Rik	3.16	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	76.8	0.0	0.0	0.43	1.68	0.0	0.43	0.0	0.0	0.06	0.91	0.01	0.0	0.0	0.0	0.0	14.24	0.0	0.0	0.0	0.0	0.0	0.08	7.01	0.0	0.0	0.0	0.05	18.41	0.0	18.27	0.0	22.89	0.0	3.33	0.0	0.0	14.79	24.99	0.0	1.61	0.0	13.32	0.0	333.54	0.0	0.0	0.0	1.44	25.65	0.0	3.64	0.0	0.0	14.81	8.82	3.78	1.82	4.1	26.31	26.72	26.51
A830010M20Rik	0.0	0.32	0.0	16.82	0.0	0.0	0.0	0.0	0.25	108.91	110.97	102.68	0.2	89.12	115.65	0.0	30.29	0.0	0.14	25.14	8.89	33.89	0.7	0.03	0.04	33.54	0.18	48.56	14.36	22.02	4.08	64.72	51.06	17.99	50.62	14.59	0.15	24.74	17.63	33.11	2.47	1.1	0.0	18.38	21.4	24.89	44.29	18.49	35.83	19.71	0.0	1.65	52.65	0.0	0.0	33.09	10.47	1.46	0.05	74.34	27.55	25.15	23.57	0.88	128.13	101.0	114.59	92.35	95.69	66.44	60.63	61.97
Abhd12	77.46	41.08	86.81	25.89	0.0	0.0	0.0	0.0	0.19	165.29	411.22	139.19	0.0	7.79	106.59	0.0	0.0	0.0	0.0	53.72	82.21	42.7	1.35	0.34	175.56	14.38	114.8	14.34	75.32	90.52	39.97	20.76	18.1	62.2	50.66	32.89	0.13	92.36	44.51	0.61	44.88	155.73	25.21	121.32	8.41	59.47	5.19	0.08	0.71	108.69	0.0	0.0	41.81	0.0	0.0	3.53	154.27	33.24	150.27	83.21	30.25	27.26	153.24	48.88	57.52	17.38	33.96	46.93	28.84	309.4	343.65	332.54
Angel2	16.07	0.0	0.84	46.25	0.0	0.0	0.0	0.0	0.0	31.42	176.02	50.07	0.0	29.08	0.0	0.0	12.15	0.0	0.0	26.41	0.0	0.09	0.0	0.13	0.05	0.04	30.16	0.0	1.43	21.18	14.54	11.0	28.36	0.73	27.67	0.0	29.49	0.0	16.87	17.24	27.52	32.93	17.44	43.54	0.0	0.6	0.0	6.06	10.78	31.63	0.0	0.0	65.55	0.0	0.0	13.89	7.24	6.96	0.68	17.33	47.88	52.47	0.0	29.16	46.75	52.42	55.3	50.18	52.55	48.72	49.16	43.55
B930059L03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.0	0.0	3.06	3.51	6.75	5.99	2.07	2.1	2.3
Bach1	0.0	0.0	0.0	15.83	0.0	0.0	0.0	0.0	0.03	0.0	54.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	0.0	0.0	0.0	0.0	1.62	0.0	0.04	5.21	5.75	0.0	3.99	0.0	0.04	0.0	6.95	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	11.58	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.25	0.0	18.63	1.98	0.0	17.44	0.0	0.0	0.0	2.28	2.73	1.86	0.41	1.06	7.59	7.06	7.22
Basp1	34.86	38.68	13.42	26.42	0.0	0.0	0.0	0.0	13.74	38.26	57.64	27.15	0.54	34.87	28.51	0.0	52.7	0.0	0.0	43.26	76.56	33.43	24.71	31.88	63.19	40.75	23.14	12.6	64.15	35.64	12.06	47.08	37.33	16.7	52.06	38.16	12.06	32.76	39.72	18.42	28.61	65.81	21.67	30.74	38.29	24.69	31.53	25.77	14.79	63.45	0.0	0.0	65.79	0.0	0.0	80.38	16.82	39.72	35.74	42.66	61.35	57.91	46.88	3.46	102.68	95.05	91.91	88.09	90.8	481.54	530.49	509.16
Bcar1	0.0	0.23	0.0	5.02	0.0	0.0	0.0	0.0	0.18	2.35	49.26	8.97	0.0	0.0	0.64	0.0	11.68	0.0	0.0	0.0	0.59	0.1	0.88	0.0	0.0	0.03	2.91	0.0	0.0	0.09	0.25	0.0	4.44	1.93	0.3	0.0	12.4	0.94	0.72	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	2.82	24.83	0.0	1.13	0.0	0.0	0.0	3.79	0.0	0.0	0.0	0.0	0.48	0.77	0.44	38.51	44.38	36.67
Brd4	7.97	0.13	34.59	33.48	0.0	0.0	0.0	0.0	3.1	33.61	39.94	2.67	0.0	31.86	0.0	0.0	1.91	0.0	0.0	3.05	0.92	0.01	0.04	35.94	0.29	5.06	0.81	13.6	4.65	29.97	7.95	10.18	9.35	17.43	12.06	9.07	31.58	0.43	1.72	3.51	24.39	0.0	0.0	0.17	0.0	37.88	10.8	8.98	4.87	0.0	0.0	0.0	4.02	0.0	0.0	1.48	0.15	30.94	6.37	18.28	12.7	0.0	0.03	0.0	11.96	7.89	6.55	11.22	5.52	43.58	42.01	46.57
