	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
Abi3	0.0	84.66	10.36	0.0	578.92	31.91	0.0	0.0	0.0	0.0	0.0	0.0	5.49	0.0	0.0	9.75	9.09	131.48	385.87	10.02	2.84	51.65	182.95	4.25	0.0	0.0	0.0	0.0	0.0	8.67	286.68	51.88	254.85	4.34	268.07
Actr2	335.75	772.19	792.59	349.12	334.49	548.54	0.0	265.3	136.05	107.29	0.0	290.09	848.3	3.4	336.39	290.53	145.49	596.71	517.92	308.84	1055.85	444.85	715.44	0.25	1.91	0.96	287.01	193.34	99.18	790.05	225.12	1064.28	622.73	642.94	777.67
Adap2	0.0	436.59	203.66	0.0	795.7	349.22	0.0	0.0	0.0	0.0	0.0	0.26	233.39	0.0	0.0	799.62	338.0	415.67	1028.13	0.0	132.79	368.77	640.73	658.56	0.0	0.0	0.0	0.0	0.0	232.88	228.53	17.54	198.86	159.52	444.99
Alox5ap	0.0	712.75	1145.29	0.68	2471.21	2756.29	0.0	0.0	0.0	0.0	0.0	0.0	553.02	0.0	0.0	1070.38	0.79	1833.51	0.0	0.0	1053.31	1044.35	1054.76	0.0	0.43	0.0	0.0	0.0	0.0	164.37	1595.33	2185.11	1610.56	1338.71	548.21
Ang	0.0	1.29	552.87	0.0	1249.51	49.45	0.0	0.0	0.0	0.0	0.0	0.0	1108.08	0.0	0.0	0.0	288.54	396.46	1271.92	0.0	0.0	397.61	10.68	64.7	0.0	0.0	0.0	0.0	0.0	13.84	26.46	0.0	8.35	0.0	0.0
Apbb1ip	0.0	235.16	173.82	0.0	1119.28	214.42	0.0	0.0	0.0	0.0	0.0	0.0	401.81	0.0	0.0	0.0	121.09	99.98	177.44	259.31	0.0	7.85	230.93	626.72	0.0	0.0	0.0	0.0	0.0	8.19	154.11	410.12	0.24	21.7	442.98
Btg2	0.0	2370.63	2812.11	99.36	3552.11	2561.46	0.0	805.98	1060.04	0.0	143.67	222.72	1610.86	960.28	0.0	7117.96	1413.95	6234.07	6394.05	7261.63	2989.12	7458.33	4881.37	2030.06	1811.47	2.13	0.37	336.08	0.13	3893.14	7230.68	1464.42	2715.89	2758.18	1695.49
C1qb	0.0	4886.72	6379.02	0.0	14442.59	4943.14	0.0	0.0	0.0	0.0	0.0	0.0	5125.13	0.0	0.0	6282.26	9492.13	13550.44	14723.82	7965.92	8549.62	5799.62	8222.94	13134.55	0.0	0.0	0.0	0.0	0.0	11850.43	16023.06	14400.66	6666.31	13629.03	12872.3
C1qc	0.0	2731.72	560.54	0.0	1450.07	2164.3	0.0	0.0	0.0	0.0	0.0	0.0	3167.82	0.0	0.0	2555.87	3770.36	0.74	2698.69	5056.95	2302.1	2040.02	2577.85	1789.65	0.0	0.0	0.0	0.0	0.0	304.43	904.16	1384.91	527.33	2140.54	1957.33
Cd53	0.2	2159.35	1985.19	0.2	1842.84	3531.34	0.0	0.0	0.0	0.0	0.0	0.0	1521.78	0.0	0.0	216.31	2448.56	1925.64	2074.61	362.02	3620.71	1576.27	3051.42	278.43	0.0	0.0	0.0	0.0	0.0	2032.56	907.01	886.18	22.45	1249.32	1160.99
Cst3	23155.8	66199.78	54799.87	18910.91	54350.96	61505.62	11352.91	10478.59	18275.3	22838.83	22142.28	32715.27	64380.72	17344.32	22149.39	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	61052.51	33256.36	35150.87	33151.51	18645.13	24558.57	80478.24	68326.69	95318.24	75159.39	84616.84	72517.08
Ctsd	0.0	4604.89	4738.82	3717.53	16182.27	2794.12	2341.64	0.0	2737.13	1968.96	1567.11	885.85	4082.49	2706.57	1422.24	8997.74	6447.99	5034.7	6660.47	834.45	10397.36	6268.72	14112.57	870.05	619.28	2085.81	2165.51	1035.66	796.05	5942.4	5588.41	11428.83	10209.59	6616.49	7877.44
Ctss	0.0	16814.91	6494.37	0.84	13021.23	8308.57	0.0	0.0	0.0	0.0	0.0	0.0	10930.1	0.0	0.0	22497.65	20905.08	16982.23	11057.59	16251.05	19699.24	15982.43	11628.24	10166.56	0.53	0.0	0.0	0.0	0.0	13639.24	19129.31	11326.77	19548.78	12522.68	11699.94
Ecscr	0.0	1241.34	292.55	0.0	2434.05	1056.69	0.0	0.0	0.0	0.0	0.0	0.0	904.83	0.0	0.0	948.2	0.0	1638.16	0.0	922.27	317.14	1250.14	1353.83	0.0	0.0	0.0	0.0	0.0	0.0	696.5	600.25	657.42	1392.0	697.16	0.0
Entpd1	0.0	0.0	1.95	0.0	508.06	47.22	0.0	0.0	0.0	0.0	0.0	0.0	302.03	0.0	0.0	5.85	215.34	0.37	898.27	0.15	4.99	0.13	31.84	120.16	0.0	0.0	0.0	0.0	0.0	130.47	402.8	481.56	20.2	508.72	18.25
Evi2a	0.0	681.7	0.0	0.0	1643.11	1181.96	0.0	0.0	0.0	0.0	0.0	0.0	736.29	0.0	0.0	1949.33	1376.45	843.06	2122.55	434.98	1175.96	528.68	1254.71	545.36	0.0	0.0	0.0	0.0	0.0	1252.12	1794.63	0.0	856.85	393.73	729.36
Exosc8	0.93	302.89	512.78	0.0	853.43	502.25	0.0	0.0	0.0	0.0	0.0	0.0	674.91	0.0	0.0	138.38	0.26	9.7	912.33	5.2	0.28	0.0	0.0	0.0	0.28	0.0	0.23	0.0	0.0	0.0	1.86	81.64	0.0	0.0	0.0
F11r	0.0	253.01	854.2	0.6	2081.22	106.23	0.19	0.39	0.31	0.36	0.0	0.0	248.89	0.8	0.52	604.23	969.44	868.36	461.61	0.0	864.45	4.71	789.61	412.03	0.0	0.48	0.71	0.0	0.0	1176.22	756.92	1329.2	1437.1	14.49	1765.79
Fau	1.09	1899.97	2489.36	588.79	1399.49	448.05	369.41	677.8	598.38	0.0	0.0	530.43	3024.66	720.16	0.0	2137.54	3268.1	3967.85	183.69	3553.95	1951.35	2911.78	1374.47	973.71	271.97	1.69	540.35	0.0	346.23	2281.2	1758.5	1331.04	2212.7	2116.14	2129.85
Fcrls	0.0	3206.98	4019.46	0.56	7068.89	5690.45	0.0	0.0	0.0	0.0	0.0	0.0	448.09	0.0	0.0	1150.08	7656.43	2960.21	4136.56	498.46	5418.86	2049.79	5067.98	1724.57	0.0	0.0	0.0	0.0	0.0	2837.19	1084.86	4913.17	8725.0	3403.04	3936.09
Fli1	0.0	425.8	82.92	0.0	970.42	303.7	0.0	0.0	0.0	0.0	0.0	0.0	245.27	0.0	0.0	369.35	363.65	113.39	180.94	646.9	261.89	335.42	457.66	116.6	0.0	0.0	0.0	0.0	0.0	122.46	176.47	391.69	202.24	0.0	604.34
Ftl1	762.6	2016.47	3434.35	670.36	5799.69	2356.13	685.61	1486.43	884.4	0.0	3.55	1124.08	1432.46	415.26	1.3	2240.15	1228.18	3190.4	3076.81	5886.31	1902.63	3020.95	4180.5	1888.5	828.09	496.19	1041.9	3.08	979.03	5242.09	3452.5	9502.78	418.15	1272.99	5631.22
Gm5148	3.23	8.63	5.81	0.0	5.56	4.0	0.0	0.0	0.0	0.0	0.0	0.04	12.23	1.41	8.0	0.81	6.56	21.7	25.78	13.55	19.72	24.79	13.4	5.88	1.39	0.0	1.78	4.24	0.92	3.12	4.69	4.89	12.83	13.9	0.57
Gpr34	0.0	5082.01	5249.78	0.29	10438.4	4086.58	0.0	0.0	0.0	0.0	0.0	0.0	1256.84	0.0	0.0	5974.84	8329.4	3989.23	3135.18	1735.31	6829.31	1561.26	3064.96	1357.82	0.0	0.0	0.0	0.0	0.0	2554.76	3897.99	4797.82	5700.36	3399.08	4455.91
H2-DMa	0.0	265.52	0.0	0.0	2241.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1170.93	0.0	0.0	0.0	2.17	0.0	2588.53	1191.65	1002.21	983.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1583.83	0.0	0.0
