	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_17	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_30	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_72	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_13	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_100	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Spink8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.43	0.0	0.0	0.0	0.0	7.27	5.28	6.42
Sprr2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.28	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.36	0.0	0.04	0.0	0.06	1.76	0.0	0.0	0.0	0.08	0.38	0.0	0.0	0.0	0.04	0.02	0.0	0.21	0.09	0.13	1.54	0.42	0.0	0.0	0.0	0.69	0.26	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.16	0.54	0.38	0.46	0.38	0.73	0.29	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.49	0.0	0.36	0.04	0.0	0.88	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.26	0.0	0.35	0.04	0.28	0.07	0.06	0.1	0.55	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.28	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.36	0.0	0.04	0.0	0.06	1.76	0.0	0.0	0.0	0.08	0.38	0.0	0.0	0.0	0.04	0.02	0.0	0.21	0.09	0.13	1.54	0.42	0.0	0.0	0.0	0.69	0.26	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.16	0.54	0.38	0.46	0.38	0.73	0.29	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.49	0.0	0.36	0.04	0.0	0.88	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.26	0.0	0.35	0.04	0.28	0.07	0.06	0.1	0.55	0.08	0.25	0.13
Syn1	0.0	0.0	5.75	0.0	0.0	0.0	0.21	246.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.14	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.38	0.0	1.16	105.37	60.56	33.04	19.51	5.68	0.0	0.0	0.0	0.26	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.99	44.95	45.55	75.94	2.34	49.48	46.31	167.29	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.15	0.11	0.0	0.23	0.17	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	40.17	0.72	75.46	0.2	22.13	13.87	40.58	33.73	24.07	37.85	29.66	31.44	435.88	453.27	459.24
Syn2	0.0	0.0	130.88	0.0	0.0	0.0	56.88	411.95	53.62	0.0	0.0	0.0	14.29	0.0	0.0	0.0	286.03	0.24	0.0	0.0	0.13	0.06	0.0	0.0	0.0	0.0	0.07	0.0	0.12	0.0	86.11	0.04	247.34	66.25	15.13	70.41	68.87	246.22	0.21	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.16	2.17	225.11	142.56	250.05	145.75	59.02	45.24	100.89	0.2	0.08	0.0	0.0	0.07	0.5	0.0	0.0	0.0	0.0	0.14	0.27	1.7	1.54	0.28	0.29	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.45	30.63	147.12	17.89	61.01	4.06	46.83	80.25	86.35	50.46	54.78	85.46	91.51	385.63	397.76	386.53
Tbc1d24	5.92	4.13	16.1	10.16	6.07	21.05	16.24	55.47	15.88	11.94	13.39	6.58	10.42	10.0	9.56	19.64	9.0	12.68	19.11	16.45	20.73	29.43	0.0	13.64	9.65	13.84	6.83	22.11	11.67	5.62	20.43	2.98	5.36	9.0	2.57	42.14	73.82	450.11	61.42	21.73	7.41	22.71	40.09	10.75	12.03	24.37	12.66	7.86	21.17	29.93	32.82	15.79	8.7	23.94	110.85	22.01	16.3	18.72	15.62	13.97	5.38	37.88	5.15	15.77	6.99	11.58	3.57	25.92	13.75	12.04	8.31	18.39	14.01	6.68	7.55	8.31	14.56	4.15	6.62	5.03	17.69	4.61	8.69	8.14	8.94	5.43	15.74	30.3	14.58	54.33	3.29	146.49	28.17	23.93	24.85	16.31	33.12	26.2	57.04	49.86	48.16	50.67
Ubr3	0.0	0.0	14.18	0.0	0.04	0.0	17.5	120.92	0.0	0.33	0.0	75.74	0.07	0.0	0.0	0.0	38.96	0.0	0.0	20.6	127.3	3.24	0.0	0.0	5.96	6.53	0.0	0.0	0.0	0.0	0.18	0.02	58.01	0.0	0.13	44.67	91.35	314.93	0.9	0.0	0.0	106.05	2.55	0.0	0.0	0.0	69.46	0.0	0.0	11.92	0.13	25.85	95.69	31.44	126.67	23.8	0.43	56.01	0.17	0.0	0.05	0.0	0.03	4.02	1.31	0.0	0.0	0.0	0.0	0.0	0.13	0.09	0.2	0.0	0.17	6.97	0.0	0.0	27.59	27.25	0.0	0.08	35.65	1.81	0.0	0.0	20.58	57.85	24.46	3.69	0.38	0.42	31.09	26.91	18.85	26.32	21.81	13.85	128.79	89.6	83.88	88.36
Usp43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	470.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	1.14	0.93	0.0	4.29	3.54	3.57
Usp7	0.0	0.0	2.81	0.0	0.0	0.0	0.0	0.0	24.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.05	1.14	14.98	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07	1.38	0.0	0.15	6.19	52.98	11.79	0.46	474.9	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.08	0.12	0.0	0.0	0.19	0.0	0.19	6.46	9.27	16.86	39.0	32.82	0.48	0.0	0.0	0.0	0.0	0.12	0.0	438.77	0.0	0.0	0.0	0.0	0.13	9.53	0.0	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.54	0.0	17.18	28.49	0.45	0.28	20.37	16.19	24.53	15.57	18.15	17.97	92.22	85.78	84.07	81.9
Xpot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	14.6	0.0	20.37	82.33	0.0	0.0	0.0	0.0	46.43	0.08	0.0	0.0	0.0	0.0	0.0	0.0	103.52	0.0	0.0	0.0	0.0	0.0	23.94	0.03	63.81	0.0	0.07	35.3	26.22	302.81	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	31.45	14.33	0.0	5.56	0.0	0.41	0.11	0.0	0.0	23.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.03	136.45	94.96	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	42.4	23.28	0.09	3.24	0.02	14.46	4.97	4.32	6.96	5.28	6.23	8.77	0.08	50.89	49.48	48.72
Zmym2	2.72	4.23	80.23	0.0	16.26	15.18	4.2	8.75	177.35	5.41	6.6	3.64	0.0	35.85	0.0	9.11	3.14	0.0	0.0	0.0	151.15	102.42	0.0	0.03	0.0	0.0	0.0	0.0	234.55	6.18	2.72	0.0	55.63	33.81	1.7	21.66	4.15	604.81	0.0	0.0	0.0	5.12	0.0	0.08	0.0	109.61	5.04	0.0	0.0	0.0	95.19	28.65	4.67	14.72	66.2	29.73	2.81	49.2	73.93	0.09	0.0	13.65	0.0	0.0	0.0	70.45	0.05	48.16	0.07	0.0	40.38	0.21	4.11	0.04	127.63	27.15	0.0	0.0	0.0	0.0	0.0	4.94	0.0	121.12	20.33	0.0	7.67	0.69	21.53	0.17	19.06	252.58	32.79	25.43	21.51	19.04	7.15	22.09	2.06	41.11	39.19	41.45
c7_tRNA-Cys-TGY	0.0	37.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.02	864.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.59	0.0	18.86	0.0	0.0	0.0	0.0	0.0	72.44	22.95	0.0	0.0	69.1	0.0	0.0	9.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
