	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_17	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_30	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_72	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_13	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_100	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Sh2b1	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.28	1.65	0.0	0.0	151.1	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0	45.92	0.21	38.62	0.89	6.78	0.1	47.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.6	0.05	0.55	0.0	0.17	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	0.0	0.0	0.11	9.13	7.49	0.0	3.67	7.37	3.54	55.99	51.42	51.96	51.66
Shank1	0.0	0.0	11.96	0.0	0.0	0.0	0.35	25.17	0.0	0.0	12.21	0.0	0.0	0.0	0.0	0.0	2.37	0.0	0.0	0.0	6.79	3.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.95	0.0	12.15	10.07	23.82	20.71	7.78	49.11	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.14	4.31	8.17	10.96	10.7	12.75	5.64	34.4	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.72	10.37	1.41	1.18	0.23	15.49	11.12	10.27	15.19	8.43	8.7	11.76	9.18	148.7	139.9	181.16
Slc10a2	0.0	0.46	0.0	0.17	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.29	0.16	2.21	0.76	0.38	0.0	0.59	10.32	0.0	0.48	0.67	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.6	1.58	0.63	0.0	0.21	0.0	0.0	0.0	0.0	0.62	0.13	0.0	0.0	0.0	0.77	0.35	0.21	1.55	0.0	0.0	0.23	0.9	0.0	0.0	0.43	1.96	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.03	0.0	0.08	2.73	0.21	0.0	0.36	0.11	0.24	0.18	1.64	0.0	0.18	0.0
Slc4a10	0.0	0.13	144.95	0.0	0.0	0.0	158.79	146.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.49	0.51	0.0	0.0	146.16	132.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.09	0.0	133.67	156.15	11.67	322.11	83.55	600.46	2.1	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.12	0.0	0.11	0.95	28.93	191.0	320.21	360.36	142.98	337.46	153.08	0.0	0.06	0.0	0.0	0.0	0.12	0.13	0.0	0.03	0.0	0.08	0.32	1.01	0.41	0.39	0.05	0.16	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	75.24	75.92	42.67	171.71	113.74	308.25	280.13	96.8	210.84	79.8	71.94	205.61	106.19	157.25	141.18	148.95
Smchd1	0.0	0.0	3.31	0.0	0.0	0.07	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	37.2	0.0	0.0	0.0	119.06	0.0	0.0	19.76	0.0	9.25	0.0	4.74	0.0	0.0	0.0	1.63	3.32	0.31	2.26	3.36	0.02	379.57	38.15	0.0	0.0	0.0	0.0	0.49	0.28	0.0	0.0	9.78	0.0	0.0	4.71	9.67	0.0	2.81	6.55	20.09	30.71	90.24	8.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	69.28	14.55	0.05	0.0	20.51	1.5	0.04	0.0	0.06	0.0	45.43	0.0	0.0	0.0	0.0	0.0	0.0	7.88	0.0	7.89	14.35	0.0	0.0	0.0	0.0	9.98	6.04	12.29	7.55	1.74	8.36	0.0	17.6	16.14	16.17
Snora65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	899.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.16	0.0	0.0	0.0	72.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.12	9.54	0.0	0.0	6.55	0.0	0.0	18.02	14.72	16.13
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	18.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	30.05	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	11.82	17.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64	25.99	0.0	10.33	0.0	9.2	9.28	11.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.36	0.0	20.24	12.49	2.68	2.67	2.39	1.84	0.0	0.0	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	18.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	30.05	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	11.82	17.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64	25.99	0.0	10.33	0.0	9.2	9.28	11.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.36	0.0	20.24	12.49	2.68	2.67	2.39	1.84	0.0	0.0	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	18.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	30.05	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	11.82	17.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64	25.99	0.0	10.33	0.0	9.2	9.28	11.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.36	0.0	20.24	12.49	2.68	2.67	2.39	1.84	0.0	0.0	1.22	1.15	1.9
Spata5	0.0	0.0	0.0	0.0	0.0	0.0	10.52	34.07	0.0	0.0	0.0	51.28	0.0	0.16	0.0	0.0	56.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.73	555.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	64.8	11.16	0.0	2.67	0.0	0.1	0.0	0.0	0.0	10.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.18	0.0	0.21	0.0	0.0	27.13	13.03	10.67	5.14	6.44	7.27	8.35	9.75	8.56	9.34
