	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Ctsz	165.33	0.0	0.07	0.0	0.0	0.0	123.4	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	222.89	127.16	0.29	89.0	104.61	0.0	193.94	530.77	111.08	22.07	531.47	49.58	115.78	128.78	0.0	0.43	94.87	0.0	0.0	0.0	245.61	0.0	0.0	75.71	154.45	250.71	268.16	234.01	344.09	373.7	295.68	130.11	0.18	0.0	173.86	283.94	0.0	166.33	41.84	107.26	0.0
Ddah1	23.2	0.12	0.03	0.2	0.12	0.11	0.0	0.0	0.0	0.0	0.0	0.0	93.22	0.12	0.0	2.4	0.0	192.96	378.2	199.5	183.8	0.07	72.8	240.31	78.67	439.53	269.25	0.58	0.0	0.16	0.0	1.36	11.46	0.0	0.0	0.0	378.82	0.17	0.0	254.93	394.78	421.15	219.73	84.89	105.35	91.36	3.0	23.12	53.26	0.0	197.03	147.1	0.0	538.68	0.0	227.46	364.4
Dynll1	583.38	972.71	496.44	574.76	261.11	638.66	446.13	749.0	726.39	918.92	609.64	645.28	774.95	724.05	341.33	824.75	536.87	908.1	1353.73	1517.62	679.8	1787.36	1558.91	2014.4	1119.76	1220.48	1424.9	1323.04	1368.59	732.25	959.34	1089.44	1282.2	1213.07	1162.18	755.33	774.32	995.89	1121.06	1308.63	1095.13	1024.88	1381.08	1273.64	566.27	853.25	1303.01	1703.06	1104.32	836.96	1257.37	702.2	542.04	890.97	643.79	776.36	968.14
Foxp2	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.12	0.08	0.0	0.0	0.0	0.0	0.07	0.07	0.04	0.12	90.5	25.77	82.85	85.35	90.98	19.64	110.17	41.27	54.89	15.9	43.93	0.0	6.75	0.07	0.07	0.02	0.09	0.0	0.0	0.0	0.0	0.0	63.78	64.09	27.96	30.97	27.0	44.23	56.01	68.05	6.19	34.99	66.43	23.09	50.78	0.0	115.95	88.88	46.87	27.08
Gadd45a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.4	48.15	145.91	22.87	52.46	208.91	14.98	118.82	22.02	72.57	13.99	0.0	0.0	0.0	0.0	15.82	0.0	3.02	0.0	37.44	0.0	0.0	73.06	82.07	43.51	48.81	71.26	217.04	46.8	8.07	25.14	7.85	140.19	18.58	98.97	4.09	102.55	125.77	150.2	143.32
Gm5177	18.3	25.26	23.33	16.84	24.29	18.97	22.64	36.33	33.06	35.23	16.95	20.78	23.39	27.4	35.32	37.31	43.28	29.82	37.69	31.2	37.92	29.83	45.47	49.64	34.05	37.61	35.0	45.29	60.12	33.58	47.2	33.71	37.43	29.17	29.32	26.54	31.61	26.89	21.06	34.42	36.17	40.35	34.34	33.59	28.77	39.3	28.88	38.58	35.49	20.45	28.92	19.37	24.09	30.17	30.29	28.68	16.29
Gm5506	370.48	594.9	398.98	594.79	970.78	346.19	387.13	1174.64	869.31	721.55	483.97	1089.95	604.29	310.07	772.96	355.46	307.95	1417.98	1568.41	1663.42	1157.93	1343.0	1355.35	1145.2	1095.53	1282.08	1367.79	1429.39	1430.97	1075.87	812.99	408.76	626.15	677.05	742.79	425.77	521.79	145.72	537.77	887.85	1123.55	1114.45	1087.49	1782.76	767.82	664.29	1332.55	721.96	982.76	783.64	817.75	890.76	481.42	615.43	965.61	756.96	902.09
Gng12	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.46	77.9	23.53	137.06	31.9	64.6	12.98	18.51	93.74	21.96	7.02	23.55	0.0	0.0	0.28	0.18	0.0	0.0	0.0	29.61	0.0	0.0	64.85	38.75	34.0	42.99	0.0	314.32	83.07	50.24	0.31	2.44	91.29	86.96	0.0	0.0	0.46	55.64	0.0	101.25
Gpc1	0.0	18.23	0.06	29.89	1.0	60.06	18.32	24.25	43.61	6.05	14.5	16.04	0.0	38.06	0.0	0.0	48.92	15.93	62.89	50.08	38.73	1.05	74.85	4.6	44.14	59.44	30.15	128.19	55.31	50.22	38.56	39.11	41.18	35.57	96.59	12.26	44.6	69.22	26.91	39.87	40.84	28.48	43.62	33.6	25.91	46.52	0.0	0.0	8.34	40.74	9.32	27.66	31.74	68.35	14.15	23.5	17.3
Gpx4	822.05	597.54	597.52	1296.25	543.8	847.5	345.44	763.57	628.05	629.05	441.93	603.0	195.68	443.02	215.27	950.76	761.69	548.39	535.83	832.34	787.17	860.38	1751.3	1239.0	1107.19	819.91	803.79	412.21	911.19	826.8	827.55	491.16	520.17	629.25	292.61	463.98	550.75	287.75	514.44	885.59	729.13	930.11	773.5	839.84	118.38	512.74	888.86	817.36	1166.47	763.84	921.02	525.46	562.47	800.92	386.98	454.24	959.97
Hagh	572.54	276.13	208.76	609.93	169.11	456.85	30.45	217.79	156.91	180.9	318.7	178.34	464.0	560.17	0.43	20.72	0.0	343.47	0.37	426.67	398.62	349.38	725.33	355.62	369.13	770.04	777.46	699.18	168.61	2.11	207.13	676.26	281.65	209.51	212.42	264.04	616.71	126.01	368.62	467.36	340.22	407.46	327.88	204.69	180.45	1.6	174.66	0.83	17.35	263.65	155.39	493.7	507.24	291.07	0.0	637.81	380.28
Higd1a	279.81	219.83	63.52	130.63	412.62	160.11	282.03	119.56	171.35	475.62	255.28	916.13	542.28	101.46	280.26	481.91	405.17	340.42	204.81	350.05	322.62	387.38	244.1	371.92	307.06	976.33	614.12	316.08	583.63	372.6	371.3	122.75	188.75	320.94	304.0	356.69	221.12	352.56	513.85	326.61	484.64	372.65	464.81	425.55	442.11	832.94	310.03	157.89	211.73	329.16	321.31	767.1	334.92	604.04	377.16	307.21	479.35
Hs3st4	0.0	0.0	0.12	0.39	0.46	0.0	0.0	0.26	1.13	0.0	0.21	0.0	0.0	0.0	8.07	0.0	0.12	129.46	3.73	165.97	78.5	113.59	61.79	121.89	55.74	84.0	30.76	30.97	0.0	0.0	0.15	0.78	0.0	0.0	0.0	0.0	45.94	0.21	0.0	141.22	118.2	119.5	103.83	64.69	0.0	34.57	7.56	161.4	94.93	222.4	169.59	12.12	0.11	43.12	203.53	11.85	8.68
Ifitm2	0.0	0.0	0.0	0.0	63.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	437.54	561.73	151.22	1033.6	531.03	642.26	375.7	0.74	337.62	0.0	0.0	0.0	0.0	50.11	0.0	0.0	0.0	140.22	17.43	0.0	658.1	53.87	71.51	317.95	0.0	568.34	1779.8	205.43	312.35	361.2	166.39	287.78	296.48	0.0	134.16	178.38	0.0	88.28
Igfbp4	0.0	19.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	179.9	86.98	15.95	21.2	260.97	240.98	176.81	142.9	29.78	49.15	2.67	0.0	22.25	0.15	49.11	0.0	0.0	10.67	0.0	34.48	151.95	86.54	99.35	101.74	30.97	279.09	13.31	102.14	0.0	17.15	159.12	105.04	85.09	61.37	18.5	52.06	132.97	20.34
Igsf21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34	0.0	0.0	0.0	13.7	3.61	2.16	0.0	83.42	35.74	43.41	0.35	80.2	34.99	86.31	35.12	0.0	0.0	8.04	0.45	0.0	0.0	0.0	0.0	0.0	5.32	14.06	20.97	10.53	8.77	0.0	0.0	1.72	0.0	0.0	34.97	30.3	0.0	0.0	31.8	26.15	0.0	35.95	14.29
Lmo3	0.0	0.07	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.69	771.74	348.58	409.05	203.43	98.97	187.27	620.04	427.22	637.0	355.55	325.66	767.46	3.45	1.33	1.51	8.04	0.0	0.3	597.84	0.61	88.77	321.14	370.32	337.07	303.12	483.1	187.73	539.1	309.27	185.4	328.07	494.89	616.13	553.25	218.12	64.84	862.5	266.75	405.38
Mrpl33	88.81	225.44	120.82	220.6	109.75	77.65	160.45	200.45	65.16	156.66	145.76	197.59	159.21	34.95	0.0	327.37	427.83	57.01	70.78	356.87	91.47	647.16	508.4	465.76	191.08	370.39	853.77	352.73	223.7	60.05	302.04	309.14	166.41	123.71	157.1	112.06	128.88	33.41	100.6	312.4	363.44	161.15	351.01	0.0	166.87	556.79	384.41	408.37	249.06	430.4	101.85	520.58	281.03	54.13	238.24	256.71	260.77
