	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_83	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_47	Rbp4_tdTpositive_cell_110	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	CAV_LP_Ipsi_tdTpos_cell_17
1500031L02Rik	43.09	111.85	18.44	38.85	109.64	18.21	0.0	0.0	8.13	102.76	132.17	175.25	51.37	213.81	161.17	198.43	115.83	71.68	0.14	75.0	0.1	73.23	71.04	41.18	92.22	82.98	0.0	50.83	18.33	92.05	66.6	55.67	2.51	0.0	93.96	3.83	178.14	279.46	71.33	134.74	0.25	25.0	0.0	0.61	0.0	46.35	78.16	29.99	23.22	108.62	41.46	201.69	340.86	136.71	183.12	336.14	173.26	197.77	293.71	316.41	167.73	195.53	121.67	231.23	115.01	118.96	61.36	183.97	242.84	284.01	188.12	0.0	0.0	0.0	84.9	111.47	48.93	31.97	41.05	6.32	14.31	99.48	98.82	76.96	117.4	9.68	250.26
Atp5c1	1225.11	1617.44	645.49	1508.96	1209.13	812.35	565.34	956.07	941.56	785.81	1763.1	649.38	1893.06	1307.73	1761.71	975.63	887.27	861.94	1038.16	1033.37	1303.54	1378.87	1236.12	666.88	735.7	850.17	732.1	1026.42	918.84	733.33	937.36	760.14	701.06	840.6	1808.56	824.73	859.79	1497.23	1202.6	732.19	809.36	1224.89	1076.74	1235.5	520.39	1120.01	860.29	852.05	861.19	871.81	862.62	1030.73	1975.06	1905.3	2052.14	1848.45	1739.62	2195.86	1783.5	2129.61	1944.97	1460.88	2217.04	1555.7	1491.73	1723.6	1684.81	1641.39	1859.12	1944.41	1563.43	0.0	0.93	840.37	1161.5	1713.74	1172.74	1033.52	625.74	448.43	761.18	998.92	1239.98	1109.77	946.28	890.48	1571.07
Atp5f1	520.71	1433.9	1011.94	1680.57	709.24	861.96	1171.73	1237.56	1201.7	512.33	2434.13	1020.54	2195.97	1076.89	887.59	925.54	854.46	1325.3	761.16	1435.12	1023.96	1002.89	897.08	928.97	938.29	641.11	1191.63	932.32	730.4	825.25	1019.84	896.08	788.34	1112.11	565.67	632.01	1057.22	1582.72	1216.85	798.36	920.0	506.45	1024.77	612.5	801.96	711.51	1016.69	793.11	894.78	845.87	875.09	1245.39	2351.63	2026.57	2657.58	1874.28	2345.08	2446.69	2092.47	2544.76	1904.44	1683.13	2001.28	2164.01	1761.16	2093.72	2203.03	1768.18	1738.2	2041.59	2164.51	733.87	912.23	0.0	613.98	1525.26	935.5	1067.61	640.01	943.19	1106.89	794.3	1106.98	1075.94	1642.72	628.02	2075.83
Atp5g3	1042.26	1704.47	617.43	1476.19	711.44	996.47	668.24	726.27	910.25	474.97	1435.15	829.52	1551.84	1059.63	1298.3	1092.83	694.79	944.94	557.04	686.78	428.61	803.32	1052.15	616.15	953.07	566.4	841.3	1180.56	545.91	1056.67	1016.25	904.27	380.19	826.29	899.33	924.18	672.78	1136.85	813.79	534.35	1407.82	323.68	1071.94	1145.25	864.55	556.88	780.12	689.16	958.18	711.04	870.55	758.56	1937.66	2098.67	1616.38	1867.83	1594.09	2295.24	1649.06	2046.82	1280.57	1726.63	2095.25	2043.53	2035.42	3701.73	1841.65	1572.68	1560.93	1632.68	1608.38	0.0	1.25	647.62	841.46	1096.69	657.73	503.28	662.14	615.29	405.74	1161.83	1292.79	566.34	805.07	398.67	1565.97
Atp5k	435.01	1486.33	591.01	1511.51	793.01	502.3	593.12	714.24	840.29	692.7	1334.39	470.32	1035.43	664.57	659.01	819.06	419.21	596.47	424.61	635.96	523.69	703.99	446.7	706.06	692.69	289.48	404.39	506.06	441.02	392.25	509.72	621.27	481.99	521.52	772.02	599.23	930.36	900.71	523.2	624.4	737.48	551.97	671.13	437.86	674.01	529.25	494.93	565.15	546.89	650.74	472.55	410.07	1368.67	1079.89	1010.55	1207.31	1269.49	1103.96	1514.99	1092.05	1213.56	1007.61	1203.06	1085.19	1501.54	2483.37	1052.68	1106.84	1064.82	1624.2	1141.32	0.0	0.0	430.4	599.5	1361.17	486.05	892.82	530.07	790.93	869.51	586.99	499.06	449.68	312.15	1186.5	1018.24
BC002163	289.01	513.66	212.82	504.48	394.32	596.94	167.7	473.58	290.01	413.08	376.04	156.36	483.35	158.83	294.42	393.44	341.99	204.4	134.25	298.09	273.53	498.39	275.03	494.7	382.86	361.29	293.13	204.72	231.64	394.77	125.37	154.67	214.69	478.47	175.72	359.3	333.66	523.45	511.34	254.55	288.5	321.82	233.71	429.36	240.7	396.26	322.45	126.67	332.83	305.97	229.94	169.59	859.86	295.86	421.89	332.67	429.5	564.28	479.17	476.27	388.15	389.56	599.7	262.44	446.04	1343.79	319.43	554.21	502.4	368.11	543.78	0.0	0.8	0.0	191.26	520.39	428.72	294.67	420.59	461.24	235.19	505.25	436.32	358.48	272.98	361.04	847.5
Cox6b1	1272.61	2036.14	850.99	2355.88	937.38	758.85	581.37	1394.08	2052.33	1006.52	2187.98	610.87	2493.34	1373.62	1045.48	1188.6	885.41	1013.59	1211.24	765.14	829.6	1288.34	1059.28	1152.82	1269.92	871.48	1246.18	1121.87	716.38	1094.2	655.64	1076.49	805.82	740.2	945.34	1677.08	1094.22	1386.31	1109.85	870.02	746.78	1720.64	1879.91	946.85	1070.98	697.83	1046.6	1197.61	1052.6	1045.07	1106.4	665.26	2676.21	2476.85	1873.52	1332.39	1918.03	1313.33	2132.07	2556.86	2408.22	1843.88	1550.61	2099.05	2474.97	4377.17	2501.68	2015.78	2585.84	2635.32	1758.71	2508.42	1.53	731.29	1090.56	1846.79	653.28	693.59	1029.32	1364.88	1214.87	1346.47	1392.71	1139.69	981.82	525.35	2258.93
Cox6c	1811.68	1544.74	539.21	1854.93	951.2	640.6	1144.18	1182.99	1519.19	1075.14	1926.66	1076.5	2030.55	1553.59	1070.45	1342.87	843.5	972.77	1115.63	1192.44	928.56	989.26	1075.88	943.98	1189.13	988.28	1020.02	1090.71	848.57	1085.6	992.29	1426.81	622.53	1098.61	833.64	1217.58	2282.45	1981.47	1055.35	1006.11	1382.74	1187.38	1396.59	775.55	900.19	944.28	1007.03	1001.52	876.47	1124.6	1335.8	684.82	2693.51	2032.79	1635.76	1585.3	2057.89	2828.74	2325.5	2223.51	2158.97	1670.57	1828.02	2187.19	2759.2	4905.87	2258.94	1941.38	1770.84	2100.01	2103.58	24.95	3.83	364.73	1349.79	1533.97	935.01	821.19	725.93	802.58	827.34	1599.27	1235.39	1167.47	1159.96	1926.35	2137.7
Cox7a2	664.53	1055.06	374.95	1233.02	550.43	552.08	157.14	489.36	660.0	534.15	1274.87	312.74	885.68	878.38	258.69	635.9	318.42	518.05	586.45	141.55	349.64	600.5	532.8	535.66	341.64	424.24	329.47	454.47	182.11	400.95	407.65	470.79	508.37	628.25	357.11	256.65	625.19	840.01	473.83	370.18	328.47	510.56	432.97	571.16	466.15	484.0	406.83	461.15	383.95	433.16	519.34	481.05	1645.08	1110.12	987.69	944.78	1223.94	842.53	1314.95	1117.44	1089.05	735.3	1213.49	1112.66	1277.71	1857.99	1297.38	1129.59	1206.85	1184.72	956.55	319.8	0.0	0.0	473.46	791.33	468.39	737.97	539.24	509.83	345.07	649.4	405.8	579.08	427.3	830.63	1011.07
Cox7b	520.75	583.33	245.64	603.15	307.94	447.22	328.25	424.89	479.9	439.67	904.3	621.38	1010.68	401.62	498.46	725.19	324.46	346.44	511.09	493.69	500.36	520.04	411.69	462.71	298.57	448.2	456.79	380.65	287.81	284.51	374.24	360.36	317.65	494.05	567.26	338.23	1007.32	551.42	484.63	221.18	413.28	737.04	426.08	235.65	314.52	274.14	345.4	529.79	424.56	285.68	437.86	365.23	901.68	974.89	704.77	955.96	1328.04	732.89	1139.62	1128.97	1103.48	855.12	1163.32	897.09	1290.83	1568.52	986.9	794.57	660.97	923.05	718.36	0.0	0.0	102.49	512.81	713.4	419.22	850.13	290.1	370.56	319.21	398.82	397.64	357.4	505.93	331.93	800.59
