	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_14	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_5	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_27	Cux2_tdTpositive_cell_34	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_79	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12
2010015L04Rik	14.8	14.9	84.2	9.61	14.2	4.65	0.0	8.58	7.93	10.39	69.6	158.55	112.71	141.21	11.03	15.46	8.66	13.73	4.94	19.51	16.84	78.83	7.39	165.09	0.0	12.96	19.54	7.75	33.65	8.77	31.65	7.35	8.59	18.92	6.24	4.61	7.14	7.84	111.28	0.64	3.75	6.32	1.11	6.12	12.27	21.44	18.78	38.47	1.3	7.05	12.15	7.06	150.8	15.88	0.95	4.97	0.45	0.24	14.43	16.27	21.84	109.85
2310003L22Rik	0.0	0.0	50.37	0.0	80.09	0.14	0.0	0.0	61.08	0.17	127.99	39.02	22.43	91.65	72.14	22.18	19.4	0.19	0.0	0.0	46.44	0.0	33.73	25.73	0.0	39.26	10.81	23.44	0.0	0.0	0.0	35.26	46.36	0.06	48.15	59.48	44.5	60.8	0.0	34.83	4.42	43.03	48.52	0.0	2.37	21.52	0.0	54.62	43.44	36.43	9.61	0.0	24.06	0.0	83.52	0.19	0.3	0.22	33.31	35.14	34.06	59.31
2810021B07Rik	27.86	8.89	21.29	33.57	33.47	18.07	7.12	33.47	28.14	19.97	29.84	135.08	38.29	26.87	29.76	24.51	17.24	30.44	50.95	30.74	34.27	21.35	25.68	47.52	0.16	56.55	20.75	51.03	41.45	28.76	22.03	20.53	23.38	164.86	4.95	10.02	12.3	21.34	27.45	11.72	43.42	20.54	22.41	64.74	16.48	93.91	56.03	18.39	14.94	36.19	21.39	12.18	30.9	31.34	31.62	21.06	10.79	11.34	18.03	14.3	16.19	37.33
3110082I17Rik	0.0	14.21	4.25	5.53	6.68	0.29	0.0	0.0	0.0	0.0	1.75	140.88	8.0	12.23	92.9	0.23	47.3	0.62	0.0	223.84	0.2	142.09	0.0	117.49	0.0	3.23	13.32	88.9	0.32	0.0	0.0	1.13	20.92	0.12	0.0	0.0	0.23	0.0	0.0	0.0	0.0	10.51	0.0	6.44	0.0	0.0	21.15	153.7	8.16	0.0	0.0	18.83	0.2	0.0	3.36	0.0	2.65	0.21	5.62	9.85	7.99	4.16
4930433N12Rik	1.05	0.0	0.0	9.01	0.0	0.0	0.0	0.17	0.15	0.0	6.32	19.52	0.0	0.09	0.0	0.0	0.0	0.78	0.45	0.0	0.33	0.0	0.0	0.0	0.0	0.57	0.0	1.68	0.0	1.62	0.0	0.16	0.0	0.0	0.19	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.42	0.42	0.0	0.0	0.7	0.0	0.0	0.0	0.17	0.21	1.34	0.0	6.92	0.22	0.0	0.0	0.88	1.47	0.26	0.0
4930469G21Rik	5.86	0.0	0.0	69.41	0.0	1.36	0.0	0.0	0.0	0.74	0.0	45.59	3.15	0.0	1.29	31.63	2.84	0.0	0.0	2.39	50.53	9.39	0.0	0.0	0.0	0.0	49.7	0.0	0.0	5.25	3.73	0.0	0.19	0.53	0.28	0.0	0.0	0.0	0.0	48.48	2.64	0.0	0.65	0.0	2.18	0.0	0.0	0.63	0.0	0.0	0.0	0.0	3.67	0.0	0.0	0.0	0.15	0.0	3.26	1.88	1.9	1.57
4933407C03Rik	89.63	124.35	153.1	76.73	112.21	7.09	0.0	46.65	98.88	37.11	44.74	135.93	232.59	95.28	156.06	216.59	156.82	107.94	130.69	46.31	83.84	101.1	33.98	34.16	0.0	150.41	69.39	4.77	27.5	61.31	25.85	12.67	65.9	28.29	20.07	65.31	53.39	0.0	76.75	47.72	64.11	47.58	1.78	81.2	183.47	27.3	14.26	29.66	10.88	72.85	34.25	37.93	111.59	88.83	96.83	92.75	32.9	0.6	35.3	49.59	41.88	116.97
6330527O06Rik	0.0	2081.61	1254.92	1442.48	3160.83	0.0	0.0	76.04	2331.92	974.84	2389.24	1938.79	2347.63	2840.82	1698.75	2207.5	2035.19	1977.02	1185.55	0.85	1390.42	1778.19	730.27	2277.54	0.0	2271.93	2781.58	821.67	556.95	1290.95	903.75	0.0	237.65	10.42	198.97	934.86	1721.47	0.36	1.47	0.31	0.0	0.26	0.0	0.87	0.26	0.0	694.35	0.18	0.16	240.27	0.0	0.0	2599.65	2868.8	1181.04	136.97	477.31	0.31	397.52	475.81	515.09	991.12
9330175E14Rik	0.0	0.09	0.12	0.0	0.0	0.0	0.0	0.57	0.65	0.58	1.03	0.23	0.0	0.24	0.0	0.37	0.53	0.0	0.0	0.46	0.0	0.49	0.0	0.28	0.0	0.0	0.6	0.38	0.0	0.28	0.0	0.0	0.28	0.0	0.0	0.21	0.0	0.42	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.07	0.48	0.0	0.17	0.17	0.0	0.21	0.0	0.18	0.0	0.0	0.0	0.19
Abcb9	0.0	4.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.24	51.86	0.72	0.0	46.69	17.8	0.04	0.0	0.0	0.0	0.0	16.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	16.24	2.65	0.0	3.05	0.13	0.13	0.29	0.26	0.0	0.09	3.45	56.31	0.08	0.0	1.16	0.51	0.21	4.02
