	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Sort1	36.31	8.11	0.06	0.0	23.84	37.15	51.14	37.79	74.76	0.0	0.0	0.0	0.0	0.16	0.0	2.34	10.56	1.28	16.79	0.05	0.13	47.63	0.0	7.25	10.63	0.68	0.12	15.17	13.61	0.41	0.0	32.08	26.28	15.32	0.0	0.37	0.0	36.17	11.11	0.24	19.0	0.72	29.96	0.0	0.0	0.0	0.0	6.49	9.6	1.33	14.4	9.38	19.02	251.59	239.48	249.17
Spen	0.61	0.0	0.13	0.0	2.91	7.44	17.94	3.68	3.95	0.0	0.0	0.0	0.04	0.09	0.0	0.0	0.41	2.08	0.15	0.0	0.0	0.01	0.0	0.02	0.71	3.66	0.0	0.19	4.96	0.97	0.99	8.3	0.02	0.0	0.0	20.32	0.0	2.73	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.44	0.05	1.08	0.0	2.7	0.92	19.23	19.39	20.09
Sv2a	87.21	188.74	0.0	0.0	293.01	728.63	645.86	451.82	316.92	0.0	0.0	0.0	0.0	0.0	0.0	172.66	150.24	149.6	76.27	60.63	155.33	139.92	44.28	31.77	60.44	54.79	127.08	153.44	64.42	181.48	119.27	171.42	72.42	47.95	77.31	229.46	106.52	135.34	83.75	57.37	130.42	30.97	28.39	59.77	0.0	0.0	0.0	36.62	36.85	20.83	128.48	30.62	86.59	289.26	306.68	286.94
Tapt1	24.66	0.0	0.0	0.0	0.0	18.58	78.78	57.12	75.97	0.0	0.0	0.13	0.0	0.0	0.0	6.56	31.38	0.02	0.0	0.0	0.06	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	18.55	0.13	0.0	0.0	0.0	0.0	42.6	39.79	41.19
Tmem214	0.0	44.6	0.0	0.0	0.0	52.34	227.2	0.0	83.64	0.0	0.0	0.0	0.0	0.0	0.0	2.41	11.69	0.0	0.0	52.2	0.0	0.08	0.09	0.22	32.92	4.63	0.0	21.63	0.8	0.1	28.25	0.11	0.0	14.37	0.0	14.17	89.08	95.57	19.78	0.0	45.37	0.0	0.06	0.0	0.0	0.0	0.0	0.1	0.0	58.42	20.56	19.6	0.0	47.71	49.96	53.72
Ube2d2	59.17	24.31	0.0	0.0	123.94	0.0	242.79	51.72	162.35	2.42	0.0	0.0	0.0	0.0	381.6	3.23	0.89	64.43	12.57	41.76	83.68	0.31	29.78	33.65	17.79	29.43	45.88	9.01	0.0	0.0	50.86	0.36	69.12	27.09	0.17	0.0	107.22	176.16	12.04	31.63	10.14	43.62	79.37	35.76	0.0	0.0	0.0	0.0	0.09	27.77	30.91	33.02	0.0	136.0	140.14	137.32
Ube2r2	10.59	15.85	0.0	0.0	21.05	0.0	57.64	9.95	3.79	0.0	2.19	0.0	165.69	0.11	0.0	12.46	20.86	18.8	3.38	0.05	13.51	1.9	27.95	9.32	1.24	14.7	7.43	41.21	0.0	2.03	14.65	66.88	7.56	2.23	1.54	0.0	7.99	32.12	28.11	0.5	0.0	0.08	37.97	11.88	0.0	0.0	0.0	6.55	7.5	3.09	0.07	7.84	14.62	43.49	43.72	41.05
Ubn2	8.55	15.67	0.09	0.03	2.09	23.53	27.76	22.48	16.48	0.0	216.96	0.0	0.21	0.5	0.0	12.9	9.93	10.65	3.56	3.23	8.92	11.2	2.99	11.38	1.16	3.14	1.91	10.92	2.17	2.64	7.39	12.2	10.78	11.8	14.2	2.54	2.71	28.16	1.66	2.4	13.39	0.21	2.43	1.56	5.99	0.08	0.87	11.66	2.32	19.67	10.92	10.25	0.16	16.76	13.28	16.9
Uhrf1bp1l	2.65	18.36	0.0	0.0	1.48	39.0	58.88	19.85	1.47	0.0	0.0	0.0	0.0	0.0	0.0	31.95	3.49	24.12	9.27	0.13	6.16	10.69	0.3	47.18	0.08	3.39	8.75	0.18	13.0	0.0	4.95	23.46	21.24	17.25	20.5	2.01	48.35	39.28	3.23	1.06	23.46	35.39	2.58	15.5	0.47	0.0	0.0	14.72	0.04	0.0	0.03	0.03	0.05	44.11	41.55	45.06
Xpo7	2.75	2.35	2.97	1.12	3.69	3.28	22.46	4.86	4.68	1.25	2.47	1.7	0.85	0.39	0.96	2.08	5.08	9.66	7.91	1.98	8.05	2.99	1.96	2.92	5.83	2.18	10.5	4.13	11.66	12.91	1.93	1.8	2.56	7.01	23.59	3.61	10.05	2.67	1.65	2.12	2.9	5.85	9.73	2.02	18.71	5.84	4.07	1.96	5.51	6.61	2.08	1.92	1.23	19.84	19.5	19.17
Zfp161	0.18	0.0	0.0	0.0	1.29	0.0	111.97	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.1	0.04	0.13	5.76	12.18	1.92	37.08	0.0	0.08	24.68	29.28	14.48	0.09	0.16	11.45	0.5	33.95	61.32	0.0	6.25	0.92	0.0	52.74	1.4	0.0	0.0	5.92	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.08	23.66	23.62	23.41
