	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fbxo8	0.18	16.8	0.0	0.0	2.31	0.0	101.34	61.71	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	23.61	4.82	0.03	0.89	0.03	0.0	27.08	0.0	2.8	27.91	0.0	18.73	3.13	0.0	42.21	13.07	0.0	1.64	1.69	4.4	0.0	0.0	0.0	0.0	0.0	0.0	22.5	9.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	13.94	14.42	15.26
Flywch1	18.41	3.01	0.0	0.0	87.57	0.29	27.33	0.9	38.8	0.0	0.0	0.0	0.0	0.0	0.0	17.56	0.29	28.45	2.37	0.27	18.89	0.51	2.72	0.37	43.15	1.53	11.0	40.0	1.52	2.92	1.09	1.32	1.75	1.29	0.77	1.93	2.81	5.09	1.33	0.33	0.23	4.92	0.44	12.91	0.0	0.0	0.0	1.14	1.01	7.5	13.33	1.92	0.0	187.51	205.15	199.13
Fto	74.31	114.29	0.0	0.0	165.99	42.04	297.46	87.83	86.75	0.0	0.0	0.0	0.0	0.0	0.0	169.23	140.89	64.21	77.53	105.98	224.47	38.96	132.51	54.53	138.74	66.72	186.2	282.25	110.61	144.6	107.03	25.92	39.01	35.73	145.39	271.72	138.98	109.9	122.49	92.64	67.98	182.57	77.6	131.04	0.0	0.0	0.0	102.63	106.39	178.43	28.31	94.36	85.96	123.54	126.56	122.35
Grina	280.11	326.42	0.0	0.0	424.68	878.15	858.57	348.88	258.15	0.0	0.0	0.0	0.0	0.0	0.0	21.73	312.78	318.77	173.41	278.23	429.46	368.15	178.73	416.39	273.47	446.2	419.11	339.84	278.71	186.8	478.87	435.98	390.42	91.22	132.94	70.82	124.08	242.1	268.07	219.58	188.03	164.94	328.88	368.22	0.0	0.0	0.0	345.56	274.76	505.95	452.1	334.1	393.93	438.71	454.74	430.01
Hnrnpab	26.17	9.8	3.38	7.27	20.14	73.78	92.06	31.1	8.8	0.47	1.43	0.23	0.46	0.43	0.0	0.26	9.06	31.95	10.96	24.29	3.82	0.65	15.07	31.37	7.76	0.16	15.98	13.79	8.3	11.48	3.34	0.59	1.57	0.46	0.54	0.36	1.4	10.52	7.51	5.66	0.61	17.88	1.22	5.65	0.0	0.61	0.64	0.36	35.22	27.84	15.11	1.02	24.0	108.31	120.31	108.59
Hpcal4	0.0	1.31	0.0	0.0	0.0	71.8	257.45	94.28	29.07	0.0	0.0	0.0	0.0	0.0	0.0	31.37	3.68	0.72	4.15	8.72	26.64	26.96	17.82	0.07	29.95	15.21	62.13	37.16	65.12	23.26	26.05	26.6	24.36	5.7	2.32	12.75	0.0	76.5	16.75	41.05	40.78	23.79	14.74	39.32	0.0	0.0	0.13	39.8	7.46	7.63	35.79	24.21	11.0	617.1	589.7	600.85
Htra1	0.95	0.0	0.0	0.0	0.1	100.09	76.96	46.28	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.08	0.05	23.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.68	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.39	127.4	135.11
Ids	23.38	7.25	0.0	0.09	69.45	0.73	121.81	29.54	40.61	0.0	0.07	0.18	0.25	0.11	0.0	31.76	31.37	17.92	21.62	4.6	45.93	32.68	44.25	6.36	6.93	5.35	5.49	10.8	6.82	3.65	29.72	12.43	10.64	16.81	33.56	15.43	12.78	27.1	13.3	8.6	23.86	6.6	8.75	11.29	0.24	37.75	1.15	31.33	13.49	6.77	26.5	19.18	31.82	309.23	297.91	298.29
Itpr1	0.0	0.0	0.0	0.0	61.99	134.34	98.57	26.61	47.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.02	0.03	0.03	0.01	0.0	0.0	0.05	0.0	0.04	0.03	0.0	0.08	0.0	8.58	0.0	0.0	0.0	64.42	0.0	0.25	0.0	0.03	0.0	0.0	0.02	4.08	0.0	0.0	0.0	0.11	0.0	0.0	0.26	1.68	0.0	211.99	196.39	212.52
Kif5c	101.66	59.0	0.0	0.0	70.18	250.82	342.01	257.51	69.68	0.0	0.0	0.0	0.0	0.0	0.0	108.68	56.84	142.51	27.29	26.58	62.35	94.67	20.67	44.52	37.43	35.39	34.63	27.21	70.33	40.8	31.06	81.06	10.89	49.35	1.02	38.76	61.09	7.69	38.2	33.69	40.53	86.84	77.83	7.38	0.0	0.0	0.0	52.47	58.58	36.31	49.23	27.24	26.52	410.62	385.0	413.29
Ldoc1l	21.67	0.0	0.0	0.0	32.48	30.4	63.61	28.15	30.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.93	0.02	1.58	0.04	4.96	0.9	0.0	0.07	17.23	6.35	0.0	0.0	0.0	0.5	28.74	39.84	0.0	0.0	0.0	0.0	0.0	37.4	0.0	19.68	0.0	0.0	0.0	1.71	0.0	0.0	0.0	19.84	21.64	0.0	9.16	13.61	0.0	41.83	45.1	45.4
