	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_58	Gad2_tdTpositive_cell_61	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_108	Ndnf_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_22	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_14	Pvalb_tdTpositive_cell_83	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_79	Rbp4_tdTpositive_cell_12	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_122	Rbp4_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_100	Sst_tdTpositive_cell_101	Sst_tdTpositive_cell_102	Vip_tdTpositive_cell_49
Fau	75.02	841.8	641.76	577.39	766.12	429.6	559.58	1081.34	1030.56	490.72	691.84	382.91	1899.97	0.0	652.84	760.07	362.12	377.0	298.64	490.27	436.96	558.31	139.09	622.59	660.9	688.39	1103.53	1031.0	347.73	388.1	663.46	579.95	512.64	606.9	679.11	537.5	534.0	805.07	375.42	542.24	507.37	568.67	745.46	723.82	642.02	537.66	906.81	858.87	631.25	809.53	542.29	601.67	634.38	1182.09	313.78	672.72	844.83	555.7	701.67	572.26	670.46	617.64	577.75	0.0	704.01	637.04	559.12	396.51	649.07	418.97	619.26	443.26	2911.78	489.14	425.28	525.57	436.5	441.37	531.2	489.72	825.14	312.66	672.73	1083.54	545.16	660.87	381.42	388.56	519.59	503.38	639.29	827.56
Gm15772	0.0	370.62	592.4	594.45	707.06	485.32	817.01	942.16	857.92	566.98	548.35	285.38	1284.38	1.44	726.61	271.32	423.37	536.81	458.23	487.13	372.01	455.76	410.14	787.46	161.8	723.09	2023.87	793.06	414.17	323.53	603.8	419.24	352.82	487.25	502.27	591.83	648.48	583.79	615.63	401.81	429.75	252.61	544.65	789.19	371.86	413.87	415.36	774.17	364.62	620.58	639.97	448.26	355.44	1168.27	553.23	355.48	482.36	341.76	278.61	588.87	329.08	394.15	489.47	0.0	458.44	902.79	281.69	523.11	817.06	346.66	298.7	497.49	2739.14	440.88	415.11	920.06	684.42	398.04	362.81	704.62	590.64	366.49	570.82	629.89	789.08	1122.19	640.5	538.17	369.81	477.97	656.27	570.48
Gm9846	297.82	390.81	546.79	783.4	273.83	0.0	598.47	1089.32	1389.34	111.04	1502.44	363.26	3835.21	483.62	195.75	700.65	469.98	0.0	115.0	2.87	155.92	527.41	552.22	237.85	991.35	422.91	7584.65	1585.35	768.87	860.69	1030.49	865.55	520.65	573.07	916.25	603.21	500.77	864.75	528.57	513.77	801.21	735.63	839.51	502.17	675.11	917.0	771.02	504.31	692.4	562.27	731.2	696.15	1163.7	1654.14	43.46	879.41	976.88	336.34	818.52	625.58	1047.13	746.86	241.76	428.7	335.47	182.78	20.15	242.98	99.14	0.0	22.2	76.61	1071.83	422.54	692.26	233.19	741.48	0.0	546.63	542.08	38.73	235.27	907.44	1721.16	989.91	255.38	467.54	0.07	40.16	753.04	740.03	182.05
Npy	0.0	0.0	138375.8	1014.86	1100.91	64781.64	173305.25	40775.82	1.46	0.0	115124.65	12448.57	0.0	0.0	108594.8	96206.73	82245.2	68542.73	680.07	29.78	325.57	67463.47	65548.38	77711.12	125016.83	0.0	0.0	10347.52	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	246.15	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	48343.46	38762.64	10.03	128781.07	16244.83	8484.11	137945.15	95298.15	137580.94	11.62	65503.76	65353.97	548.22	120620.2	11741.15	26.58
Rpl11	0.0	329.51	553.43	651.18	588.21	346.57	396.36	937.71	905.46	268.8	535.64	559.76	1191.39	0.0	350.73	88.66	116.22	165.08	206.42	352.92	521.92	156.8	257.49	110.86	166.31	206.74	732.26	676.88	335.65	593.91	318.82	411.32	341.42	220.61	361.73	328.17	461.41	526.31	347.28	374.9	441.76	385.53	286.99	513.8	386.04	507.16	487.57	147.48	298.34	556.53	345.15	361.53	183.89	431.97	565.21	553.67	464.57	588.66	369.91	331.09	395.77	560.49	382.19	0.0	429.55	350.39	123.8	468.61	679.48	487.03	217.33	268.94	1153.17	200.93	563.39	153.89	520.14	492.06	473.0	357.69	388.18	98.93	497.38	542.02	203.18	340.22	325.17	569.81	186.53	319.22	293.07	147.6
Rpl13a	153.92	506.07	300.85	547.69	401.0	471.63	394.0	297.41	905.8	112.6	431.05	231.51	969.27	0.0	311.28	295.69	104.9	207.3	117.48	407.14	242.22	152.59	267.83	340.09	401.53	294.17	550.57	401.77	273.37	153.5	296.1	260.11	205.01	136.2	408.41	270.94	261.42	318.35	303.44	298.15	208.74	172.46	394.6	358.74	297.7	270.33	140.36	487.14	335.91	380.22	271.41	311.02	347.87	333.57	407.35	386.38	347.22	463.84	241.43	300.41	322.64	401.34	83.3	234.18	253.37	398.95	402.42	178.04	197.3	181.87	111.37	165.55	915.4	180.49	448.34	224.13	152.1	194.79	370.83	465.2	355.5	221.64	345.89	339.62	232.56	166.36	260.01	230.64	338.68	272.12	224.98	541.74
Rpl14	0.0	993.97	644.07	1155.52	837.18	443.72	681.7	1059.61	1514.06	348.86	864.89	280.99	932.96	889.97	490.86	475.32	428.02	244.55	536.8	872.49	359.44	451.44	423.55	392.9	481.94	666.33	1959.9	1067.33	528.78	445.89	723.94	659.31	546.49	531.08	773.22	505.58	497.84	509.24	512.67	680.17	566.94	519.9	386.77	579.79	596.12	658.47	549.17	432.26	630.53	680.09	749.98	656.86	373.2	917.82	819.24	594.91	757.27	630.67	619.0	636.68	626.39	527.62	599.63	0.0	547.73	757.29	579.6	497.04	584.9	375.74	389.27	302.86	759.54	663.21	470.34	523.71	421.5	305.42	355.59	954.16	392.86	354.3	696.88	924.77	912.98	876.77	640.26	748.02	913.93	694.17	538.49	407.03
Rpl18a	99.46	685.44	548.97	597.16	754.25	364.37	574.66	1041.18	1179.85	364.73	432.53	407.05	2548.76	295.72	342.17	347.03	427.83	221.0	206.27	366.97	374.52	312.93	368.68	384.03	585.94	406.07	1724.81	466.17	529.71	403.36	498.37	507.41	348.69	556.87	533.27	332.98	508.97	476.49	461.84	421.35	348.7	548.66	378.1	432.07	489.83	395.6	243.25	589.99	277.5	459.94	413.43	513.66	417.49	424.05	553.27	546.12	473.5	475.89	448.44	564.66	409.09	268.57	430.03	247.02	434.06	398.35	313.13	189.62	336.61	230.57	311.6	378.7	4879.39	389.91	485.53	615.39	366.25	250.54	533.15	318.52	484.54	340.05	522.02	797.0	755.82	494.72	328.49	288.32	425.36	577.75	287.64	513.72
Rpl19	256.77	1148.85	1030.57	586.11	1211.59	1096.87	1118.46	1960.63	2792.32	541.71	1144.22	613.94	606.33	0.0	1009.84	886.94	691.14	847.12	971.26	280.29	640.99	814.33	844.75	809.72	632.39	885.28	1701.07	1053.72	811.92	1163.29	704.87	1008.86	879.01	866.21	1026.63	928.68	765.15	941.21	748.56	739.65	513.35	684.61	755.22	874.77	884.16	807.75	1002.55	1090.25	866.6	994.56	946.08	930.55	902.84	643.29	757.0	821.65	907.38	769.79	919.18	857.03	707.65	880.18	1157.82	0.0	908.45	902.54	425.26	883.74	568.09	772.73	950.34	1283.54	697.74	641.73	839.32	890.46	828.39	933.4	1287.51	934.24	736.82	638.14	1293.82	903.2	618.86	1883.69	655.9	829.05	537.6	1311.73	614.51	2115.69
Rpl23	61.08	343.75	405.44	404.37	415.61	200.31	459.9	506.36	823.21	253.64	558.54	284.47	467.06	5.31	298.06	263.86	410.72	176.85	419.91	472.3	396.83	137.65	353.09	481.04	506.16	422.09	478.43	669.79	239.69	284.32	354.49	607.55	341.12	282.16	440.02	283.93	362.6	337.45	404.02	427.16	175.03	300.19	203.95	430.97	261.39	285.97	473.57	323.28	343.55	420.5	415.57	254.17	260.25	640.61	372.43	317.71	248.95	389.86	436.46	307.54	398.22	302.64	262.22	156.21	286.46	310.08	211.18	298.95	397.04	332.94	410.95	392.23	848.28	218.32	439.52	723.42	386.99	403.32	528.86	442.73	407.19	243.52	338.29	334.12	382.64	463.0	305.29	503.67	272.85	426.67	547.27	269.58
