	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700054N08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.42	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	17.12	11.24	0.0	41.69	0.0	28.09	0.2	0.0	26.36	2.69	0.0	5.83	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	18.96	19.35	0.0	0.0	0.0	2.64	0.0	2.7	0.0	0.46	19.6	0.0	0.0	0.0	0.0	0.0	3.71	1.76	0.0	72.98	36.91	0.0	0.16	0.0	0.0	56.5	60.27	59.05
2510003E04Rik	0.0	0.0	0.23	0.0	0.0	0.0	90.36	95.11	0.0	0.0	0.0	29.42	1.92	0.24	68.73	34.67	57.44	15.69	43.87	8.43	9.5	43.82	39.69	25.63	44.66	0.62	10.9	0.0	1.94	25.27	0.0	17.66	49.1	0.0	0.0	44.61	4.9	1.37	14.41	4.35	23.99	57.96	14.58	0.0	32.31	3.8	1.01	75.48	42.21	100.78	0.0	23.1	0.92	14.31	0.41	0.0	33.63	56.13	0.15	0.0	82.75	1.73	582.38	0.17	0.45	0.0	178.04	190.65	180.04
5730494N06Rik	0.09	0.0	0.38	0.39	0.0	3.88	156.45	0.0	0.08	363.85	58.98	71.44	0.88	0.0	13.76	56.98	69.37	3.17	3.35	0.0	109.81	0.9	0.0	177.77	98.94	73.05	71.91	97.18	54.71	105.1	0.0	52.34	0.0	0.0	0.0	63.93	0.72	58.86	16.99	52.63	60.53	72.69	0.33	0.53	0.87	18.22	5.27	15.32	0.0	59.73	0.83	9.59	1.2	66.93	144.92	2.58	74.72	2.89	97.13	37.29	0.56	0.29	0.0	0.0	0.81	0.0	39.61	38.28	36.33
6330407J23Rik	43.55	0.06	2.6	0.0	0.0	0.48	0.13	13.07	0.08	43.23	0.0	22.28	0.0	38.54	0.0	0.53	0.06	0.0	6.7	6.59	3.57	18.84	15.52	8.15	12.43	16.46	11.93	5.84	16.1	11.61	1.36	9.7	0.13	82.33	5.72	1.84	3.84	20.17	17.47	8.45	12.27	0.31	7.64	5.92	1.97	6.28	11.9	2.81	0.14	46.36	9.07	8.38	7.28	14.89	12.59	0.2	45.94	0.0	30.17	0.89	33.95	0.54	0.0	0.1	0.19	0.0	49.96	45.74	58.4
6430527G18Rik	0.0	0.53	0.0	0.0	0.0	8.73	0.49	6.76	0.0	0.0	0.0	6.78	0.0	0.14	3.13	10.49	7.51	0.23	4.29	11.9	5.26	13.45	5.68	2.67	5.63	9.06	4.02	3.74	6.06	2.98	4.86	1.88	0.13	0.59	7.29	0.98	6.09	7.05	0.0	2.07	3.29	21.98	2.35	3.14	8.41	14.7	22.93	7.98	5.71	11.96	5.4	1.19	5.35	11.4	16.26	3.33	9.92	26.48	8.58	1.53	9.16	4.09	0.0	0.0	0.09	0.0	62.46	66.67	51.85
Abr	0.0	52.04	3.67	66.43	0.09	33.66	2.26	21.23	12.16	1.61	7.17	15.85	0.0	0.35	67.65	69.67	36.46	51.48	32.45	40.9	34.83	64.69	89.76	26.02	10.93	17.28	3.6	42.4	30.22	24.3	28.85	42.92	36.5	65.27	42.33	20.8	1.73	61.3	66.62	49.73	51.59	44.64	61.53	80.22	28.69	74.12	40.33	18.05	41.38	35.86	19.62	99.87	0.7	17.85	25.19	65.65	18.05	59.73	62.65	119.99	74.12	22.05	494.89	5.06	222.32	0.0	272.97	271.82	286.04
Adam11	0.0	0.72	0.0	0.2	0.1	0.07	0.08	0.05	0.06	0.0	0.0	0.18	0.0	5.2	24.04	0.0	0.11	9.84	0.0	0.0	0.0	0.0	0.0	0.0	0.12	18.49	14.72	0.71	15.13	0.0	3.47	6.2	14.96	0.0	0.0	0.0	1.24	7.35	18.7	0.0	16.93	0.71	0.23	0.98	27.57	43.66	0.09	0.17	0.0	6.81	16.11	40.81	0.1	2.06	0.25	0.0	51.29	1.96	0.0	0.08	0.0	11.61	0.0	0.0	0.31	0.0	100.2	105.1	100.46
Adap1	0.0	0.0	0.0	0.0	0.0	0.27	28.91	0.39	0.0	0.0	0.0	0.35	0.0	0.0	0.0	5.86	0.0	0.0	31.96	0.32	12.07	0.0	17.54	0.66	2.5	9.75	0.27	42.5	26.73	7.06	77.09	0.38	11.22	18.1	45.66	30.72	0.0	0.51	0.43	3.29	5.58	1.02	72.97	6.9	0.0	22.6	34.14	0.17	10.6	104.92	0.26	55.07	23.04	1.92	7.02	34.18	44.45	78.84	17.88	6.34	0.14	14.39	0.0	0.17	0.31	0.0	195.41	208.11	199.98
Adcy1	0.0	0.0	0.0	0.0	0.0	11.53	9.11	31.42	0.0	0.0	0.0	26.15	0.0	0.05	25.02	11.36	32.0	53.39	21.75	24.48	16.7	36.02	27.78	21.79	20.26	22.86	24.1	25.32	53.12	33.35	16.03	13.25	24.25	35.86	4.37	18.99	35.35	10.56	18.9	37.29	43.0	0.56	5.86	13.09	21.13	29.54	48.99	47.0	41.51	14.47	20.42	56.64	11.55	20.47	7.36	35.63	25.35	71.57	43.4	54.35	30.48	63.17	0.0	0.07	0.09	0.0	224.96	212.91	233.52
Adrb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58	0.0	0.48	1.43	0.0	0.0	4.06	0.0	1.55	0.0	0.0	1.02	0.0	1.31	2.45	4.38	0.0	0.0	0.0	0.0	0.0	13.12	26.77	3.45	1.63	0.0	0.0	0.0	0.0	0.0	1.31	0.3	5.03	2.23	10.79	10.52	5.61	1.52	0.0	14.24	0.0	0.0	0.18	8.48	0.0	3.49	12.07	5.83	16.62	0.0	0.0	0.0	0.0	0.0	0.0	30.68	33.63	27.06
