	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
4932411L15	121.11	114.26	104.81	1.17	15.54	4.68	35.84	0.0	347.87	163.16	112.82	210.94	368.63	110.11	226.13	135.39	1.29	7.06	1.16	2.66	51.04	123.32	138.39	89.12	58.19	128.23	122.72	108.86	175.66	93.21	146.85	107.27	94.51	96.47	156.59	127.76	168.52	71.79	99.43	53.73	75.33	101.02	119.31	59.49	98.9	86.15	97.78	68.46	140.31	109.93	271.89	66.63	105.9	168.87	66.48	79.13	253.43	197.22	88.44	121.52	89.25	31.07
4933408N05Rik	0.43	5.13	2.85	0.0	0.15	0.14	1.02	0.62	7.69	4.09	8.77	2.06	6.64	3.14	2.18	2.32	0.16	1.55	0.0	1.43	0.0	1.6	1.62	3.77	1.25	2.42	1.1	1.62	1.92	0.66	1.87	3.14	0.37	1.1	1.23	1.8	2.29	1.62	0.88	0.37	2.01	4.16	1.04	2.47	1.58	0.0	1.03	0.98	2.14	1.88	4.57	0.43	4.11	4.38	1.77	1.88	5.75	5.56	1.83	2.0	0.5	0.62
A630089N07Rik	320.2	256.77	208.79	3.92	237.27	172.89	102.47	0.0	765.34	392.66	541.26	420.75	813.72	536.37	441.3	450.93	22.12	137.76	117.89	54.91	128.35	250.09	249.28	277.12	132.98	312.13	307.14	260.74	369.88	238.37	225.76	280.09	228.81	320.41	315.65	243.08	343.8	261.79	255.2	206.36	347.86	232.85	387.18	216.27	224.28	278.7	238.13	252.1	283.84	302.4	683.51	158.33	223.88	396.46	257.93	210.6	665.09	347.47	145.81	267.49	165.04	80.65
AI593442	80.59	38.1	33.91	0.0	0.0	0.0	0.0	0.0	940.95	280.04	448.77	165.61	377.85	246.88	284.98	160.23	0.0	0.0	0.0	0.0	0.0	9.26	43.53	65.77	59.24	110.21	101.55	77.39	10.59	144.64	17.69	255.4	69.38	144.98	55.31	68.57	94.38	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	20.68	152.57	607.65	94.22	52.25	140.62	76.62	14.94	395.1	163.94	70.92	230.48	57.92	20.52
AU022754	2.79	0.93	0.0	0.0	0.0	0.0	2.58	0.0	5.9	2.01	7.09	1.96	2.26	0.76	0.97	0.45	0.0	0.3	0.0	0.22	0.0	1.8	0.52	1.67	0.22	0.81	0.59	0.98	0.52	0.19	0.7	0.83	0.91	0.47	1.57	1.45	3.21	1.31	0.05	1.04	0.38	1.91	0.51	0.63	1.55	0.51	0.18	0.21	1.62	0.71	1.31	1.25	0.24	0.55	0.73	0.86	5.02	3.61	1.04	1.85	1.84	0.08
AY512931	0.54	0.98	0.23	0.0	0.0	0.0	0.0	0.71	3.42	4.65	7.68	0.36	5.38	1.02	2.11	2.68	0.0	0.0	0.0	0.0	0.0	1.64	0.13	0.69	0.27	3.52	2.4	1.73	0.41	2.26	1.27	0.68	0.83	0.57	1.31	1.83	0.96	0.72	0.73	0.37	2.41	2.31	0.78	0.2	0.89	0.9	1.69	3.14	0.52	2.38	2.25	0.12	0.17	0.43	0.24	2.2	6.95	3.51	0.87	1.84	1.41	0.0
Akap8l	25.51	0.0	0.65	0.0	0.0	0.0	0.0	0.0	80.64	41.84	208.67	117.16	39.54	23.94	74.19	0.0	0.0	0.0	0.0	0.0	0.0	25.97	0.15	0.06	87.29	39.45	0.22	58.12	12.5	0.0	33.84	25.58	11.88	2.6	0.0	0.85	0.0	53.79	15.74	3.84	49.06	0.0	46.81	21.18	2.84	0.28	11.17	58.94	0.12	0.0	36.39	21.86	12.79	0.16	36.85	12.4	0.0	51.25	77.13	19.38	0.15	54.39
Amy2a2	0.3	0.17	0.0	0.0	0.07	0.0	0.12	0.0	0.49	0.15	0.0	0.48	0.49	0.11	0.34	0.22	0.06	0.24	0.04	0.0	0.0	0.13	0.13	0.22	0.1	0.29	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.52	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	0.0	0.75	0.02	0.0	0.06	0.35	0.09	0.62	0.35	0.08	0.3	0.12	0.13
Amy2a3	0.3	0.17	0.0	0.0	0.07	0.0	0.12	0.0	0.49	0.15	0.0	0.48	0.49	0.11	0.34	0.22	0.06	0.24	0.04	0.0	0.0	0.13	0.13	0.22	0.1	0.29	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.52	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	0.0	0.75	0.02	0.0	0.06	0.35	0.09	0.62	0.35	0.08	0.3	0.12	0.13
Amy2a4	0.3	0.17	0.0	0.0	0.07	0.0	0.12	0.0	0.49	0.15	0.0	0.48	0.49	0.11	0.34	0.22	0.06	0.24	0.04	0.0	0.0	0.13	0.13	0.22	0.1	0.29	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.52	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	0.0	0.75	0.02	0.0	0.06	0.35	0.09	0.62	0.35	0.08	0.3	0.12	0.13
