	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
1700047I17Rik2	6.75	0.66	2.63	2.05	2.8	0.52	26.62	16.25	15.13	31.83	16.63	10.18	5.44	3.42	0.0	1.95	1.56	0.75	4.6	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	5.51	4.19	26.95	14.55	4.03	5.27	9.6	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	12.08	0.28	2.1	18.26	23.92	8.08	15.19	6.64	1.29
2410001C21Rik	55.92	127.27	0.19	623.78	0.31	0.37	419.34	127.45	218.38	77.89	234.48	0.0	523.06	0.0	0.0	0.0	0.0	60.92	54.58	161.77	25.39	33.3	48.47	90.54	71.18	0.0	53.44	46.77	325.78	31.87	288.62	77.5	29.94	66.23	158.7	2.11	246.27	11.05	158.75	66.61	121.38	3.57	132.61	132.44	9.85	0.0	0.34	62.97	0.11	71.51	90.71	108.58	109.22
3110040N11Rik	43.89	0.0	0.0	0.0	0.0	0.0	138.25	44.21	0.0	0.0	78.03	14.8	0.0	0.0	0.0	0.0	0.0	18.75	0.1	0.0	0.0	39.1	0.0	0.0	0.0	0.0	27.76	3.33	3.1	20.42	55.34	8.86	79.91	24.93	15.88	42.14	132.73	0.0	0.0	17.63	53.74	14.68	52.93	1.54	23.89	0.0	0.0	0.0	0.0	36.94	0.0	31.64	45.75
A230072C01Rik	9.45	53.07	0.0	6.48	0.19	7.77	348.17	16.42	193.52	76.92	166.09	126.83	12.85	10.96	0.0	1.2	27.74	11.66	18.5	10.6	56.14	14.81	39.65	120.42	70.62	11.9	51.82	80.33	27.52	19.55	23.57	217.48	77.05	14.36	60.35	10.83	42.39	10.05	207.67	14.18	28.69	22.07	10.71	68.82	16.39	26.4	97.21	49.29	100.7	174.59	13.71	115.26	4.91
AI593442	80.59	38.1	0.0	0.0	0.0	0.0	940.95	280.04	432.79	377.85	548.38	428.23	0.0	0.0	0.0	0.0	0.0	9.26	43.53	59.24	83.16	101.55	77.39	10.59	144.64	17.69	255.4	69.38	144.98	55.31	533.11	245.47	68.57	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	20.68	0.0	0.63	94.22	52.25	14.94	70.92	57.92	20.52
Aamp	258.24	219.29	0.0	0.0	0.18	0.0	960.73	352.92	111.73	340.62	603.86	205.03	1.31	0.0	229.47	0.0	17.72	254.84	192.27	282.31	134.84	85.94	333.85	249.02	103.95	175.66	391.11	399.26	52.29	267.51	297.35	221.46	352.31	113.67	322.48	276.8	561.73	0.0	279.35	238.03	99.27	166.16	206.27	221.0	342.97	0.0	2.4	222.48	317.02	222.55	365.88	210.09	211.95
Ank3	7.78	54.56	0.0	0.0	0.0	0.03	54.41	57.94	120.56	180.09	186.57	109.83	0.0	0.0	0.0	0.03	0.03	43.13	17.22	21.68	18.62	3.39	39.85	21.47	31.26	20.23	54.73	8.95	25.15	11.63	138.55	93.31	49.62	47.33	45.6	2.6	100.91	83.83	16.15	25.32	38.91	15.13	40.94	76.41	68.54	0.0	0.54	23.59	38.29	19.65	66.03	21.28	3.95
Cct4	162.55	120.75	0.0	0.21	0.0	0.0	520.56	0.97	27.91	8.35	152.96	93.74	0.0	0.0	0.0	0.0	0.0	221.2	142.96	277.86	160.31	69.05	77.31	153.26	31.94	170.7	111.97	123.38	6.93	62.74	49.1	0.13	131.87	149.16	159.55	111.6	229.53	0.12	58.43	6.42	80.54	257.21	138.1	189.16	139.37	0.0	0.37	62.46	99.88	330.89	111.46	231.42	100.94
Cdc5l	0.43	25.1	0.0	0.14	0.11	0.0	173.84	18.35	156.89	40.9	36.41	29.72	0.31	0.0	26.81	0.0	0.0	64.89	25.56	115.1	78.82	2.78	68.31	56.86	48.98	67.66	44.29	50.72	39.9	18.72	21.98	177.71	55.21	24.21	22.31	19.43	103.55	0.0	30.86	40.48	33.64	19.0	0.0	35.7	21.55	216.48	0.0	48.44	75.24	118.31	20.12	46.69	42.83
Celf1	0.95	16.8	0.0	0.0	0.0	0.0	55.58	35.43	23.4	211.18	26.33	20.09	0.66	0.0	0.0	0.0	0.0	20.43	0.05	9.01	1.17	0.07	10.36	1.1	7.94	17.69	14.39	2.81	0.0	10.83	17.95	44.99	20.61	10.82	41.69	15.53	41.39	0.0	7.19	0.0	0.28	3.75	3.07	25.19	17.03	8.21	0.0	2.73	0.19	1.72	2.94	9.96	2.97
Dact3	1.13	1.93	0.0	0.0	0.0	16.97	37.29	2.08	25.75	7.09	1.5	2.13	0.0	0.0	0.0	0.0	0.0	0.47	31.54	0.41	0.27	2.35	0.09	12.29	13.15	1.37	4.44	0.75	0.99	0.0	0.53	19.62	0.0	1.48	0.59	0.15	0.3	0.25	0.0	2.38	3.04	5.16	1.26	2.17	0.7	0.0	0.0	0.0	0.0	0.0	6.95	3.11	0.1
Dnajc8	210.82	48.18	0.0	0.0	339.88	26.95	284.04	207.51	197.4	196.6	347.15	327.99	0.0	0.0	0.0	0.34	39.2	138.93	96.09	401.05	195.08	128.76	159.76	196.7	88.13	142.54	173.19	202.41	103.85	89.75	275.2	195.18	104.72	243.66	242.37	140.38	212.04	199.94	77.19	149.63	102.89	80.61	238.44	289.93	107.87	0.0	0.53	246.15	95.19	156.67	246.8	175.88	100.63
Dpf2	21.9	67.7	0.0	0.0	3.43	0.0	181.12	0.86	101.78	121.01	177.41	0.0	0.0	0.0	0.0	0.0	0.0	18.02	31.8	44.91	39.06	43.27	34.08	36.19	45.5	30.44	129.67	6.06	60.26	19.13	11.41	168.92	44.15	24.36	57.25	46.75	6.33	0.0	0.09	0.0	32.36	72.13	107.18	83.19	67.81	0.14	4.54	0.0	8.76	53.69	0.0	128.39	61.3
Fam177a	6.75	0.66	2.63	2.05	2.8	0.52	26.62	16.25	15.13	31.83	16.63	10.18	5.44	3.42	0.0	1.95	1.56	0.75	4.6	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	5.51	4.19	26.95	14.55	4.03	5.27	9.6	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	12.08	0.28	2.1	18.26	23.92	8.08	15.19	6.64	1.29
Frmpd4	40.62	2.67	0.05	0.0	0.0	0.0	87.71	44.93	133.76	66.46	89.57	90.88	0.0	0.0	0.0	0.0	0.0	17.31	1.93	9.2	2.63	38.22	5.41	41.91	40.61	17.94	22.75	37.43	26.82	18.26	65.39	46.93	29.45	7.83	2.72	19.98	18.63	0.75	0.67	23.06	14.6	9.33	34.02	2.3	5.79	0.0	0.0	9.87	29.78	7.29	35.01	12.79	0.75
Gabra4	0.0	31.49	0.0	0.0	0.0	0.0	181.72	169.61	303.5	418.53	144.12	15.76	0.0	0.0	0.0	0.0	0.0	34.29	28.74	32.61	12.53	147.68	94.47	28.22	33.26	25.03	70.61	60.01	21.13	109.93	231.01	318.69	32.95	63.43	32.62	1.64	180.89	58.41	24.24	103.66	47.11	0.56	91.05	27.25	96.66	0.0	0.0	100.64	87.51	121.63	44.71	40.44	0.02
Gad2	320.61	411.41	1.13	1.01	0.0	1.33	955.3	762.48	985.01	1708.5	899.36	1076.3	0.1	0.34	0.0	0.48	2.06	245.09	314.59	318.35	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	301.16	198.65	804.54	1302.16	283.25	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	300.55	0.69	4.69	388.23	245.39	315.14	194.46	290.56	429.79
Grin2b	191.93	219.83	0.0	0.0	0.0	0.0	116.5	144.27	151.97	263.05	255.51	199.91	0.12	0.06	0.99	0.08	0.17	113.0	121.66	74.67	68.24	127.78	64.68	101.71	82.6	71.2	107.72	147.24	81.73	52.66	159.16	256.92	107.74	95.18	112.83	99.52	82.31	52.28	59.89	109.06	114.44	84.45	84.2	110.92	120.96	0.0	2.13	141.51	107.93	122.53	68.92	45.27	76.58
Hcn1	3.27	7.68	0.0	0.0	0.13	0.0	27.77	20.71	25.39	45.0	66.87	20.83	0.0	0.0	0.0	0.0	0.0	4.32	3.76	7.49	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	0.04	14.19	43.91	45.44	0.04	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	8.27	0.05	0.0	2.93	0.0	0.16	4.1	9.53	0.0
Kcnmb2	1.75	3.04	0.0	0.0	0.0	0.0	114.32	24.0	136.23	24.23	104.78	131.58	0.0	0.0	0.0	0.0	0.0	0.06	0.05	50.59	0.0	3.15	22.03	40.15	46.39	35.8	13.99	27.48	0.0	0.0	71.65	7.52	3.1	3.86	33.14	60.75	132.18	104.48	0.0	0.71	3.14	8.1	43.76	60.5	2.36	0.0	0.0	49.88	36.71	40.45	2.04	2.48	51.65
Maged1	659.68	815.19	0.0	546.24	304.23	0.14	1361.95	864.79	1331.86	797.1	2214.58	811.89	1.88	0.0	520.8	0.0	0.13	743.43	1097.15	718.81	681.92	723.55	1173.66	1447.54	1489.89	1256.65	1525.89	940.37	1002.02	939.13	1372.06	1908.36	769.94	937.81	770.67	708.87	1269.09	457.53	902.97	1322.91	751.23	718.7	970.61	1009.32	1157.95	0.14	2.61	1065.74	389.87	1373.91	1087.28	676.77	1046.07
Mat2b	321.83	193.89	0.0	0.0	0.0	0.0	700.71	11.31	308.52	309.92	311.75	418.71	1.03	150.46	0.0	0.0	0.0	102.53	173.56	0.54	123.36	39.54	70.71	175.46	178.39	239.37	173.27	127.67	163.88	206.53	203.04	318.49	307.87	112.29	107.66	53.35	158.15	72.45	205.89	9.87	2.27	91.25	126.07	14.11	227.34	694.08	0.39	158.21	82.27	53.18	262.34	86.58	99.08
