	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_tdTnegative_cell_18
6030405A18Rik	0.0	0.0	21.99	0.0	0.0	0.0	0.0	0.0	16.72	0.0
Abat	0.0	0.0	101.58	79.12	8.55	91.83	176.71	120.68	118.93	0.0
Atp2b4	0.0	0.0	0.91	0.11	17.71	2.44	0.77	0.09	0.25	0.0
Cdca7	0.0	0.0	0.0	0.0	0.0	37.87	24.14	21.84	0.0	0.0
Dbndd1	0.0	0.0	47.93	0.41	0.0	30.97	0.0	0.0	2.5	0.0
Dpcd	0.0	0.0	105.31	54.76	162.83	112.31	162.82	93.18	93.44	12.74
Hapln1	0.0	0.0	211.22	2.32	0.0	2.53	0.0	0.0	14.47	0.0
Laptm4b	0.0	0.0	125.38	0.0	0.0	70.75	283.3	35.45	122.95	0.0
Lrrc17	91.37	36.86	3074.63	1254.33	2038.44	4407.17	2190.39	1662.18	2077.45	1.3
Mme	0.0	0.0	0.0	0.0	0.0	32.6	0.08	40.81	8.55	0.0
Pdk2	0.0	0.0	0.0	0.0	0.38	76.32	66.7	17.14	0.18	0.0
Plcd3	0.0	0.0	0.0	0.31	0.64	0.94	0.0	0.0	0.14	0.0
Prmt6	0.0	0.0	0.19	0.1	0.0	5.65	0.0	0.0	0.0	0.0
mt_AF378830	27828.21	28243.37	52908.5	28070.96	55289.36	46877.17	51765.19	35741.21	38697.02	21977.04
mt_AJ409495	86.77	887.51	4236.72	1577.08	3062.57	4138.35	3523.31	3443.04	4109.97	1196.5
mt_AK131577	2188.6	3010.48	11869.87	5183.26	12410.34	9933.94	10889.61	6360.73	6412.84	3935.42
mt_AK131578	1659.89	4892.15	16762.8	11422.04	21769.91	13770.07	13856.24	10103.99	12030.5	8377.95
mt_AK131587	556.85	472.0	3019.3	1275.69	2697.07	2155.32	2411.97	1628.72	1401.06	1061.13
mt_AK131866	1351.6	4004.62	10981.38	6534.52	13378.95	9529.06	8705.53	6476.53	7375.78	3609.42
mt_AK132015	2188.6	3010.48	11869.87	5183.26	12410.34	9933.94	10889.61	6360.73	6412.84	3935.42
mt_AK132098	2188.6	3010.48	11869.87	5183.26	12410.34	9933.94	10889.61	6360.73	6412.84	3935.42
mt_AK138272	310.78	74.11	1411.74	477.01	1835.07	1298.13	1026.64	560.76	706.04	81.61
mt_AK138995	260.16	650.65	2014.05	1384.59	3119.18	1835.41	1279.97	1085.53	1304.54	413.74
mt_AK139029	0.0	1749.7	4524.53	2443.16	4138.01	4605.67	3955.28	2274.34	3080.68	1064.4
mt_AK140265	3104.89	7768.03	11204.42	8109.23	16103.86	18285.22	13642.02	14320.55	13558.45	4663.07
mt_AK141672	78.69	155.24	718.75	384.56	1012.29	848.45	628.61	491.87	596.43	167.12
mt_AK141702	7776.86	6267.37	17697.18	9005.29	19571.14	16893.51	12065.1	8795.94	10640.49	7102.07
mt_AK142726	0.0	1709.48	1830.46	2460.93	4648.28	3044.08	1364.31	1926.56	1538.55	443.84
mt_AK142736	2147.01	5027.69	7897.7	5647.23	13837.49	11295.75	9501.73	9000.57	8688.9	2636.3
mt_AK142750	820.41	2617.83	4346.89	2888.78	7134.4	4816.46	2565.77	3357.09	2925.06	1350.82
mt_AK154943	121.84	102.38	1130.09	532.71	1242.47	1027.86	737.01	520.98	657.08	247.78
mt_AK162500	6229.01	5418.81	18017.62	13510.06	31266.91	18115.72	13178.06	12142.02	13163.08	4646.34
mt_AK163440	5030.35	4102.79	10342.78	5482.9	13495.59	9855.03	5459.26	4388.54	7296.27	3361.94
mt_AK165190	1659.89	4892.15	16762.8	11422.04	21769.91	13770.07	13856.24	10103.99	12030.5	8377.95
mt_AK165865	5601.7	7746.24	24175.67	15629.19	39977.13	28666.62	20551.69	20384.34	18446.12	10557.12
mt_AK167037	2188.6	3010.48	11869.87	5183.26	12410.34	9933.94	10889.61	6360.73	6412.84	3935.42
mt_AK167184	469.32	917.49	2384.8	1642.08	3423.96	2525.36	1354.76	1378.25	1680.84	503.13
mt_BC004586	2059.97	5709.38	15505.88	8800.02	17878.8	13561.19	8520.29	6586.31	9169.59	5906.62
mt_BC012020	4442.14	3818.48	24916.9	7678.65	19336.5	17105.16	14716.37	10157.99	10550.74	8146.39
mt_BC020382	1444.67	2658.45	7043.44	4413.36	11101.16	6595.7	5277.85	4544.98	4047.25	2135.19
mt_GU332589	21230.38	10543.38	22738.66	13267.12	28909.02	31086.28	21460.06	22390.28	20242.91	5654.68
mt_X57779	1515.93	3351.99	9293.52	6605.62	13394.37	9044.92	8949.42	5467.39	7051.59	3001.57
mt_X57780	1515.93	3351.99	9293.52	6605.62	13394.37	9044.92	8949.42	5467.39	7051.59	3001.57
