	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_92	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Dynlrb1	1383.83	2072.37	1087.01	1297.4	1630.04	1854.23	1887.18	2543.39	1406.79	889.7	227.5	387.46	748.58	609.78	1002.12	1443.2	1180.49	1219.35	1188.39	1456.37	2205.74	842.01	803.5	0.0	1115.14	895.22	489.31	912.09	298.54	281.47
Gm15772	485.32	803.98	817.01	803.99	964.88	1089.23	942.16	1066.15	994.05	262.35	260.97	461.97	561.71	419.24	648.48	789.19	371.86	413.87	620.58	448.26	1168.27	329.08	394.15	868.97	729.25	398.04	366.49	640.5	609.2	583.23
Gng3	1048.44	2128.1	993.66	2090.77	2612.69	2880.56	2268.52	2688.72	2244.05	851.99	293.41	727.95	1066.2	742.43	636.79	1072.07	557.38	1000.4	843.43	853.22	577.24	853.89	808.36	0.0	972.37	1302.45	462.25	886.36	145.97	137.43
Gpx4	598.24	1223.85	756.5	740.96	1574.03	1198.38	1833.97	1564.86	1100.97	493.38	3.29	510.88	778.11	348.49	809.41	894.82	808.78	821.09	738.59	589.53	1202.94	635.79	591.8	0.0	597.28	729.12	517.98	570.62	420.36	448.25
Hcfc1r1	230.89	240.24	110.64	332.45	189.8	484.86	352.95	618.46	310.66	202.91	0.0	104.3	147.53	18.91	189.82	192.75	241.94	362.29	209.09	214.94	284.64	148.4	223.64	0.0	277.42	102.82	0.0	181.72	87.98	92.04
Lamtor2	247.47	167.12	621.09	700.55	738.51	865.48	682.82	1563.16	726.68	238.84	0.0	207.47	236.35	269.91	319.25	357.75	404.08	621.84	506.29	381.05	0.0	563.01	237.93	0.0	340.52	269.64	100.28	368.68	76.25	77.53
Lsm7	122.11	338.11	338.82	644.42	957.35	1050.47	658.75	532.29	1054.58	114.44	303.84	283.29	349.57	184.72	304.47	276.48	360.26	233.0	309.58	258.95	466.31	294.63	282.44	0.0	315.15	290.44	370.92	469.22	66.17	75.77
Myl6	1517.68	2901.89	1275.02	2104.5	1885.07	1110.03	2419.76	2246.5	2910.96	888.63	225.73	1007.89	921.97	1106.45	995.75	872.02	979.16	1472.32	1514.95	1287.45	2153.4	1633.91	1384.92	520.49	1349.16	911.18	466.55	890.6	514.02	527.19
Ndufa11	173.84	235.34	225.82	223.0	391.5	479.34	257.25	318.35	447.12	145.12	45.6	144.37	126.53	157.68	142.7	206.05	125.84	204.2	196.79	142.3	288.41	133.04	163.39	0.0	140.91	142.88	108.21	114.32	34.2	36.8
Ndufa13	492.87	618.43	261.33	582.21	553.6	820.76	834.51	709.01	1070.8	248.03	140.98	550.86	530.57	312.73	267.7	275.57	348.69	472.08	449.68	302.45	478.41	295.32	364.7	0.0	437.66	361.15	291.08	411.72	115.56	126.0
Ndufa5	382.53	1425.45	446.26	618.4	1565.94	1175.95	966.5	1741.89	1358.12	410.81	190.74	847.54	681.04	608.65	541.75	815.97	469.71	742.27	861.52	779.25	950.64	574.46	589.57	1.21	775.62	771.62	321.78	555.4	157.98	148.56
Ndufs6	384.28	1132.0	616.68	262.23	988.77	1804.71	1119.44	767.55	1305.14	222.13	0.0	733.24	430.85	605.04	395.91	556.41	496.48	302.71	379.32	444.88	949.42	194.64	308.1	0.0	778.86	359.81	267.7	421.72	112.43	114.77
Ndufv3	352.49	1077.3	499.46	538.16	657.83	1084.42	1107.82	1267.38	1227.96	147.08	351.46	439.28	333.56	350.49	331.88	508.02	427.67	486.78	384.97	439.24	867.58	423.09	336.44	411.31	628.04	275.02	316.7	484.64	113.53	106.07
Nedd8	587.51	1505.01	515.44	1023.37	1528.57	1028.62	770.06	1701.47	1293.94	320.36	218.27	86.05	661.71	391.4	319.71	358.28	514.57	232.83	522.86	579.31	907.08	601.73	260.85	0.0	682.45	286.95	283.76	512.24	181.82	187.09
Pfdn5	659.13	249.28	271.67	696.67	779.21	1125.4	927.77	1205.91	1205.29	373.0	193.08	437.44	185.84	370.02	325.07	621.39	340.37	520.05	500.4	635.56	1002.2	696.26	475.42	0.96	594.33	382.6	193.17	409.6	221.84	223.84
Psmb6	637.6	1018.41	673.86	1093.89	1303.81	672.81	1063.36	1363.15	1744.26	337.21	1.97	441.39	508.2	476.07	849.43	699.9	497.36	427.1	781.5	1065.71	1179.05	780.74	546.86	0.0	443.85	596.95	438.82	628.39	110.32	113.86
Rpl18a	364.37	656.49	574.66	573.82	734.92	983.18	1041.18	745.21	1243.3	251.05	356.89	229.13	310.71	507.41	508.97	432.07	489.83	395.6	459.94	513.66	424.05	409.09	268.57	3.38	239.44	250.54	340.05	328.49	237.05	247.52
