	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700025N23Rik	1.5	5.48	2.2	11.31	3.69	7.93	4.17	8.23	0.0	10.17	28.6	7.95	19.2	18.45	10.4	6.74	15.84	32.29	14.45	8.36	6.57	12.54	1.54	9.54	6.69	2.57	9.49	0.0	20.19	4.75	6.59	6.52	4.01	4.3	7.5	3.72	8.29	3.94	12.99	13.79	7.08	6.99	4.5	3.78	5.92	8.54	3.86	4.63	12.98	4.66	4.6	5.31	6.28	5.47	2.36	11.74	9.19	4.78	3.14	5.12	5.93	5.26	6.88	8.71	6.41	11.77	6.57	3.42	2.54	4.38	7.42	1.41	8.29	10.49	2.08	5.8	26.16	17.52	14.55	20.14
1700047I17Rik2	6.75	0.66	3.78	5.1	2.63	2.05	2.8	0.11	2.15	5.1	25.01	16.25	26.59	49.44	4.73	27.33	15.13	31.83	61.73	16.63	14.23	10.18	3.14	0.15	3.42	1.72	28.96	0.0	1.95	0.75	7.92	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	10.53	5.51	4.19	26.95	14.55	4.03	30.94	3.22	5.27	9.6	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	23.39	1.52	2.02	18.26	23.92	11.71	8.08	15.19	9.76	6.64	1.29	12.49	17.56	16.4	17.92
6430548M08Rik	48.17	21.78	0.09	0.0	0.0	0.0	0.0	0.03	0.0	45.16	107.84	65.66	138.95	103.13	122.56	309.04	163.37	181.89	68.64	221.57	0.0	74.98	0.0	0.0	0.0	0.0	30.63	0.0	0.0	0.03	0.07	45.11	0.26	10.2	36.41	24.71	32.22	1.44	15.96	0.2	23.09	2.7	16.28	34.92	0.77	1.11	9.59	4.14	83.95	0.05	95.03	82.39	12.97	0.3	14.54	69.81	51.44	0.05	23.7	5.13	23.92	12.76	25.06	3.69	3.75	0.0	0.0	0.0	20.63	0.04	37.59	0.94	34.63	58.43	0.16	18.76	144.25	138.81	137.15	144.03
9530091C08Rik	2.41	5.82	3.5	0.47	2.62	2.07	0.87	0.82	0.0	28.28	10.87	8.06	6.5	128.83	3.94	5.56	33.61	121.2	31.4	6.3	8.87	25.8	2.44	16.48	8.07	32.2	4.77	1.41	4.72	2.36	17.95	5.46	1.69	1.05	4.5	3.1	4.4	2.49	5.06	3.23	2.47	2.9	4.03	4.48	2.31	3.37	3.25	32.06	45.84	4.35	2.97	17.57	4.15	2.9	1.29	24.49	1.01	5.56	4.89	3.05	3.37	3.61	1.71	3.62	4.3	2.39	0.62	3.1	1.73	3.41	4.59	1.95	2.37	1.91	1.12	0.77	125.5	1.42	1.12	1.39
AU018091	0.58	0.3	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.0	1.29	1.45	1.15	0.71	0.94	1.08	0.19	0.13	0.25	0.48	0.08	0.0	0.0	0.0	0.31	0.0	0.69	0.18	0.0	0.12	0.11	0.13	0.24	0.13	0.0	0.34	0.0	0.06	0.0	0.12	0.0	0.1	0.07	0.18	0.0	0.0	0.26	0.23	0.0	0.21	0.09	0.4	0.35	0.29	0.0	0.19	0.0	0.0	0.41	0.14	0.17	0.06	0.21	0.0	0.0	0.0	0.63	0.2	0.3	0.17	0.09	0.11	0.18	0.06	0.42	0.06	0.06	0.06
Aak1	19.47	31.11	10.09	0.02	0.03	0.0	0.0	0.0	0.0	24.51	63.62	38.64	47.4	52.5	6.41	81.0	32.69	79.65	42.71	55.34	26.82	45.51	0.1	94.77	0.02	0.0	34.28	0.0	0.07	21.41	2.68	15.83	11.81	4.88	13.96	14.19	21.37	19.51	11.79	16.73	7.12	7.79	1.95	6.98	23.77	23.31	9.46	73.33	21.7	8.71	94.62	16.1	10.6	14.12	27.96	3.79	32.54	7.2	8.23	19.38	11.27	8.06	8.83	4.94	8.98	0.05	38.55	0.0	26.65	19.07	26.46	24.89	19.11	25.73	13.91	24.71	9.7	77.03	72.23	78.8
Acap2	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.85	38.11	51.04	62.51	140.21	0.0	38.13	8.96	74.13	30.6	23.26	9.18	26.73	0.0	0.0	0.0	183.82	26.54	0.0	0.0	3.8	0.0	0.13	11.78	1.01	0.08	0.05	3.1	0.0	2.92	0.0	0.65	6.84	3.03	0.53	0.0	1.2	0.0	11.49	33.42	0.0	0.0	0.04	20.51	0.0	3.05	0.17	0.0	1.31	4.44	0.0	0.13	0.67	0.02	0.0	0.0	0.0	0.0	5.97	0.0	0.66	0.0	3.66	0.13	0.0	2.92	0.04	79.78	56.56	51.78	55.9
Acbd5	97.29	41.7	63.86	0.0	0.0	0.0	0.0	0.0	40.9	100.59	7.74	0.0	90.91	111.94	5.21	71.3	116.56	85.41	99.91	114.58	16.18	34.57	0.0	0.0	0.0	0.0	0.15	0.0	0.0	24.42	9.45	49.83	0.0	0.0	0.11	77.52	62.38	3.87	29.81	3.24	0.0	72.72	19.53	57.69	0.0	30.82	50.65	25.55	88.39	110.23	0.0	106.44	0.71	18.53	57.67	11.39	0.0	18.06	6.81	63.35	0.0	0.0	10.49	88.13	133.19	0.0	0.0	5.6	12.61	31.52	8.59	15.3	7.98	6.35	63.91	7.62	56.35	53.68	46.51	52.49
Adam15	0.0	14.17	1.76	0.0	0.0	0.0	0.0	0.0	0.0	3.04	51.17	30.52	74.35	1.08	2.74	72.88	3.15	47.46	0.29	1.2	0.0	0.35	36.12	0.16	2.48	0.0	0.92	31.66	67.59	26.53	3.06	14.93	0.13	7.25	4.77	0.11	13.59	17.96	2.07	25.0	0.14	28.34	0.74	5.5	5.98	0.36	0.52	0.64	0.73	26.01	1.85	0.1	3.29	4.56	0.08	0.1	0.33	1.3	3.83	0.78	1.44	0.0	5.25	0.98	0.09	0.0	0.0	0.0	3.02	0.97	3.2	0.0	9.16	0.13	4.59	1.49	0.0	76.22	84.02	81.5
Adcy1	13.31	7.8	3.6	0.0	163.6	0.0	0.03	0.0	0.0	37.76	129.35	43.87	54.87	30.38	0.05	118.51	46.61	73.8	6.52	20.72	21.92	92.54	0.0	0.0	0.0	0.0	32.41	0.0	0.0	13.87	10.87	0.19	0.02	15.03	0.0	0.01	0.27	8.74	0.47	5.35	0.0	0.0	1.06	8.76	5.18	1.69	0.0	68.2	7.37	0.0	65.64	22.41	0.0	2.46	6.3	77.51	6.2	0.0	8.33	3.7	6.31	1.3	12.6	0.2	0.0	0.0	0.0	0.0	0.44	0.17	0.08	0.07	2.66	20.79	6.55	10.36	59.27	224.96	212.91	233.52
