	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_20	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_32	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_65	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700008J07Rik	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	2.01	0.0	0.0	0.0	1.56	0.0	3.62	3.64	4.36
2310010J17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.04	6.14	0.0	0.0	0.92	0.0	0.0	0.0	1.82	0.0	2.12	4.27	5.09	3.03
2410076I21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.86	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68	0.0	0.0	0.0	0.0	0.0	0.0	30.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	2.55	1.19	3.76	0.0	0.36	0.68	0.0	0.0	0.0	0.0	0.0	0.79	0.54	1.78
2810049E08Rik	0.0	2.07	0.45	0.74	0.94	0.0	0.0	0.74	0.61	0.0	0.0	0.65	0.0	4.87	0.74	0.41	3.41	0.78	0.43	1.01	98.06	158.25	28.99	0.33	6.44	0.94	0.41	3.09	0.0	4.08	0.64	0.0	2.77	2.76	2.38	0.31	2.21	0.77	6.02	0.83	0.6	5.99	0.41	4.12	0.0	0.0	1.56	0.0	0.46	0.88	0.41	0.37	0.56	0.0	2.52	0.0	2.78	22.4	0.67	0.0	0.73	3.43	2.08	1.71	3.98	0.0	0.78	0.43	38.64	5.0	1.08	0.87	1.08	0.95	4.59	3.07	2.8	0.52	0.77	1.6	2.93	9.34	6.75	7.46
4933405O20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
5730455O13Rik	0.0	0.0	0.36	6.46	0.0	0.0	0.0	0.0	0.0	70.0	16.49	1.01	0.0	0.0	0.0	0.0	1.14	78.83	0.0	0.33	166.52	0.0	16.95	0.0	0.0	3.66	0.0	0.0	0.0	0.29	0.0	0.0	0.0	12.75	0.0	46.74	0.0	0.0	0.0	15.76	8.88	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.78	0.0	0.0	31.22	0.0	0.0	55.83	6.73	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	26.98	0.0	22.56	21.01	22.22	68.17	45.89	40.04	45.05	34.01	33.43	30.94	21.53	19.6	22.07
5830418K08Rik	0.0	0.06	0.0	0.0	0.4	0.0	6.82	0.0	0.0	5.5	15.57	0.0	10.37	0.96	0.0	0.0	0.07	0.0	0.05	2.45	58.56	0.0	2.55	0.0	0.0	2.67	0.0	0.0	0.0	8.06	11.88	3.42	1.39	1.13	0.0	0.0	0.0	0.0	0.0	1.41	4.62	1.41	0.0	0.0	0.0	0.41	6.1	0.0	0.0	0.0	0.0	0.0	6.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	8.53	0.0	0.0	0.0	0.0	0.0	1.42	1.48	1.97	4.5	1.65	6.78	9.78	6.7	4.97	3.39	3.32	2.56	11.26	8.58	11.26
Aatf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.46	0.0	0.0	0.0	150.92	0.0	6.17	159.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	11.2	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.2	12.04	6.79	0.38	1.85	11.29	6.52	2.11	3.19	7.73	10.34	14.35	14.41	13.63
Adamts1	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.53	0.0	0.0	0.0	0.0	0.0	60.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.0	0.0	0.0	0.14	6.81	6.92	7.5
Adamts5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	35.15	70.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.85	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	3.65	1.09	3.75	0.43	3.7	0.92	1.99	0.83	0.69	0.9
