	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_49	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_62	Calb2_tdTpositive_cell_63	Chat_tdTpositive_cell_1	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_5	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_81	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_2	Nos1_tdTpositive_cell_60	Nos1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_55	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_44	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_10	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_14	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66
6330439K17Rik	53.89	0.08	12.29	0.09	158.36	7.62	23.9	0.46	60.28	118.42	0.08	73.06	218.44	37.79	0.0	0.27	93.2	244.95	153.03	80.92	54.7	6.61	1.59	0.08	0.16	20.23	237.04	133.92	46.37	69.08	142.21	21.72	0.29	46.94	141.78	69.15	14.54	158.27	191.28	2.16	0.31	87.13	48.86	34.63	16.46	110.66	0.97	123.07	13.09	105.4	9.82	195.77	13.74	21.77	0.14	1.0	0.0	93.59	176.74	47.49	0.0	0.0	0.11	13.39	64.57	0.14	0.51	0.0	0.21	0.0	0.16	0.0	0.0	0.46	0.0	0.17	0.0	131.5	43.12	124.34	0.24	5.54	86.17	14.43	84.47	129.33	0.0	96.35	2.71	1.07	203.71	15.79	140.48	113.85	8.18	65.05	87.07	85.73	38.38	1.82	49.93	311.16	29.54	0.48	130.98	159.71
Adarb2	272.95	91.85	88.51	380.19	36.64	69.28	8.62	232.86	80.98	173.84	0.0	0.36	168.8	275.94	0.0	42.19	219.39	213.46	20.84	124.95	137.95	33.99	104.81	0.0	0.0	68.51	130.41	55.69	74.3	18.83	162.16	446.45	113.26	155.42	387.94	287.56	169.98	93.84	192.76	42.18	126.89	46.28	43.17	159.54	827.96	263.4	0.23	120.76	237.38	217.72	214.59	271.0	265.38	52.04	0.0	0.0	0.0	28.09	45.83	81.74	0.0	0.0	0.0	69.25	58.2	0.0	94.16	0.0	46.35	0.0	0.0	0.0	0.0	31.5	0.43	0.63	0.0	0.05	0.0	203.76	34.64	74.07	105.59	194.08	49.11	251.63	84.96	161.48	22.6	197.52	44.05	417.96	349.7	82.56	18.63	44.1	12.2	66.37	249.03	204.19	133.32	584.5	167.57	18.54	70.87	274.05
Bri3bp	2.04	1.03	17.17	135.04	14.85	0.0	1.95	36.66	66.76	37.14	1.17	0.7	0.71	0.57	0.78	70.91	89.26	93.35	7.56	97.19	0.59	1.09	95.76	2.83	3.34	145.71	1.22	0.53	2.31	111.36	127.7	60.66	167.06	0.35	27.77	87.71	40.31	0.79	72.67	8.31	1.97	2.19	0.83	154.62	129.63	12.26	0.96	61.65	2.99	2.19	89.37	88.24	6.21	0.26	1.81	1.09	0.88	69.69	4.3	0.81	1.27	1.31	0.35	52.82	87.32	0.31	1.29	1.24	1.59	0.39	2.03	1.03	0.61	1.74	1.2	0.55	0.15	95.91	12.62	3.92	201.74	45.68	69.63	20.1	95.35	142.88	0.48	131.67	81.47	38.87	25.87	114.14	10.15	65.5	81.41	18.82	156.85	195.86	1.45	10.85	61.41	365.53	46.64	122.96	88.73	54.03
Calb2	1901.45	2451.38	5743.89	3041.43	4607.36	2691.15	2451.39	975.63	708.5	2794.62	0.34	2573.01	2176.81	1860.74	54.29	329.34	3571.09	5071.63	3303.15	3390.18	4745.33	4274.51	2551.47	0.0	0.0	4060.98	2755.73	4083.35	4557.51	5128.39	4972.92	4731.94	6010.15	3340.5	3248.57	3402.88	2533.55	6526.42	4127.93	5468.68	3754.75	3571.05	2507.24	5926.21	3305.31	5074.01	1769.13	3007.36	3462.52	4667.44	4174.01	5482.24	3791.95	3939.49	0.0	0.0	0.0	3389.02	2715.27	3055.64	0.0	0.0	0.0	2701.6	3494.36	0.0	252.93	0.0	22.33	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2547.84	5023.38	6179.55	8096.19	1060.13	4321.13	4543.76	981.29	260.64	401.98	3946.14	3244.45	990.02	2180.88	5538.35	2454.97	4009.6	3436.77	3471.55	3900.62	5107.86	5043.04	3297.38	5896.56	5560.34	4856.85	4829.75	7455.12	5519.61
Camta1	52.96	45.47	66.12	53.33	0.0	122.02	51.23	26.91	1.48	73.13	0.0	0.0	95.32	77.02	0.0	7.75	58.1	46.18	87.92	107.66	6.05	173.95	15.6	0.0	0.0	28.92	94.38	131.4	46.14	9.14	123.85	201.54	100.72	5.29	89.37	40.05	0.0	41.12	3.98	208.87	3.39	105.93	87.72	51.9	183.08	4.37	0.1	77.08	42.66	195.51	3.37	101.88	60.77	28.16	6.06	0.0	0.12	36.21	98.64	148.56	0.0	0.52	0.0	5.83	61.61	0.0	0.0	0.12	0.0	0.0	0.2	0.0	0.0	9.73	0.12	0.0	0.0	71.1	43.62	0.06	44.93	0.0	58.41	7.31	65.65	1.59	0.0	23.81	53.83	35.87	8.02	171.16	49.59	87.03	65.83	50.57	17.41	63.81	166.55	13.59	2.0	63.72	136.43	126.22	97.87	86.17
Cit	32.55	0.02	16.38	91.97	8.44	37.79	4.5	42.02	0.0	35.07	0.0	14.05	22.58	53.99	0.0	19.69	16.91	29.62	17.85	95.22	25.15	24.73	7.55	0.0	0.0	0.0	41.23	15.52	25.64	0.0	54.37	27.0	8.97	9.31	22.41	90.46	33.27	3.61	24.33	32.0	23.39	67.93	28.66	3.54	47.87	1.6	8.43	10.92	66.73	2.55	1.83	53.48	49.91	19.74	0.0	0.0	0.0	0.54	22.07	11.19	0.0	0.0	0.0	37.23	39.72	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	1.11	85.12	15.6	21.32	24.02	6.39	11.14	7.89	0.0	22.71	23.65	0.69	4.14	32.94	54.49	31.32	6.33	14.22	22.32	58.13	45.16	53.15	11.64	7.5	25.53	11.12	26.18	25.76
Dlx1	135.52	3.59	23.15	90.69	103.71	118.96	72.46	12.15	39.26	0.0	0.17	29.24	0.24	117.78	0.0	33.67	16.11	2.43	53.95	0.0	103.32	97.08	48.33	0.0	0.0	171.14	41.12	128.94	0.0	167.81	156.36	87.18	101.84	0.0	50.38	85.9	2.25	36.86	0.0	19.22	0.0	89.13	110.65	71.49	1.26	92.35	0.0	108.28	9.42	34.08	79.52	167.66	131.82	0.0	1.92	0.0	0.0	56.63	0.0	120.58	0.0	0.0	0.0	62.12	41.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.41	5.4	176.45	187.74	89.47	77.22	0.0	73.37	0.0	95.54	145.76	69.39	88.05	2.34	65.72	3.9	133.09	113.39	33.47	98.13	211.28	0.35	89.79	151.49	0.07	400.6	244.17	74.82
E030024N20Rik	4.81	5.83	115.05	9.77	13.06	9.89	7.63	10.42	9.39	10.73	4.35	7.86	6.05	11.41	6.24	10.14	36.84	147.18	89.52	12.86	10.26	8.31	10.82	5.75	2.28	6.64	5.75	5.35	94.49	10.89	4.34	50.64	7.62	6.28	67.59	8.08	6.18	6.78	30.82	6.7	12.53	12.0	6.56	6.12	13.22	9.06	8.15	8.46	10.1	7.67	14.09	8.63	6.68	4.9	8.94	428.93	2.23	7.98	9.32	7.78	2.74	4.21	2.43	5.57	12.75	6.15	4.23	1.35	0.45	5.5	465.62	6.18	1.16	2.69	5.94	0.74	2.75	6.52	79.67	9.8	6.31	59.25	11.46	6.93	6.98	8.5	6.73	112.02	8.1	6.34	8.35	47.17	92.83	9.96	5.93	7.53	6.62	7.5	9.97	10.63	9.14	10.41	7.65	9.4	64.49	9.1
Gm14430	0.0	0.0	33.5	14.4	19.76	0.0	46.66	0.61	0.41	36.88	0.0	0.0	15.36	6.46	0.0	48.49	0.47	43.93	0.26	5.25	0.0	0.0	11.24	0.0	0.0	0.31	0.0	0.0	0.0	32.53	0.0	38.27	0.0	0.35	74.02	75.62	1.16	0.0	0.0	11.35	0.0	28.78	0.45	0.29	17.81	0.0	1.31	4.55	0.0	47.89	0.0	0.19	0.0	2.67	0.0	0.0	0.0	1.19	0.0	0.15	8.44	0.0	0.0	4.11	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.37	0.0	0.0	0.0	0.0	1.77	19.71	13.94	0.05	4.38	0.0	0.0	0.0	17.1	0.0	26.36	0.17	41.01	0.0	11.26	22.7	28.58	0.0	16.12	22.16	0.1	23.93	3.47	18.18	0.26	0.27	0.0	44.78	23.46
Gm14434	0.0	0.0	33.5	14.4	19.76	0.0	46.66	0.61	0.41	36.88	0.0	0.0	15.36	6.46	0.0	48.49	0.47	43.93	0.26	5.25	0.0	0.0	11.24	0.0	0.0	0.31	0.0	0.0	0.0	32.53	0.0	38.27	0.0	0.35	74.02	75.62	1.16	0.0	0.0	11.35	0.0	28.78	0.45	0.29	17.81	0.0	1.31	4.55	0.0	47.89	0.0	0.19	0.0	2.67	0.0	0.0	0.0	1.19	0.0	0.15	8.44	0.0	0.0	4.11	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.37	0.0	0.0	0.0	0.0	1.77	19.71	13.94	0.05	4.38	0.0	0.0	0.0	17.1	0.0	26.36	0.17	41.01	0.0	11.26	22.7	28.58	0.0	16.12	22.16	0.1	23.93	3.47	18.18	0.26	0.27	0.0	44.78	23.46
