	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_21	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_76	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_48	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_85	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96
1500011B03Rik	279.0	126.56	567.52	232.85	238.61	536.62	110.55	314.96	52.8	0.84	159.47	129.91	20.14	372.28	239.67	0.0	0.31	250.49	221.05	344.1	0.0	5.8	48.13	303.81	0.27	217.77	197.58	246.28	242.91	187.38	75.34	207.38	314.27	644.59	266.77	294.37	127.12	157.62	525.67	3.93	371.65	166.32	307.05	147.9	194.26	104.21	296.52	195.63	300.48	0.0	0.0	0.49	0.0	0.0	0.0	607.34	231.12	298.69	94.74	208.55	679.9	173.67	293.99	343.3	245.37	169.46
4933434E20Rik	292.75	1001.27	889.75	204.52	170.95	726.44	481.16	368.84	209.32	491.78	214.39	192.26	138.85	581.57	688.69	0.0	0.25	468.25	573.92	300.94	0.0	378.98	364.53	421.19	497.77	600.32	525.22	572.06	518.13	542.41	525.79	581.11	493.55	443.8	1084.54	766.86	627.12	666.73	560.35	179.03	664.69	167.3	796.7	784.57	330.74	797.12	628.74	492.28	160.3	0.72	1.13	0.41	0.0	57.87	0.0	422.12	547.75	816.93	287.67	888.2	723.55	1161.6	484.27	699.42	589.78	341.27
Abi2	139.61	228.88	216.19	109.7	37.92	170.35	65.05	257.13	13.65	146.04	101.35	108.79	122.26	207.88	157.06	0.53	0.47	434.61	406.2	220.73	0.0	163.28	140.74	172.17	114.64	145.79	156.22	113.78	83.04	120.63	93.75	100.59	150.73	25.26	296.58	92.22	129.38	95.7	180.38	5.93	138.79	189.3	193.93	208.8	169.04	108.92	125.78	200.02	213.23	0.43	2.01	5.93	2.18	12.2	0.0	425.14	236.01	298.08	44.82	193.57	204.92	242.68	100.9	303.42	250.29	280.67
Actr10	288.45	631.16	339.82	424.4	306.94	167.38	440.58	349.78	592.47	365.16	253.41	246.19	252.93	514.02	825.19	1.97	13.97	407.27	631.49	374.66	0.0	326.56	264.27	381.34	352.93	367.07	301.82	311.35	182.16	300.35	289.6	395.34	335.19	364.04	372.24	216.86	264.66	281.14	316.67	98.15	261.88	204.85	381.42	248.49	334.66	376.18	227.24	240.29	382.2	5.16	2.56	4.68	10.22	4.04	1.3	672.51	324.15	707.2	267.81	394.81	407.42	1003.28	274.08	502.29	367.97	433.36
BC024659	105.26	262.49	158.65	98.28	89.92	216.76	369.78	142.9	111.23	32.23	40.68	128.71	59.6	448.3	415.28	0.0	0.0	355.67	615.3	464.96	0.0	341.89	245.0	266.42	182.54	294.57	192.72	168.99	186.19	58.01	234.19	160.64	199.15	287.85	205.97	112.43	232.49	173.37	177.92	0.0	81.46	290.61	65.35	261.63	147.14	246.52	310.13	338.93	226.97	0.0	0.0	0.29	0.21	0.0	0.0	494.84	287.05	439.12	232.38	151.01	111.16	371.52	111.68	425.18	322.81	96.92
Bnip3	560.61	594.37	735.57	151.15	394.38	756.78	378.59	443.26	507.92	580.03	598.69	432.98	272.61	573.97	1036.46	0.29	0.0	350.51	1107.05	669.39	0.0	793.97	1009.2	383.18	779.44	618.19	880.92	587.18	536.35	741.06	964.23	1046.85	1218.6	535.28	518.12	483.57	497.66	608.19	508.39	460.05	699.37	796.43	776.69	544.13	541.43	723.43	978.47	746.83	449.84	0.0	0.0	0.0	0.0	0.0	0.35	1001.61	521.52	228.43	463.2	577.24	243.0	752.58	573.64	1308.95	493.31	317.82
Bzw1	250.78	138.9	242.76	48.16	182.27	132.15	356.61	17.27	76.21	164.67	7.12	2.63	2.74	503.41	268.34	8.37	0.0	299.91	270.39	589.47	2.65	144.43	265.6	156.69	0.17	244.16	166.79	237.36	96.62	161.98	135.48	78.55	148.44	218.87	116.8	14.82	118.7	185.57	93.58	0.0	89.53	25.01	140.37	2.47	171.49	162.85	107.84	106.21	112.14	67.58	0.0	0.45	0.16	0.0	71.49	244.11	268.06	904.69	88.6	375.76	394.09	591.49	485.27	323.48	353.43	364.86
C330006A16Rik	278.5	111.01	181.99	183.52	36.8	379.61	125.22	35.87	48.19	94.26	0.07	14.55	2.9	141.81	199.46	0.0	0.0	151.98	88.1	185.42	0.0	89.9	50.92	156.37	29.4	82.84	79.06	51.61	112.33	115.89	130.84	135.97	92.84	163.79	113.35	22.31	34.98	172.85	94.31	6.33	60.78	35.72	27.48	171.95	96.11	88.48	41.28	106.7	133.96	0.0	0.0	0.56	0.0	0.0	0.26	264.37	246.17	206.28	63.97	394.06	0.47	222.75	339.25	377.9	138.73	326.63
Ccdc47	87.23	218.49	279.5	0.31	68.88	249.76	142.49	291.5	0.0	28.3	111.63	15.11	42.45	108.61	159.71	0.0	0.0	127.99	30.16	158.13	0.0	86.27	182.85	44.71	65.7	201.99	135.29	135.53	83.95	141.2	81.13	332.33	95.3	196.45	174.06	110.65	41.02	167.15	60.01	82.0	37.38	52.33	141.0	143.71	83.18	133.5	131.93	65.53	126.07	0.0	0.0	0.59	0.0	0.0	0.0	237.73	295.15	0.0	222.95	219.92	224.58	235.81	213.12	240.8	170.91	118.02
Cntn1	161.21	174.95	397.62	250.2	179.3	82.88	252.57	229.12	110.28	79.06	164.6	96.84	204.24	469.94	432.82	0.0	0.0	913.94	347.36	644.65	0.0	362.69	221.84	290.37	382.4	315.36	373.45	434.07	262.77	316.29	295.72	189.45	235.91	235.69	375.34	133.0	235.61	210.14	321.71	187.61	108.64	200.54	410.28	322.03	373.48	168.19	399.93	336.45	625.13	0.06	0.0	0.22	0.08	0.27	0.0	792.15	310.41	538.73	254.0	342.18	643.94	605.86	423.16	456.14	302.83	270.36
Dvl3	30.32	42.78	54.33	35.27	13.88	102.3	28.4	58.36	4.16	3.99	16.96	14.32	3.67	72.61	18.33	0.0	0.0	43.96	0.0	107.28	0.0	0.63	34.12	8.1	28.38	0.69	24.38	23.48	5.31	18.23	11.78	7.14	21.09	10.7	16.55	1.76	11.78	21.48	19.48	0.0	2.93	11.64	40.97	0.0	0.46	13.87	33.2	24.36	37.53	0.0	0.0	0.22	0.0	0.0	1.43	88.02	25.65	86.45	15.39	159.79	34.46	57.27	43.85	26.84	22.7	14.8
