	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aplp1	203.5	174.19	0.21	0.0	0.19	1.38	421.02	250.92	417.36	263.22	340.88	205.52	319.39	281.41	137.17	0.0	0.0	0.0	116.7	34.01	53.76	130.11	108.36	195.72	173.5	122.77	29.73	13.91	108.37	122.97	86.1	66.05	7.57	137.95	123.07	223.46	186.28	110.24	2.01	156.22	54.88	7.18	92.98	128.66	101.85	33.81	273.87	110.28	118.44	22.87	271.53	387.29	0.44	613.88	0.0	0.0	0.0	64.04	169.48	159.86	93.63	98.25	38.15	252.12	139.93	60.99	227.51	1108.57	1258.77	1161.27
Atp1b1	460.32	401.56	0.0	0.0	0.0	0.39	287.43	1232.5	1135.24	854.64	1214.94	1045.89	739.5	419.28	568.09	0.0	0.0	0.0	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	247.69	139.05	232.31	418.76	244.76	352.98	298.32	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	367.15	231.1	861.25	697.63	0.44	1061.82	0.0	0.0	0.0	351.47	221.22	545.04	305.28	288.3	429.55	230.53	399.91	251.06	983.61	1639.11	1708.86	1616.5
Atp2b2	86.42	76.45	0.0	0.0	1.18	0.0	84.92	148.62	372.01	159.37	144.69	194.49	148.73	277.33	101.31	0.0	0.0	0.0	45.89	113.86	59.35	43.28	31.62	101.17	20.38	48.19	36.23	34.79	109.68	69.93	28.43	41.96	28.73	56.98	64.83	49.0	77.5	9.22	54.87	39.53	119.87	26.81	90.24	23.5	12.67	16.08	61.18	52.91	60.73	39.05	179.28	525.42	0.2	324.54	0.0	0.0	0.0	147.76	30.78	84.28	61.39	39.6	27.75	34.82	188.49	65.9	123.38	288.08	274.94	307.02
B630019K06Rik	36.56	0.0	0.0	0.0	0.0	0.0	3.63	0.0	0.0	43.59	90.69	24.93	87.54	3.47	40.51	0.0	0.0	0.0	10.47	0.98	0.0	0.0	13.58	37.13	0.04	12.08	9.15	17.46	0.0	4.61	15.05	0.0	22.57	0.0	0.0	38.29	11.54	0.0	0.0	0.65	0.0	33.09	0.0	1.04	23.64	6.94	29.57	17.04	6.14	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	53.16	0.0	6.61	0.0	28.29	0.0	4.7	0.0	29.13	33.03	30.07
Ccdc88a	13.69	3.8	0.0	0.0	0.0	0.0	3.02	20.42	0.0	125.59	48.97	72.39	14.04	13.71	13.31	194.98	0.0	0.0	16.01	0.7	3.13	0.03	11.28	0.0	1.85	16.45	3.23	11.21	12.81	8.25	19.3	6.67	14.37	34.45	11.37	16.25	8.62	23.81	1.2	0.0	25.6	0.0	6.22	19.76	15.34	5.0	0.0	4.18	10.57	3.62	32.76	16.96	0.0	15.37	0.0	0.0	0.0	10.33	15.43	1.76	6.28	8.16	7.69	7.53	28.77	2.27	0.45	23.96	16.61	25.46
Cdk5	44.8	0.33	0.0	1.82	0.0	0.46	178.92	8.02	13.66	535.36	111.82	82.9	190.51	116.03	45.73	0.0	0.69	0.53	29.01	58.17	53.36	39.77	33.04	0.52	73.95	6.68	133.82	96.32	99.11	70.8	53.22	77.36	47.58	139.37	98.72	56.93	78.71	137.08	157.04	35.83	90.21	62.87	141.92	96.87	51.71	93.09	91.42	0.15	75.44	26.37	152.6	141.66	0.17	60.47	0.0	3.26	1.24	104.03	109.06	51.91	168.82	106.44	153.42	168.0	111.01	65.12	0.69	107.92	114.65	108.19
Cds2	52.62	119.41	0.0	37.5	0.1	0.0	4.16	48.76	37.79	213.15	7.49	67.23	32.58	29.14	72.69	0.11	0.16	0.35	30.15	36.95	29.21	17.24	27.47	48.2	80.74	46.27	29.14	12.99	20.29	14.34	25.86	17.38	18.57	55.36	43.07	73.54	21.05	44.68	70.8	10.8	22.44	12.99	14.69	26.44	11.35	20.39	3.53	26.92	25.99	11.56	131.42	54.82	3.04	147.45	0.18	0.09	0.13	45.69	35.39	54.81	30.85	34.1	38.46	70.63	29.58	26.36	58.86	203.83	204.49	205.55
D030056L22Rik	0.0	0.0	0.0	0.0	52.57	0.0	0.0	0.0	0.0	98.84	169.91	46.07	69.33	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	9.66	12.75	0.19	0.0	0.0	0.0	2.82	0.0	0.0	0.0	0.31	0.0	0.0	0.92	0.0	77.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	0.0	0.0	0.0	30.93	0.0	0.0	0.0	0.18	0.0	12.79	0.0	0.0	0.0	1.79	52.32	5.78	0.0	35.91	35.93	33.53
Dand5	59.04	27.53	0.0	0.0	0.0	0.0	0.31	101.59	196.86	169.33	95.66	0.0	216.87	0.0	120.48	0.0	0.0	0.0	0.0	54.45	0.07	0.0	105.4	101.19	1.12	0.84	0.0	22.61	53.37	0.0	0.0	44.3	25.24	0.0	0.0	0.0	0.0	31.41	19.72	0.0	0.0	0.0	0.0	0.0	69.44	52.44	0.0	0.13	0.0	183.23	0.0	0.1	0.0	1.49	0.0	0.0	0.0	0.0	0.19	22.6	8.11	0.0	0.0	28.79	120.86	0.08	180.54	15.15	15.64	15.1
Ddn	0.0	0.0	0.0	0.0	0.0	0.0	5.84	0.0	0.0	52.71	13.14	17.74	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	2.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.07	39.23	6.04	0.0	7.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	0.0	9.58	810.02	858.91	858.46
