	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hcn1	3.27	7.68	0.0	0.0	0.0	0.0	27.77	20.71	59.62	32.93	112.2	25.39	45.0	20.83	0.13	0.0	0.0	0.0	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	4.57	0.05	0.04	14.19	0.04	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	56.75	14.25	0.09	7.23	0.0	0.0	0.0	2.93	0.0	24.02	0.16	4.1	0.64	9.53	7.79	0.0	22.33	28.29	25.28	29.23
Hnrnpul2	5.53	0.95	0.0	0.0	0.0	0.0	0.02	0.54	0.0	168.38	13.77	0.0	1.72	1.39	1.54	0.0	0.0	0.0	25.25	3.61	6.02	0.15	0.49	1.72	0.55	22.6	0.04	28.32	19.04	2.88	18.4	1.64	20.23	33.02	18.81	31.46	0.76	1.78	1.61	41.83	1.27	0.0	17.6	0.72	0.05	0.86	35.06	0.3	4.09	3.58	32.54	40.7	1.31	16.22	1.45	0.0	1.97	0.3	24.14	21.31	0.3	3.44	30.54	10.11	2.65	0.0	0.0	123.85	124.17	120.5
Hspa9	16.8	49.17	10.82	0.0	0.0	0.0	3.75	123.98	166.25	686.2	235.55	66.23	335.18	36.91	46.79	0.0	0.0	0.0	58.17	14.56	99.29	58.46	0.76	101.94	18.44	4.97	0.16	16.68	52.88	44.4	34.67	60.77	9.04	109.61	28.79	65.71	0.58	0.32	2.75	77.22	99.16	15.73	29.65	26.0	26.8	70.92	0.09	77.24	58.95	4.05	14.39	134.05	0.0	125.86	0.75	0.0	0.0	0.75	2.03	28.81	7.03	5.44	94.73	36.87	76.12	51.85	139.29	176.91	179.38	174.24
Kcnc1	8.09	50.94	0.0	0.16	0.0	0.0	60.35	58.08	66.83	61.53	129.83	83.07	119.53	22.18	4.93	0.13	0.0	0.0	0.09	7.4	2.8	0.04	0.02	0.33	0.02	4.87	4.49	7.53	0.06	0.0	3.81	3.79	0.94	3.81	4.61	0.05	0.04	1.16	0.83	9.61	7.48	0.03	0.18	3.62	0.1	1.56	0.2	2.6	1.7	0.0	23.92	18.71	0.0	8.09	0.29	0.0	0.0	0.22	0.9	22.28	19.84	0.31	14.54	32.29	4.34	2.35	39.66	96.03	98.54	104.01
Ndst3	0.35	0.0	0.09	0.0	0.0	0.11	79.84	42.41	28.79	235.74	84.61	15.07	24.59	22.39	0.0	0.51	0.35	0.2	0.31	0.0	0.05	0.06	0.0	0.03	0.0	0.02	0.13	0.02	2.4	0.0	0.0	0.25	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.04	31.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.32	9.31	0.08	9.81	0.0	0.0	0.17	0.12	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	16.74	14.36	16.62
Nexn	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.04	0.0	6.13	34.71	21.04	2.87	0.0	0.0	0.0	0.0	13.76	0.0	19.65	0.0	0.26	0.0	10.55	12.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	15.51	0.0	2.39	9.45	0.0	0.0	0.0	9.06	0.0	11.61	0.67	24.73	0.0	0.05	0.0	0.24	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	7.79	6.1	7.67
Nfatc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.0	58.85	78.6	0.0	39.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.02	0.0	11.61	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	12.12	0.0	0.0	0.0	0.0	0.0	0.0	12.03	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.85	6.49	6.84
Npy	138375.8	173305.25	0.0	0.0	0.0	0.0	43922.94	96206.73	82245.2	42632.64	39772.71	67463.47	65548.38	125016.83	34339.27	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	24726.66	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	38762.64	128781.07	137945.15	70964.58	137580.94	65353.97	120620.2	68416.93	214.21	196.57	200.76
Nr2f1	0.0	0.0	0.0	0.0	0.0	0.0	43.32	23.3	11.73	77.09	11.57	0.0	27.35	0.0	31.16	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	15.2	0.0	0.0	0.0	0.0	0.0	13.42	0.0	0.0	0.0	0.0	63.19	0.0	3.71	0.0	0.0	0.0	0.0	0.0	39.34	0.0	0.0	12.5	0.0	0.0	0.0	27.09	68.32	72.93	67.6
Nsg2	133.93	37.4	0.0	0.0	0.0	0.0	140.21	357.05	621.99	466.41	383.18	188.18	442.09	99.77	134.99	0.0	0.0	0.0	59.89	59.05	55.02	29.19	57.32	99.2	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	22.86	40.46	119.59	82.49	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	84.78	70.31	255.21	348.79	0.0	414.86	0.0	0.0	0.0	160.8	99.83	116.75	110.13	72.68	67.07	137.5	132.01	61.69	233.46	642.61	673.47	621.36
Olfm1	32.7	49.55	0.0	0.0	0.0	0.0	150.13	613.98	289.94	639.86	162.03	231.71	445.24	68.34	97.31	0.0	0.0	0.0	118.24	15.98	55.71	21.92	2.17	43.41	77.37	59.29	85.63	101.7	133.15	38.48	47.62	13.34	117.08	76.08	117.48	80.67	63.53	20.57	67.17	69.79	257.05	41.79	52.81	122.99	7.74	31.53	65.41	93.75	109.81	36.04	63.81	829.33	0.0	795.73	0.0	0.0	0.0	127.94	75.52	65.99	50.01	39.17	23.46	133.7	66.86	0.54	929.92	1129.63	1145.72	1126.81
Papd5	2.35	0.0	49.25	0.0	0.0	0.0	0.0	13.35	0.0	117.88	41.56	60.93	41.82	17.44	17.23	0.0	0.0	0.0	0.0	1.05	33.32	4.22	0.04	0.0	3.14	1.35	0.0	0.07	11.0	0.0	9.92	15.11	3.96	0.0	0.0	0.0	22.4	8.9	8.58	0.14	0.0	8.67	0.0	11.0	0.0	8.89	1.93	0.03	4.86	23.13	0.0	15.76	0.0	30.64	0.0	36.06	0.0	0.06	0.0	0.0	0.0	0.0	0.0	8.85	78.43	0.02	0.0	31.08	29.15	28.88
Pgbd5	0.68	19.62	0.0	0.0	0.0	0.0	60.57	328.19	135.52	222.36	55.79	131.38	166.52	206.47	29.29	0.0	0.0	0.0	29.46	12.08	37.34	82.43	0.06	1.74	18.44	0.08	22.36	96.19	0.0	20.99	0.0	13.24	4.26	17.98	29.2	0.26	20.28	10.39	0.0	11.48	118.92	6.49	33.73	19.51	0.0	23.88	0.1	9.9	0.0	13.88	37.3	113.54	0.25	127.56	0.0	0.0	0.0	0.0	19.76	0.0	61.99	0.0	0.0	18.38	2.94	1.25	26.0	134.18	138.74	137.8
Ppp1cc	37.53	124.5	0.0	31.15	0.0	0.2	31.89	115.18	142.9	287.62	95.81	238.18	166.0	0.42	24.03	0.0	0.0	0.0	1.69	10.68	33.49	0.05	0.56	0.0	0.09	36.05	4.17	27.97	1.75	4.25	12.98	3.94	0.67	46.13	0.0	0.0	46.74	0.0	13.75	3.78	18.3	0.0	6.81	54.14	0.12	3.57	0.12	7.02	0.0	0.0	63.86	99.32	0.0	86.89	0.0	0.0	0.0	0.97	50.17	193.31	51.23	8.21	61.97	0.0	36.56	0.04	2.38	191.89	210.87	186.07
Ppp2ca	138.57	36.92	0.0	0.0	0.0	5.67	164.25	143.34	198.7	687.17	693.09	229.07	401.53	341.37	111.22	0.0	0.0	0.0	0.44	58.68	60.84	12.46	0.52	59.36	123.3	105.84	57.62	82.74	21.32	3.65	3.39	17.36	60.44	130.62	90.32	101.12	52.6	121.15	139.82	0.37	29.51	0.12	18.79	20.94	78.76	148.34	55.21	34.19	5.22	29.55	212.93	377.72	0.18	141.09	0.0	0.0	0.0	65.31	81.11	88.64	8.28	73.39	238.74	44.63	76.93	41.76	0.0	412.48	418.25	392.13
Ppp3r1	102.0	94.77	0.0	18.2	0.0	0.0	80.03	100.02	302.34	448.66	877.34	209.01	77.79	124.3	18.58	0.0	0.0	135.87	74.05	74.54	120.95	18.83	191.07	76.59	44.23	191.63	91.44	66.57	28.46	77.55	45.27	45.09	45.42	2.97	23.35	75.94	12.57	23.8	49.04	86.41	41.97	10.64	11.97	106.08	72.55	73.4	124.18	26.88	18.94	42.26	124.46	711.46	0.62	403.85	0.0	0.0	8.93	18.32	36.85	166.78	57.94	97.3	44.3	55.38	275.36	12.28	73.37	920.94	893.77	828.14
Ptchd2	0.07	0.0	0.0	0.0	0.0	0.0	0.13	65.3	11.94	85.89	11.92	47.44	30.87	11.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	6.19	0.0	0.0	0.0	0.0	0.0	20.77	0.05	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.03	0.0	0.08	0.12	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	12.18	13.0	15.12
Purb	26.72	24.41	0.0	0.0	0.0	0.05	160.97	206.62	77.65	211.5	189.33	172.1	211.34	85.87	17.96	0.0	0.0	0.0	51.24	17.58	18.77	32.48	49.28	31.91	72.59	15.37	12.33	69.02	18.74	45.83	46.19	28.77	34.85	24.83	26.62	83.13	7.81	2.59	14.85	1.09	77.27	5.22	34.13	40.04	37.15	10.56	23.22	40.07	31.08	39.38	87.59	162.49	131.02	109.6	0.0	1.49	0.0	24.41	23.81	15.32	15.32	45.41	44.16	19.34	50.74	11.09	19.89	202.04	181.97	195.46
Rab3c	77.38	55.7	0.18	0.0	0.0	0.06	670.55	525.52	527.23	697.53	829.53	780.64	1007.13	595.22	498.6	0.07	0.98	0.0	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	44.15	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	325.0	121.43	0.37	160.13	0.13	0.0	0.06	108.57	13.59	76.09	63.86	51.49	133.64	62.1	221.37	47.48	75.75	153.99	129.19	150.79
Rab6a	77.83	103.17	0.0	0.0	0.0	0.0	506.96	959.14	940.15	673.51	942.91	796.8	498.69	279.1	34.69	0.0	0.0	0.0	58.41	119.59	52.89	8.86	139.6	180.09	90.02	88.25	58.98	41.82	73.1	57.38	107.39	56.62	38.74	71.58	49.45	104.85	143.18	43.83	11.08	113.94	220.06	153.83	7.67	50.29	143.23	37.97	79.93	39.25	77.62	97.49	93.61	235.33	0.11	402.06	0.0	0.0	17.65	32.7	83.7	209.28	98.39	110.92	25.02	143.87	121.62	232.04	243.21	535.81	530.39	513.29
Rasgrf2	1.73	0.0	0.0	0.0	0.0	0.0	116.96	56.1	77.04	215.76	10.93	229.77	166.73	84.34	0.04	0.0	0.0	0.0	0.03	0.06	0.0	0.02	8.87	0.63	0.07	0.06	0.0	0.0	6.48	0.0	0.0	0.15	0.05	0.04	0.0	19.89	0.0	0.0	0.04	0.0	85.55	0.04	0.3	0.0	0.0	7.22	0.0	0.24	0.04	0.0	25.25	0.03	0.0	6.89	0.0	0.0	0.0	0.0	21.29	118.58	3.33	25.62	2.84	18.81	0.3	0.14	0.0	69.67	65.09	66.74
Rgs7bp	0.58	1.06	1.91	0.07	1.04	3.47	28.85	100.71	123.92	194.24	71.97	52.63	54.32	84.9	19.52	4.26	2.73	3.83	1.03	0.13	4.23	0.49	0.49	9.15	13.63	4.73	11.46	29.27	23.83	11.42	14.41	4.55	1.26	9.69	4.34	3.97	0.69	7.66	14.1	0.49	21.89	1.67	10.32	0.71	0.46	0.93	7.49	0.6	0.58	3.13	18.57	60.62	0.63	26.39	1.57	0.89	0.36	25.93	0.15	36.95	0.4	6.09	23.01	11.89	60.96	3.78	26.1	124.57	101.66	124.47
Rgs8	47.88	3.15	0.2	0.0	0.0	0.0	0.02	0.0	0.0	127.51	98.59	25.12	62.12	26.93	116.8	0.0	0.0	0.0	34.93	29.89	0.53	30.54	0.03	3.29	2.18	21.86	29.99	23.85	15.54	15.6	66.57	8.79	59.07	0.0	21.37	21.13	44.13	0.05	15.02	8.22	40.24	0.0	2.69	3.54	28.97	1.99	12.67	9.88	0.0	39.08	5.57	0.0	0.24	11.89	0.0	0.0	0.0	37.82	0.04	0.53	0.65	31.29	5.57	13.19	33.49	19.51	7.83	56.68	53.59	51.66
Rph3a	51.39	76.82	0.0	0.48	0.0	0.0	10.74	282.63	269.57	318.16	13.83	325.57	180.93	254.99	26.69	0.0	0.0	0.0	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	118.7	0.32	8.71	51.57	14.26	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	44.57	127.01	0.0	100.19	0.28	0.15	0.3	76.8	11.54	119.58	41.22	75.04	0.24	43.48	141.84	32.02	81.93	260.55	249.44	277.37
Scube1	0.81	0.29	0.0	0.0	1.4	0.34	31.36	16.41	15.16	60.91	84.13	0.42	1.1	1.51	0.68	0.0	0.67	0.04	0.36	0.66	0.52	0.61	0.62	0.66	0.94	0.28	0.37	0.58	0.48	0.3	0.87	0.35	0.3	1.58	0.35	0.09	0.75	0.26	0.45	0.4	0.7	0.66	1.13	0.17	0.06	0.3	0.8	0.32	0.74	0.71	0.05	53.56	0.44	35.26	0.0	0.0	0.66	1.12	5.82	0.77	0.89	0.0	0.47	1.37	0.11	0.04	0.09	30.28	25.93	31.71
Sema5a	0.0	0.0	0.0	0.0	0.0	0.0	78.36	47.99	99.51	355.14	245.03	129.59	241.94	84.31	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.03	0.02	0.0	0.0	0.02	0.0	0.03	0.0	0.02	0.0	0.0	0.02	24.14	0.0	0.0	0.0	0.03	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	14.77	0.0	0.0	16.08	14.68	16.4
Sipa1l1	11.62	11.81	0.0	0.0	0.0	0.05	109.22	42.12	24.99	165.04	23.95	86.98	52.73	9.48	0.0	0.0	0.0	0.71	8.63	0.1	17.14	2.73	20.82	23.46	0.46	0.03	12.04	0.12	10.42	12.36	30.74	19.8	28.39	0.39	12.49	5.99	0.0	6.2	8.13	0.0	12.17	62.99	9.94	20.39	0.95	1.15	18.42	10.84	13.06	3.77	0.0	42.75	0.08	35.94	0.0	0.0	2.89	5.29	9.26	0.0	10.13	9.12	21.57	1.16	0.0	22.23	0.0	155.29	141.67	160.84
Slc23a2	41.87	7.12	0.0	0.0	0.0	0.0	260.11	32.91	91.35	380.62	57.99	9.49	205.87	64.62	16.77	0.0	0.0	0.0	1.29	7.98	77.57	50.47	33.22	78.1	23.31	25.95	28.0	47.78	2.65	57.15	51.81	9.27	20.84	28.81	10.7	0.0	22.24	35.8	33.92	0.0	49.47	0.0	14.64	15.93	3.49	1.81	52.16	4.71	4.87	16.04	14.36	36.17	0.0	45.55	0.0	0.0	0.0	0.04	5.43	3.12	6.9	2.71	0.0	0.19	36.63	12.06	6.36	82.75	83.62	84.09
Slc2a13	1.55	37.53	0.0	0.0	0.0	0.0	99.58	337.23	113.28	597.56	354.65	417.94	379.06	297.05	42.02	0.0	0.0	0.0	3.97	22.72	13.53	49.35	0.03	4.48	31.55	20.35	0.47	0.0	43.61	34.85	5.44	15.17	1.15	9.88	0.0	0.04	50.37	37.73	29.17	2.35	85.21	0.0	5.34	14.49	2.94	6.93	20.18	45.84	0.07	41.34	22.54	41.87	0.0	119.22	0.0	0.0	0.0	13.84	23.87	1.06	18.44	29.0	0.0	23.23	0.07	30.72	115.14	67.34	63.59	65.25
Slc4a8	3.1	3.88	0.0	0.0	0.0	0.0	0.01	18.37	19.11	41.66	5.47	20.81	0.0	11.63	5.12	0.0	0.0	0.0	4.72	0.0	9.12	0.17	2.57	1.31	0.0	2.08	0.02	0.91	0.0	17.02	0.07	4.88	4.33	1.32	22.67	5.26	0.63	1.64	1.78	0.0	22.19	0.02	0.72	5.06	5.59	0.73	0.24	0.0	0.0	9.82	1.47	22.97	0.0	2.03	0.0	0.0	0.0	1.78	0.82	6.18	3.16	11.77	4.75	12.82	1.28	1.77	0.0	36.0	33.98	37.2
Snap91	146.95	28.07	0.0	0.0	0.0	0.11	222.5	166.59	212.31	281.37	510.09	159.28	127.41	96.3	194.53	0.0	0.0	0.0	77.73	42.67	55.39	53.88	59.0	67.02	4.04	78.32	64.19	71.94	66.46	123.37	86.82	64.74	57.11	91.5	98.59	84.7	71.33	33.6	31.28	89.85	36.96	48.38	72.5	92.62	78.8	20.49	43.67	17.51	54.21	34.81	104.57	126.39	0.0	241.73	0.0	0.0	0.0	51.8	114.46	75.1	94.6	143.33	137.81	89.88	94.25	8.46	99.95	254.03	253.8	241.24
Spag9	16.28	44.2	0.0	0.0	0.0	71.27	27.35	71.97	89.74	261.27	61.35	88.82	209.96	19.66	98.45	0.0	0.0	0.0	22.52	19.35	25.81	42.82	1.81	9.21	2.59	13.03	19.9	32.58	17.57	27.65	39.26	53.9	32.2	13.07	4.57	16.1	69.28	28.52	30.91	44.54	87.71	49.63	2.2	31.42	19.56	8.05	35.58	39.55	16.19	29.2	9.59	107.82	0.2	110.31	0.0	0.0	2.17	1.84	15.5	36.33	8.02	27.09	3.34	6.87	6.39	0.06	35.82	178.28	165.57	175.62
Spock1	0.0	0.0	0.0	0.0	0.0	0.0	152.06	348.33	200.32	277.63	744.1	60.51	164.25	245.73	22.53	0.0	0.0	0.0	0.14	0.23	2.0	0.1	13.96	0.0	0.0	0.02	2.2	7.97	44.98	26.87	35.11	11.28	91.3	0.18	1.26	20.86	2.42	24.59	37.77	0.0	98.64	0.55	3.14	0.0	1.66	0.0	45.39	1.04	2.07	5.4	106.59	102.56	0.15	143.12	0.0	0.0	0.0	44.43	0.05	142.23	3.67	1.46	9.02	1.81	28.18	0.17	0.0	143.7	145.55	144.61
Srpk2	87.43	49.3	43.13	0.0	0.0	0.0	125.01	134.11	291.34	418.0	310.39	255.16	173.64	137.39	42.78	333.17	0.0	0.0	113.13	116.5	207.78	89.48	89.8	95.89	114.14	60.36	82.41	69.14	34.59	62.29	70.46	44.42	172.49	77.54	86.0	43.72	64.14	48.76	12.14	47.52	141.42	88.67	57.29	21.35	100.53	36.42	83.67	22.2	105.01	49.14	131.92	186.08	0.22	105.91	0.12	0.08	97.52	44.97	74.98	198.72	14.68	48.99	157.68	21.41	23.85	91.78	94.9	99.84	92.78	95.14
Stk38l	68.74	34.97	2.28	0.18	0.0	0.0	119.45	2.52	97.74	245.08	4.97	62.25	180.14	77.28	103.7	0.0	0.0	0.0	19.81	33.95	84.3	43.96	2.07	2.2	0.62	25.47	13.05	7.79	45.33	21.57	74.7	20.79	30.66	97.03	67.34	0.0	0.19	26.11	36.49	0.46	67.76	25.86	130.6	4.21	51.73	0.06	38.54	67.84	7.57	88.1	109.83	84.87	0.08	16.13	0.0	0.0	0.0	31.18	42.44	39.9	16.95	43.29	151.68	0.52	0.66	7.41	50.68	18.3	18.22	17.64
Stx3	25.33	0.0	0.0	0.0	0.0	0.0	7.22	0.0	0.0	347.45	8.9	0.0	229.87	96.79	0.32	0.0	0.0	0.0	25.71	0.0	16.86	24.29	0.07	0.6	0.04	45.83	22.52	42.33	0.11	28.79	0.0	7.01	3.57	11.24	0.09	24.13	0.0	0.0	14.63	25.07	0.0	0.0	17.33	0.0	20.0	0.0	0.11	0.83	32.63	0.0	0.18	83.56	0.0	3.05	0.0	0.0	0.0	0.12	16.42	72.05	0.24	0.54	59.93	0.0	0.0	0.44	0.0	33.96	34.94	34.1
Sv2a	87.21	188.74	0.0	0.0	0.0	0.0	211.52	293.01	728.63	645.86	708.27	451.82	607.98	316.92	152.45	0.0	0.0	0.0	172.66	150.24	149.6	76.27	60.63	138.62	155.33	139.92	44.28	31.77	60.44	54.79	127.08	153.44	64.42	190.79	181.48	119.27	72.42	47.95	83.75	77.31	229.46	106.52	135.34	83.75	57.37	130.42	30.97	28.39	15.96	59.77	127.58	153.53	0.0	236.17	0.0	0.0	0.0	36.62	36.85	116.17	20.83	128.48	110.9	86.59	143.7	69.32	302.89	289.26	306.68	286.94
Syn2	352.96	100.1	0.0	0.0	0.0	0.0	420.12	259.86	528.93	308.51	401.54	298.3	229.06	225.59	23.93	0.0	0.0	0.0	234.46	19.19	169.2	14.71	139.66	93.64	64.62	124.7	125.14	83.98	133.31	52.18	63.4	65.04	158.86	179.21	70.85	160.98	173.77	134.37	104.97	100.18	175.12	70.81	12.44	51.32	230.18	99.26	49.87	83.18	23.96	59.41	146.65	250.05	0.0	236.73	0.0	0.0	0.0	147.12	136.4	123.9	43.18	181.79	38.38	206.75	178.11	113.48	184.41	385.63	397.76	386.53
Syp	394.35	504.38	0.0	0.0	0.0	0.0	760.02	716.93	883.97	562.08	1280.58	626.41	573.36	203.67	194.52	0.0	0.0	0.0	279.48	482.78	423.29	233.55	357.64	211.39	259.95	366.53	273.06	353.18	358.08	361.65	299.35	283.21	364.19	241.18	346.52	433.22	253.8	220.61	359.99	235.57	591.06	84.63	228.54	303.58	221.95	112.69	235.16	370.15	333.51	169.14	523.41	469.62	0.28	1178.61	0.0	0.0	0.0	237.3	348.86	227.05	274.52	209.77	491.45	259.66	402.56	368.79	672.52	1149.48	1186.08	1128.2
Tmed2	0.65	6.29	0.0	0.0	0.0	0.0	26.08	50.51	0.0	149.1	21.81	89.64	0.0	0.0	0.0	0.0	0.0	0.0	85.03	0.48	0.0	0.61	0.0	4.2	28.94	1.42	1.23	0.63	0.14	0.99	2.89	0.0	0.49	49.14	36.2	5.28	70.63	1.48	15.92	0.0	0.72	0.0	39.43	46.93	0.14	43.77	2.33	9.79	0.0	5.69	94.83	30.39	0.0	21.11	0.39	0.0	384.39	0.0	36.22	54.46	92.33	3.27	0.71	0.0	0.89	48.52	1.44	126.13	130.28	124.98
Tnfaip8l3	0.0	0.0	0.0	0.0	0.0	0.0	118.57	58.85	72.1	182.14	19.92	22.8	1.98	9.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.82	11.11	12.22
Trim44	0.0	40.18	0.0	0.0	0.0	0.0	83.94	52.23	173.6	544.34	43.69	30.33	174.39	58.97	64.6	1.83	0.0	0.1	4.33	20.83	0.77	10.69	12.38	48.39	61.14	7.34	44.58	102.73	0.05	8.82	63.02	43.6	2.39	8.12	8.74	37.43	9.0	0.0	38.3	92.96	4.4	0.15	5.35	50.05	9.89	38.19	1.4	19.43	0.29	1.52	134.71	170.99	0.12	153.82	99.12	0.0	0.0	31.55	31.85	19.27	35.54	62.84	35.02	40.63	25.22	26.57	66.19	168.22	159.45	165.29
Tsc2	9.31	18.39	0.0	0.0	0.0	0.0	18.51	2.8	25.51	56.6	1.2	13.66	0.0	0.41	0.04	0.0	0.0	0.09	15.27	3.29	1.38	32.41	9.35	1.76	0.02	0.04	13.42	0.0	0.0	31.03	12.17	2.53	8.02	3.33	0.55	25.56	4.07	16.33	2.46	1.72	46.29	0.0	18.33	1.88	3.0	3.98	11.28	12.04	1.52	0.44	1.14	34.0	0.06	0.05	0.0	0.0	0.0	0.09	0.99	14.22	0.1	10.43	0.0	17.01	0.24	0.24	6.85	54.95	54.1	55.36
Ttll4	0.0	0.0	0.0	0.0	0.0	0.0	11.52	0.0	0.0	29.17	0.0	11.25	24.67	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.36	0.0	0.21	0.0	0.0	3.35	0.0	0.0	0.0	12.87	0.0	0.66	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42	0.0	0.0	0.0	0.0	0.0	0.0	8.54	7.04	8.82
