	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_30	Htr3a_tdTpositive_cell_27	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4
1110051M20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	369.95	1.17	0.0	0.0	120.28	0.0	0.0	0.35	0.0	0.54	288.98	0.27	135.22	86.26	293.88	136.39	64.95	0.0	0.55	76.26	64.58	116.5	135.74	1.62	109.22	145.49	87.06	127.67	1.31	12.57	4.72	74.55	120.01	66.29	2.43	0.0	0.0	98.76	688.81	0.0	178.06	82.03
2610044O15Rik	2.62	0.0	0.57	0.23	0.55	1.03	0.79	118.31	15.02	16.1	275.69	0.0	6.65	1.45	0.62	0.68	1.99	20.9	0.0	0.0	0.0	7.16	0.0	0.0	11.64	0.77	90.74	1.79	1.85	2.4	115.22	37.45	3.72	39.14	4.31	109.45	41.15	98.21	2.02	18.05	22.56	1.05	1.82	68.22	7.49	42.46	0.28	197.32	111.63	9.54	23.82	1.09	26.44	1.61	159.59	13.5	4.63	15.11	586.93	1.25	0.0	12.08	15.97
4933433P14Rik	0.0	0.0	0.0	0.0	0.0	0.0	26.85	0.0	0.0	0.0	149.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.41	0.0	63.62	185.88	0.0	68.28	0.0	0.32	93.51	182.62	153.07	96.86	57.99	94.56	82.62	32.54	43.63	9.22	51.7	34.13	48.57	74.24	0.0	62.93	66.71	141.17	50.17	0.66	0.18	15.12	25.93	4.86	184.36	0.86	0.0	0.21	0.37	0.0	0.0	79.02	37.88
Abcf2	0.0	4.3	0.0	600.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	582.6	695.28	0.0	0.0	153.22	0.0	0.0	5.77	46.49	1.09	0.0	0.0	0.0	1.23	1.68	11.64	111.8	94.61	42.42	35.52	134.98	238.29	60.43	237.22	51.94	187.43	54.88	67.14	153.0	88.32	172.1	1.42	1.83	7.3	0.07	52.5	1.24	21.15	9.29	0.25	0.0	0.9	0.0	0.0	254.57	0.0
Ak1	0.0	0.0	0.0	0.0	0.18	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.06	0.14	0.08	127.01	123.14	51.89	0.0	0.0	0.44	54.88	232.96	4.21	0.45	122.12	140.44	243.32	274.84	162.01	168.38	33.18	171.1	113.73	167.93	70.52	107.88	53.98	268.3	2.67	123.38	108.65	34.0	23.97	56.55	339.19	46.24	303.12	0.0	0.13	0.0	0.0	98.95	187.9
Atl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.78	16.55	0.06	0.88	73.03	2.37	0.0	0.24	0.32	4.1	50.67	9.01	59.41	49.11	108.12	77.01	132.55	15.94	106.7	14.87	60.34	81.29	185.07	0.0	0.0	141.3	143.1	2.26	0.96	17.41	0.54	41.29	144.76	200.83	312.39	0.0	0.0	0.54	0.18	0.0	114.42	234.69
BC003266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	487.32	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298.09	0.0	0.0	0.0	0.0	1.07	232.81	155.24	0.46	78.98	168.7	114.08	120.21	51.51	0.0	278.53	0.0	271.39	134.99	0.0	77.61	153.21	200.66	483.18	5.78	0.0	0.0	71.45	154.37	174.1	1.21	0.0	0.0	0.26	0.0	0.0	149.12	186.04
Bbs5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.57	0.0	0.15	0.0	0.0	0.0	1.51	0.34	387.03	83.46	62.5	0.0	0.0	40.28	0.0	0.0	51.53	0.0	22.49	74.41	0.0	33.89	37.47	87.81	0.49	0.51	0.0	7.03	38.94	159.32	0.25	0.0	0.0	0.0	0.0	3.91	0.0	72.05	0.4
Cacnb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	123.75	0.0	0.0	0.0	85.65	0.0	0.0	0.0	0.0	0.0	0.0	34.97	55.65	0.08	4.2	139.73	15.51	0.06	0.0	0.0	2.89	78.45	207.95	65.5	111.62	86.37	76.93	92.94	68.93	18.48	72.83	83.19	88.59	62.99	46.05	57.95	101.1	77.99	66.24	36.91	13.05	31.03	43.12	95.91	76.98	122.56	0.24	0.0	0.32	0.06	0.0	45.04	10.75
Camk2b	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.24	0.11	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.89	4.19	0.08	84.25	70.6	64.79	0.13	0.0	0.0	1.84	4.31	81.75	34.36	36.26	55.59	36.09	34.3	89.89	33.64	52.16	11.38	48.67	32.18	46.42	18.9	36.74	40.98	7.01	28.75	4.45	0.42	43.65	1.37	144.27	55.89	0.32	0.0	0.38	0.0	0.0	245.5	95.66
