	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_118	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_62	Rbp4_tdTpositive_cell_184	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_9
1700128F08Rik	38.86	4.43	22.13	19.63	17.03	0.37	8.32	36.61	48.1	0.0	43.58	53.13	69.2	39.38	52.79	13.38	18.02	35.67	39.45	9.75	29.81	22.65	33.63	35.68	39.83	26.62	29.17	24.47	17.08	49.2	38.28	54.96	18.45	21.22	17.22	31.14	55.08	19.15	59.83	24.57	34.08	32.54	25.91	23.99	30.94	91.96	67.74	10.49	19.16	30.74	33.24	9.97	18.9	77.63	60.38	20.82	43.46	35.69	10.95	7.75	0.52	54.22
2300009A05Rik	0.0	5.49	0.0	0.0	3.27	0.0	0.0	9.15	4.66	0.0	0.0	84.62	104.66	27.36	0.0	0.0	11.15	20.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.16	24.2	0.0	45.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	29.75	52.11	0.0	0.0	0.62	5.39	0.0	0.0	0.0	32.18	9.21	81.85	0.0	6.61	0.0	0.0	3.14
4930511M06Rik	56.63	14.24	44.36	55.67	17.71	7.22	34.64	57.31	119.42	0.88	75.64	79.52	133.85	72.22	66.1	16.27	47.73	48.07	59.18	40.33	70.8	47.88	60.01	49.84	62.85	45.3	51.9	64.43	46.75	41.15	55.24	50.64	67.27	60.36	50.2	44.34	56.92	63.67	59.51	34.51	48.39	49.39	51.52	49.68	57.45	147.65	122.71	4.67	41.49	96.29	44.12	35.08	77.6	123.3	79.12	43.61	67.77	94.39	56.67	34.47	0.0	67.12
6030422M02Rik	33.2	8.49	11.61	41.14	6.71	5.09	24.82	37.57	93.42	0.14	81.88	52.79	81.37	59.9	49.76	8.37	33.66	30.44	33.18	11.58	27.59	25.47	31.36	29.85	38.33	26.53	27.92	48.94	23.16	25.83	32.39	54.53	35.22	34.54	25.24	19.3	43.54	42.49	27.23	25.49	26.42	30.56	29.62	27.4	29.97	144.55	71.93	6.45	22.97	46.45	26.47	19.0	45.63	66.65	64.78	32.74	35.83	77.68	24.39	35.9	10.95	57.49
A130077B15Rik	558.5	194.83	375.37	524.03	141.7	45.33	271.18	542.54	1294.53	2.24	701.44	1015.55	829.28	783.32	692.37	515.59	402.29	532.83	545.15	322.88	570.94	364.45	579.67	417.26	556.55	397.77	476.41	531.84	433.71	471.19	482.27	725.1	586.54	562.4	536.66	406.97	761.56	619.65	516.55	422.67	424.51	523.23	416.52	430.95	545.8	1563.67	1479.97	94.2	370.24	814.01	510.09	332.9	563.96	999.48	713.09	391.99	543.33	703.5	461.81	275.1	1.03	776.11
A430078G23Rik	23.65	11.57	2.97	9.36	10.93	0.79	16.71	3.67	10.06	5.0	30.24	31.52	35.09	24.38	16.96	2.69	9.21	15.6	18.67	8.95	10.64	9.73	13.51	11.07	11.92	11.35	19.26	10.78	11.64	17.33	6.81	11.88	26.36	13.98	14.5	9.22	12.63	8.79	17.03	7.5	12.8	5.56	3.04	6.94	11.08	7.31	20.7	25.62	9.82	15.92	8.01	7.18	9.81	20.04	29.26	13.52	29.41	26.89	12.04	16.27	0.0	13.59
A630001G21Rik	0.33	0.0	0.04	0.0	0.54	0.0	0.5	0.19	0.51	0.0	0.0	0.0	0.8	0.26	0.38	0.0	0.32	0.14	0.22	0.0	0.0	0.16	0.14	0.03	0.31	0.0	0.0	0.21	0.0	0.0	0.0	0.45	0.0	0.0	0.12	0.0	0.3	0.0	0.21	0.0	0.15	0.0	0.0	0.17	0.0	0.0	0.07	0.0	0.0	0.35	0.0	0.05	0.0	0.37	0.0	0.5	1.22	0.0	0.0	0.0	0.0	0.12
A630089N07Rik	320.2	101.42	174.74	256.77	109.54	90.41	152.74	208.79	609.75	0.0	452.58	420.75	536.37	421.92	450.93	117.89	250.09	249.28	277.12	132.98	312.13	201.77	307.14	260.74	369.88	238.37	225.76	280.09	228.81	320.41	315.65	332.43	243.08	261.79	255.2	206.36	347.86	232.85	387.18	216.27	224.28	278.7	238.13	252.1	283.84	601.43	818.4	65.9	158.33	428.45	223.88	257.93	210.6	638.32	347.47	145.81	311.87	364.63	165.04	80.65	122.79	444.47
Akr1e1	79.88	0.0	0.15	10.92	21.96	0.0	145.51	83.78	0.09	0.0	136.07	332.29	325.0	125.31	0.0	0.0	118.93	0.09	0.0	49.96	0.0	0.06	40.35	1.14	52.06	0.0	0.0	103.45	91.56	85.54	123.06	169.83	17.12	127.31	170.36	74.03	83.69	0.0	28.63	122.48	40.1	61.52	0.65	108.12	79.11	107.33	189.99	0.0	0.0	162.18	0.14	148.84	169.8	92.28	93.63	44.18	345.48	217.94	36.47	156.89	0.0	93.16
Birc6	26.43	0.11	10.77	6.34	13.48	0.41	15.02	28.18	25.72	0.0	34.48	17.73	63.13	42.79	14.93	0.0	22.1	9.19	22.72	21.48	19.67	28.12	25.28	21.65	29.4	7.33	30.16	15.4	11.1	8.47	15.12	26.09	10.89	10.26	16.92	15.18	43.53	20.01	34.88	13.18	8.32	9.95	16.66	7.15	4.77	74.57	33.29	0.73	25.72	36.62	7.61	34.8	17.1	17.7	24.14	16.48	54.45	23.78	7.53	31.5	12.89	24.09
