	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_21	Ctgf_tdTpositive_cell_22	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_101	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_108	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_114	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_120	Htr3a_tdTpositive_cell_121	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_59	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_73	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_173	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_61	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Atf6	5.5	0.0	34.43	7.51	0.52	4.98	13.7	18.56	32.84	0.75	20.97	5.55	29.81	2.7	1.08	35.39	8.53	15.59	26.04	33.47	0.04	20.9	30.92	23.12	8.11	21.86	0.0	27.56	5.66	0.0	6.18	0.08	12.29	0.0	11.3	0.04	25.82	13.97	13.31	8.81	0.0	4.7	0.0	0.0	0.0	0.0	0.0	2.24	11.48	32.46	74.45	89.53	157.22	43.33	38.96	79.44	32.5	89.11	0.0	1.94	66.45	43.09	112.93	41.75	49.29	21.27	30.21	59.99	65.5	33.57	18.33	49.7	94.99	29.45	2.84	1.31	30.69	21.94	30.42	35.61	84.99	14.59	3.42	39.0	14.19	28.29	0.15	4.67	0.0	45.37	37.74	47.73	45.93	17.37	27.95	7.89	6.84	0.0	0.12	40.62	39.88	32.37	25.27	32.05	31.39	31.81	33.73	26.22	36.17	29.61	46.03	31.51	2.01	47.71	0.09	0.0	37.3	33.18	58.56	2.09	66.38	77.24	13.94
Atp2b1	22.87	109.9	114.2	28.72	197.06	271.91	377.69	197.21	189.76	313.25	165.99	333.5	293.11	65.24	337.21	339.67	396.23	137.08	359.75	339.89	136.56	134.91	333.49	76.11	463.23	106.77	307.24	155.97	68.72	26.12	16.23	34.49	41.83	18.52	46.09	0.26	123.11	83.37	107.52	36.43	17.57	7.43	20.14	2.45	126.61	13.63	4.97	13.39	16.66	749.57	803.22	551.8	262.92	392.53	545.4	456.28	487.54	738.34	383.85	403.6	641.96	245.11	638.31	517.74	403.39	320.63	972.53	836.16	741.01	395.82	272.46	708.06	619.72	62.25	74.33	194.34	204.22	82.37	511.71	130.41	57.59	124.61	157.28	84.29	85.24	46.65	63.12	162.64	48.97	656.74	488.1	651.92	583.71	619.57	690.5	45.26	39.84	103.48	161.45	549.86	524.22	545.99	437.9	435.72	534.67	423.36	450.35	406.68	401.54	376.73	429.92	540.47	376.42	431.08	367.38	407.91	488.35	405.62	382.14	395.09	289.35	488.69	308.67
C230081A13Rik	0.0	0.0	0.03	0.0	0.0	13.23	21.98	0.0	0.0	18.73	20.44	0.0	0.0	0.0	5.36	1.91	4.97	0.0	1.23	0.0	0.0	3.0	5.67	20.36	0.28	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.03	6.81	0.0	0.0	0.0	3.64	0.0	0.0	0.0	0.0	0.0	0.04	0.24	15.72	0.0	0.0	0.0	1.97	18.79	12.85	0.0	3.41	7.94	23.75	0.01	12.3	31.84	12.44	12.37	11.1	12.25	12.52	0.04	12.69	1.74	21.1	40.92	60.56	26.53	54.13	37.71	0.0	0.0	0.0	0.0	0.0	5.12	0.0	9.71	0.0	0.0	21.26	0.0	0.0	0.0	0.0	0.0	52.55	12.14	29.61	2.57	8.01	16.39	0.0	5.15	0.0	0.0	19.53	15.66	11.7	12.14	13.55	5.01	8.09	10.64	11.51	7.99	7.19	0.0	3.89	0.0	21.78	3.55	12.05	13.15	0.02	5.79	61.77	15.61	2.02	19.53
Ccl27b	0.0	0.0	62.23	0.0	0.0	44.05	51.88	0.0	0.59	119.29	38.81	28.85	4.28	0.93	2.58	71.72	31.43	0.0	49.23	0.0	0.11	0.0	166.07	0.21	16.68	3.36	0.8	0.0	1.46	0.0	1.74	0.0	0.58	0.0	5.37	0.0	34.8	4.12	24.48	0.0	0.0	0.29	0.0	2.79	0.25	1.65	1.9	0.13	4.31	125.22	176.6	172.96	0.0	81.28	44.71	5.88	147.36	112.91	310.16	79.41	318.99	272.53	188.03	85.18	111.71	178.93	183.85	79.46	128.94	135.7	143.81	39.65	62.7	0.0	0.0	0.31	3.75	0.25	125.6	0.0	43.39	72.67	1.6	2.1	2.98	11.0	4.35	5.22	3.47	211.19	106.59	188.71	16.51	150.83	156.7	4.89	0.0	0.0	0.0	164.03	114.56	177.66	125.27	74.98	103.08	54.7	62.2	75.81	76.52	71.98	138.81	89.39	91.35	100.7	74.33	204.01	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Ccnd2	0.0	0.0	0.0	0.0	0.13	0.0	34.18	83.0	40.26	21.44	39.64	40.04	60.85	18.01	87.07	28.52	0.0	70.31	0.07	0.0	8.07	35.32	49.68	38.75	76.24	148.65	1.19	68.34	0.0	0.02	0.09	0.09	0.16	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	40.56	0.0	0.05	0.0	12.75	0.0	68.51	146.19	120.65	0.18	106.66	34.77	68.17	93.91	83.44	85.2	163.83	75.4	0.05	31.0	77.3	53.94	140.39	137.52	75.2	77.79	58.73	51.79	86.42	58.09	0.0	0.0	14.99	0.0	36.16	54.19	0.0	0.0	29.02	0.0	0.0	0.0	0.1	0.05	0.04	0.08	59.49	67.6	227.13	37.12	119.3	195.43	0.0	0.0	0.17	0.15	123.68	55.13	91.51	88.1	63.25	115.53	55.59	61.47	49.96	50.18	48.19	0.0	43.96	0.0	138.37	48.05	68.08	116.32	45.65	10.15	80.53	28.13	39.28	0.09
Etv5	0.0	6.29	66.03	2.14	52.69	108.42	89.84	7.56	34.68	144.06	49.11	3.29	11.96	54.76	81.22	136.71	230.11	146.95	424.49	31.48	4.73	141.44	60.36	10.58	97.43	123.74	13.92	70.13	2.43	0.0	0.09	0.03	31.36	0.2	0.0	0.0	67.82	45.7	6.57	0.0	0.0	0.0	0.0	0.0	46.83	0.0	0.0	2.06	0.0	103.67	83.49	33.42	48.69	134.33	77.84	126.5	3.69	107.78	128.1	16.88	19.19	37.29	22.67	174.39	234.39	71.03	217.12	145.53	11.53	210.84	43.87	20.82	86.14	15.33	9.11	8.05	103.09	4.73	89.24	0.0	0.47	29.81	28.73	124.37	14.05	6.4	14.53	9.3	9.12	35.83	112.91	124.15	126.44	145.18	67.24	0.06	0.0	0.51	120.78	115.96	70.75	75.36	56.49	62.47	51.98	54.14	53.34	39.44	72.67	93.64	115.66	22.98	94.07	75.85	22.84	104.89	176.53	157.41	19.04	156.62	7.91	138.63	131.65
Foxp2	0.0	0.0	0.05	0.0	0.0	24.74	0.43	0.18	0.0	18.13	59.46	0.0	0.0	0.17	0.0	0.0	0.0	0.0	51.98	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.08	0.0	0.03	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	37.68	36.42	40.67	10.07	48.55	63.33	82.85	112.74	85.35	90.98	7.76	19.64	110.17	6.05	41.27	173.95	19.14	138.98	164.24	14.61	113.15	66.84	65.93	13.25	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.09	7.42	0.0	0.0	0.07	0.0	0.0	0.0	0.07	131.68	62.88	25.13	30.74	82.28	0.0	0.0	0.0	0.0	0.0	36.75	48.04	63.78	29.71	62.67	64.09	27.96	55.0	30.97	59.52	53.91	0.0	36.71	0.0	17.89	2.91	0.0	68.05	8.76	10.93	6.19	0.0	34.99	0.0
Gadd45a	10.21	0.58	7.3	3.36	13.79	94.45	55.58	0.0	24.35	21.37	21.1	0.41	155.97	7.43	84.68	11.0	96.2	5.41	51.38	44.04	1.98	50.89	26.56	4.16	73.59	0.0	37.98	11.44	0.0	0.0	0.14	0.0	0.0	0.0	2.04	0.27	13.4	23.1	0.0	0.0	0.0	15.65	0.0	0.0	0.0	0.0	3.43	0.0	2.07	202.55	43.52	148.12	168.69	61.06	34.19	145.91	122.84	22.87	52.46	353.06	208.91	14.98	122.9	118.82	353.95	14.32	86.5	108.5	141.03	79.11	46.55	88.92	149.79	10.91	0.47	92.16	84.56	11.63	0.0	0.0	0.0	0.0	15.27	15.61	41.78	17.95	24.86	0.0	12.81	174.06	117.82	36.61	72.1	33.25	37.44	0.0	2.04	0.0	0.0	158.63	88.45	73.06	129.8	61.92	82.07	43.51	48.07	48.81	64.49	53.46	0.0	94.15	0.0	375.99	2.73	0.0	8.07	29.09	49.99	25.14	31.18	7.85	0.0
Garnl3	22.21	124.87	69.89	0.0	0.0	31.98	76.67	82.94	0.19	112.99	40.25	78.02	14.02	0.98	7.76	45.67	57.62	0.0	74.29	0.59	5.94	0.37	56.31	0.19	28.4	0.0	53.62	49.11	0.0	45.08	2.4	29.33	2.01	41.63	31.2	66.67	37.69	29.42	20.57	38.7	0.25	4.29	38.29	17.25	92.34	6.7	39.86	0.0	35.62	199.13	112.86	40.27	0.21	145.58	173.82	15.28	56.71	290.59	45.6	173.26	49.27	22.0	161.35	134.78	88.03	92.48	167.06	246.98	234.2	504.61	270.42	394.93	217.52	0.0	0.0	0.0	0.13	62.28	55.73	0.0	61.84	29.43	90.69	49.36	0.14	0.0	49.37	7.72	0.26	330.09	259.92	183.39	78.06	156.35	188.95	25.29	35.81	0.0	0.0	144.11	151.03	92.82	125.14	116.85	131.41	97.1	118.28	100.3	149.22	162.75	39.09	75.88	14.5	158.81	81.31	31.99	18.95	77.0	46.06	109.55	13.32	56.93	0.59
Gm13306	0.0	0.0	62.23	0.0	0.0	44.05	51.88	0.0	0.59	119.29	38.81	28.85	4.28	0.93	2.58	71.72	31.43	0.0	49.23	0.0	0.11	0.0	166.07	0.21	16.68	3.36	0.8	0.0	1.46	0.0	1.74	0.0	0.58	0.0	5.37	0.0	34.8	4.12	24.48	0.0	0.0	0.29	0.0	2.79	0.25	1.65	1.9	0.13	4.31	125.22	176.6	172.96	0.0	81.28	44.71	5.88	147.36	112.91	310.16	79.41	318.99	272.53	188.03	85.18	111.71	178.93	183.85	79.46	128.94	135.7	143.81	39.65	62.7	0.0	0.0	0.31	3.75	0.25	125.6	0.0	43.39	72.67	1.6	2.1	2.98	11.0	4.35	5.22	3.47	211.19	106.59	188.71	16.51	150.83	156.7	4.89	0.0	0.0	0.0	164.03	114.56	177.66	125.27	74.98	103.08	54.7	62.2	75.81	76.52	71.98	138.81	89.39	91.35	100.7	74.33	204.01	80.83	235.31	83.58	176.84	97.07	149.77	258.72
