	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_1	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Tac2_tdTpositive_cell_6	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Dpysl5	0.0	0.0	2.59	0.0	0.0	40.21	0.0	0.0	0.0	0.0	3.13	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73	0.0	0.0	0.0	1.37	5.9	0.0	13.12	2.01	9.48	0.0	5.46	0.0	0.0	0.13	0.0	0.33	0.0	0.0	0.0	23.97	12.87	0.0	0.0	2.24	9.32	25.29	24.03	0.23	28.94	0.0	0.0	0.14	12.99	0.0	26.46	0.4	16.84	6.28	0.0	0.0	0.0	15.02	1.31	12.49	0.0	0.0	0.0	1.21	0.0	0.0	4.63	17.46	0.0	14.33	5.75	14.56	0.0	4.48	16.66	50.89	0.0	2.16	0.0	0.0	0.0	0.0	0.08	15.44	20.2	0.0	0.0	0.0	0.07	0.0	0.0	0.42	0.0	0.0
Efha2	142.04	123.58	374.5	148.33	505.54	385.81	0.0	0.14	0.0	0.15	490.88	599.87	440.44	75.37	0.0	524.55	73.03	23.95	146.72	1.28	502.81	650.09	264.63	306.6	393.93	803.32	425.03	595.55	609.95	650.17	311.91	525.41	518.07	600.29	562.86	590.4	512.93	580.46	556.14	589.0	345.78	466.37	547.33	631.35	338.27	362.22	322.92	533.45	584.42	451.27	208.83	228.15	660.21	560.1	440.2	554.77	412.51	391.73	372.21	601.68	420.81	538.18	454.07	438.79	313.94	414.27	493.62	480.07	373.04	391.34	474.24	614.17	453.18	534.2	546.47	463.88	434.1	348.9	732.22	477.85	431.21	384.88	547.53	539.59	448.72	622.05	562.31	285.23	480.05	490.1	544.51	530.89	176.5	1.27	240.08	0.0	393.19	573.04	114.77	52.2
Entpd7	0.0	0.0	20.79	0.0	59.09	72.58	0.0	72.45	0.0	0.0	11.19	5.44	3.28	0.05	0.0	15.48	8.2	0.0	16.61	0.1	43.1	20.0	5.98	8.93	23.14	94.7	36.06	29.08	87.71	44.98	45.84	34.53	58.12	36.89	35.54	9.97	39.19	45.14	50.8	84.95	19.31	27.9	29.95	37.65	85.56	9.32	35.39	52.54	74.26	9.29	0.27	8.77	37.89	84.0	31.8	17.19	13.35	51.92	87.82	15.67	46.25	32.25	32.27	51.75	9.16	42.48	20.8	30.96	21.46	21.81	8.77	38.34	5.7	34.03	88.13	42.13	22.27	13.59	47.11	29.16	37.69	28.01	23.08	38.69	34.89	78.84	78.37	21.77	37.17	21.12	30.44	38.67	0.06	0.2	0.24	0.12	5.7	48.27	3.03	0.04
Extl2	0.0	0.04	105.07	94.46	396.03	649.37	0.0	0.0	0.0	0.17	331.06	258.19	299.23	0.1	0.17	371.2	44.81	0.0	0.0	0.0	329.03	351.03	261.69	222.55	339.32	293.76	419.97	267.41	480.52	359.9	267.53	469.15	334.86	298.03	204.88	169.6	429.48	379.98	155.4	359.68	157.5	393.9	207.55	397.57	300.21	452.31	283.98	217.64	342.49	637.07	244.59	111.33	389.22	266.45	285.33	204.33	307.63	190.97	287.93	240.87	383.19	422.06	243.31	302.29	190.99	262.37	16.01	126.73	131.15	95.18	266.8	266.71	322.73	295.1	356.01	380.86	235.86	458.8	517.78	509.83	324.16	417.28	340.89	330.27	311.48	141.93	250.53	272.15	151.19	249.92	224.91	423.56	0.75	0.44	0.78	0.0	180.73	350.92	19.18	16.43
Gm14430	0.0	0.0	1.3	0.0	39.43	21.47	0.0	0.07	0.0	0.0	17.66	21.67	7.02	0.0	0.0	3.32	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	0.0	6.05	13.5	14.04	6.81	30.51	9.4	5.35	16.5	13.46	3.22	12.83	12.31	9.23	3.07	20.8	2.82	24.87	11.03	13.12	9.95	10.87	5.42	18.55	13.57	1.28	6.7	4.08	11.25	10.27	0.0	0.32	3.81	18.48	9.13	19.5	14.36	35.07	0.54	2.61	6.88	0.0	14.82	8.34	17.48	9.58	31.83	13.98	10.45	7.54	7.83	13.81	4.31	30.75	23.59	25.3	15.88	0.49	25.21	1.85	41.52	2.38	0.07	0.24	0.0	0.0	1.03	0.0	0.0	0.0
Gm14434	0.0	0.0	1.3	0.0	39.43	21.47	0.0	0.07	0.0	0.0	17.66	21.67	7.02	0.0	0.0	3.32	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	0.0	6.05	13.5	14.04	6.81	30.51	9.4	5.35	16.5	13.46	3.22	12.83	12.31	9.23	3.07	20.8	2.82	24.87	11.03	13.12	9.95	10.87	5.42	18.55	13.57	1.28	6.7	4.08	11.25	10.27	0.0	0.32	3.81	18.48	9.13	19.5	14.36	35.07	0.54	2.61	6.88	0.0	14.82	8.34	17.48	9.58	31.83	13.98	10.45	7.54	7.83	13.81	4.31	30.75	23.59	25.3	15.88	0.49	25.21	1.85	41.52	2.38	0.07	0.24	0.0	0.0	1.03	0.0	0.0	0.0
Gm4724	0.0	0.0	1.3	0.0	39.43	21.47	0.0	0.07	0.0	0.0	17.66	21.67	7.02	0.0	0.0	3.32	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	0.0	6.05	13.5	14.04	6.81	30.51	9.4	5.35	16.5	13.46	3.22	12.83	12.31	9.23	3.07	20.8	2.82	24.87	11.03	13.12	9.95	10.87	5.42	18.55	13.57	1.28	6.7	4.08	11.25	10.27	0.0	0.32	3.81	18.48	9.13	19.5	14.36	35.07	0.54	2.61	6.88	0.0	14.82	8.34	17.48	9.58	31.83	13.98	10.45	7.54	7.83	13.81	4.31	30.75	23.59	25.3	15.88	0.49	25.21	1.85	41.52	2.38	0.07	0.24	0.0	0.0	1.03	0.0	0.0	0.0
Gnal	0.52	10.12	11.74	0.15	68.67	58.49	0.0	0.12	99.69	0.29	82.13	120.66	186.53	0.1	0.39	67.1	22.58	0.8	0.16	28.52	66.18	119.22	7.04	53.9	61.4	93.87	84.21	64.21	42.48	136.56	56.81	93.96	157.58	63.14	92.95	18.3	81.96	49.34	114.14	84.15	28.43	35.2	83.52	70.27	47.2	70.52	88.4	115.42	70.0	24.63	47.56	31.96	51.82	59.28	110.89	75.05	59.99	18.18	66.66	57.78	103.68	44.1	62.89	75.04	147.02	68.46	115.31	38.35	85.99	153.27	68.1	101.12	39.64	1.71	62.96	95.72	66.45	81.4	169.6	44.64	4.41	61.98	62.94	50.13	71.2	64.4	73.57	41.22	21.59	105.19	170.89	124.03	0.49	0.45	1.95	0.0	138.51	47.14	2.23	36.73
Hspa4l	0.0	1.46	6.28	0.0	117.44	146.94	0.0	0.0	0.0	0.0	273.95	113.79	0.09	68.41	9.31	52.3	89.72	0.0	0.0	112.37	67.8	205.21	82.02	49.38	84.27	65.06	114.14	73.44	160.56	92.43	50.04	102.96	64.02	153.45	138.05	127.3	73.97	166.82	115.98	94.61	30.63	87.67	102.41	35.84	84.41	42.11	89.26	57.56	92.6	107.61	51.09	58.43	134.05	68.79	201.73	45.39	143.74	45.7	73.33	184.73	103.62	273.53	9.44	168.41	39.85	93.76	98.84	35.82	44.09	171.72	61.57	31.59	41.49	67.62	98.48	127.95	60.05	75.51	203.05	138.66	118.59	78.92	156.71	152.87	306.29	217.23	93.89	101.0	85.01	45.97	81.54	106.97	0.1	0.0	0.1	0.0	86.31	0.33	59.77	233.55
Iars	0.0	0.03	20.04	0.11	9.85	71.51	222.96	0.52	0.0	0.44	122.87	56.1	0.57	0.0	0.0	47.32	0.0	0.0	0.0	0.75	76.23	40.8	38.42	55.0	55.76	132.29	152.68	86.53	41.65	61.27	83.95	31.19	6.12	53.64	6.3	99.43	41.28	101.27	33.58	79.18	75.89	36.22	95.81	77.66	7.02	55.68	153.55	64.51	97.08	149.04	1.19	0.27	2.08	20.65	78.17	0.35	12.18	49.02	89.97	2.51	61.12	11.2	6.47	56.32	54.55	32.97	32.95	56.04	13.75	32.93	56.95	160.89	92.02	35.99	27.85	38.16	44.73	22.24	0.8	56.37	0.89	51.16	28.71	61.87	0.0	86.52	103.53	63.62	0.32	39.73	0.31	45.92	0.73	750.28	0.26	0.0	41.85	52.89	38.0	53.24
