	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_1	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Tac2_tdTpositive_cell_6	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Isca1	0.25	4.11	196.28	104.31	626.56	463.49	44.52	0.0	0.0	0.0	282.01	297.34	168.64	0.0	0.0	452.24	177.37	0.0	0.0	1.89	451.85	626.48	231.72	245.76	279.52	427.04	281.54	421.52	593.71	374.58	432.04	523.93	440.15	380.93	236.27	241.33	259.16	577.99	476.51	249.09	618.37	277.71	395.91	476.35	499.0	396.72	421.02	723.29	513.77	240.15	312.65	374.51	278.91	333.15	215.07	118.59	583.78	354.32	262.93	274.18	140.46	537.95	158.38	487.93	296.56	458.1	287.55	591.45	232.77	288.01	275.68	614.69	459.33	441.71	353.93	401.58	460.45	696.76	550.51	284.23	461.4	423.77	321.87	457.57	327.89	653.46	377.1	508.77	516.18	379.69	475.47	266.84	0.93	834.21	19.25	0.0	174.09	115.85	343.1	127.73
Kcna1	0.0	49.93	47.87	0.0	191.16	226.45	0.0	0.0	0.05	0.05	219.47	129.7	58.68	0.0	0.0	109.21	80.73	0.0	0.0	0.07	218.51	203.62	67.88	155.4	214.98	258.51	191.86	120.88	231.33	194.23	161.14	255.22	281.96	237.12	175.41	53.8	198.9	245.4	209.54	455.33	33.81	151.11	167.48	105.87	159.56	126.88	28.07	81.48	158.39	98.15	138.68	12.5	121.61	254.23	229.92	28.71	114.35	186.92	175.67	97.91	169.76	275.53	136.3	204.13	173.91	195.32	61.55	145.89	140.07	98.42	97.29	175.06	124.46	83.12	169.27	200.01	175.44	92.79	127.67	96.21	213.35	139.69	164.37	267.03	261.1	221.93	155.8	17.5	119.78	95.94	87.06	247.3	0.0	0.0	0.2	0.0	27.95	82.18	33.22	59.23
Kcnab1	0.0	0.12	87.51	0.0	272.96	740.4	0.0	0.0	0.0	0.0	362.65	377.04	257.17	0.0	0.0	475.12	0.0	0.27	17.75	0.2	388.75	424.77	342.74	312.96	498.33	437.57	338.11	440.1	684.16	669.3	248.95	724.18	595.28	679.62	295.06	96.1	382.89	310.32	256.7	504.97	132.29	51.64	447.24	269.99	416.28	356.8	255.64	550.52	447.83	526.83	65.79	134.35	393.92	426.89	439.02	263.62	391.11	387.08	570.81	401.87	554.35	457.26	210.36	356.39	487.23	629.94	94.1	612.93	133.06	211.96	229.99	246.65	680.63	416.82	797.38	225.91	420.53	372.39	840.28	307.78	341.76	584.31	204.4	321.91	543.34	529.02	323.55	242.37	753.06	277.59	232.14	490.77	0.12	0.28	0.12	0.0	0.0	147.1	0.0	0.08
Kcnc1	0.16	0.03	75.95	50.38	41.32	81.1	0.0	0.0	0.0	0.3	53.55	42.45	58.19	0.0	0.37	49.74	0.0	0.0	0.0	0.0	80.85	67.28	77.82	74.02	49.79	107.15	73.05	64.73	73.76	65.88	58.54	89.51	75.47	84.17	78.46	68.73	108.09	94.14	77.61	96.22	81.63	78.93	114.84	35.3	46.31	59.89	68.03	65.98	69.72	66.47	3.78	35.14	71.55	81.58	80.3	71.85	78.3	61.05	90.6	158.38	36.48	121.18	68.51	144.8	142.51	81.33	83.53	68.14	52.3	78.48	106.68	66.6	59.41	41.77	84.98	66.95	71.41	85.62	113.62	46.65	56.5	136.16	29.1	63.33	113.4	81.49	53.47	54.29	86.24	53.88	106.94	73.73	0.13	0.01	0.3	0.0	0.0	16.08	1.68	7.23
Ldhb	7486.96	6607.22	8138.08	8970.97	7028.63	7195.62	4317.46	3517.81	5274.92	4046.54	9309.63	7692.96	8550.52	5876.73	5600.23	8752.31	4212.35	2894.34	4948.76	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	8517.89	6319.12	9220.91	9343.6	8808.99	6807.49	8620.64	7074.56	8223.21	8574.79	10165.1	9166.61	9602.81	7785.08	6321.13	11261.44	7829.53	8285.69	6969.49	10004.69	6682.6	7834.03	8757.21	7112.99	9074.03	13571.31	7093.74	6421.98	12546.17	9106.97	6645.35	8513.41	9755.78	7935.39	8013.75	8904.1	8390.99	7659.83	7282.37	11010.48	6292.62	8275.76	8671.45	7724.63	10182.84	6673.69	7057.76	7551.43	7750.55	7205.83	6728.17	7185.39	9082.37	6498.69	8351.44	7175.32	7830.1	8111.86	7493.59	8045.48	6971.5	8330.83	11746.38	4392.08	5217.81	5873.38	5577.5	4405.63	6360.56	3502.97	4382.35
Mtap1a	0.12	19.69	1.07	0.04	35.11	18.86	0.0	0.12	0.24	0.0	39.5	46.44	15.85	0.07	0.12	18.47	28.56	0.07	0.0	0.46	35.91	35.57	27.87	80.19	32.83	27.1	49.88	13.87	25.01	59.45	2.53	47.91	51.61	51.52	54.65	69.83	29.59	21.79	38.02	39.82	3.77	25.02	39.15	27.74	48.68	72.33	43.89	37.87	62.03	34.55	38.24	2.85	52.18	62.74	58.63	20.98	36.34	26.33	29.3	13.57	25.66	41.34	32.52	59.89	32.65	36.44	21.3	30.97	42.28	52.96	40.04	15.04	51.77	53.55	27.54	40.85	26.05	41.14	50.76	10.83	26.85	34.51	33.23	67.23	56.97	21.58	39.43	25.14	16.27	50.14	15.73	59.79	0.03	0.0	1.73	0.0	12.78	24.21	4.98	0.04
Mtap7d2	14.26	33.64	3.25	45.31	107.32	155.09	0.0	0.0	0.0	0.51	122.62	130.15	149.65	0.0	0.0	35.58	3.38	0.0	0.0	0.15	109.89	84.22	68.33	102.4	159.22	61.79	132.15	193.59	129.06	118.15	132.38	115.72	70.64	108.86	139.48	60.26	87.4	95.94	134.74	136.45	119.94	129.61	115.4	76.38	42.87	94.74	92.87	184.2	58.56	154.5	99.47	40.54	86.64	114.12	149.62	24.13	111.6	49.93	71.66	214.48	82.38	96.35	23.73	183.92	145.64	87.67	165.71	271.96	59.11	91.16	95.96	64.54	136.63	25.63	164.76	166.52	47.43	29.29	211.88	154.81	82.07	222.72	158.05	121.72	191.0	165.88	165.95	18.81	102.31	105.83	13.68	164.5	5.28	10.82	0.38	0.0	62.42	93.81	83.65	41.73
Ncs1	0.0	0.03	95.01	22.43	883.03	521.32	0.0	0.0	0.0	22.39	637.65	433.29	453.27	0.2	0.0	478.33	57.25	0.0	0.11	0.44	200.89	404.33	235.05	160.32	210.53	281.0	239.82	290.58	366.02	584.19	216.67	461.97	402.02	560.64	652.22	689.14	565.82	299.76	365.86	671.97	444.93	317.18	424.07	480.5	867.01	408.77	363.66	598.21	606.52	400.7	222.65	316.59	601.01	733.29	591.13	459.42	334.65	492.96	683.49	105.49	588.38	530.11	769.22	118.72	380.16	475.6	340.38	67.43	486.03	170.19	173.7	236.94	506.64	454.34	635.87	454.11	558.81	212.07	406.35	274.49	531.57	414.71	428.12	600.81	201.99	558.89	688.72	959.27	243.6	412.48	552.45	744.2	0.7	0.72	1.27	0.0	320.64	265.41	19.15	11.29
Nefh	0.0	0.0	0.41	14.03	29.09	0.07	0.0	0.0	0.0	0.0	23.98	5.14	8.52	0.0	0.0	33.18	0.0	0.0	0.0	0.0	78.02	65.6	8.49	90.01	65.07	48.3	68.88	82.42	68.27	96.45	7.55	89.63	70.19	75.69	67.46	22.14	23.25	39.74	92.34	90.31	0.39	32.52	80.6	38.82	16.51	36.46	34.28	1.2	44.52	0.0	28.1	38.72	54.81	145.17	233.76	12.7	49.8	107.74	99.21	74.47	88.26	28.61	35.6	147.49	21.77	9.81	107.74	136.44	61.11	14.79	104.22	75.57	70.43	133.09	29.01	42.54	57.51	12.2	68.53	28.17	13.64	51.63	59.18	62.19	122.53	100.1	103.28	59.45	38.72	0.16	50.45	116.26	0.0	0.0	0.0	0.0	49.84	0.0	0.0	0.0
Pde5a	0.39	0.04	1.24	0.17	16.22	56.69	0.45	0.37	0.11	0.19	59.55	39.19	0.11	0.0	1.07	32.96	0.23	0.0	0.75	1.15	52.15	23.64	35.84	27.21	28.61	43.93	30.87	9.23	34.39	115.34	12.69	71.06	30.68	35.83	23.91	0.48	14.42	46.27	89.3	70.89	15.25	6.47	60.46	8.66	34.22	58.63	29.4	48.45	71.69	25.52	0.33	0.05	24.08	4.49	35.55	6.75	24.18	8.66	36.45	120.63	31.83	20.91	7.81	110.92	58.05	21.11	48.01	140.78	6.26	48.13	37.98	83.88	1.63	18.68	53.97	53.06	42.21	72.12	74.46	63.84	26.23	31.51	22.43	118.24	81.73	31.05	21.94	23.84	45.08	77.69	90.91	28.04	2.19	1.22	0.46	0.23	0.12	40.6	0.07	0.0
Ppip5k2	0.0	0.02	50.59	0.0	78.84	14.74	0.0	0.0	0.0	0.0	25.47	58.98	2.23	0.0	0.0	9.69	0.4	0.0	0.0	0.0	52.15	37.37	12.04	29.39	70.34	58.34	2.03	30.99	109.8	63.59	5.44	58.69	36.63	35.14	57.78	13.09	50.81	9.92	15.61	72.94	5.76	40.52	73.8	41.43	15.37	11.83	13.55	25.04	32.62	31.41	15.84	57.36	26.42	60.62	82.09	23.09	38.94	24.18	66.92	32.1	23.06	52.64	71.42	63.04	31.84	34.47	0.49	33.1	59.83	20.62	39.57	123.21	37.81	19.43	15.39	0.43	54.56	18.96	153.67	20.25	7.57	19.16	149.65	13.43	11.94	73.61	33.83	36.23	2.8	64.32	43.91	54.33	0.0	0.0	156.18	0.0	0.0	30.31	1.13	0.04
Prune2	0.0	1.09	135.06	20.75	223.69	153.67	0.0	0.0	1.62	0.04	201.64	216.6	116.37	0.02	0.0	249.24	3.23	0.0	0.0	0.75	226.77	166.43	130.57	55.6	226.69	179.21	174.28	218.1	137.04	282.87	174.33	220.32	293.82	168.01	179.6	79.35	265.99	149.3	172.86	221.57	283.44	109.55	220.22	169.96	104.21	116.38	29.63	134.27	140.49	130.33	132.02	132.94	258.78	210.79	123.11	114.33	146.54	153.66	93.3	191.87	135.55	225.09	113.69	251.81	94.84	183.97	148.17	145.34	71.62	62.54	71.63	171.37	159.62	140.87	234.99	230.2	80.13	130.7	137.47	97.55	70.55	162.03	176.99	129.74	99.96	151.49	229.52	270.22	46.96	96.02	156.8	158.93	0.14	0.33	0.55	0.0	17.84	258.91	3.11	2.53
Pvalb	0.0	0.28	1440.49	0.0	2658.58	1512.25	0.0	0.0	0.0	0.0	2506.7	1946.93	2914.72	0.0	0.0	3332.67	0.0	0.0	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1726.65	1185.42	1292.73	1298.9	704.82	1590.34	1199.86	1414.35	1417.67	862.9	1488.24	1662.23	1383.0	1316.24	1251.83	1724.33	1917.82	724.01	1740.57	1346.22	1202.67	1275.46	1769.21	817.77	807.27	1277.26	1535.36	1815.89	1408.27	700.9	1300.19	1731.8	1698.2	1286.26	1628.71	1974.07	1368.74	2136.15	1237.21	1344.6	1735.34	1057.87	1295.74	1590.19	1797.97	1759.25	1472.89	1914.29	1144.03	1510.65	1223.54	760.46	1332.22	1806.53	1251.18	1681.17	1522.72	1830.01	1571.08	1823.48	1749.01	1228.98	1192.47	1258.06	1327.89	3516.69	0.0	0.0	0.43	0.0	0.0	1379.56	0.0	0.0
Rab4a	103.68	0.0	0.0	0.0	111.25	95.3	0.0	0.0	0.0	0.0	74.22	55.25	54.93	0.0	0.0	175.82	0.0	13.0	0.0	0.0	0.0	62.82	0.18	0.0	63.16	13.36	0.41	76.0	61.29	73.53	17.38	50.84	128.72	42.86	48.62	0.0	53.22	97.42	78.6	66.62	95.36	107.46	30.0	60.2	0.0	41.09	12.92	89.18	74.1	0.0	86.69	40.76	0.0	83.22	18.99	173.27	99.98	75.86	107.19	44.19	21.68	118.01	146.42	183.12	0.0	109.64	82.75	11.36	65.47	105.77	0.0	138.24	48.09	20.23	88.06	162.06	122.23	162.39	242.52	84.08	118.9	167.47	153.33	0.0	58.33	103.42	82.06	141.01	60.68	129.19	178.32	144.67	0.0	0.3	0.8	0.0	17.7	99.23	0.0	0.0
Rnf214	17.05	66.89	3.82	0.0	2.04	3.07	0.0	0.0	0.0	0.13	62.33	12.68	0.0	0.0	0.0	42.88	0.0	0.0	0.0	0.0	21.34	26.34	51.89	42.96	10.76	23.08	54.92	3.29	54.41	10.86	72.22	6.02	19.96	34.64	55.87	41.4	66.56	39.64	14.29	52.39	0.0	43.87	53.3	27.51	89.46	21.56	41.32	67.54	126.64	17.32	0.0	25.61	26.21	27.81	75.43	32.93	26.3	19.65	67.44	57.53	42.85	74.17	0.67	70.69	3.05	20.09	70.28	0.0	35.59	45.79	53.7	1.14	26.81	11.16	56.32	30.0	26.75	24.7	72.39	92.01	24.74	92.22	0.0	66.09	97.82	57.74	7.6	22.73	79.6	31.85	0.0	1.99	0.0	2.08	0.1	0.0	45.24	0.11	3.52	7.0
Rufy3	0.0	141.31	33.83	222.52	367.37	286.45	0.0	0.0	0.12	0.0	276.02	350.55	485.59	0.07	0.0	226.82	62.82	164.9	0.0	0.78	307.78	411.13	232.34	238.57	277.88	365.56	313.34	223.98	84.82	248.13	236.65	483.14	478.18	275.72	372.47	235.13	244.47	292.4	343.62	241.65	129.61	315.82	318.33	197.37	310.65	410.38	266.28	296.82	236.04	469.81	382.33	139.69	248.04	441.03	327.79	295.13	226.88	255.31	413.68	163.7	227.72	344.9	270.32	257.29	195.21	210.71	192.85	184.11	272.47	242.68	220.85	235.11	294.65	336.59	246.24	154.02	211.9	299.49	274.44	112.34	262.95	254.08	271.94	210.63	557.86	370.55	260.92	192.06	165.67	291.95	478.0	288.6	0.26	0.53	0.76	0.0	51.62	162.61	134.9	122.89
Sacm1l	0.0	68.57	236.7	4.12	51.18	98.15	11.33	0.0	0.0	344.98	291.28	0.17	315.91	65.16	0.0	25.42	20.29	0.0	0.0	0.0	151.7	130.09	87.9	49.34	103.94	239.73	106.77	109.18	119.36	194.08	241.88	183.8	102.26	94.09	36.51	106.77	131.83	258.32	244.54	271.35	152.58	32.05	277.52	12.19	160.86	105.05	112.55	127.96	171.69	89.04	17.66	45.2	119.49	239.3	179.48	140.61	54.1	52.35	238.12	154.4	119.78	62.48	146.28	135.01	102.22	120.68	40.09	126.13	184.74	146.46	67.65	49.54	221.67	63.47	154.35	293.9	76.87	178.02	325.86	156.08	189.74	87.73	117.4	85.83	347.13	162.45	227.06	67.35	68.88	267.52	90.29	267.38	3.99	0.45	363.17	0.0	92.09	230.69	51.67	1.18
Scn1a	0.0	12.38	151.79	90.66	193.07	228.9	0.0	0.0	0.0	0.0	164.69	317.03	174.37	0.03	0.0	211.06	97.04	0.0	0.0	0.23	224.39	267.02	239.85	238.43	242.13	97.3	202.33	227.08	254.04	313.67	203.26	293.52	196.38	337.27	240.23	196.97	217.68	194.2	254.6	307.26	200.69	168.6	235.49	189.14	309.48	172.76	263.44	141.06	181.34	210.01	152.68	191.99	292.98	195.71	228.51	144.57	369.39	151.99	130.34	169.21	266.57	144.03	201.78	250.33	224.26	191.92	160.73	130.83	154.67	176.62	240.36	147.16	201.02	135.64	224.8	267.29	221.72	174.14	273.04	190.44	143.72	261.02	196.19	189.91	307.2	284.84	264.17	207.27	309.4	254.83	196.03	221.77	0.21	0.45	0.22	0.0	15.3	200.38	22.93	40.44
Scn8a	3.32	18.91	8.92	32.03	42.19	58.33	0.0	0.0	0.0	0.04	85.11	20.57	31.96	0.02	0.0	27.19	16.46	0.0	1.13	0.11	60.36	56.0	37.8	24.16	49.68	76.27	32.22	45.92	79.76	96.35	48.89	99.5	115.41	60.77	76.4	60.36	46.92	73.98	66.85	103.08	13.92	28.69	97.65	44.98	68.89	108.22	70.42	56.0	48.67	115.71	68.66	62.0	92.64	69.2	65.33	68.22	84.43	74.65	88.97	63.45	52.44	40.27	46.6	73.88	34.15	65.37	70.51	46.06	11.47	49.08	52.31	33.3	81.6	57.61	76.88	97.47	64.71	58.06	49.14	74.57	36.12	88.43	52.77	64.08	126.29	88.05	121.49	20.31	113.54	63.65	62.12	81.71	0.19	0.15	1.33	0.0	30.32	43.75	47.96	16.25
Slc24a2	0.0	143.19	176.59	78.59	299.26	227.23	0.0	0.0	0.0	0.05	331.39	210.82	420.49	0.0	0.0	155.95	20.64	0.0	0.0	0.28	172.15	150.96	170.46	264.55	154.79	263.46	291.85	233.37	205.99	283.84	130.52	257.24	244.33	203.59	291.39	190.72	199.02	247.58	266.29	283.6	307.31	223.98	284.0	162.87	341.43	109.47	159.47	229.87	304.97	185.76	171.31	127.86	244.07	202.85	214.57	163.05	258.27	191.88	226.68	259.01	226.75	170.1	140.04	255.51	227.92	167.65	218.18	204.94	161.6	209.31	176.2	200.53	237.91	247.62	205.87	204.79	237.88	168.29	273.68	172.16	220.54	190.94	332.3	356.83	443.24	293.84	263.01	276.32	255.74	274.03	345.73	269.92	0.2	0.31	0.48	0.0	88.99	142.7	65.68	140.09
Snord116	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	0.0	0.0	10.13	0.0	6.06	11.66	7.17	4.97	5.44	0.0	21.33	8.33	2.38	3.94	3.39	3.73	4.84	5.49	5.67	7.04	20.18	3.11	0.0	13.15	7.64	0.0	4.77	3.68	3.4	18.25	0.0	3.94	0.0	0.0	0.0	3.61	16.41	15.15	9.68	0.0	4.39	11.28	0.0	0.0	4.87	11.12	14.45	0.0	0.0	10.18	0.0	13.5	3.34	17.03	1.73	0.0	12.73	0.0	0.0	2.81	4.05	1.69	0.0	0.0	0.0	0.0	0.0	7.72	0.0	0.0
Snord116l1	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	0.0	0.0	10.13	0.0	6.06	11.66	7.17	4.97	5.44	0.0	21.33	8.33	2.38	3.94	3.39	3.73	4.84	5.49	5.67	7.04	20.18	3.11	0.0	13.15	7.64	0.0	4.77	3.68	3.4	18.25	0.0	3.94	0.0	0.0	0.0	3.61	16.41	15.15	9.68	0.0	4.39	11.28	0.0	0.0	4.87	11.12	14.45	0.0	0.0	10.18	0.0	13.5	3.34	17.03	1.73	0.0	12.73	0.0	0.0	2.81	4.05	1.69	0.0	0.0	0.0	0.0	0.0	7.72	0.0	0.0
Snord116l2	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	0.0	0.0	10.13	0.0	6.06	11.66	7.17	4.97	5.44	0.0	21.33	8.33	2.38	3.94	3.39	3.73	4.84	5.49	5.67	7.04	20.18	3.11	0.0	13.15	7.64	0.0	4.77	3.68	3.4	18.25	0.0	3.94	0.0	0.0	0.0	3.61	16.41	15.15	9.68	0.0	4.39	11.28	0.0	0.0	4.87	11.12	14.45	0.0	0.0	10.18	0.0	13.5	3.34	17.03	1.73	0.0	12.73	0.0	0.0	2.81	4.05	1.69	0.0	0.0	0.0	0.0	0.0	7.72	0.0	0.0
Ttll7	0.0	1.66	12.3	0.0	58.98	68.6	0.0	0.0	0.0	0.0	28.98	74.81	19.05	0.0	0.0	25.65	0.0	0.0	0.0	0.1	66.25	64.88	4.46	20.16	50.64	58.66	63.53	65.32	51.67	30.49	18.25	48.32	86.13	27.48	55.7	43.75	77.0	36.41	14.92	87.84	10.16	34.62	70.05	65.53	59.92	16.84	119.75	22.13	26.08	55.58	74.43	5.89	40.87	44.25	49.81	45.93	53.27	71.31	53.56	49.4	74.35	34.36	80.88	98.69	30.42	47.08	72.97	72.61	76.78	21.41	31.36	173.03	59.17	18.59	94.06	67.85	130.69	27.37	191.54	106.66	25.31	85.59	8.97	138.23	233.82	67.4	73.55	51.75	97.44	71.93	116.38	34.98	0.0	0.2	0.18	0.0	11.59	79.72	7.07	36.26
Vamp1	38.87	0.0	0.0	0.0	171.0	37.66	0.0	0.0	0.0	0.0	82.08	71.43	29.77	0.0	0.0	89.17	0.09	0.0	0.0	0.0	108.03	107.92	61.88	88.18	77.92	75.53	23.31	95.96	309.65	193.37	6.26	54.17	105.26	204.8	69.23	94.09	58.86	129.1	120.26	223.98	153.6	62.72	142.28	170.32	121.86	108.98	62.52	100.53	126.35	81.97	42.4	51.39	85.29	152.03	189.43	25.94	129.55	130.96	241.04	105.92	181.36	99.48	64.77	117.69	29.18	74.49	0.33	202.26	80.25	12.86	147.97	154.48	10.14	107.42	85.14	146.73	122.95	26.73	125.39	18.8	232.78	54.88	140.24	184.84	187.73	199.29	157.74	23.41	2.9	114.07	95.68	136.71	0.0	0.0	0.13	0.0	91.72	0.0	0.0	21.11
