	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_14	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ap2b1	13.85	14.01	24.3	5.37	31.59	95.42	120.77	36.46	132.42	7.84	63.02	21.38	0.0	15.9	12.38	18.13	17.01	6.47	15.79	41.46	32.45	39.52	26.79	4.93	24.45	38.38	9.6	1.35	24.66	5.96	62.91	12.43	29.11	27.59	48.03	12.93	34.72	8.92	27.72	17.62	16.14	45.73	51.81	42.06	5.55	0.65	3.42	2.43	0.0	20.81	52.43	16.32	38.21	29.52	13.6	20.72	54.56	2.64	36.85	33.4	3.49	168.78	170.81	177.32
Cadps	133.42	70.08	73.33	8.36	248.86	201.95	121.81	317.62	384.49	50.9	92.84	109.85	0.09	15.71	23.59	58.45	24.72	55.6	2.32	65.38	13.28	121.44	10.28	79.95	12.37	71.04	28.59	17.85	59.75	17.34	102.55	57.86	47.69	85.53	268.21	55.2	55.13	62.1	46.81	84.96	101.58	74.74	56.9	15.74	0.0	0.0	0.0	0.0	0.0	54.2	44.12	50.99	69.57	133.53	58.89	70.44	27.24	16.42	16.88	13.41	3.09	144.91	144.37	143.17
Dnajc5	42.12	5.0	19.93	81.56	19.9	45.57	267.23	167.38	85.19	158.96	69.64	41.51	0.0	0.0	33.11	118.62	34.48	0.06	0.25	93.61	23.51	56.06	67.55	126.18	28.98	71.95	107.49	25.82	9.59	78.7	53.98	61.65	24.91	11.21	171.01	0.83	61.88	14.96	0.45	9.97	28.11	51.83	63.14	98.75	0.0	0.09	0.61	0.21	0.16	7.91	141.05	89.87	117.95	81.59	50.52	36.46	0.28	57.01	75.77	0.15	0.41	219.2	212.24	218.29
Dos	25.07	54.75	99.5	39.96	5.21	145.98	44.72	113.62	124.01	60.88	34.5	1.58	0.16	12.88	39.1	88.19	58.63	26.67	8.58	87.95	48.1	52.78	39.06	42.41	28.67	37.59	15.48	66.28	30.67	37.41	53.2	57.96	70.17	61.21	82.65	108.24	31.39	47.38	19.23	21.2	36.38	21.59	16.46	16.99	0.0	0.11	0.0	80.19	0.0	30.17	109.32	45.87	6.44	57.29	8.03	58.72	37.73	24.98	29.29	0.19	17.44	216.16	237.15	220.77
Fam73a	20.36	9.32	31.45	6.65	0.0	61.01	60.68	24.27	170.26	417.72	52.12	0.0	0.0	21.64	12.58	24.36	23.29	35.22	4.15	25.78	8.35	50.9	35.37	22.41	23.23	30.91	21.7	1.07	27.52	21.73	4.99	17.0	4.03	39.53	0.71	5.22	0.0	0.0	49.94	19.67	1.15	12.98	0.73	7.62	0.0	0.12	0.0	0.0	0.0	13.08	98.11	32.82	2.2	38.15	0.0	26.64	8.91	0.25	53.5	0.0	0.0	62.14	63.06	57.9
Flot2	30.6	0.0	45.85	0.0	0.0	0.08	24.44	10.03	173.36	4.16	71.97	0.0	0.0	0.0	74.3	10.98	73.72	50.46	15.14	20.42	27.5	24.27	0.24	51.07	0.15	24.4	30.68	31.72	5.94	4.1	1.01	20.05	39.0	0.41	86.02	68.52	54.07	55.7	0.11	33.3	43.57	39.63	1.34	39.29	0.0	0.0	0.0	0.0	0.0	1.76	70.66	45.03	54.73	64.03	0.0	1.62	6.41	1.85	60.75	0.0	0.39	98.88	102.37	104.94
Nav1	22.55	6.6	19.07	0.21	19.57	11.19	100.49	56.09	76.3	53.07	37.93	9.53	0.32	0.04	15.77	15.86	27.97	35.99	14.06	3.24	0.11	19.73	62.5	17.03	14.69	16.36	14.44	31.61	6.57	39.36	28.66	12.38	3.47	30.75	16.67	4.67	30.28	9.72	11.6	19.78	21.17	19.97	1.39	33.5	0.37	0.36	1.27	0.62	0.05	11.47	12.02	16.96	35.9	29.69	7.09	10.36	21.19	6.21	0.74	0.15	13.47	36.21	34.59	41.09
Npy	138375.8	173305.25	115124.65	0.0	108594.8	96206.73	82245.2	42632.64	65548.38	14635.6	57444.26	77711.12	0.0	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	128781.07	137945.15	70964.58	95298.15	137580.94	65353.97	120620.2	0.0	4858.28	214.21	196.57	200.76
Rtn3	558.14	322.33	177.61	43.31	144.09	301.63	476.85	383.09	506.7	292.94	277.03	10.93	17.91	27.55	182.06	71.9	45.67	164.72	91.5	83.27	117.48	130.27	152.96	163.71	295.0	168.79	154.3	170.79	126.75	153.56	152.41	82.04	82.15	73.19	57.65	141.52	67.95	144.29	37.53	122.13	84.97	179.64	78.3	162.96	7.35	0.23	0.0	0.0	0.21	145.58	308.25	171.97	149.85	152.99	106.0	185.76	230.63	147.07	90.01	6.84	0.18	912.78	919.98	888.17
Sec24c	10.13	1.68	8.75	0.0	2.46	43.84	59.72	12.18	166.06	39.82	0.0	0.49	0.0	9.79	10.42	11.44	34.77	1.01	4.54	11.86	48.89	0.53	8.88	0.13	10.32	2.78	0.27	17.43	6.59	9.23	51.12	38.26	3.3	0.0	3.78	4.83	0.0	31.99	3.72	0.91	3.6	0.54	42.53	10.85	0.29	0.08	21.39	0.0	0.0	0.0	0.0	32.73	90.53	0.88	0.0	33.81	0.29	0.52	7.21	0.0	0.0	54.15	52.33	54.16
