	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Calb2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Chrna2_tdTpositive_cell_81	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_63	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_2	Nos1_tdTpositive_cell_3	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_55	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_31
5730403B10Rik	288.0	569.34	629.31	260.17	208.0	286.2	108.02	537.09	279.02	188.74	153.61	158.39	186.54	26.36	138.78	79.32	0.0	0.0	362.43	129.53	141.75	216.01	358.87	358.43	270.37	251.76	249.77	162.66	113.52	1.75	251.57	285.57	134.7	221.27	419.93	147.37	365.84	164.25	1.95	244.23	203.69	347.67	51.36	237.76	177.51	214.62	402.25	262.31	400.45	501.6	0.0	0.0	269.49	306.6	14.88	405.26	0.17	0.1	0.0	0.76	0.6	0.15	0.0	0.0	0.0	0.32	0.0	0.1	103.98	119.96
Camk2b	80.58	2.94	374.83	37.71	6.49	113.53	39.93	20.29	70.44	217.34	51.48	16.52	115.47	13.88	85.62	0.0	0.0	0.0	17.21	10.16	58.46	12.02	76.1	86.86	116.73	11.86	45.5	36.06	1.44	193.63	14.09	166.91	121.91	66.58	112.53	141.93	14.09	8.42	2.06	8.8	5.32	19.03	8.66	107.0	5.6	9.14	133.23	11.69	275.79	117.58	0.0	0.0	71.8	226.64	327.58	7.31	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.78	65.57	6.31
Clpp	71.68	197.35	1186.86	521.35	693.57	263.5	577.89	494.23	294.91	999.75	13.81	376.44	248.6	220.17	396.14	0.0	0.0	0.0	489.48	820.7	290.63	645.36	0.22	271.66	356.16	212.76	245.35	207.04	229.52	331.28	357.7	177.39	512.68	254.19	2.72	656.14	352.09	68.42	246.59	18.22	102.42	262.83	191.76	414.89	148.72	912.98	0.0	339.27	564.55	418.09	0.0	0.0	321.2	729.37	499.89	490.72	0.0	281.18	0.0	1.1	0.0	0.0	0.0	0.42	0.0	0.49	0.0	0.35	189.19	333.41
Cntn1	93.94	508.47	41.06	387.81	203.88	162.7	138.31	357.75	122.38	176.13	137.2	240.5	292.06	196.96	480.77	0.0	0.08	0.0	446.61	71.57	261.11	50.22	88.79	450.09	507.13	88.05	182.37	73.74	219.09	173.3	124.02	274.2	404.03	221.93	131.01	283.66	271.18	218.75	147.95	428.59	280.83	120.93	0.0	252.47	532.14	220.81	200.45	209.18	328.97	228.63	0.0	0.0	165.13	328.61	199.47	488.22	0.36	0.06	0.0	0.22	0.03	0.0	0.08	0.09	0.0	0.0	0.0	0.29	181.0	187.36
Cntn4	100.53	224.61	148.54	504.25	231.03	5.46	0.0	81.54	0.0	307.28	436.84	61.63	27.85	31.92	0.17	0.0	0.0	0.0	227.69	20.97	62.12	579.17	59.37	513.22	282.49	0.0	86.45	263.07	17.64	161.19	155.26	43.46	0.0	131.09	136.53	110.41	90.88	3.18	41.31	126.71	385.74	0.0	117.79	346.1	177.8	270.83	177.51	262.26	353.08	204.04	0.0	0.0	166.56	143.26	199.09	132.36	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.21	0.0	0.0	1.6	266.92	145.06
Dcun1d1	154.09	120.95	315.46	303.38	0.0	100.21	135.28	0.0	0.08	180.43	86.6	45.42	147.98	0.0	0.11	0.0	0.0	0.0	32.17	0.0	1.03	60.53	29.97	282.41	13.8	19.23	69.44	7.95	66.54	33.76	0.0	25.07	3.23	4.3	0.09	170.1	257.06	42.89	0.0	0.0	0.09	0.0	0.0	63.19	8.08	104.07	107.66	81.98	82.74	119.38	0.0	0.0	88.37	384.98	290.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	0.0
Mtap1b	810.31	359.89	1386.86	1352.92	281.6	265.02	609.93	487.31	386.71	622.35	954.19	375.43	548.09	619.03	416.88	0.0	0.04	0.0	1025.98	231.79	817.3	1303.5	661.16	881.07	1290.09	332.07	893.92	564.17	227.15	392.82	356.84	564.54	371.52	750.17	501.33	420.27	552.63	354.03	408.15	226.05	870.88	364.19	337.94	1038.26	1023.27	456.3	1645.87	1508.6	1197.89	739.47	0.0	0.0	884.6	478.68	953.72	1775.54	0.11	0.0	0.1	0.59	0.14	0.1	0.27	0.0	0.05	0.0	0.15	449.24	587.02	496.31
Nrxn3	288.32	213.43	349.05	228.2	21.38	194.37	375.7	53.04	283.27	508.08	100.66	346.09	501.43	296.79	447.21	0.0	0.0	0.0	94.93	211.92	576.52	505.71	749.9	626.58	453.44	233.72	205.31	240.03	416.3	416.57	115.99	459.39	408.44	257.85	45.38	149.72	444.57	430.66	230.84	243.7	645.06	201.61	221.42	498.59	539.04	1030.22	304.24	805.59	364.1	808.79	0.0	0.0	765.82	446.57	459.84	395.21	0.0	0.0	0.0	0.25	0.03	0.0	0.07	0.0	0.0	0.0	0.0	100.97	205.98	327.21
Rapgef2	28.96	61.11	101.5	110.27	0.0	86.33	0.0	86.77	23.03	39.27	81.81	34.33	6.77	0.0	56.56	0.0	0.0	0.07	53.87	0.0	62.68	139.75	63.52	37.06	196.47	49.26	104.95	0.06	37.06	80.29	66.91	235.3	136.58	67.26	0.0	70.39	30.02	104.73	1.1	136.72	44.68	58.82	50.16	138.6	108.3	177.77	119.43	140.14	145.77	39.57	0.0	0.0	13.99	56.66	62.85	128.96	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	69.36	0.0	0.0	1.01	65.01
Rcan2	765.44	0.18	411.94	771.15	0.32	283.87	124.86	111.02	320.01	232.21	601.94	184.45	897.29	211.84	179.48	0.0	0.27	0.0	195.23	504.19	179.88	458.59	441.8	850.34	393.35	0.22	333.35	0.12	0.0	195.74	288.04	125.21	113.54	408.53	0.39	103.55	207.77	0.0	0.0	361.97	33.44	593.02	84.08	578.79	607.97	151.25	656.47	840.92	553.96	1408.29	0.0	0.0	260.77	21.19	226.16	146.09	0.21	0.23	0.0	0.2	0.12	0.19	0.0	0.1	0.0	0.0	0.0	15.66	454.4	294.1
