	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810407C02Rik	62.88	31.1	22.29	0.0	0.15	0.0	0.0	0.0	0.81	94.05	0.46	113.46	0.0	0.0	139.14	10.9	120.68	55.86	0.19	0.0	0.0	0.0	15.09	25.07	47.37	16.17	16.98	4.24	11.11	15.6	30.36	14.95	13.74	36.01	33.28	9.82	78.51	24.22	12.39	2.3	3.29	31.98	0.39	0.0	0.07	39.39	22.35	0.86	17.3	29.19	56.04	24.26	48.96	67.63	23.37	0.14	1.02	241.32	0.46	0.0	0.0	0.0	0.0	0.0	0.59	281.58	0.0	0.4	0.0	0.0	4.74	10.1	26.51	36.18	225.2	75.4	0.06	32.4	38.59	10.56	7.59	7.33	18.15	135.82	122.53	133.52
6430411K18Rik	0.5	28.84	20.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.34	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	64.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.85	0.0	0.0	0.0	72.65	0.0	0.0	11.45	0.08	0.0	0.0	0.0	0.0	3.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.51	0.0	0.0	0.0	226.57	0.0	35.05	5.01	0.16	0.0	0.0	0.0	3.52	7.85	6.91	5.85
9530068E07Rik	68.41	79.25	74.84	0.45	150.76	0.0	0.0	0.0	0.28	83.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	218.88	49.93	20.07	0.03	0.0	0.07	0.89	88.95	0.3	106.0	0.0	37.62	149.24	86.71	0.12	97.92	56.6	43.78	39.79	0.0	13.31	0.0	5.9	54.95	0.87	97.48	0.0	0.0	0.59	0.11	1.31	45.91	0.0	0.47	0.0	6.62	0.0	3.7	0.0	0.0	0.0	0.0	89.89	0.0	0.3	0.0	0.0	0.0	0.0	40.62	1.49	79.42	0.0	292.27	0.19	43.2	0.0	30.38	61.2	20.85	0.0	21.25	78.35	80.64	75.91
Armcx1	91.65	2.19	144.91	0.0	0.0	0.0	0.0	0.0	0.0	222.7	0.22	61.5	0.0	0.0	279.14	0.29	18.95	49.13	0.0	0.0	0.0	0.0	81.74	139.44	104.63	0.06	0.08	160.73	177.16	46.47	0.0	116.36	77.31	32.18	23.4	52.76	59.71	153.18	257.55	116.28	158.07	137.08	0.0	190.0	0.74	104.42	179.9	286.59	194.39	176.93	155.93	30.18	51.85	2.87	0.0	26.52	262.47	0.0	0.77	0.59	0.0	0.0	0.0	0.0	2.93	0.51	0.0	0.0	0.0	0.0	100.01	76.4	109.04	60.84	508.34	230.76	38.62	125.31	44.52	280.82	0.0	0.0	109.56	74.42	71.4	64.32
Asphd1	9.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	2.12	0.0	0.0	0.0	0.0	24.1	34.71	0.0	0.0	0.0	45.0	76.33	0.0	0.0	22.01	0.0	0.46	0.0	1.0	0.0	0.0	41.95	0.0	48.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	0.49	38.23	0.0	122.06	52.65	0.0	65.44	0.0	0.0	0.76	0.0	5.12	43.71	48.61	44.08
Asphd2	0.0	45.54	0.17	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	32.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.38	46.26	0.05	0.0	0.0	24.53	11.53	43.18	0.62	6.74	34.92	19.61	37.58	0.0	0.0	51.41	0.54	0.0	0.0	0.0	0.0	41.07	95.97	0.0	0.0	0.0	33.6	2.54	0.0	0.0	0.0	0.1	8.77	27.81	0.0	0.0	17.5	0.81	0.0	0.0	0.0	55.17	0.0	0.47	0.42	0.0	0.0	0.0	0.0	0.0	0.0	60.44	188.26	85.45	94.08	9.81	54.84	25.38	0.0	0.0	32.82	116.67	127.13	119.28
B230208H17Rik	13.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.2	0.0	10.16	28.89	0.0	0.0	18.0	0.0	56.0	0.11	23.72	0.09	0.0	0.0	0.0	0.0	7.17	15.46	36.3	25.73	1.23	9.75	27.82	0.0	0.12	1.92	0.67	40.95	0.2	3.02	0.0	16.55	0.0	1.92	4.38	1.29	17.54	0.0	0.0	32.21	0.0	0.0	0.18	17.04	3.93	0.0	0.08	0.0	0.2	0.0	0.4	0.0	0.0	0.0	0.0	0.0	407.99	0.21	0.23	0.0	0.0	0.18	14.85	6.4	0.0	40.3	8.89	6.08	0.06	0.1	8.69	43.47	0.0	6.96	117.59	113.13	118.71
Bri3	0.79	8.48	0.3	0.0	0.0	0.0	0.0	0.57	0.0	4.21	0.0	1.82	0.0	0.0	23.07	22.53	0.53	31.22	0.0	0.0	0.0	0.0	0.0	21.83	23.32	0.0	0.21	0.0	0.38	0.0	0.0	19.21	2.39	0.0	4.52	0.37	0.79	0.0	2.44	14.19	1.87	0.0	2.05	0.0	1.49	32.34	0.0	33.55	0.0	0.0	4.14	2.54	0.0	2.14	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.28	0.0	0.0	75.28	12.19	4.93	2.14	0.38	0.58	2.69	0.0	12.95	41.39	53.52	47.46
Ccdc53	0.0	0.0	58.86	0.0	0.0	0.0	563.23	0.0	0.0	55.5	0.0	116.83	0.0	0.0	0.0	0.0	37.79	119.43	0.0	0.0	0.0	0.0	0.49	0.0	0.09	51.38	0.0	58.63	71.0	0.13	0.0	0.0	24.04	24.53	22.81	65.96	0.0	0.0	107.39	130.42	0.0	52.92	0.0	51.39	0.0	83.28	0.0	0.0	57.18	70.72	44.22	19.35	3.53	4.99	42.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	45.46	54.74	80.06	42.0	262.41	17.12	0.0	51.85	89.07	133.28	109.26	0.0	33.67	21.27	21.78	19.87
Cd151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	35.02	0.0	11.89	52.55	0.0	38.34	0.0	0.0	0.0	31.99	21.97	7.66	6.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.66	0.0	0.0	0.0	0.0	0.0	100.96	77.38	4.96	51.93	41.58	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.67	0.0	0.0	122.74	0.0	0.0	32.07	0.0	0.0	0.0	0.0	5.5	26.45	26.04	27.15
