	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_10	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Acly	0.0	38.13	25.17	19.83	0.11	0.0	0.0	0.0	0.0	0.0	69.73	33.13	79.13	181.55	66.77	0.0	0.0	0.0	0.0	64.64	44.55	70.68	29.77	14.76	18.35	26.81	18.74	40.62	59.26	18.6	86.71	66.02	34.66	51.5	117.22	40.46	26.61	24.5	63.76	43.1	53.2	99.03	35.15	58.59	12.69	0.0	36.45	40.69	35.61	56.1	59.58	32.31	24.55	0.0	0.0	0.0	0.0	0.27	0.15	0.0	0.26	35.61	76.08	57.0	0.0	60.17	65.36	113.76	55.11	27.71	77.32
Anapc16	1.2	55.28	48.45	64.47	0.45	0.0	0.0	0.0	0.0	0.0	34.32	68.72	154.91	96.49	55.12	0.25	0.83	0.0	0.0	85.89	27.83	133.45	86.13	0.13	103.44	62.35	24.22	30.51	27.53	70.63	28.43	38.25	42.23	72.06	0.49	85.45	80.18	193.8	108.31	68.65	0.0	7.21	22.76	81.0	39.67	46.97	48.35	65.65	49.67	68.29	84.33	0.0	12.85	0.0	2.29	0.0	0.0	0.0	1.51	0.0	0.89	46.77	86.79	174.15	19.58	0.34	102.35	47.13	0.0	59.85	75.9
Atp6v1g2	0.0	375.34	796.26	861.34	0.0	0.0	0.0	1.38	0.32	0.82	1516.8	1931.95	891.59	1222.79	858.49	0.0	0.0	0.0	0.0	1810.69	699.99	872.01	438.98	936.69	488.63	544.36	719.53	444.73	690.47	680.61	1150.12	588.54	640.91	1119.97	785.69	580.58	504.27	269.93	1366.87	490.25	482.35	363.7	291.95	1606.39	387.5	530.95	358.83	859.46	389.37	416.07	808.66	700.92	725.31	0.0	19.74	0.0	0.46	0.0	1.35	0.0	0.0	1191.24	631.48	845.32	724.23	715.81	712.51	1261.72	1315.11	1504.03	1520.05
Camk2b	0.0	48.2	7.72	60.25	0.0	0.0	0.0	0.17	0.0	0.0	18.69	169.23	109.33	73.92	80.67	0.0	0.0	0.0	0.0	141.48	61.25	8.38	11.14	13.63	5.33	74.42	38.25	18.98	17.41	40.11	2.33	68.66	25.39	41.51	7.63	25.05	5.29	25.65	28.08	43.27	14.51	1.02	7.47	122.87	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	0.0	0.63	0.0	0.0	0.0	4.48	0.0	0.0	3.38	9.98	31.18	50.98	35.41	41.81	12.73	48.42	8.19	37.03
Ccl27b	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	17.1	0.0	0.0	0.0	0.0	3.39	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	3.13	4.62	1.88	0.0
Clstn3	0.12	69.51	167.31	137.48	0.0	0.0	0.0	0.17	0.0	0.0	350.63	442.88	295.75	74.12	209.35	0.0	0.0	0.0	0.0	261.11	235.63	160.64	30.92	102.44	161.95	162.8	159.76	65.22	127.47	170.97	161.06	178.13	248.96	195.67	362.0	227.29	83.95	141.0	437.01	309.29	169.52	201.46	8.57	438.12	0.04	188.92	137.72	33.34	98.78	171.38	76.33	242.26	96.81	0.0	0.0	0.0	0.34	0.0	77.46	0.0	0.0	162.25	54.39	26.55	103.99	27.17	138.06	178.45	261.43	193.47	410.15
Gad2	1.54	320.61	411.41	371.93	0.35	1.13	0.0	4.66	0.27	4.68	462.02	762.48	1445.41	899.36	1076.3	1.65	0.16	0.34	0.34	687.57	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	804.54	283.25	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	1.8	2.71	6.03	0.66	0.46	0.96	0.0	4.91	388.23	245.39	315.14	194.46	230.51	290.56	584.8	458.95	429.79	722.66
Gm13306	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	17.1	0.0	0.0	0.0	0.0	3.39	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	3.13	4.62	1.88	0.0
Gm14430	0.0	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	23.07	13.78	0.0	0.0	0.12	0.03	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.12	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.67	0.41	0.0	2.39	0.82	0.0	4.29	0.72	0.0	2.42	18.35	8.42	24.16
Gm14434	0.0	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	23.07	13.78	0.0	0.0	0.12	0.03	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.12	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.67	0.41	0.0	2.39	0.82	0.0	4.29	0.72	0.0	2.42	18.35	8.42	24.16
