	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_111	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_34	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_21	Rbp4_tdTpositive_cell_36	Rbp4_tdTpositive_cell_39	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_45	Rbp4_tdTpositive_cell_52	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_109	Rbp4_tdTpositive_cell_110	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_128	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_131	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_179	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_188	Rorb_tdTpositive_cell_51	Scnn1a.Tg2_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_31	Sst_tdTpositive_cell_107	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_2	CAV_LP_Ipsi_tdTpos_cell_3	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A830010M20Rik	99.98	129.47	27.74	39.87	59.56	208.75	119.77	117.59	9.57	0.0	197.75	23.4	91.54	133.5	163.56	0.15	87.09	88.49	58.18	89.54	65.35	210.2	126.34	142.27	57.13	47.39	186.28	76.15	110.19	118.59	3.82	87.04	43.53	69.65	23.62	85.44	35.13	102.94	37.92	35.08	53.68	136.15	77.5	91.41	152.47	143.38	0.23	52.04	74.18	44.54	121.87	60.96	37.62	52.65	130.23	4.58	98.34	113.41	60.6	54.98	17.12	25.62	57.88	83.01	18.03	92.38	12.82	406.65	114.44	33.34	61.24	152.14	101.0	91.61	114.59	92.35	95.69	45.37	55.31	71.69	98.61	179.28	106.97	100.03	42.33	92.7	178.52	147.11	114.53	112.22	81.61	79.22	62.81	67.19	7.13	69.42	66.44	60.63	61.97
Abca2	0.07	0.0	0.0	0.03	0.0	0.18	0.0	0.07	0.0	0.05	0.0	0.0	8.34	10.98	9.78	0.0	0.0	0.0	0.0	0.0	0.0	17.55	0.0	0.03	0.0	26.82	2.92	0.71	0.0	0.15	0.0	3.83	14.58	0.0	1.33	0.0	28.48	0.0	3.31	19.18	2.19	7.62	0.0	0.13	38.11	21.99	18.01	4.96	14.24	0.0	0.04	18.33	25.54	6.97	0.0	0.21	0.91	0.31	5.48	0.46	0.35	1.74	11.14	49.1	0.0	0.0	1.52	52.82	0.0	0.0	14.72	9.25	8.55	5.12	6.46	5.85	9.09	0.08	11.16	11.79	0.25	0.0	28.24	7.78	16.16	9.25	0.0	3.49	3.29	0.04	0.05	0.07	25.58	19.09	0.05	6.4	101.21	104.3	111.02
Ankrd34a	0.0	0.0	0.0	0.0	0.0	30.42	39.79	9.4	0.2	0.0	0.13	0.0	36.15	100.5	0.0	0.0	0.0	100.99	0.13	49.26	0.0	0.06	62.57	0.0	0.0	0.0	92.97	23.85	91.66	0.0	0.0	8.35	0.14	0.13	8.18	0.0	0.63	12.59	0.0	17.13	0.0	0.0	0.0	0.13	49.78	32.61	0.0	28.61	0.0	0.13	25.45	0.0	0.0	19.35	0.0	14.94	69.48	0.52	29.71	0.32	0.17	0.0	18.16	37.28	0.0	0.0	0.06	144.98	0.0	21.41	0.0	0.33	2.79	13.54	3.93	5.6	5.78	0.0	32.62	8.38	0.0	0.0	0.0	0.0	0.0	1.01	26.64	0.0	0.0	26.61	0.0	0.0	0.0	0.72	0.0	15.82	57.01	57.85	56.25
Bcl2l2	0.0	0.76	0.1	21.66	0.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0	19.21	0.04	67.71	0.0	3.28	0.0	0.0	3.38	0.0	0.23	0.0	0.0	12.8	40.19	2.16	1.48	0.0	86.42	0.0	0.0	3.62	0.0	1.54	0.0	0.0	1.2	29.63	13.0	0.0	2.01	0.0	0.0	1.31	23.74	0.98	2.44	41.69	8.04	41.51	9.8	7.66	2.61	0.47	0.33	64.03	0.47	13.35	0.0	4.54	0.0	4.81	0.0	0.0	0.0	4.61	115.6	0.0	0.0	2.13	25.59	18.89	0.58	15.27	9.01	7.39	1.11	3.53	31.12	4.45	21.34	1.29	0.0	0.0	0.0	0.0	73.19	1.67	77.6	0.0	1.05	5.87	7.26	0.11	36.94	106.04	105.91	103.99
Cadm2	50.05	53.1	13.64	51.88	0.41	90.17	64.99	76.85	60.29	0.16	4.06	68.88	120.59	84.95	46.34	0.17	29.54	60.27	0.28	92.8	7.22	6.88	21.54	23.33	0.05	26.95	84.12	3.85	16.66	15.08	29.29	37.85	13.18	76.71	57.04	2.2	36.4	2.12	7.41	28.29	29.86	16.28	10.91	65.93	66.15	18.29	32.49	11.34	6.06	2.37	72.02	67.76	60.96	58.0	80.75	68.51	86.61	23.59	63.79	53.8	55.15	34.79	27.04	52.75	68.37	68.71	0.15	301.78	134.13	30.5	28.12	53.0	56.5	46.52	54.68	35.36	37.39	14.6	2.18	44.16	16.47	28.68	17.77	3.07	23.47	14.04	36.01	61.61	11.18	36.38	0.09	63.82	40.15	34.73	18.56	18.64	83.14	65.9	81.87
Calm2	20249.89	15482.31	10880.38	18003.48	17688.69	19533.68	15197.49	14911.88	14201.56	9438.79	17934.64	14936.35	14532.44	14936.24	15577.56	10185.42	14560.37	24749.41	13802.61	16961.32	21064.56	14459.41	14076.58	19971.06	20654.99	16501.66	16455.41	12652.74	15401.69	19103.2	15356.73	14376.72	13221.09	14376.33	12904.6	14763.39	13956.46	15291.54	15244.76	12719.54	15032.95	17206.61	18789.68	13105.71	13579.23	15208.85	13708.59	12335.43	15901.74	14181.52	13221.52	14009.89	18653.08	18187.15	17099.59	18504.84	15222.86	19736.86	15330.41	13771.67	14843.49	13206.49	13750.77	14956.85	9633.09	12794.02	17522.3	11714.5	19276.37	12247.5	17350.63	17363.25	16198.04	18644.66	18004.95	16099.57	15686.41	15882.13	13772.36	13762.13	13013.99	18281.5	13009.94	15494.93	13415.77	14801.3	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	14895.91	23557.63	18704.89	2887.42	2886.9	2667.18
Camk1	5.78	11.28	0.0	17.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56	47.43	5.5	21.2	0.0	0.0	6.79	0.0	3.94	1.45	0.22	0.96	0.0	0.0	0.0	44.34	0.0	84.52	17.1	0.0	27.61	0.0	0.0	0.0	0.0	73.18	0.0	7.56	0.0	0.0	0.0	0.0	0.0	16.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	22.09	1.62	23.8	0.2	0.0	18.93	7.85	0.15	0.0	25.08	0.0	0.0	0.0	0.16	515.88	0.0	0.0	0.0	33.76	7.26	2.25	10.19	4.5	10.13	2.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	13.67	8.76	0.0	0.0	83.62	90.44	84.66
Camta1	110.74	22.36	76.32	28.41	0.0	29.82	41.13	44.19	32.96	0.05	0.93	40.33	34.18	57.82	14.86	0.04	5.14	0.0	0.0	40.98	20.3	33.73	22.65	56.64	47.45	0.03	61.41	12.78	55.77	138.09	33.51	35.65	12.08	59.42	42.41	68.89	157.25	6.04	64.87	22.38	45.6	15.89	49.01	29.29	140.49	49.39	21.0	44.07	14.4	1.09	17.4	23.63	29.9	48.97	36.02	4.85	37.77	72.02	63.02	20.59	12.99	48.77	39.74	64.31	32.39	14.03	8.69	238.69	0.28	17.07	55.25	25.16	30.96	44.69	62.12	38.31	40.41	33.05	28.13	51.8	25.62	16.41	38.49	46.33	16.86	40.19	0.07	131.47	2.58	33.76	13.77	11.93	7.87	58.97	67.03	66.05	87.9	82.51	86.09
Cdk19	0.0	1.66	27.25	0.0	0.0	1.32	16.01	4.34	0.0	0.0	0.06	0.0	8.22	101.19	19.18	0.0	0.0	33.82	0.18	18.91	0.41	0.03	2.19	0.0	30.97	0.05	46.56	1.31	49.7	0.03	1.5	2.39	0.19	0.0	12.47	0.0	39.28	0.0	0.05	0.0	54.73	11.95	0.0	0.0	1.37	0.0	54.32	26.02	42.35	46.17	0.3	10.45	0.0	13.64	0.0	24.53	26.96	43.92	0.0	0.4	0.15	5.87	0.0	0.0	1.3	0.0	0.72	56.41	2.1	0.0	0.0	8.22	4.29	10.87	17.36	13.91	10.47	0.0	0.0	0.0	0.0	2.06	35.23	0.0	0.16	1.61	7.44	0.0	0.0	6.3	60.43	2.33	0.0	0.08	0.0	0.04	50.67	49.47	49.35
Crtc1	5.53	18.97	0.0	0.04	0.0	0.13	0.09	2.79	0.0	0.14	0.0	0.0	18.66	0.03	44.36	0.0	0.06	3.21	0.0	25.98	3.09	0.03	0.15	0.0	17.06	20.66	2.39	7.87	30.11	136.55	35.12	26.24	0.19	0.0	0.0	0.0	0.74	54.24	0.0	0.08	18.75	25.0	1.2	1.33	0.0	30.31	6.39	0.0	0.0	12.3	0.0	1.0	1.7	4.88	0.0	12.17	0.12	0.16	3.82	33.46	1.65	1.07	0.02	0.08	0.0	0.0	0.0	84.47	35.21	0.28	10.4	9.67	10.45	8.51	1.98	5.82	4.54	2.7	0.0	3.49	3.76	0.0	0.06	29.21	14.99	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.65	0.0	15.34	88.78	88.79	94.03
