	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_71	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_79	Gad2_tdTpositive_cell_80	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_3	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_26	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_69
1600010M07Rik	0.27	0.0	0.0	0.0	1.28	0.0	0.0	0.0	1.56	0.0	0.0	9.87	0.0	0.0	0.0	0.0	1.01	8.4	0.89	0.0	0.0	0.0	1.26	0.0	4.19	30.03	0.0	0.0	3.41	0.0	0.0	0.0	0.74	0.0	2.66	0.0	32.79	1.69	13.61	0.0	32.75	35.04	15.07	0.0	0.0	0.0	0.74	0.0	11.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55	0.0
5730469M10Rik	0.21	184.76	468.9	213.2	0.99	0.0	0.0	0.24	2.68	260.64	508.4	0.0	48.77	0.31	0.61	59.14	0.0	0.0	8.4	12.06	291.36	144.78	89.2	123.82	73.87	0.55	25.27	0.0	111.4	57.84	197.0	0.72	3.36	0.38	0.12	1.28	1.45	18.98	0.0	241.83	0.0	705.63	267.02	0.0	0.0	254.18	201.72	0.0	0.0	0.23	0.25	0.0	1.36	0.0	0.6	0.0	0.52	0.0	0.0	0.71	0.83	124.33	0.7	0.63
Agtpbp1	114.08	25.2	121.6	12.53	0.0	138.92	0.0	0.0	7.67	182.59	0.0	26.15	21.86	0.0	0.0	1.45	130.06	0.0	59.77	0.0	0.0	29.14	2.05	0.0	14.71	3.9	34.97	13.43	96.69	22.86	202.4	3.88	12.6	0.13	0.0	15.09	0.0	53.88	0.43	0.0	0.0	69.71	8.08	0.0	0.0	0.42	13.71	0.0	12.01	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.77	0.0	0.1
Ank3	167.36	6.97	174.61	224.4	86.13	26.66	85.04	160.7	3.4	111.51	51.06	221.68	79.2	0.0	90.82	68.15	193.77	99.95	137.51	216.9	185.73	98.48	243.26	97.27	247.6	178.45	156.31	135.08	80.68	37.78	74.08	269.5	60.86	6.95	172.6	208.22	558.93	179.37	116.11	184.56	11.62	167.68	168.51	0.03	0.0	268.13	238.29	0.0	53.08	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.0	82.13	249.07	15.21
Ankrd12	8.09	28.56	41.51	85.03	0.08	20.33	86.15	0.0	0.0	81.44	0.14	4.73	89.25	0.0	38.1	120.69	71.62	36.92	27.49	38.0	34.3	69.37	13.45	56.98	2.53	14.46	15.49	46.41	120.71	16.4	107.5	18.83	148.93	5.84	14.0	18.5	39.33	43.77	56.42	27.27	59.66	31.22	105.87	30.88	0.0	81.75	34.66	0.0	0.7	0.0	0.0	0.0	0.04	0.0	0.0	4.6	0.0	0.0	0.0	0.0	0.28	0.09	16.96	122.77
Arf3	136.71	5.56	45.02	33.68	8.91	99.33	19.61	160.28	168.81	42.82	249.22	72.47	9.89	5.24	255.91	2.89	94.4	121.47	378.44	73.28	11.15	82.46	18.37	5.5	186.42	24.43	127.88	19.02	214.8	116.48	234.32	177.47	39.67	6.92	14.48	180.98	151.54	167.45	113.17	496.03	105.79	212.72	190.59	0.0	4.46	87.26	103.02	5.89	91.73	20.14	2.09	4.32	6.01	3.62	31.96	1.97	0.09	5.9	12.71	20.03	1.79	11.3	205.64	58.47
Atxn10	568.86	381.3	135.06	430.13	465.47	370.57	306.93	323.98	500.66	310.79	440.1	696.65	379.55	0.0	28.63	189.87	148.61	480.61	213.13	676.31	241.39	451.2	192.86	0.0	559.78	558.96	447.1	203.09	363.46	351.76	461.22	148.39	216.57	28.75	294.49	9.68	25.59	450.76	0.0	298.69	609.72	580.07	545.88	0.0	0.0	927.07	421.84	0.0	0.15	0.0	0.0	0.0	394.52	0.0	0.0	0.0	0.0	0.0	0.26	0.0	35.53	21.7	151.42	4.61
Celf4	148.64	10.65	69.97	207.66	10.42	96.64	26.42	37.98	123.47	124.16	85.94	1.96	64.85	1.42	63.53	109.49	13.46	233.55	4.59	38.28	392.94	151.22	120.1	245.67	49.54	83.07	275.24	54.97	99.2	83.32	17.8	53.48	3.46	14.19	75.89	61.62	59.13	124.15	25.3	195.91	280.92	145.25	95.5	0.14	2.75	83.58	44.69	7.78	14.51	25.88	0.95	0.67	3.47	1.46	2.28	0.0	0.0	0.0	18.79	1.11	11.45	197.34	10.32	2.59
Clstn3	779.89	596.65	179.32	271.75	55.81	158.86	16.48	440.18	63.81	348.82	553.78	671.32	542.67	0.0	156.79	366.42	48.83	613.51	218.5	411.48	211.34	83.15	561.24	493.6	86.63	280.87	464.88	211.14	311.86	208.53	34.71	391.08	150.76	483.65	34.6	616.2	298.71	109.51	95.97	386.45	477.8	369.86	444.18	0.0	0.0	51.0	386.92	0.0	283.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.83	267.45	0.11
Csde1	904.44	855.56	941.98	592.6	515.43	687.61	731.45	1207.62	711.67	369.43	643.6	973.21	1156.04	22.58	1331.15	917.69	143.93	1958.71	12.66	6.84	283.84	931.64	1162.73	1015.05	1550.13	846.52	998.48	768.65	1258.85	381.92	632.15	349.83	1305.84	1068.66	102.01	952.06	402.79	1000.97	192.32	1034.25	825.13	577.67	1647.28	0.2	324.54	627.5	1013.71	479.31	754.95	416.32	10.14	110.29	400.8	0.0	724.18	4.7	0.0	28.81	510.49	1043.66	7.34	912.47	492.73	206.17
