	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
6430548M08Rik	48.17	83.04	16.93	21.78	24.6	0.09	0.0	0.0	0.0	41.82	216.64	45.16	65.66	138.95	103.13	122.56	42.25	181.89	9.4	68.64	74.98	40.06	59.46	0.0	0.0	0.0	63.32	0.03	0.07	45.11	0.26	10.2	36.41	24.71	32.22	1.44	15.96	0.2	23.09	2.7	16.28	34.92	0.77	1.11	9.59	4.14	83.95	0.05	12.97	0.3	14.54	69.81	51.44	0.05	23.7	5.13	23.92	12.76	25.06	3.69	3.75	0.0	47.52	73.1	0.04	0.0	0.0	235.91	0.0	0.0	20.63	7.23	0.04	37.59	39.74	0.94	0.77	5.04	34.63	97.34	31.66	58.43	0.16	33.88	18.76	138.81	137.15	144.03
Abhd16a	54.45	0.0	0.0	58.21	0.39	16.68	0.0	6.21	0.0	0.0	11.84	0.1	44.49	167.07	0.53	2.7	3.64	0.0	4.09	111.66	18.26	84.56	2.58	0.0	0.0	0.0	0.0	43.18	35.78	3.12	0.0	0.17	0.14	50.07	0.0	0.0	52.25	34.59	76.64	22.26	0.0	146.7	69.13	58.52	0.0	101.47	0.13	0.0	64.95	0.0	0.0	0.0	0.0	12.42	52.9	0.14	44.26	24.83	74.93	76.94	0.51	0.0	83.46	202.81	0.0	0.18	0.0	208.57	0.0	0.0	0.0	0.0	68.48	0.18	20.52	53.86	45.46	0.24	49.87	0.48	0.2	71.83	6.93	37.82	0.0	88.09	98.64	86.21
Apba1	10.58	10.02	11.35	7.24	0.0	3.24	0.0	0.0	0.0	0.09	10.94	0.59	39.06	56.95	39.67	1.16	0.0	1.96	0.0	17.54	20.77	6.4	4.5	0.0	0.0	0.0	0.06	0.07	0.16	13.84	4.92	28.14	2.68	15.51	0.48	8.22	10.94	0.82	5.02	1.45	14.1	7.54	6.48	8.04	6.59	0.63	0.96	2.47	1.1	0.04	4.83	0.13	0.0	9.79	13.2	0.8	18.66	1.72	0.0	0.0	0.04	0.0	0.0	30.59	0.0	0.0	0.0	19.46	0.0	0.0	3.54	0.15	0.0	0.0	1.15	10.02	23.57	2.87	7.44	0.0	15.43	30.99	0.32	0.0	0.42	76.46	78.19	83.66
Arf5	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	6.6	0.0	0.63	229.12	249.01	125.21	0.0	0.0	80.56	0.0	17.21	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	86.11	0.0	0.0	0.83	0.0	1.73	0.0	0.0	5.47	0.23	0.0	0.0	0.0	10.73	0.0	20.26	0.0	29.18	1.3	0.0	0.0	25.98	67.3	0.0	0.0	0.0	58.22	0.0	0.0	1.92	0.0	1.02	0.38	1.19	19.66	0.0	4.71	0.0	0.0	0.0	3.64	12.58	68.17	0.1	212.82	242.07	231.34
Atp1a3	366.16	455.76	717.46	517.3	160.52	223.53	0.0	0.0	0.12	190.15	523.51	292.03	1308.59	746.57	373.62	397.81	513.01	678.24	395.72	440.72	423.72	147.33	239.05	0.0	0.0	0.0	318.33	156.09	226.34	286.6	265.8	263.32	239.7	311.99	160.81	252.13	322.56	344.11	358.79	374.74	279.42	298.17	387.02	349.38	126.28	238.48	218.19	248.26	335.86	201.95	337.68	230.75	83.59	272.65	310.38	212.08	248.82	134.54	326.61	99.63	250.32	0.0	475.86	510.97	0.0	0.18	0.16	466.33	0.0	0.0	245.85	363.49	247.83	196.96	337.67	513.59	431.85	404.06	370.84	422.74	335.77	154.68	271.27	327.44	160.6	1301.98	1411.72	1359.05
Atp1b1	460.32	720.38	515.35	401.56	387.25	307.14	0.0	0.0	0.19	531.99	287.43	432.17	1232.5	1135.24	854.64	425.41	850.37	739.5	417.4	745.38	419.28	255.24	481.35	0.0	0.0	0.0	304.96	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	247.69	139.05	232.31	418.76	952.89	524.54	244.76	352.98	298.32	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	367.15	231.1	0.0	861.25	721.02	0.0	0.44	0.0	956.5	0.0	0.0	351.47	652.86	221.22	453.56	632.47	305.28	547.17	389.51	288.3	429.55	1041.99	428.03	230.53	399.91	251.06	1639.11	1708.86	1616.5
Atpaf1	0.83	0.0	0.0	39.8	0.0	0.0	0.0	0.0	0.2	1.53	0.0	0.0	104.78	50.57	39.07	0.0	14.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.77	3.87	0.0	0.0	0.0	13.33	0.0	0.0	6.98	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.02	2.77	0.0	0.0	0.0	0.0	0.0	0.0	42.38	0.0	0.0	0.12	23.77	0.0	0.0	0.0	0.19	204.89	0.0	0.0	0.0	170.55	0.0	0.0	0.12	0.0	0.0	0.29	44.62	2.53	0.0	0.0	0.0	11.86	0.0	0.0	0.0	0.0	0.04	52.25	52.94	48.11
Cby1	43.68	132.47	0.0	53.61	32.87	0.0	0.0	0.0	0.0	95.0	6.23	121.52	224.62	268.66	123.85	7.2	76.56	0.0	0.0	17.85	170.87	0.0	0.0	0.3	0.0	0.0	104.01	0.0	55.12	0.0	138.35	38.02	74.21	41.53	0.0	36.92	53.45	10.42	0.0	0.37	71.84	48.51	58.39	58.67	83.73	0.0	135.28	0.0	87.27	0.0	0.0	180.01	123.26	0.0	44.64	52.29	0.0	4.54	4.49	87.58	28.01	0.0	281.35	130.66	0.23	0.0	0.0	20.6	0.0	0.0	0.0	120.98	51.29	68.48	90.57	62.98	0.49	265.56	74.0	101.04	82.16	52.44	54.38	0.0	110.65	58.53	62.12	55.05
Chchd10	31.66	14.52	2.67	0.0	30.7	1.75	0.0	0.0	0.0	0.32	0.27	0.98	138.79	92.06	0.0	0.0	5.0	6.88	0.0	6.09	20.48	37.91	0.0	0.0	0.0	0.0	0.9	0.0	3.6	14.3	2.47	8.22	7.16	28.23	19.62	11.92	0.0	10.6	0.0	4.01	12.28	1.74	0.24	20.12	6.56	0.33	1.42	1.29	11.72	8.18	0.23	3.43	0.0	0.0	0.0	0.92	0.32	4.02	15.91	2.3	1.9	0.0	0.0	183.64	0.0	0.0	0.0	346.78	0.0	0.0	5.36	0.0	1.76	0.0	23.61	0.0	0.0	6.69	6.82	5.12	0.0	0.0	4.67	0.0	14.98	219.56	249.09	250.7
Cyc1	68.92	31.65	1.25	94.27	219.14	34.81	0.0	0.0	0.0	0.51	0.21	12.81	286.16	141.53	133.36	81.78	37.0	80.42	0.0	46.16	42.12	0.0	4.96	0.0	0.0	0.0	115.51	0.0	34.13	78.04	54.35	19.77	0.11	29.06	107.23	53.18	0.53	76.42	1.34	0.7	5.72	23.2	7.23	9.93	36.67	0.52	123.95	0.5	0.0	2.89	49.32	2.93	0.0	56.86	0.18	0.0	2.27	31.58	37.92	15.6	4.89	0.0	15.2	170.34	0.0	0.29	0.0	186.88	0.0	0.0	51.12	35.42	0.0	61.93	59.21	17.42	72.24	95.19	7.24	85.14	0.34	7.26	61.26	3.4	2.66	244.01	261.44	263.44
