	Calb2_tdTpositive_cell_29	Chrna2_tdTpositive_cell_7	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Ndnf_tdTpositive_cell_15	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_14	Nkx2.1_tdTpositive_cell_21	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_15	Ntsr1_tdTnegative_cell_44	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_60	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_73	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_64	CAV_LP_Ipsi_tdTpos_cell_34
1110001A16Rik	0.0	0.0	0.0	0.0	80.69	165.0	59.38	130.33	81.44	0.0	0.0	139.47	0.0	157.95	149.07	0.0	128.43	0.0	163.92	238.35	39.92	35.05	0.0	236.51	0.0	65.99	55.75	51.78	0.0	39.4	131.21	140.71	146.44	162.75	56.52	228.47	78.67	179.03
2400001E08Rik	181.3	0.0	0.0	148.68	0.0	0.0	10.89	264.4	0.0	0.0	0.0	0.0	0.0	0.0	246.36	0.0	0.43	0.0	0.0	196.09	89.33	17.84	0.0	102.86	116.35	301.7	140.77	239.33	85.91	180.84	117.17	0.0	11.69	104.69	132.26	0.0	0.0	102.6
Atxn2	0.0	0.0	3.92	0.0	0.0	0.0	6.95	18.58	0.0	0.0	0.0	0.09	0.09	0.0	5.23	4.59	23.49	0.0	0.0	138.01	32.96	33.04	0.0	81.64	24.88	0.0	0.08	86.94	2.37	7.12	10.7	1.66	0.0	13.58	0.04	0.11	0.34	21.97
B230217C12Rik	27.1	457.18	365.59	208.16	26.58	374.62	42.23	209.11	512.7	137.75	178.0	0.69	7.31	64.94	244.48	0.0	460.83	0.0	445.42	402.78	242.87	236.44	0.0	548.69	96.84	263.27	84.53	124.57	45.33	214.68	143.9	0.0	28.74	307.4	521.12	211.83	376.43	0.3
BC057079	0.0	2.45	0.13	0.0	0.0	0.0	0.0	1.2	151.36	0.0	0.0	0.0	0.0	0.08	0.0	0.0	19.73	0.0	0.39	92.02	61.66	44.4	0.0	32.47	1.26	0.24	4.34	0.73	1.34	0.63	60.51	0.53	0.0	1.15	77.13	0.0	4.87	1.56
Brd2	0.0	0.0	0.0	0.0	0.0	3.27	0.0	112.76	0.0	0.0	0.0	0.0	0.1	0.0	1.12	4.89	31.33	0.0	55.64	3.42	0.0	0.2	0.0	69.89	1.2	1.04	5.42	11.0	17.76	0.0	0.48	0.0	0.0	0.14	0.04	0.0	0.12	16.52
Cab39	2.28	2.05	2.31	11.64	0.37	46.2	0.0	102.86	0.0	8.97	99.6	0.94	0.0	0.0	0.0	16.08	116.47	0.0	159.37	71.45	0.59	54.51	0.0	159.07	1.85	10.84	88.04	26.26	116.73	39.91	54.47	3.43	0.5	4.97	93.13	19.84	4.49	76.06
Cdk5rap1	0.0	0.0	0.0	93.64	0.0	0.0	0.0	42.07	0.0	0.0	0.0	22.86	0.0	0.0	69.41	0.0	0.0	0.0	1.17	143.66	0.0	55.6	0.0	165.06	0.0	0.0	0.0	123.75	28.67	0.0	5.33	0.0	0.0	0.31	0.0	0.25	0.0	0.0
Fam73a	0.0	0.0	0.0	0.0	0.0	62.4	0.13	49.66	173.64	0.0	0.01	5.23	0.0	0.0	0.0	0.05	46.14	0.0	52.49	87.91	0.0	8.35	0.0	68.48	53.84	2.41	17.42	0.0	0.0	0.0	0.33	2.99	14.14	56.86	3.51	66.91	0.0	28.02
Fam92a	0.0	0.0	0.0	0.0	0.27	127.66	64.04	43.66	0.0	0.3	0.0	0.31	0.0	0.0	0.0	0.0	0.0	14.71	50.82	242.81	0.0	37.05	0.0	128.59	0.0	37.39	8.17	0.0	0.0	87.59	7.77	2.41	0.0	0.0	0.27	0.0	2.34	77.17
