	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110018G07Rik	2.8	6.61	1.6	45.88	0.0	0.0	0.0	0.0	211.98	0.17	70.21	10.86	17.47	0.09	181.33	0.82	29.17	75.96	59.2	2.11	1.86	0.04	0.0	0.0	0.07	0.0	0.0	18.65	17.44	11.24	0.23	1.73	0.0	3.94	0.44	25.16	40.82	1.2	32.92	27.44	31.0	15.22	0.04	17.93	39.42	121.32	33.81	9.37	99.02	28.05	0.47	9.52	0.0	78.65	8.44	41.85	0.0	26.47	0.0	12.66	42.23	0.0	28.08	0.0	0.0	11.2	67.06	0.0	6.36	0.71	0.0	0.8	61.06	0.0	0.0	13.44	1.83	19.61	0.13	81.89	80.63	78.69
1110037F02Rik	0.0	0.0	0.0	5.9	0.0	0.0	0.0	4.95	77.61	0.84	25.04	24.16	38.83	1.14	18.75	1.87	0.0	0.0	18.26	1.61	0.0	10.5	0.0	0.0	0.34	1.04	0.0	0.09	21.33	0.0	30.31	0.0	1.63	0.0	0.02	12.31	8.86	4.93	0.0	7.14	0.29	3.6	0.06	1.13	0.38	0.0	8.02	0.0	0.0	13.72	13.2	30.36	0.0	1.14	0.0	5.3	1.71	0.0	5.39	0.0	8.96	3.64	8.86	0.0	0.0	7.04	9.74	0.0	23.59	0.7	0.0	33.95	17.68	4.48	11.14	11.77	0.21	0.4	0.0	20.16	18.84	18.64
5330434G04Rik	27.17	40.7	19.27	29.38	0.0	0.0	0.0	9.45	133.45	25.65	67.19	21.77	112.74	79.18	217.83	8.26	3.56	84.66	1.4	70.9	14.75	0.45	0.0	0.0	87.98	0.0	0.73	0.43	52.55	9.09	8.86	63.82	9.06	47.61	5.77	11.85	68.27	39.46	14.41	81.01	3.31	5.4	2.8	43.69	1.0	6.37	1.12	0.76	6.0	56.23	1.77	10.17	2.46	13.1	31.71	47.95	9.03	0.48	11.47	11.14	24.01	57.63	4.1	0.0	56.6	29.7	0.0	0.0	11.99	8.12	0.0	43.22	101.55	4.98	99.12	26.77	8.29	10.38	17.59	3.57	2.26	3.68
5430417L22Rik	41.11	0.22	55.9	55.98	0.0	0.0	299.59	152.27	652.42	304.93	206.51	318.63	313.91	75.19	579.44	419.98	229.97	394.1	169.75	228.73	476.22	103.95	0.0	0.0	172.13	226.21	0.0	79.13	101.24	72.3	19.55	35.04	38.45	117.68	84.28	85.15	61.74	14.26	0.25	89.51	103.29	61.93	155.29	140.68	97.7	398.7	352.81	74.71	160.83	243.06	59.5	135.49	37.75	239.11	0.0	81.06	72.15	82.39	86.33	126.02	0.1	59.77	27.08	643.03	0.0	144.48	252.0	0.0	81.74	90.99	155.83	31.91	135.55	61.55	183.06	83.92	102.78	111.04	296.95	30.2	29.69	27.45
6430548G04	2.88	1.53	0.0	0.56	0.0	0.0	10.0	9.4	33.89	5.69	14.38	6.34	2.13	13.05	0.19	32.2	5.47	9.53	0.19	11.26	5.13	1.97	0.12	0.0	8.71	0.0	0.0	0.12	5.27	0.45	13.38	0.28	7.25	1.11	2.14	1.89	2.04	5.98	5.89	5.29	1.87	13.99	0.0	5.22	5.87	0.31	12.71	7.94	0.0	8.57	0.5	4.91	0.38	14.73	0.0	2.66	8.64	7.81	15.86	0.83	1.22	0.91	5.07	0.47	0.0	3.67	16.79	0.0	1.25	0.16	7.5	0.0	11.93	0.0	0.41	0.3	6.24	5.96	15.92	1.25	1.15	1.98
Adarb2	0.11	0.0	0.07	0.0	0.0	0.0	0.0	0.0	247.25	51.46	122.14	94.68	9.34	137.75	288.17	88.34	118.21	133.83	333.87	222.26	0.0	0.04	0.0	0.0	191.26	0.0	0.0	0.03	0.0	0.0	0.04	0.0	0.12	0.04	0.1	0.04	1.59	0.0	0.0	0.0	0.0	11.78	0.0	0.0	0.0	59.84	94.39	0.0	7.83	36.79	0.0	0.0	0.0	178.01	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.06	0.0	0.48	0.0	28.56	0.03	0.0	0.0	168.14	6.86	6.06	8.99
Anp32e	0.0	0.0	1.93	13.57	0.0	0.0	0.0	0.0	137.97	5.66	0.08	198.56	133.71	220.0	2.92	101.15	104.2	88.15	135.65	73.4	0.0	10.59	0.0	0.0	19.66	0.0	0.0	15.39	0.0	0.17	0.0	0.69	18.5	17.0	25.72	48.94	0.11	0.0	44.7	3.25	4.48	120.21	0.0	0.69	19.75	163.95	72.0	0.0	31.44	14.66	5.24	23.89	0.0	143.04	0.0	12.76	0.0	4.63	0.0	3.12	57.57	5.61	42.16	0.0	0.0	111.52	69.54	0.12	9.3	36.93	25.55	3.24	163.75	0.07	16.26	0.0	33.06	0.0	0.0	85.52	81.08	87.83
Apbb1	190.47	274.37	0.42	148.04	0.0	0.0	0.0	107.7	361.43	204.33	614.21	274.41	429.96	355.26	166.74	101.33	361.6	179.07	187.91	184.7	322.92	139.99	0.25	0.0	125.98	0.0	0.0	173.85	231.5	209.16	101.05	187.91	132.89	153.3	140.24	168.05	204.62	139.06	66.17	141.3	74.87	168.34	237.0	157.61	82.56	290.16	78.82	185.37	200.49	125.36	193.35	204.53	60.91	289.39	113.34	20.07	165.84	43.13	119.0	222.62	100.3	283.84	79.6	0.0	0.0	99.48	296.6	0.0	98.9	3.24	59.61	103.69	408.23	153.32	345.43	18.0	107.92	75.36	4.08	384.22	435.94	424.83
Atp1b1	460.32	401.56	519.01	307.14	0.0	49.05	107.84	531.99	287.43	432.17	744.56	1232.5	1135.24	854.64	425.41	1045.89	739.5	745.38	509.61	419.28	255.24	568.09	0.0	0.0	304.96	0.0	0.0	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	247.69	139.05	232.31	418.76	952.89	524.54	244.76	422.87	422.83	352.98	298.32	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	367.15	231.1	0.25	0.0	861.25	956.5	0.0	351.47	221.22	453.56	305.28	547.17	288.3	552.5	428.03	230.53	251.06	983.61	1639.11	1708.86	1616.5
Bbs1	2.57	5.01	1.46	2.22	0.07	0.06	0.31	3.0	17.77	23.09	16.73	5.85	34.82	53.72	4.9	6.29	14.88	5.6	8.86	8.35	3.99	3.56	1.26	0.73	9.65	0.0	13.83	1.53	1.72	2.58	2.35	1.39	3.96	0.77	4.27	1.97	3.22	1.13	3.78	2.77	2.08	3.27	2.99	2.02	3.45	14.31	6.91	2.07	2.81	2.25	2.43	4.26	3.85	3.29	4.92	2.21	2.38	3.36	4.91	3.96	1.93	2.79	1.37	6.17	1.12	17.75	15.62	2.0	1.74	2.75	2.03	2.99	8.34	2.36	34.29	2.35	2.03	1.62	4.95	25.47	26.95	26.59
