	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101
1110008P14Rik	27.17	21.37	37.93	155.02	0.0	0.0	108.36	45.81	57.91	195.09	0.0	102.68	89.63	0.0	0.0	0.0	0.0	66.28	108.38	135.46	42.01	0.0	148.81	1.0	105.52	24.03	7.08	87.26	29.75	0.0	151.5	33.13	83.02	19.32	176.68	51.2	44.94	58.52	33.79	30.21	40.52	0.0	0.0	144.05	49.41	83.51	0.95	151.0	0.77	0.38	23.4	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	74.39	0.55	207.43	0.0	75.05	47.78	87.95	2.19	63.4	37.36	89.59
Abat	88.13	78.25	129.34	95.05	0.0	0.0	200.81	70.91	114.13	202.48	210.94	228.64	138.47	0.0	0.0	0.0	0.0	166.47	135.78	52.78	139.92	84.32	69.1	113.86	82.26	76.73	58.57	161.04	117.12	108.26	68.59	30.07	90.26	80.19	114.47	42.95	118.02	196.96	85.08	126.94	185.24	45.51	132.63	255.0	132.75	164.11	158.99	220.2	135.2	134.29	68.91	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	84.33	75.14	1.65	87.42	10.51	101.64	81.07	65.6	27.18	94.2	88.67	101.88
Atp5d	170.72	206.76	74.33	318.23	0.0	0.0	182.99	72.16	289.99	156.62	55.28	47.01	97.62	0.0	0.0	0.0	0.0	128.64	78.52	36.33	106.35	54.97	84.52	50.22	27.41	179.77	162.54	100.35	119.95	140.23	233.89	28.41	160.03	134.41	94.81	266.39	85.93	69.17	85.45	34.17	0.96	55.65	97.56	93.66	106.85	46.72	57.66	70.22	3.0	100.14	70.3	2.28	0.0	0.0	0.0	0.0	0.67	3.11	0.0	0.0	0.0	0.0	278.83	31.04	1.89	107.29	42.76	91.27	116.19	100.32	3.0	58.26	64.86	192.36
BC031181	438.88	421.67	361.29	537.63	0.0	0.0	457.69	449.09	647.49	1341.61	895.8	745.86	896.11	942.73	1807.83	0.0	0.54	632.79	419.55	644.69	812.35	350.81	801.06	879.54	201.57	554.81	699.04	450.03	475.35	475.53	583.17	595.31	154.48	708.3	761.73	443.12	601.56	656.88	341.59	536.66	300.81	528.25	712.81	167.2	687.3	339.83	292.05	417.93	674.16	570.6	509.82	0.67	379.9	0.0	751.21	1.3	0.0	0.92	0.0	0.0	962.33	0.6	316.16	648.95	678.83	676.44	343.5	660.49	449.2	403.84	900.37	775.33	822.34	969.8
Cend1	165.04	471.13	324.55	468.72	0.0	0.0	187.47	291.03	549.06	448.67	0.0	492.23	176.86	0.0	0.0	0.0	0.0	428.08	399.04	234.06	195.6	284.03	442.82	208.67	218.78	523.52	340.49	423.24	321.65	467.44	311.35	784.92	311.29	319.14	332.65	266.07	276.76	543.5	249.68	211.88	70.18	218.88	253.29	271.71	261.2	296.62	311.57	173.14	622.58	375.43	197.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	479.59	407.04	101.86	116.68	304.67	523.72	370.39	404.92	167.32	251.37	575.3	397.18
Commd6	112.01	134.23	79.41	89.04	2.12	0.0	0.0	185.83	172.83	366.03	0.0	158.04	88.62	0.0	0.0	0.0	0.0	15.2	88.36	0.1	156.45	0.4	101.85	197.12	115.19	38.2	28.94	96.74	38.52	180.86	140.45	79.6	86.94	96.84	40.22	115.35	57.13	178.59	106.63	90.08	220.95	194.32	244.08	89.8	112.97	70.52	120.45	201.57	208.94	249.54	120.33	1.55	0.0	0.68	0.0	0.76	787.87	1.67	0.0	0.0	0.65	0.0	156.18	207.65	449.52	29.52	0.0	330.19	208.58	0.0	48.71	96.65	127.46	155.7
Cops3	193.6	171.11	264.2	163.27	0.0	0.0	283.48	185.97	168.87	115.2	31.35	209.69	243.2	0.0	0.0	0.0	0.0	370.9	427.47	349.13	348.52	202.57	257.96	245.12	378.65	408.27	295.67	339.76	230.05	236.04	325.58	142.25	254.28	130.15	106.77	357.33	315.68	155.05	111.66	148.04	217.44	133.27	342.19	278.1	189.61	241.49	206.72	352.27	66.92	302.7	336.87	0.0	28.33	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.68	73.06	84.45	365.98	228.57	532.34	365.83	148.15	124.04	287.7	379.92	358.6
Cox5b	517.94	463.93	507.18	834.29	0.0	335.54	785.28	285.04	1010.26	820.05	0.0	601.76	424.06	0.0	0.0	86.78	0.0	614.93	597.84	273.45	292.54	318.84	601.72	288.08	333.75	853.42	460.1	585.63	677.37	378.39	365.08	478.86	389.26	404.11	234.54	345.23	696.63	643.36	419.99	337.23	114.16	297.19	746.39	424.08	701.77	654.75	316.21	248.2	544.61	402.22	510.77	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	531.05	404.15	177.49	522.53	196.21	640.57	322.83	346.82	34.77	125.2	321.86	683.82
Cplx1	180.29	159.06	135.58	390.34	0.0	0.0	317.74	674.41	1254.39	618.86	0.0	276.14	294.63	0.0	0.0	0.0	0.0	179.52	409.76	137.06	171.93	3.2	204.33	273.87	88.46	238.23	348.56	330.12	154.42	289.0	434.04	640.98	366.28	274.48	458.65	306.16	141.07	494.25	82.14	373.77	343.06	135.92	10.24	118.17	245.09	258.26	197.24	343.19	276.82	224.35	235.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	377.92	160.94	119.07	143.97	98.61	412.15	457.62	0.44	169.2	128.26	257.95	368.03
Dlx1	55.14	23.95	12.56	85.66	0.0	0.0	86.58	17.05	1.43	50.36	0.0	138.02	35.09	0.0	0.0	0.0	0.0	8.94	7.83	0.0	13.7	52.66	0.21	69.1	16.67	15.64	0.11	0.0	33.71	30.99	4.02	9.0	0.92	26.82	0.0	0.0	42.06	13.04	13.35	14.11	3.88	41.91	112.41	35.29	25.36	24.04	0.0	10.73	21.21	0.17	22.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.02	47.02	31.54	43.4	25.31	0.0	55.96	0.0	38.41	29.01
