	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_10	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_48	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Scnn1a.Tg2_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
0610010B08Rik	0.28	7.28	4.3	10.76	23.68	1.89	0.05	3.11	0.0	0.0	0.0	0.0	23.23	15.45	2.47	110.82	0.07	10.9	21.51	32.19	17.53	19.85	11.48	16.69	0.21	0.66	0.0	0.1	0.0	5.79	0.0	0.0	5.85	6.18	4.8	13.31	0.23	5.13	0.4	0.86	0.7	15.56	35.14	0.14	55.2	4.22	2.36	18.04	0.12	0.31	0.39	9.57	0.52	0.1	9.87	5.22	10.31	20.52	9.87	0.09	1.73	4.67	3.8	19.45	0.91	2.43	0.19	13.76	0.0	0.0	0.0	7.03	0.0	1.99	2.59	4.25	11.01	15.08	2.13	23.23	7.46	0.56	2.96	11.21	27.59	7.02	20.13
AI593442	0.25	80.59	139.59	147.16	254.3	38.1	44.98	33.91	0.0	0.0	0.09	0.0	335.01	280.04	0.08	133.37	0.0	302.02	432.79	165.61	382.64	548.38	428.23	195.76	33.98	0.0	0.0	0.0	0.0	280.48	0.0	0.0	0.0	9.26	67.92	43.53	65.77	59.24	110.21	83.16	101.55	77.39	10.59	144.64	17.69	255.4	69.38	81.46	98.11	144.98	55.31	533.11	245.47	68.57	388.52	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	96.68	20.68	0.0	0.0	0.0	0.0	0.15	94.22	35.51	352.94	52.25	140.62	14.94	395.1	70.92	154.52	70.24	57.92	32.99	20.52	345.47
Atp6v1a	0.0	411.95	438.04	750.61	461.23	503.38	327.58	602.7	0.0	0.0	1.34	0.0	704.56	878.03	0.46	848.33	0.26	824.46	1211.47	1361.54	728.37	483.78	767.51	344.49	54.12	0.0	6.64	0.0	0.0	206.78	0.0	0.0	0.0	776.42	710.05	454.58	477.64	364.04	388.85	506.04	556.89	474.74	767.35	571.97	612.22	632.89	638.05	794.39	120.61	378.63	469.41	856.74	581.88	308.66	672.48	378.97	500.35	425.53	653.56	380.5	267.65	393.44	869.49	512.07	558.53	359.77	532.18	443.55	0.0	0.0	0.0	0.0	30.61	259.71	448.04	834.61	474.09	455.8	371.4	785.6	274.44	397.26	232.98	445.57	704.06	540.01	612.3
Chl1	0.14	53.65	134.53	326.25	129.74	60.54	21.49	10.35	0.0	0.0	0.06	0.0	188.29	170.71	70.58	31.06	0.0	139.17	32.77	886.04	208.12	101.65	134.67	103.0	0.91	0.0	0.0	0.13	0.0	102.46	0.0	0.12	0.16	77.2	22.14	98.29	36.01	20.01	26.82	48.62	53.77	93.55	4.14	42.29	41.66	113.88	122.68	105.6	23.31	25.94	25.39	47.78	84.62	20.83	135.06	81.75	68.99	26.44	107.15	57.56	31.55	81.95	94.66	8.82	143.73	96.88	71.25	53.19	0.0	0.0	0.0	0.11	0.11	87.99	352.6	323.42	38.1	129.92	33.61	451.08	93.88	236.34	14.95	63.5	181.65	13.55	53.0
Ctnnbl1	0.0	0.0	27.72	0.27	72.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.4	0.0	0.21	0.0	0.39	0.1	64.99	57.28	64.05	0.47	12.52	101.97	0.0	0.0	0.0	0.0	0.08	7.29	0.0	0.17	0.0	0.06	54.55	34.03	0.08	36.91	0.15	0.07	0.08	4.41	21.68	24.12	0.43	25.06	0.11	0.0	42.91	1.24	0.09	34.27	0.09	0.0	74.19	0.24	38.11	0.16	60.96	0.0	0.1	18.48	36.85	42.37	0.0	29.07	92.55	0.0	0.0	0.0	0.0	0.0	0.0	27.47	117.94	0.63	54.9	0.12	0.0	0.0	0.57	84.35	0.01	35.37	28.3	0.0	118.75
Dcaf13	0.0	140.67	158.18	130.22	116.29	65.92	0.0	121.03	0.0	0.0	0.0	0.0	245.51	10.67	0.0	0.0	0.0	0.0	42.57	2.45	155.47	78.21	204.65	0.0	0.0	0.0	0.0	0.0	0.0	4.84	0.0	0.0	0.0	10.11	114.73	65.97	0.0	25.24	42.14	69.91	7.61	0.0	49.29	69.28	105.19	1.07	0.0	0.0	1.71	0.0	0.0	32.38	340.91	0.19	205.67	0.21	54.78	0.0	0.0	0.0	105.45	59.19	228.32	0.0	33.4	50.0	182.32	49.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.21	66.31	0.45	56.12	185.22	0.0	0.0	53.33	65.77	95.39	67.18	6.99
Dnajc6	0.0	85.91	33.76	41.03	62.25	47.31	10.02	11.12	0.0	0.0	0.0	0.0	130.77	119.15	0.0	168.1	0.0	181.38	255.48	62.01	46.42	83.91	215.02	161.8	0.0	0.0	0.0	0.0	0.0	36.74	0.0	0.0	0.0	33.69	11.0	116.94	46.51	28.18	19.96	93.38	74.77	26.78	1.47	28.01	59.77	19.37	40.17	54.17	54.44	20.96	31.48	76.44	59.81	24.88	107.61	49.46	70.65	27.94	9.75	61.06	77.4	43.56	48.12	25.11	11.35	32.72	43.21	46.19	0.0	0.0	0.0	0.0	0.0	3.36	40.5	69.97	62.72	22.04	44.22	90.5	50.0	6.95	37.21	30.45	27.9	53.99	83.94
Gad2	1.4	320.61	342.51	434.48	311.06	411.41	18.33	371.93	0.35	1.33	1.11	0.62	462.02	762.48	5.67	1445.41	1.01	1286.54	985.01	582.58	1747.26	899.36	1076.3	998.58	265.39	1.65	0.16	0.34	0.75	687.57	0.0	0.48	1.86	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	804.54	1302.16	283.25	486.53	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.27	4.16	6.03	3.92	2.12	388.23	414.77	517.7	245.39	533.08	315.14	634.72	194.46	525.8	230.51	290.56	458.95	429.79	722.66
Gm14430	0.32	8.29	0.0	12.91	23.07	2.27	0.06	0.0	0.0	0.0	0.0	0.0	12.4	17.47	2.78	8.79	0.0	7.41	19.54	38.63	21.04	23.07	13.78	20.03	0.24	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	8.44	0.0	2.39	3.11	5.1	0.82	0.0	0.0	27.87	4.29	0.67	0.72	0.0	18.35	8.42	24.16
Gm14434	0.32	8.29	0.0	12.91	23.07	2.27	0.06	0.0	0.0	0.0	0.0	0.0	12.4	17.47	2.78	8.79	0.0	7.41	19.54	38.63	21.04	23.07	13.78	20.03	0.24	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	8.44	0.0	2.39	3.11	5.1	0.82	0.0	0.0	27.87	4.29	0.67	0.72	0.0	18.35	8.42	24.16
