	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Cux2_tdTnegative_cell_6	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80
1110004F10Rik	135.37	592.92	773.67	255.41	475.24	983.4	0.0	169.13	289.45	544.21	501.75	414.86	328.38	280.53	530.91	411.82	410.15	90.19	307.12	86.3	294.66	516.57	73.31	591.78	436.88	1.53	0.7	0.0	0.45	231.87	420.52	459.55	438.72
1810035L17Rik	271.95	20.39	376.27	184.72	307.57	903.6	0.0	244.82	145.0	249.96	373.64	276.75	118.26	207.26	206.15	91.14	180.17	380.65	231.42	102.61	188.24	394.4	442.56	159.23	132.62	117.4	0.0	0.0	0.0	101.79	443.63	265.82	202.91
2010107E04Rik	906.02	1274.09	1465.84	840.0	977.97	1841.4	473.51	509.3	758.23	871.25	730.87	741.92	513.29	573.48	564.78	1290.81	870.1	887.49	869.1	980.97	924.56	783.19	310.19	826.45	1018.6	13.42	0.0	0.0	0.0	840.67	859.15	435.71	803.11
2410015M20Rik	287.99	307.06	619.61	258.58	571.98	311.92	0.0	192.46	229.83	120.08	184.95	310.53	144.82	178.43	230.19	115.63	206.63	173.74	270.08	328.28	257.28	146.67	228.76	164.35	212.61	4.43	0.0	0.0	0.0	296.28	233.52	286.33	255.17
Anapc11	70.11	76.27	113.34	47.18	73.57	49.02	0.0	36.59	20.17	30.18	32.3	25.87	44.5	38.67	36.38	35.62	64.35	54.53	30.28	61.37	51.55	25.42	22.01	36.5	38.42	0.97	0.2	0.17	0.0	7.07	31.14	17.88	77.48
Atp5g1	651.43	1753.46	1879.46	830.15	1732.7	3159.68	326.75	647.0	984.74	628.7	352.14	950.73	645.98	987.66	688.45	788.04	824.01	637.9	605.12	1085.08	735.45	875.69	890.42	593.61	588.38	13.91	1.27	0.0	0.0	611.73	776.21	975.77	838.32
Atp5h	1331.6	1367.56	3079.27	1568.99	2345.01	1915.7	455.58	750.03	1374.8	1300.41	965.18	1238.07	832.64	1298.34	1448.11	1597.06	1235.57	967.45	1165.33	1561.91	1447.3	1410.29	1239.93	970.16	1062.6	9.97	2.43	1.75	538.43	1312.13	1296.69	1201.04	1138.91
Atp5j	1069.67	1528.11	1261.44	682.9	1745.16	2174.1	0.0	688.51	683.71	819.86	748.51	743.39	748.66	600.74	874.39	901.27	895.4	800.34	958.26	1708.05	829.87	1119.47	815.83	687.05	695.25	99.96	0.0	1180.77	400.87	1325.12	1014.21	792.8	883.2
Atp5j2	709.14	1931.7	1569.58	684.95	1484.7	1445.28	0.0	396.1	597.15	758.1	528.08	617.19	688.84	830.23	516.58	593.9	649.6	746.23	930.02	1371.44	822.31	509.85	891.67	655.64	465.26	9.83	0.75	0.0	318.34	639.65	969.48	692.35	911.27
Atp5k	435.01	1486.33	1511.51	793.01	1013.56	1295.6	0.0	419.21	424.61	635.96	523.69	692.69	289.48	441.02	481.99	521.52	599.23	523.2	737.48	671.13	674.01	529.25	494.93	565.15	472.55	4.4	2.65	0.0	445.47	599.5	486.05	790.93	499.06
