	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_64	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_21
4933433P14Rik	0.0	85.01	0.0	79.84	0.43	78.69	182.62	109.72	163.47	0.0	37.17	237.68	154.9	253.76	101.24	0.53	42.83	83.91	196.06	129.75	101.59	120.11	3.07	45.87	92.22	167.8	106.46	173.92	48.57	122.34	25.44	96.77	103.35	189.05	42.64	50.17	25.93	116.6	0.14	0.3	0.13	0.0
Abcf2	58.92	49.01	0.0	139.66	0.0	120.72	1.68	98.43	25.56	140.54	27.99	63.35	38.41	61.57	28.58	140.72	55.26	198.17	47.13	194.07	125.78	95.68	142.27	200.68	172.22	49.32	37.94	106.85	187.43	7.74	157.92	31.3	119.15	7.62	111.16	1.42	52.5	1.21	0.0	0.65	1.01	0.0
Atl1	178.99	20.04	0.0	182.11	2.97	111.02	50.67	128.55	58.08	233.02	87.68	84.66	165.09	28.62	1.85	0.13	86.34	115.37	5.01	55.88	157.47	217.77	24.84	92.57	184.06	96.98	45.65	0.0	81.29	9.03	63.64	99.82	85.16	2.31	25.51	2.26	41.29	80.36	0.0	0.74	0.92	0.0
Azin1	0.0	108.4	1.81	119.77	68.99	75.24	60.88	79.61	129.08	57.78	99.54	82.47	190.94	125.44	86.67	35.27	201.8	104.73	98.3	45.42	70.13	85.36	64.18	103.58	59.93	89.33	43.03	63.96	87.49	91.51	178.18	64.98	110.9	93.77	59.8	24.35	64.28	133.69	0.0	159.38	0.08	5.29
BC024659	23.71	95.24	0.0	751.94	0.93	162.84	259.85	360.53	271.27	386.44	363.51	723.66	749.12	355.89	292.59	414.62	203.76	412.95	125.29	145.97	170.0	336.2	239.37	407.06	381.18	528.09	298.01	239.99	252.36	120.77	450.11	346.19	501.14	361.27	582.71	45.38	30.37	694.89	0.0	65.83	458.44	0.14
Braf	4.15	16.87	47.82	181.59	0.18	42.11	42.57	65.73	84.08	92.65	103.76	127.16	111.88	66.44	88.2	119.59	45.51	203.88	21.05	52.08	45.6	80.62	61.5	63.89	52.69	98.22	83.66	63.55	86.37	110.84	52.29	26.75	186.07	103.76	133.73	36.86	1.44	39.48	0.0	0.25	0.34	0.0
C330006A16Rik	67.77	1.12	613.44	567.47	56.27	227.26	75.23	428.18	419.66	310.65	516.56	303.64	365.73	133.44	238.83	125.6	326.33	214.15	136.01	79.0	402.8	338.01	214.63	544.93	400.28	354.63	546.51	58.62	131.44	44.44	346.73	357.17	254.95	115.65	294.83	18.85	7.04	258.46	0.0	0.18	3.79	0.0
Cplx1	304.83	478.28	0.0	883.73	0.55	690.08	958.97	994.91	1190.34	743.24	878.68	1678.45	1025.48	990.97	1234.37	632.95	774.15	1585.92	472.52	708.7	878.94	910.66	910.24	1322.39	1058.61	1330.63	989.39	1302.33	767.51	1132.62	1172.58	1045.33	920.94	1068.01	881.86	419.07	381.23	1054.91	0.0	0.76	1.35	0.0
Dcun1d1	1.1	17.36	0.0	148.52	0.8	55.44	28.81	68.77	115.73	70.51	61.56	138.4	67.93	62.11	20.54	76.1	39.8	124.6	81.08	0.77	60.63	54.22	34.24	46.56	33.94	117.92	59.88	34.19	28.1	41.16	50.9	76.81	109.12	24.9	88.57	24.27	0.08	104.35	0.0	0.37	0.58	0.0
Dnm1l	115.9	205.32	0.0	98.62	0.44	109.89	117.14	122.92	371.47	173.93	320.61	143.45	159.26	185.13	199.87	163.02	263.64	305.9	112.87	150.74	161.02	158.56	116.91	108.45	98.47	276.51	198.78	134.08	190.4	173.68	91.84	146.3	213.79	275.37	297.93	17.89	31.1	138.1	0.0	1.22	307.79	0.0
